"X","elevation","aspect","slope","horizontal_distance_to_hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","class","index"
179,3070,344,14,255,32,3772,192,218,164,713,"Spruce_Fir",179
369,2965,286,21,180,36,5812,157,234,215,1517,"Spruce_Fir",369
434,2875,91,24,277,70,295,248,193,59,182,"Spruce_Fir",434
473,2982,129,12,350,17,5716,240,233,121,3755,"Cottonwood_Willow",473
517,2812,97,14,30,7,2124,242,218,102,2563,"Lodgepole_Pine",517
522,2614,211,37,127,89,1758,165,244,188,297,"Ponderosa_Pine",522
530,3209,135,0,0,0,5314,219,238,156,725,"Spruce_Fir",530
536,2998,247,6,592,89,5645,207,245,176,2854,"Lodgepole_Pine",536
793,3174,72,3,0,0,5025,223,233,146,2352,"Spruce_Fir",793
1058,3221,304,26,342,120,1113,138,215,213,2040,"Spruce_Fir",1058
1084,2671,186,26,127,46,1800,214,247,151,1421,"Lodgepole_Pine",1084
1137,2655,351,14,30,6,1150,195,216,159,2040,"Lodgepole_Pine",1137
1257,3040,176,16,30,-13,1631,227,247,147,569,"Krummholz",1257
1276,3173,235,17,418,112,3115,188,253,199,180,"Lodgepole_Pine",1276
1295,3188,35,13,426,110,2971,218,211,126,1006,"Spruce_Fir",1295
1324,3283,0,4,845,135,6306,214,232,156,1779,"Lodgepole_Pine",1324
1342,2196,153,31,134,24,726,239,224,90,751,"Ponderosa_Pine",1342
1624,2726,262,2,134,12,2315,215,239,162,4268,"Lodgepole_Pine",1624
1885,3174,306,13,607,27,2821,183,232,189,150,"Spruce_Fir",1885
1894,2794,334,10,150,24,3215,197,227,169,2914,"Lodgepole_Pine",1894
2045,2709,45,14,30,-3,1727,223,208,116,1423,"Spruce_Fir",2045
2062,3001,101,15,391,103,2457,243,219,101,1825,"Lodgepole_Pine",2062
2418,3400,146,9,553,167,2032,232,239,139,1585,"Krummholz",2418
2420,2659,84,13,451,-68,1224,238,217,107,3780,"Lodgepole_Pine",2420
2539,2994,297,4,514,73,1719,208,238,169,660,"Lodgepole_Pine",2539
2541,2988,88,9,240,62,5392,234,226,124,1570,"Lodgepole_Pine",2541
2683,2207,344,35,175,82,1150,128,163,158,1114,"Ponderosa_Pine",2683
2761,3059,123,12,192,-14,828,240,231,120,1464,"Spruce_Fir",2761
2885,3047,29,17,150,2,1383,212,201,120,819,"Spruce_Fir",2885
2897,2975,37,9,960,177,2730,220,219,134,771,"Lodgepole_Pine",2897
