Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
77474,3103,349,2,492,7,5142,215,235,158,1486,Spruce_Fir
31427,1991,49,40,85,71,124,204,125,21,379,Ponderosa_Pine
56533,2770,83,11,30,6,1468,236,220,114,2138,Lodgepole_Pine
72299,2773,211,11,324,26,4065,212,250,173,1866,Lodgepole_Pine
105840,3606,49,17,860,194,2701,225,202,105,1399,Spruce_Fir
41442,3296,337,12,467,73,4213,193,223,169,1777,Spruce_Fir
26297,2564,53,7,331,87,731,224,225,135,964,Ponderosa_Pine
35530,3431,288,31,108,17,3104,120,220,232,1995,Spruce_Fir
36935,2865,149,18,916,86,2377,241,236,117,1530,Aspen
10646,2732,105,3,212,16,1597,224,236,147,2214,Lodgepole_Pine
6533,3250,253,9,666,140,1543,201,246,184,2521,Spruce_Fir
102167,2619,306,4,150,58,755,208,237,168,6289,Lodgepole_Pine
52509,2985,331,8,67,17,5928,201,230,168,3483,Spruce_Fir
46465,2654,39,26,85,15,2525,211,173,83,932,Lodgepole_Pine
105403,3202,180,3,30,-1,5787,220,241,156,886,Spruce_Fir
11886,2587,317,29,350,168,764,131,200,202,1195,Lodgepole_Pine
17571,2762,334,23,42,12,2605,162,203,177,2026,Lodgepole_Pine
96027,2113,273,21,234,102,297,160,241,217,450,Ponderosa_Pine
43792,2769,20,17,216,59,1637,206,202,129,3116,Lodgepole_Pine
38305,3191,126,13,400,75,2385,241,231,116,2838,Spruce_Fir
32905,3159,298,9,240,26,794,195,237,182,1328,Spruce_Fir
97320,2885,34,18,301,72,2735,214,197,113,1806,Lodgepole_Pine
65398,3294,77,22,210,52,633,241,195,74,1015,Lodgepole_Pine
28529,3069,215,15,256,8,1788,205,253,181,270,Lodgepole_Pine
33986,2945,255,11,361,49,5843,194,247,192,6262,Lodgepole_Pine
87631,2577,210,15,0,0,1486,207,253,178,1284,Lodgepole_Pine
96438,2828,288,21,400,180,1194,156,233,215,1530,Lodgepole_Pine
8839,3392,121,14,256,192,2730,243,228,111,503,Lodgepole_Pine
85549,3272,210,23,283,101,3124,195,254,185,769,Spruce_Fir
52430,3213,86,3,0,0,5775,224,234,145,685,Spruce_Fir
107118,2982,342,17,67,24,331,182,212,167,1518,Lodgepole_Pine
54183,2333,165,21,60,26,1114,233,241,128,1041,Ponderosa_Pine
29898,3113,37,24,42,0,1570,211,180,93,1873,Spruce_Fir
28528,2889,142,25,201,94,4548,247,225,92,309,Lodgepole_Pine
14376,3007,284,25,85,46,2774,144,231,224,192,Lodgepole_Pine
31296,2523,343,52,175,101,713,65,103,139,1471,Lodgepole_Pine
22225,3140,359,9,256,58,5050,206,223,155,467,Lodgepole_Pine
37591,2603,153,25,390,147,981,241,232,105,1020,Ponderosa_Pine
32313,3081,30,27,247,75,5011,201,171,93,2813,Lodgepole_Pine
15421,3159,3,5,331,17,3183,214,231,155,4130,Spruce_Fir
34244,2874,344,20,255,24,743,175,204,164,1315,Lodgepole_Pine
37258,3218,347,24,108,36,2724,168,194,159,2680,Spruce_Fir
43837,3070,155,10,170,-6,5963,231,241,141,2592,Spruce_Fir
4113,2885,105,33,255,141,2083,253,180,26,573,Aspen
18985,2655,346,14,270,60,1298,193,218,163,1207,Lodgepole_Pine
63564,3033,18,11,60,-7,573,211,216,141,1288,Lodgepole_Pine
5018,2980,89,18,258,13,592,244,209,88,518,Spruce_Fir
4287,2989,217,7,42,4,792,213,247,171,1284,Spruce_Fir
27370,3218,259,14,42,2,977,187,247,199,1921,Spruce_Fir
66667,2968,35,18,331,42,4460,215,197,112,5094,Spruce_Fir
23762,3024,27,14,624,59,5549,213,210,130,5785,Lodgepole_Pine
54514,2640,339,15,297,143,830,185,216,169,451,Douglas_fir
3945,2655,42,19,443,13,3115,220,196,105,2926,Spruce_Fir
91758,2818,13,37,400,63,1358,159,139,94,841,Lodgepole_Pine
79088,3014,240,8,268,30,3019,206,247,179,649,Lodgepole_Pine
33989,3152,337,15,342,46,3439,185,218,171,4442,Spruce_Fir
36548,2744,124,14,67,21,2479,242,229,114,6597,Lodgepole_Pine
79399,3123,2,26,702,268,713,174,181,136,1581,Lodgepole_Pine
99121,2883,344,10,42,7,664,201,225,163,1879,Spruce_Fir
62095,3285,67,12,134,25,6169,232,217,116,391,Spruce_Fir
46477,1961,336,32,270,110,240,131,178,175,845,Douglas_fir
52476,2185,50,30,175,43,1396,218,162,58,283,Ponderosa_Pine
3063,3263,283,17,902,128,641,171,239,207,2802,Lodgepole_Pine
81476,2343,46,15,474,198,1207,223,205,111,532,Douglas_fir
21077,2913,30,9,108,13,4669,218,220,138,1642,Lodgepole_Pine
19613,2598,130,4,0,0,560,226,237,146,1473,Lodgepole_Pine
93387,3093,60,9,201,46,2908,227,221,127,5977,Spruce_Fir
76707,3214,71,19,582,139,4243,237,200,87,3378,Spruce_Fir
105557,3077,123,5,30,-3,1959,228,236,142,2029,Spruce_Fir
73020,3240,18,6,420,37,1900,216,227,149,1153,Cottonwood_Willow
48940,3217,203,27,390,2,1860,195,252,176,3584,Aspen
43528,2752,93,20,85,23,2802,247,205,78,2145,Aspen
81934,2630,56,9,404,18,3078,226,221,129,2869,Spruce_Fir
60025,3167,57,19,335,63,5053,229,197,93,3190,Spruce_Fir
77266,2621,149,18,342,86,1560,241,236,118,2201,Ponderosa_Pine
54866,3079,114,25,335,143,1740,253,205,64,2802,Spruce_Fir
7018,3059,61,21,242,26,4602,232,192,83,850,Lodgepole_Pine
6516,3314,228,23,509,167,1358,180,254,203,4239,Spruce_Fir
78020,2991,2,11,350,58,1722,205,219,151,2438,Lodgepole_Pine
62994,3295,114,8,679,250,3697,235,232,129,2077,Spruce_Fir
107457,2752,90,6,270,19,2527,229,231,136,5713,Lodgepole_Pine
96000,3103,253,27,124,44,659,149,245,227,1529,Lodgepole_Pine
44211,2610,301,24,60,10,750,146,221,212,1298,Douglas_fir
47542,3227,312,18,408,206,2795,169,224,194,2854,Spruce_Fir
8502,2248,36,34,330,197,552,197,146,61,300,Ponderosa_Pine
101492,2891,108,23,511,242,930,252,206,69,547,Lodgepole_Pine
57848,2975,177,12,366,26,6099,226,247,151,3219,Lodgepole_Pine
69647,2635,186,34,162,86,2477,203,240,144,1001,Ponderosa_Pine
11128,2920,355,14,67,7,3477,197,215,155,1765,Lodgepole_Pine
25747,3176,170,12,342,74,277,229,245,146,4643,Lodgepole_Pine
77820,3339,82,10,323,64,1080,235,222,118,1348,Krummholz
100771,3032,307,20,552,257,808,160,224,202,1403,Lodgepole_Pine
75366,2660,195,27,180,-43,541,203,250,165,765,Lodgepole_Pine
21830,2920,84,18,153,23,2297,243,206,87,331,Spruce_Fir
27573,2996,250,15,339,21,5897,186,250,200,1851,Lodgepole_Pine
19969,2717,25,15,85,18,872,211,205,127,1947,Spruce_Fir
93953,2563,117,18,120,32,840,247,221,95,182,Lodgepole_Pine
86751,2907,268,9,0,0,2143,197,244,185,1572,Lodgepole_Pine
11383,2672,103,11,124,11,474,238,226,118,1507,Lodgepole_Pine
17607,3003,65,5,270,-18,1208,225,230,140,708,Spruce_Fir
63219,3351,131,15,680,145,547,243,231,112,150,Krummholz
23285,3256,91,25,242,74,1379,249,191,56,2482,Lodgepole_Pine
39714,3067,36,8,30,1,3817,220,221,137,730,Spruce_Fir
53131,2973,150,35,400,196,800,239,214,72,981,Lodgepole_Pine
98498,2738,23,17,391,51,3337,207,201,125,2896,Spruce_Fir
919,2980,300,15,108,20,2337,177,233,196,511,Spruce_Fir
52276,3347,12,22,60,24,4057,192,191,129,3844,Krummholz
84642,2348,321,26,190,60,270,145,205,195,900,Lodgepole_Pine
22722,2887,301,7,242,59,2678,201,237,176,2307,Lodgepole_Pine
88974,2836,55,25,170,43,3386,226,177,70,1718,Lodgepole_Pine
1975,2329,57,23,60,23,1187,229,186,79,1315,Douglas_fir
106978,2616,164,16,30,-9,3313,233,243,136,2577,Spruce_Fir
29156,3212,34,20,547,174,3642,213,193,109,1864,Spruce_Fir
17081,2891,13,17,376,72,1591,201,202,135,2871,Lodgepole_Pine
38448,2817,110,27,127,35,1324,254,199,54,1896,Lodgepole_Pine
59593,2117,18,29,247,152,285,185,167,105,150,Ponderosa_Pine
46077,2870,69,18,458,65,636,236,201,89,765,Spruce_Fir
82887,2995,37,9,192,22,3670,220,220,135,2281,Spruce_Fir
22484,2971,278,13,395,22,1559,185,242,197,1300,Lodgepole_Pine
64549,2885,228,18,120,38,911,191,254,196,212,Cottonwood_Willow
13078,2929,86,22,150,32,2230,246,197,69,362,Lodgepole_Pine
18047,2778,29,12,256,84,1431,216,214,133,860,Lodgepole_Pine
72197,3206,300,22,212,15,4049,154,226,209,1723,Spruce_Fir
6298,2727,26,31,192,41,1222,188,157,87,2138,Lodgepole_Pine
7681,3326,146,17,256,29,1273,241,235,117,2915,Spruce_Fir
12154,3149,348,25,882,380,1050,164,190,157,1584,Lodgepole_Pine
82672,3566,40,26,977,351,2469,212,172,81,1445,Spruce_Fir
7113,2913,5,21,234,32,469,189,195,139,488,Lodgepole_Pine
11304,3690,19,11,1075,281,5060,212,217,141,3357,Krummholz
27399,2686,339,30,30,19,3042,144,183,169,6273,Lodgepole_Pine
87060,2607,158,12,0,0,607,233,242,138,1173,Lodgepole_Pine
107572,2874,74,23,85,27,4926,240,190,68,108,Lodgepole_Pine
26935,3107,124,14,360,-8,904,242,229,114,1215,Lodgepole_Pine
