Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
1576,3407,174,12,760,-45,1294,227,246,150,4061,Spruce_Fir
16325,2961,313,17,295,64,1959,171,224,193,1559,Lodgepole_Pine
107603,2948,196,19,721,316,953,212,252,167,1621,Lodgepole_Pine
46425,3080,96,7,499,47,190,232,229,129,1406,Lodgepole_Pine
66337,2876,229,17,67,13,4184,192,253,195,3660,Spruce_Fir
55045,3146,139,13,469,33,3480,239,236,124,3270,Spruce_Fir
106754,3436,313,29,937,265,997,130,203,207,752,Spruce_Fir
39462,3258,146,27,474,221,3811,245,225,90,2270,Krummholz
73985,2967,12,12,182,35,3126,208,216,144,1101,Lodgepole_Pine
88704,3109,69,11,134,9,3270,231,219,119,5351,Spruce_Fir
34229,3569,23,7,324,76,1773,216,225,145,1490,Krummholz
88590,3021,117,7,395,56,5294,233,233,132,6121,Lodgepole_Pine
51834,3018,41,17,285,51,757,219,199,109,664,Spruce_Fir
94643,3280,36,18,658,221,997,216,198,112,488,Spruce_Fir
33774,2782,345,9,212,32,1860,202,225,162,2435,Lodgepole_Pine
41318,2923,217,19,95,37,2672,196,254,189,2163,Lodgepole_Pine
91390,2970,99,11,42,7,1357,239,224,114,2018,Lodgepole_Pine
12107,2338,127,24,306,141,700,251,216,79,1626,Cottonwood_Willow
92302,3002,32,4,382,18,3907,219,230,147,1820,Lodgepole_Pine
64933,3127,313,29,242,106,2890,129,204,208,2713,Spruce_Fir
29764,2599,213,22,30,3,2991,195,254,187,1245,Ponderosa_Pine
40005,3125,295,12,558,93,2910,185,237,192,510,Spruce_Fir
40148,3031,350,18,124,15,1290,185,208,159,1353,Lodgepole_Pine
72382,2911,284,9,283,113,1830,195,241,185,1036,Lodgepole_Pine
13385,2804,25,4,297,91,3151,218,231,150,6275,Spruce_Fir
76335,3227,197,16,765,13,467,214,252,168,2550,Lodgepole_Pine
55443,3326,200,16,607,188,997,212,252,170,4472,Lodgepole_Pine
44861,3243,175,14,210,55,1209,227,247,149,2770,Spruce_Fir
29928,3253,342,19,95,34,2910,179,209,167,2590,Spruce_Fir
5081,2722,101,33,134,91,2761,252,176,23,6540,Spruce_Fir
75746,2502,24,20,30,9,819,205,193,118,1638,Lodgepole_Pine
6960,3179,34,9,240,42,1509,219,221,137,90,Douglas_fir
27069,2055,344,36,408,-8,391,127,161,157,983,Douglas_fir
85344,3253,241,6,443,19,324,208,245,175,781,Lodgepole_Pine
54941,3086,125,4,283,36,3730,226,237,145,2910,Spruce_Fir
39494,3260,113,29,30,0,5991,254,195,0,663,Spruce_Fir
65143,3068,67,21,277,55,4690,236,193,80,402,Lodgepole_Pine
11302,2623,21,10,60,-10,939,214,219,141,6052,Lodgepole_Pine
40784,2693,348,18,150,43,1045,184,208,161,1998,Lodgepole_Pine
42851,2802,358,32,240,86,3103,153,163,134,1718,Lodgepole_Pine
75430,2991,263,11,721,91,5997,193,246,192,6223,Lodgepole_Pine
98725,3028,71,9,212,40,457,231,222,124,1383,Spruce_Fir
3513,2911,304,15,30,11,2516,176,231,195,778,Spruce_Fir
51121,3040,75,10,30,3,3509,233,221,120,2610,Spruce_Fir
49322,3218,293,13,285,75,1300,182,237,194,2177,Spruce_Fir
16834,3155,183,20,1120,137,3136,221,249,152,2226,Lodgepole_Pine
106110,3288,141,16,390,82,1514,242,234,117,1936,Spruce_Fir
4751,3100,283,8,30,8,1996,199,241,181,603,Spruce_Fir
65369,2502,330,17,150,52,738,177,216,178,510,Douglas_fir
55887,3092,147,21,335,76,1800,243,232,107,2175,Spruce_Fir
30602,3161,15,11,360,75,3042,211,218,143,1583,Spruce_Fir
13454,2648,36,6,60,6,90,220,226,142,698,Lodgepole_Pine
108026,2944,278,13,95,23,5779,185,242,197,1333,Lodgepole_Pine
28706,3116,334,7,295,40,2059,204,231,166,2391,Lodgepole_Pine
17899,2488,145,18,150,-54,1290,242,234,115,1549,Ponderosa_Pine
87739,2016,341,16,42,9,95,185,215,168,685,Ponderosa_Pine
25695,2349,344,23,210,91,618,168,198,164,509,Ponderosa_Pine
64479,2655,69,7,446,39,977,228,226,131,997,Ponderosa_Pine
35757,3485,8,24,418,51,2571,184,184,130,2330,Spruce_Fir
88104,3267,268,7,771,157,1460,202,243,179,2652,Spruce_Fir
9182,3257,253,10,342,34,3309,198,247,187,1703,Spruce_Fir
3742,2688,167,11,210,5,902,229,244,146,1842,Lodgepole_Pine
108645,2988,70,17,342,53,2030,236,205,94,793,Lodgepole_Pine
5449,3092,37,7,60,5,3813,220,224,140,1673,Lodgepole_Pine
78283,2383,295,20,134,70,1087,159,230,210,1521,Douglas_fir
38547,3278,82,31,150,-28,2413,244,169,0,4171,Spruce_Fir
99940,3150,45,33,570,269,612,209,151,53,1906,Krummholz
72790,2801,315,18,108,39,3631,170,223,192,5670,Lodgepole_Pine
4047,2624,341,22,488,240,618,168,201,169,1040,Lodgepole_Pine
91640,3677,320,15,999,265,2720,181,225,183,1200,Spruce_Fir
13880,2904,94,15,201,35,1984,242,216,99,2135,Lodgepole_Pine
504,2656,75,18,384,89,1120,239,204,90,3655,Lodgepole_Pine
47210,3201,57,8,481,59,2854,226,223,131,4722,Spruce_Fir
65912,2978,8,7,153,13,5025,212,226,152,5725,Lodgepole_Pine
76153,2969,11,17,283,27,2037,200,203,137,2942,Lodgepole_Pine
3812,3286,130,4,457,180,4240,226,237,145,1282,Lodgepole_Pine
106787,3164,343,13,108,13,2746,194,220,165,573,Spruce_Fir
50070,2580,121,17,268,71,1176,247,223,99,1650,Ponderosa_Pine
34178,2316,328,24,67,24,1159,155,204,185,331,Douglas_fir
359,2804,45,5,342,97,1357,221,229,143,726,Lodgepole_Pine
78567,3142,283,12,201,19,1167,187,241,193,1489,Lodgepole_Pine
6314,2948,23,25,216,89,1451,196,177,107,3031,Spruce_Fir
46124,3067,5,16,518,17,3583,198,208,145,2814,Lodgepole_Pine
16601,2982,7,8,60,6,5385,210,224,151,2391,Spruce_Fir
48228,3022,206,17,330,0,1215,207,253,177,509,Lodgepole_Pine
40203,3252,41,20,644,176,693,218,193,102,2030,Lodgepole_Pine
61913,2918,53,17,552,88,1634,227,202,103,2910,Lodgepole_Pine
19959,2947,36,27,268,50,2024,207,171,84,1909,Lodgepole_Pine
105596,3183,156,6,30,2,3570,228,241,147,3129,Spruce_Fir
9761,2856,250,23,379,136,2355,164,249,218,424,Spruce_Fir
6282,2359,196,12,306,72,1053,217,250,165,1033,Ponderosa_Pine
8102,2477,68,5,360,119,752,225,230,139,1260,Douglas_fir
63172,3157,207,14,283,46,2133,210,252,175,731,Spruce_Fir
