"X","elevation","aspect","slope","horizontal_distance_to_hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","class","index"
9,3098,24,20,150,2,2506,205,193,118,700,"Spruce_Fir",9
11,2812,90,11,192,14,774,237,223,116,514,"Lodgepole_Pine",11
13,2654,166,15,30,7,2022,232,244,139,2423,"Lodgepole_Pine",13
14,3010,160,19,255,78,1442,236,240,127,3378,"Spruce_Fir",14
18,3130,296,28,90,45,864,131,219,222,2429,"Spruce_Fir",18
22,3008,158,3,990,36,5773,222,239,153,6048,"Lodgepole_Pine",22
24,2937,41,13,192,29,2168,221,210,122,488,"Spruce_Fir",24
25,2949,162,6,601,122,4770,226,242,149,5239,"Lodgepole_Pine",25
36,3041,297,16,120,24,255,173,233,200,1714,"Lodgepole_Pine",36
45,3103,193,17,268,34,2029,216,251,164,134,"Spruce_Fir",45
47,3245,81,9,492,97,685,233,224,123,1844,"Lodgepole_Pine",47
57,2774,162,4,150,-5,2067,223,240,152,1087,"Lodgepole_Pine",57
64,2535,210,23,108,28,1410,195,254,184,1328,"Lodgepole_Pine",64
76,2752,155,17,0,0,361,238,239,126,2592,"Spruce_Fir",76
79,3010,69,10,570,89,1559,231,221,122,514,"Spruce_Fir",79
83,2961,137,16,134,24,942,243,232,113,1170,"Spruce_Fir",83
86,2910,121,18,362,105,379,248,222,94,1380,"Lodgepole_Pine",86
104,2904,141,16,309,94,309,242,234,116,1283,"Ponderosa_Pine",104
109,3300,20,18,228,93,2054,205,199,126,2082,"Spruce_Fir",109
112,3209,231,3,361,35,646,215,242,165,785,"Spruce_Fir",112
118,3249,8,11,721,66,4052,207,218,147,3573,"Spruce_Fir",118
136,3112,102,15,0,0,1243,243,220,102,2253,"Lodgepole_Pine",136
144,3110,119,12,95,0,2160,241,229,117,3268,"Spruce_Fir",144
147,2599,160,13,395,94,789,233,242,138,1458,"Aspen",147
149,3141,8,8,120,22,2268,211,223,150,2073,"Spruce_Fir",149
154,3120,23,14,484,104,1630,211,209,131,3616,"Spruce_Fir",154
156,2862,357,23,402,49,3254,177,191,146,2432,"Spruce_Fir",156
174,2553,8,14,60,2,1451,202,211,144,1396,"Lodgepole_Pine",174
184,2707,34,5,210,21,1452,219,228,146,1507,"Spruce_Fir",184
187,3182,321,3,182,37,2826,211,236,164,1034,"Lodgepole_Pine",187
190,2965,30,7,509,95,2908,218,226,143,1702,"Lodgepole_Pine",190
198,3210,169,20,0,0,2584,231,244,136,2761,"Krummholz",198
208,3227,193,15,677,13,531,217,251,163,2513,"Lodgepole_Pine",208
212,2279,356,20,124,42,192,184,201,151,700,"Lodgepole_Pine",212
218,2988,104,4,531,-6,4407,226,234,143,3059,"Lodgepole_Pine",218
221,2440,324,18,247,62,731,172,218,184,511,"Douglas_fir",221
223,3025,190,10,67,7,1398,220,248,161,648,"Lodgepole_Pine",223
228,2768,51,13,182,27,1632,226,212,118,1253,"Krummholz",228
230,3183,157,14,1158,90,3093,235,241,134,2353,"Lodgepole_Pine",230
233,3225,144,14,162,1,4200,239,236,123,2259,"Spruce_Fir",233
241,2880,5,13,90,20,1595,202,213,147,2754,"Lodgepole_Pine",241
253,2785,59,6,0,0,2044,224,228,139,1958,"Spruce_Fir",253
254,3185,284,15,421,68,966,176,239,202,745,"Lodgepole_Pine",254
257,2900,63,18,301,95,330,233,201,93,1361,"Krummholz",257
262,3129,219,12,618,92,2032,206,251,180,845,"Krummholz",262
264,2768,268,27,492,244,1101,139,238,231,1600,"Lodgepole_Pine",264
272,1983,32,20,60,14,182,211,192,110,362,"Ponderosa_Pine",272
277,2768,143,11,162,26,1710,236,238,130,2245,"Aspen",277
282,3215,27,4,67,1,5420,218,230,149,849,"Spruce_Fir",282
285,3195,35,6,120,20,4195,219,227,144,3199,"Spruce_Fir",285
287,2341,134,31,67,36,816,250,210,63,752,"Ponderosa_Pine",287
289,3094,121,18,108,17,895,247,223,97,454,"Spruce_Fir",289
291,2938,110,12,234,68,2890,240,227,115,1765,"Lodgepole_Pine",291
292,2819,102,12,124,21,2993,240,224,111,175,"Lodgepole_Pine",292
294,3240,143,18,90,16,2917,243,233,111,2952,"Spruce_Fir",294
298,2616,148,9,134,16,577,233,239,138,1136,"Lodgepole_Pine",298
300,2926,104,12,309,77,2656,240,225,114,1989,"Lodgepole_Pine",300
308,2952,8,5,335,69,752,214,230,153,1874,"Spruce_Fir",308
311,3244,340,12,90,17,1481,193,221,167,2701,"Spruce_Fir",311
317,3374,160,13,376,120,2250,233,242,138,624,"Krummholz",317
325,3018,81,10,390,-1,1578,234,222,118,853,"Lodgepole_Pine",325
327,2766,327,7,175,-3,1866,204,233,168,2758,"Lodgepole_Pine",327
332,2551,59,7,277,27,816,226,226,134,503,"Lodgepole_Pine",332
337,3323,28,20,150,3,3528,208,193,115,2774,"Krummholz",337
341,2839,288,28,541,85,1922,130,223,228,1981,"Aspen",341
349,3190,139,16,258,49,2400,242,233,115,1471,"Spruce_Fir",349
351,2350,277,16,323,16,150,175,241,205,726,"Ponderosa_Pine",351
352,2829,163,5,361,226,1315,225,241,151,997,"Lodgepole_Pine",352
356,3233,339,13,708,157,395,191,221,168,1999,"Lodgepole_Pine",356
357,2787,325,28,258,117,2222,140,197,191,2424,"Lodgepole_Pine",357
364,2800,268,8,30,4,2207,199,243,184,2892,"Spruce_Fir",364
386,2965,187,6,306,46,5421,221,244,159,3421,"Lodgepole_Pine",386
394,3065,11,18,90,4,1189,199,202,136,1418,"Lodgepole_Pine",394
401,3333,284,7,90,4,1289,200,240,179,1907,"Douglas_fir",401
412,3018,354,12,306,10,2639,200,219,157,1230,"Spruce_Fir",412
415,3059,294,6,469,104,725,202,239,176,819,"Lodgepole_Pine",415
418,3194,274,28,67,19,1189,133,233,233,2539,"Spruce_Fir",418
419,2995,33,14,256,-35,3653,216,208,124,5624,"Spruce_Fir",419
424,2998,92,16,240,-17,511,243,214,95,1026,"Spruce_Fir",424
427,2821,2,16,120,17,3443,196,208,147,5933,"Lodgepole_Pine",427
436,3270,313,8,474,80,810,199,234,175,513,"Spruce_Fir",436
439,3275,336,10,134,34,1429,197,226,168,633,"Spruce_Fir",439
446,3060,264,4,379,67,2609,209,242,171,1999,"Lodgepole_Pine",446
455,2949,175,10,518,35,2768,226,246,151,2290,"Lodgepole_Pine",455
460,3224,353,8,0,0,4143,207,227,158,1187,"Spruce_Fir",460
467,3178,267,12,162,33,2719,188,245,196,685,"Lodgepole_Pine",467
486,3117,170,15,306,65,247,230,245,143,577,"Lodgepole_Pine",486
488,2771,19,17,247,28,1698,206,203,130,1189,"Aspen",488
491,2779,45,18,524,-30,1698,222,198,104,2201,"Lodgepole_Pine",491
493,3290,292,14,850,20,3352,181,237,196,1019,"Spruce_Fir",493
502,3373,168,29,371,214,1741,228,236,118,541,"Krummholz",502
514,3248,189,24,247,89,2456,213,249,157,1123,"Spruce_Fir",514
515,3224,80,5,0,0,1888,227,230,137,247,"Spruce_Fir",515
522,2614,211,37,127,89,1758,165,244,188,297,"Ponderosa_Pine",522
529,2891,51,10,30,-4,3368,225,218,126,4167,"Lodgepole_Pine",529
534,3221,15,13,532,103,2965,208,213,141,864,"Spruce_Fir",534
535,2652,293,12,0,0,658,187,238,190,1566,"Lodgepole_Pine",535
536,2998,247,6,592,89,5645,207,245,176,2854,"Lodgepole_Pine",536
541,2276,354,19,212,54,726,185,204,154,981,"Douglas_fir",541
551,3073,48,7,30,-2,3605,223,224,136,404,"Spruce_Fir",551
552,3045,343,18,319,66,2375,181,211,166,2255,"Spruce_Fir",552
554,2909,66,3,540,128,1320,222,233,147,1691,"Lodgepole_Pine",554
555,2939,78,23,366,112,1165,242,191,66,437,"Aspen",555
556,3330,246,20,450,83,3409,173,251,211,1425,"Lodgepole_Pine",556
571,2887,238,18,0,0,2654,183,252,203,1410,"Lodgepole_Pine",571
582,3245,30,16,42,-5,2022,214,204,122,4599,"Spruce_Fir",582
592,3168,70,20,371,92,2995,237,196,80,908,"Spruce_Fir",592
606,3106,171,23,228,81,2379,228,243,133,1604,"Spruce_Fir",606
607,3151,107,5,480,72,5397,229,234,139,1677,"Spruce_Fir",607
616,3100,42,14,511,25,1317,222,208,118,2831,"Lodgepole_Pine",616
617,2844,333,8,60,10,1195,201,229,168,1415,"Spruce_Fir",617
618,2296,289,24,295,107,1239,147,230,219,858,"Douglas_fir",618
630,2772,10,10,339,60,2949,209,220,148,1245,"Aspen",630
634,2835,326,19,124,38,2221,168,215,184,1425,"Spruce_Fir",634
644,3018,257,18,470,118,5377,176,248,209,1187,"Lodgepole_Pine",644
652,3447,121,1,30,-1,3198,221,237,152,2448,"Krummholz",652
658,2974,197,32,192,74,1939,193,246,165,2122,"Douglas_fir",658
668,2614,86,12,30,3,1348,238,219,110,5150,"Lodgepole_Pine",668
672,2695,359,16,408,93,2337,194,209,150,1597,"Lodgepole_Pine",672
677,3173,44,18,391,135,3416,221,198,105,1744,"Spruce_Fir",677
682,2578,39,21,218,68,1452,215,188,99,1524,"Ponderosa_Pine",682
692,3237,26,8,255,14,5973,216,222,142,1041,"Spruce_Fir",692
693,3209,184,33,351,86,2649,207,241,141,3170,"Lodgepole_Pine",693
694,2681,120,16,258,1,1465,246,224,102,886,"Ponderosa_Pine",694
696,2995,70,13,450,100,1786,234,214,109,3196,"Lodgepole_Pine",696
715,2299,19,24,95,36,1110,195,183,116,845,"Douglas_fir",715
722,3292,327,5,240,27,5641,208,234,165,484,"Lodgepole_Pine",722
730,3048,0,3,124,2,3153,215,234,156,466,"Spruce_Fir",730
732,2936,18,7,0,0,2993,215,226,148,1333,"Spruce_Fir",732
737,3089,340,11,30,8,792,197,224,166,1800,"Lodgepole_Pine",737
739,2929,278,20,182,98,5267,162,239,215,4901,"Lodgepole_Pine",739
740,3124,152,18,120,8,2400,239,238,121,3242,"Spruce_Fir",740
748,3007,283,9,366,30,4801,196,241,184,192,"Lodgepole_Pine",748
758,2808,251,25,457,234,1383,158,248,222,1080,"Lodgepole_Pine",758
774,2092,307,9,162,88,295,194,235,180,553,"Ponderosa_Pine",774
781,2906,74,13,537,154,1379,235,215,109,1595,"Lodgepole_Pine",781
783,3272,39,17,633,213,1026,219,201,112,459,"Spruce_Fir",783
799,3042,2,5,30,2,1101,212,229,155,2039,"Aspen",799
801,3057,118,5,510,24,1557,228,236,142,2707,"Lodgepole_Pine",801
807,3272,162,4,558,110,618,223,240,152,914,"Lodgepole_Pine",807
810,2996,281,10,60,15,2315,192,241,189,1236,"Lodgepole_Pine",810
811,3107,63,1,162,36,1935,220,236,153,2021,"Lodgepole_Pine",811
813,3064,74,18,134,24,3059,239,202,88,5571,"Spruce_Fir",813
815,2898,136,16,90,14,3466,243,232,113,2002,"Lodgepole_Pine",815
817,2916,355,20,190,57,684,184,201,152,1719,"Lodgepole_Pine",817
825,2570,144,8,150,-7,1319,232,239,138,1325,"Ponderosa_Pine",825
833,3203,270,10,30,0,4767,193,244,190,474,"Spruce_Fir",833
838,2852,58,12,365,60,2081,228,215,117,2806,"Lodgepole_Pine",838
844,3336,93,27,210,-9,2463,250,189,49,4275,"Spruce_Fir",844
850,3083,28,19,170,46,4471,209,196,117,2800,"Spruce_Fir",850
861,2984,47,23,417,174,1022,221,184,86,900,"Lodgepole_Pine",861
865,2934,243,26,277,163,2356,160,250,220,1454,"Spruce_Fir",865
867,2913,276,7,330,11,5507,201,242,179,5683,"Spruce_Fir",867
871,2869,49,21,42,19,883,223,190,91,497,"Lodgepole_Pine",871
882,2989,283,13,234,24,2321,183,240,197,942,"Lodgepole_Pine",882
885,2960,77,16,180,19,2167,238,210,98,430,"Lodgepole_Pine",885
889,3081,259,25,495,170,5701,151,244,226,1266,"Lodgepole_Pine",889
906,2264,310,15,300,152,845,178,229,190,228,"Krummholz",906
909,3115,101,5,120,4,175,228,233,139,5417,"Spruce_Fir",909
914,2831,218,18,150,74,1698,198,254,188,1329,"Lodgepole_Pine",914
916,2878,142,14,60,2,228,240,236,122,1047,"Aspen",916
923,2979,106,16,242,53,2163,246,219,97,920,"Lodgepole_Pine",923
926,3242,114,13,335,61,1777,242,227,112,1357,"Spruce_Fir",926
931,2742,178,6,108,19,2431,223,244,155,6907,"Spruce_Fir",931
940,2801,128,17,256,134,3150,246,227,104,6151,"Lodgepole_Pine",940
947,3057,106,15,30,7,3679,244,221,101,2800,"Spruce_Fir",947
953,2376,175,10,351,89,1048,226,246,151,1034,"Ponderosa_Pine",953
969,2962,238,9,342,53,5801,204,248,181,3008,"Lodgepole_Pine",969
975,3169,270,7,60,7,5608,203,242,179,1954,"Lodgepole_Pine",975
977,3001,220,12,408,45,1348,206,251,181,1507,"Lodgepole_Pine",977
979,3175,356,14,854,158,1812,197,214,154,2346,"Spruce_Fir",979
981,3073,213,13,30,-8,2808,208,252,177,1194,"Lodgepole_Pine",981
984,2869,58,4,532,20,2731,223,230,143,2871,"Cottonwood_Willow",984
988,2662,88,14,175,16,2242,240,216,103,2160,"Douglas_fir",988
1007,3016,17,7,0,0,1128,214,225,147,2802,"Spruce_Fir",1007
1012,2357,19,19,0,0,511,202,196,125,1201,"Lodgepole_Pine",1012
1016,3268,320,12,216,52,4642,190,229,179,2670,"Spruce_Fir",1016
1018,2467,344,26,85,33,726,159,190,163,1741,"Spruce_Fir",1018
1020,3179,220,12,42,0,3019,205,252,181,1061,"Lodgepole_Pine",1020
1034,2904,325,21,67,19,1920,162,212,187,2234,"Lodgepole_Pine",1034
1043,3074,308,8,658,107,866,198,235,177,853,"Lodgepole_Pine",1043
1045,3113,16,34,306,127,2315,170,150,98,4218,"Spruce_Fir",1045
1046,3196,63,18,633,114,1719,233,202,94,3141,"Spruce_Fir",1046
1047,3057,96,9,234,26,3848,234,228,125,2520,"Lodgepole_Pine",1047
1050,2386,323,28,67,39,437,139,199,193,646,"Douglas_fir",1050
1054,2877,41,16,180,-15,366,220,203,113,582,"Lodgepole_Pine",1054
1055,3103,137,8,390,-5,6475,232,237,137,2797,"Lodgepole_Pine",1055
1059,2753,31,15,60,12,1734,215,205,123,2885,"Lodgepole_Pine",1059
1078,3053,313,12,67,0,3650,189,231,182,967,"Spruce_Fir",1078
