"X","elevation","aspect","slope","horizontal_distance_to_hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","class","index"
18,3130,296,28,90,45,864,131,219,222,2429,"Spruce_Fir",18
54,2819,317,22,162,58,3818,158,216,195,1019,"Lodgepole_Pine",54
66,3259,217,18,323,110,2997,198,254,187,886,"Spruce_Fir",66
68,2827,54,13,270,35,4250,227,211,115,5385,"Spruce_Fir",68
80,3271,97,13,277,-59,700,241,220,106,3500,"Douglas_fir",80
101,3044,133,13,30,10,3247,240,234,121,5833,"Lodgepole_Pine",101
124,3037,63,4,404,119,2912,224,231,143,1825,"Spruce_Fir",124
156,2862,357,23,402,49,3254,177,191,146,2432,"Spruce_Fir",156
159,2329,292,8,457,256,1374,197,239,182,966,"Ponderosa_Pine",159
162,2356,124,33,330,62,1106,253,194,39,663,"Cottonwood_Willow",162
165,2596,352,5,268,74,2550,211,231,158,612,"Lodgepole_Pine",165
178,2882,68,10,331,160,1785,231,220,121,765,"Aspen",178
179,3070,344,14,255,32,3772,192,218,164,713,"Spruce_Fir",179
188,2948,311,23,832,576,914,151,217,202,2242,"Lodgepole_Pine",188
199,3067,5,28,631,218,644,172,174,128,1507,"Krummholz",199
220,2532,51,6,120,3,902,223,227,139,745,"Lodgepole_Pine",220
230,3183,157,14,1158,90,3093,235,241,134,2353,"Lodgepole_Pine",230
258,2595,18,7,60,-10,2242,215,226,148,661,"Douglas_fir",258
269,3133,38,17,277,27,1036,218,202,114,1906,"Spruce_Fir",269
281,3232,303,5,60,6,5791,206,237,170,1481,"Spruce_Fir",281
285,3195,35,6,120,20,4195,219,227,144,3199,"Spruce_Fir",285
334,3408,126,7,446,68,1772,232,236,137,2242,"Krummholz",334
337,3323,28,20,150,3,3528,208,193,115,2774,"Krummholz",337
356,3233,339,13,708,157,395,191,221,168,1999,"Lodgepole_Pine",356
381,2968,170,17,339,56,3375,230,245,140,1237,"Lodgepole_Pine",381
404,2492,72,6,300,49,67,227,228,136,1660,"Ponderosa_Pine",404
406,2376,218,30,150,106,1277,173,251,199,525,"Douglas_fir",406
415,3059,294,6,469,104,725,202,239,176,819,"Lodgepole_Pine",415
428,3028,163,16,335,7,1124,233,243,135,1282,"Douglas_fir",428
454,2322,302,15,150,58,1064,177,232,194,524,"Douglas_fir",454
456,2991,74,8,150,12,3624,230,226,129,5292,"Lodgepole_Pine",456
478,2826,127,10,330,91,1652,237,234,127,2581,"Lodgepole_Pine",478
483,3300,335,11,351,48,4516,195,225,169,830,"Spruce_Fir",483
497,3359,116,22,134,30,1387,251,213,78,1515,"Krummholz",497
498,2372,14,22,0,0,1308,194,189,125,768,"Douglas_fir",498
501,2602,93,9,120,33,1362,234,227,125,1405,"Lodgepole_Pine",501
512,2891,340,24,60,21,1187,161,197,170,792,"Lodgepole_Pine",512
519,2801,76,4,450,58,3065,225,232,143,6574,"Lodgepole_Pine",519
524,3112,61,6,216,29,2420,225,227,136,1110,"Lodgepole_Pine",524
527,3117,72,12,30,0,713,233,217,115,1860,"Spruce_Fir",527
535,2652,293,12,0,0,658,187,238,190,1566,"Lodgepole_Pine",535
538,3155,87,9,212,39,2252,233,226,125,3042,"Spruce_Fir",538
556,3330,246,20,450,83,3409,173,251,211,1425,"Lodgepole_Pine",556
557,2510,197,22,42,11,1613,208,252,168,474,"Ponderosa_Pine",557
574,2874,90,4,30,-1,1707,226,233,143,2509,"Lodgepole_Pine",574
591,2858,45,0,391,57,2687,218,237,156,2691,"Lodgepole_Pine",591
599,3019,90,0,319,102,2605,219,237,155,1224,"Lodgepole_Pine",599
607,3151,107,5,480,72,5397,229,234,139,1677,"Spruce_Fir",607
608,3178,307,10,870,137,4260,192,234,182,2142,"Spruce_Fir",608
612,2800,342,15,323,73,1798,187,216,166,1024,"Aspen",612
616,3100,42,14,511,25,1317,222,208,118,2831,"Lodgepole_Pine",616
632,2023,84,35,150,76,190,244,157,12,485,"Ponderosa_Pine",632
637,2885,8,21,124,42,1687,192,195,135,2601,"Ponderosa_Pine",637
643,3096,323,9,201,19,3340,196,230,174,566,"Spruce_Fir",643
658,2974,197,32,192,74,1939,193,246,165,2122,"Douglas_fir",658
660,3326,219,7,0,0,3300,212,247,171,1844,"Ponderosa_Pine",660
661,2613,95,13,95,3,95,241,220,106,1577,"Lodgepole_Pine",661
662,2956,79,8,162,17,2343,231,226,128,2131,"Spruce_Fir",662
667,3142,333,8,417,-43,1073,201,229,168,914,"Spruce_Fir",667
676,2728,357,24,134,40,2605,176,190,146,2156,"Cottonwood_Willow",676
