Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
31568,2962,275,8,323,65,3921,199,242,182,5358,Lodgepole_Pine
9459,3199,63,18,170,34,3297,233,200,92,3620,Krummholz
56098,3129,122,22,306,16,841,251,217,82,1794,Spruce_Fir
13351,3224,278,16,658,21,1571,176,241,204,1249,Spruce_Fir
47134,2751,270,2,0,0,3068,214,239,163,2912,Spruce_Fir
19172,2748,3,16,30,6,2851,197,208,146,450,Lodgepole_Pine
83433,3190,35,13,283,-2,1900,218,211,126,830,Spruce_Fir
102502,3230,158,10,360,68,1351,231,242,141,2526,Spruce_Fir
5457,2595,29,15,90,17,1533,213,205,124,2821,Lodgepole_Pine
101875,2903,65,15,492,212,499,233,208,103,1611,Lodgepole_Pine
21336,2297,102,33,127,57,1584,253,178,25,300,Ponderosa_Pine
58620,2620,13,32,30,15,1980,172,158,108,7075,Lodgepole_Pine
76043,2288,218,25,120,53,1033,184,254,196,457,Ponderosa_Pine
20527,3161,318,14,679,350,1299,183,227,184,1054,Spruce_Fir
18281,2908,346,29,212,64,2616,151,181,159,485,Lodgepole_Pine
90715,2687,170,19,175,26,3422,230,244,137,1931,Lodgepole_Pine
9113,2764,327,24,218,69,1082,153,204,186,391,Lodgepole_Pine
81764,2922,32,18,600,133,1342,213,198,114,2659,Lodgepole_Pine
45782,3076,16,7,300,18,5127,214,226,148,2639,Spruce_Fir
70010,3162,45,6,324,100,4195,222,227,140,751,Krummholz
96898,3438,351,28,365,145,2486,158,179,151,2431,Spruce_Fir
88542,3283,17,13,470,83,3703,209,213,139,3966,Spruce_Fir
42516,3118,342,10,242,-1,2002,200,226,164,2614,Spruce_Fir
17175,3124,196,18,1120,180,3134,213,252,167,1766,Lodgepole_Pine
55075,3072,70,16,904,151,1237,235,208,100,511,Spruce_Fir
21607,2959,17,11,537,-2,2137,211,216,141,2845,Spruce_Fir
1381,2138,136,33,67,38,886,249,206,57,234,Cottonwood_Willow
52788,3014,180,17,60,3,3352,224,248,151,5889,Lodgepole_Pine
106816,2925,125,28,67,35,2689,253,207,61,1798,Spruce_Fir
16658,3116,330,21,150,25,3890,166,210,180,361,Spruce_Fir
82257,2850,24,8,558,95,2521,216,224,144,2694,Lodgepole_Pine
90960,2828,221,14,170,63,2210,203,252,184,708,Aspen
60405,3047,301,37,430,222,1320,97,197,227,1103,Spruce_Fir
55923,3171,218,9,190,27,1935,211,249,174,1952,Spruce_Fir
69821,2987,18,18,180,-16,1299,203,199,128,1110,Spruce_Fir
74570,3136,34,12,765,20,2144,218,213,129,3128,Spruce_Fir
1921,3368,2,17,582,190,3971,194,206,146,3586,Krummholz
99777,2389,345,21,426,199,1440,175,203,163,514,Ponderosa_Pine
14127,2988,114,9,170,29,4905,236,231,125,5807,Lodgepole_Pine
42695,2874,47,13,85,6,3124,224,212,120,4468,Lodgepole_Pine
26994,3267,352,13,446,103,2504,196,217,158,2445,Spruce_Fir
20107,3264,184,10,408,57,4179,223,247,157,2148,Spruce_Fir
43642,2565,332,32,270,124,726,129,181,181,1120,Lodgepole_Pine
1215,2862,121,13,150,29,2804,242,228,113,2250,Lodgepole_Pine
19614,2373,325,40,234,141,1237,94,164,192,1020,Ponderosa_Pine
4297,2765,105,36,67,47,2040,252,170,12,664,Lodgepole_Pine
51469,2985,128,8,242,20,5104,234,235,132,5959,Lodgepole_Pine
21808,3465,315,14,309,44,5146,183,228,185,4140,Krummholz
105924,3525,104,15,939,312,2590,244,220,102,1036,Spruce_Fir
107874,2554,312,21,30,13,900,158,219,199,6493,Lodgepole_Pine
25373,3025,66,26,42,4,2376,234,178,60,2854,Lodgepole_Pine
84233,2860,322,23,466,73,1320,154,209,192,1092,Lodgepole_Pine
67580,2214,292,25,150,77,1146,143,226,220,726,Douglas_fir
23167,3142,95,22,480,24,3026,249,202,71,842,Spruce_Fir
3161,3253,179,30,361,129,2836,217,241,135,876,Spruce_Fir
9238,2962,105,17,283,-5,4513,246,217,93,3442,Spruce_Fir
19395,3440,284,34,210,65,3238,109,218,238,1777,Spruce_Fir
10427,2568,20,35,170,72,957,173,144,86,1262,Cottonwood_Willow
56453,2090,280,37,60,32,999,95,214,244,285,Ponderosa_Pine
29871,2962,8,5,547,65,4202,214,230,153,5571,Lodgepole_Pine
83999,2939,62,11,300,23,4010,230,217,119,5939,Spruce_Fir
39087,3165,351,19,342,72,3054,184,205,157,3320,Spruce_Fir
12088,3237,86,4,741,46,3766,225,233,144,2400,Spruce_Fir
53503,2865,68,24,170,63,182,236,185,68,1243,Spruce_Fir
36480,2726,80,12,300,95,1613,236,219,113,1655,Lodgepole_Pine
18162,3211,356,14,335,116,5032,197,214,154,1928,Spruce_Fir
102769,3278,31,13,258,64,1558,216,210,128,2905,Spruce_Fir
58535,2991,238,10,849,95,5936,201,249,185,5881,Lodgepole_Pine
11961,3069,73,7,391,25,3212,229,226,131,443,Spruce_Fir
50440,2513,356,12,134,15,384,201,219,155,1490,Douglas_fir
110115,2563,135,18,124,26,1463,245,229,105,845,Ponderosa_Pine
9056,3101,73,5,212,35,1661,226,230,139,2125,Lodgepole_Pine
101688,2895,45,18,201,43,532,222,197,103,1631,Aspen
27606,3446,243,12,1221,321,4075,197,249,190,2689,Krummholz
18683,2817,122,12,335,46,1061,241,230,117,2647,Lodgepole_Pine
28223,2955,260,17,484,59,5622,176,247,208,5444,Cottonwood_Willow
33443,2998,97,11,283,43,3144,238,224,116,6323,Spruce_Fir
90593,2957,164,9,67,3,1357,228,243,147,371,Spruce_Fir
50824,2835,105,13,60,-1,351,241,224,110,1593,Lodgepole_Pine
85425,3190,143,7,67,-2,2232,231,239,141,1621,Spruce_Fir
6505,2942,309,3,626,36,5623,210,237,165,1917,Lodgepole_Pine
76633,2559,188,12,85,12,2257,221,249,160,2072,Aspen
60595,2918,155,19,85,18,4863,239,238,120,277,Lodgepole_Pine
33981,2989,104,15,216,33,4179,244,220,101,794,Lodgepole_Pine
47076,3098,16,16,408,105,2694,205,206,134,2623,Lodgepole_Pine
105471,3294,219,3,134,16,6132,216,243,164,395,Spruce_Fir
106277,3047,234,6,30,-2,2808,210,246,173,812,Spruce_Fir
43233,2887,41,14,323,45,2732,221,208,119,2655,Aspen
2062,3001,101,15,391,103,2457,243,219,101,1825,Lodgepole_Pine
35907,3117,338,3,90,3,900,214,235,160,1694,Spruce_Fir
14701,2706,121,14,150,8,2090,243,228,112,730,Lodgepole_Pine
8601,3132,111,7,30,-5,1265,232,233,134,2509,Spruce_Fir
13626,3098,303,12,67,15,2069,188,234,187,1928,Spruce_Fir
68470,2396,200,6,127,5,0,218,245,163,124,Douglas_fir
45659,3310,338,11,616,63,845,196,225,167,1206,Spruce_Fir
100634,3532,262,25,400,181,3361,152,243,225,1231,Spruce_Fir
105667,3044,337,23,67,25,2132,164,202,174,3331,Spruce_Fir
48273,2868,275,34,679,344,1003,113,225,241,1790,Lodgepole_Pine
89915,3007,22,5,30,2,5325,217,229,149,2301,Spruce_Fir
42976,2980,165,7,488,190,2908,226,242,150,1487,Lodgepole_Pine
29686,3068,337,16,242,71,400,182,215,171,1826,Spruce_Fir
98923,2911,122,24,277,114,4462,252,213,75,430,Lodgepole_Pine
49037,3329,141,23,792,-18,1368,246,227,97,2809,Spruce_Fir
6463,2925,342,29,210,108,240,147,182,165,859,Spruce_Fir
47597,2429,230,7,510,123,864,209,247,175,1248,Ponderosa_Pine
4700,3245,63,8,600,132,1263,228,223,128,2063,Spruce_Fir
63625,2857,133,31,108,54,4819,251,208,60,4683,Lodgepole_Pine
84737,2925,76,17,162,38,3709,239,206,92,5180,Lodgepole_Pine
13090,2555,3,60,190,135,684,67,53,65,1470,Lodgepole_Pine
84211,3017,331,2,67,0,4227,213,236,160,953,Lodgepole_Pine
551,3073,48,7,30,-2,3605,223,224,136,404,Spruce_Fir
68495,2375,13,15,170,64,993,204,208,139,782,Douglas_fir
79267,2700,25,15,108,40,1090,212,207,129,1826,Lodgepole_Pine
82202,3123,91,13,170,13,2130,240,219,108,3190,Spruce_Fir
48894,3185,297,26,339,114,3311,138,221,219,3200,Spruce_Fir
9914,2627,342,11,492,86,730,198,224,165,2605,Lodgepole_Pine
24590,3275,123,13,323,168,4106,241,230,116,1358,Lodgepole_Pine
39629,2986,248,12,300,60,5333,195,249,192,1612,Lodgepole_Pine
59968,2913,339,16,127,10,949,184,215,169,2819,Spruce_Fir
84335,2990,85,26,30,22,677,246,186,52,2379,Lodgepole_Pine
12460,3361,180,11,1073,122,2748,224,247,154,1865,Krummholz
38777,3286,39,9,175,-3,3355,221,220,134,1879,Spruce_Fir
46247,2032,17,30,134,111,162,181,164,106,417,Ponderosa_Pine
81253,2610,208,10,350,195,1758,213,250,171,603,Ponderosa_Pine
55369,3250,2,18,570,111,2190,193,203,146,162,Spruce_Fir
2486,3146,106,8,134,7,2862,233,231,130,5597,Ponderosa_Pine
9904,3175,291,7,402,-38,3208,199,239,179,1099,Lodgepole_Pine
66336,3000,41,23,446,176,4502,215,182,90,845,Lodgepole_Pine
44968,2849,353,20,127,23,649,181,201,154,430,Lodgepole_Pine
63694,3208,352,10,134,17,5421,203,223,158,916,Spruce_Fir
16392,2872,180,28,120,27,1560,218,243,139,2271,Lodgepole_Pine
8717,3199,119,21,426,107,339,250,217,84,4027,Cottonwood_Willow
20066,3706,0,6,1189,260,5263,212,229,155,3577,Krummholz
74196,2790,217,27,30,15,2440,180,253,196,474,Cottonwood_Willow
106466,3066,69,9,67,3,658,230,222,125,1708,Spruce_Fir
66049,3166,52,3,30,0,5090,221,233,149,2758,Spruce_Fir
10958,2863,70,33,60,-21,335,235,159,30,2320,Krummholz
53035,2439,306,16,258,120,297,174,229,195,446,Ponderosa_Pine
55360,2722,118,18,212,45,1793,248,221,94,2315,Lodgepole_Pine
91185,3252,270,7,283,49,4471,203,242,179,663,Cottonwood_Willow
