Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
88551,3026,183,18,787,83,3035,222,249,153,2133,Lodgepole_Pine
27457,3273,94,28,108,27,2255,251,186,0,661,Krummholz
6573,3259,347,28,594,83,1406,157,184,158,1422,Krummholz
85439,3142,324,4,60,7,735,209,235,165,1120,Spruce_Fir
56391,2971,21,32,277,93,1988,181,155,93,2421,Spruce_Fir
81058,2778,93,8,216,22,1987,233,228,127,1813,Lodgepole_Pine
54582,2936,331,22,382,66,882,162,206,181,1477,Lodgepole_Pine
43431,2535,227,30,391,-64,603,165,251,209,1265,Ponderosa_Pine
26932,3302,87,18,309,56,1745,243,208,88,2665,Krummholz
14204,3373,188,9,400,-19,3207,221,247,159,216,Spruce_Fir
52665,2988,255,11,664,90,5918,194,247,191,5962,Aspen
52515,3287,51,7,618,126,1138,224,225,137,1816,Spruce_Fir
22204,3088,37,22,446,170,2321,214,187,99,2260,Spruce_Fir
41907,2736,339,31,162,52,1342,137,178,170,1634,Spruce_Fir
13269,3080,30,8,335,13,5117,218,223,141,2676,Spruce_Fir
27109,2804,336,9,67,5,1124,199,227,167,2060,Lodgepole_Pine
16274,3276,211,19,60,16,2143,201,254,183,3782,Spruce_Fir
35957,2909,328,10,216,55,3967,195,228,172,5838,Lodgepole_Pine
57142,3160,71,11,636,79,1448,233,218,115,2627,Spruce_Fir
26786,3081,20,5,212,9,1500,217,229,150,2166,Lodgepole_Pine
74766,2640,103,30,90,40,1527,253,186,38,1276,Ponderosa_Pine
100806,3298,152,13,543,160,947,235,240,133,2315,Lodgepole_Pine
26151,3198,236,3,437,36,5994,213,242,166,2289,Lodgepole_Pine
60107,3087,31,4,90,2,1296,219,230,148,1583,Spruce_Fir
2862,3013,225,6,60,6,5516,212,246,171,2131,Spruce_Fir
42377,2813,76,10,30,4,2173,233,220,118,2531,Lodgepole_Pine
97335,2934,68,5,95,6,918,225,230,139,2313,Lodgepole_Pine
73466,2934,333,7,503,21,3475,203,230,166,3915,Lodgepole_Pine
40681,3146,284,18,679,329,1353,168,237,208,1001,Spruce_Fir
20301,2593,208,35,120,22,1473,173,246,185,1282,Lodgepole_Pine
27967,2893,58,10,295,38,3869,228,218,123,5584,Lodgepole_Pine
166,2860,152,11,108,10,4830,234,240,136,4522,Lodgepole_Pine
28260,3481,309,29,218,130,3437,130,207,211,1339,Douglas_fir
62683,3122,328,4,474,61,2160,209,234,164,2372,Spruce_Fir
78201,2801,126,29,127,59,3586,253,206,60,5780,Lodgepole_Pine
24075,3392,232,11,600,124,3570,203,250,184,258,Spruce_Fir
62647,2326,70,22,67,10,1012,237,190,73,890,Ponderosa_Pine
28106,2895,249,31,228,124,2312,139,244,231,1505,Spruce_Fir
55681,3063,127,12,162,15,3849,240,232,120,376,Lodgepole_Pine
34455,3198,149,19,342,107,5147,241,235,115,1648,Spruce_Fir
99847,2760,45,8,212,19,997,222,223,136,2006,Lodgepole_Pine
95794,3374,62,4,488,35,1260,223,232,145,2407,Cottonwood_Willow
43923,2721,128,5,277,-1,984,229,236,141,1298,Lodgepole_Pine
24506,3271,206,18,362,122,3000,207,253,176,872,Spruce_Fir
49416,2798,162,16,90,13,3021,234,242,135,2430,Lodgepole_Pine
45668,3079,333,6,67,4,2307,205,232,165,2139,Spruce_Fir
109272,2968,242,11,603,68,5707,198,249,189,3864,Lodgepole_Pine
81958,2782,41,16,67,19,3168,221,204,114,2409,Lodgepole_Pine
87703,2962,55,11,150,3,765,227,216,121,2071,Lodgepole_Pine
49968,2659,191,34,120,40,1950,197,242,153,1153,Lodgepole_Pine
104593,2792,269,15,309,98,953,181,244,202,1943,Aspen
98752,2268,181,13,60,6,300,224,248,154,366,Ponderosa_Pine
64846,3090,304,23,390,-13,1323,151,221,208,2979,Spruce_Fir
12521,3253,45,4,552,76,5619,221,231,147,2753,Lodgepole_Pine
45462,2366,335,29,323,213,1317,143,188,176,732,Ponderosa_Pine
25576,2870,315,14,85,26,4735,181,228,186,4663,Lodgepole_Pine
57334,3243,135,4,42,2,5487,226,238,146,671,Lodgepole_Pine
74105,3270,40,21,552,133,1243,216,189,99,5220,Spruce_Fir
58941,3032,342,19,361,173,966,178,208,167,3337,Lodgepole_Pine
4386,3297,346,14,480,92,3403,191,217,163,2754,Spruce_Fir
95921,2578,189,5,60,1,765,220,243,159,1293,Ponderosa_Pine
90591,3307,330,20,543,156,2930,168,211,180,595,Spruce_Fir
64871,3093,99,27,192,26,1495,252,192,50,1423,Spruce_Fir
30646,3417,333,11,765,221,886,196,226,170,853,Spruce_Fir
87194,2952,324,4,42,12,1699,209,235,164,513,Lodgepole_Pine
26963,3210,145,32,752,329,1116,245,215,71,2685,Spruce_Fir
38127,2975,27,11,417,56,5053,215,217,137,5635,Spruce_Fir
43502,3278,287,19,351,71,604,163,235,211,1025,Spruce_Fir
10289,3229,147,20,484,137,384,243,233,110,4189,Lodgepole_Pine
65349,2176,349,24,90,28,1040,169,193,157,693,Ponderosa_Pine
35445,3014,172,20,417,151,6457,229,245,139,3952,Lodgepole_Pine
75309,3045,107,22,162,30,787,251,207,72,1273,Lodgepole_Pine
16372,2674,84,9,30,4,1338,233,225,125,725,Aspen
