,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
69023,2598,42,14,484,29,1413,222,209,119,1706,Douglas_fir
66391,2828,76,16,212,25,2611,238,209,97,1825,Lodgepole_Pine
42085,3031,152,11,382,-35,5788,234,240,135,2814,Spruce_Fir
77722,3447,50,25,30,10,3318,222,177,76,2568,Krummholz
102100,3188,78,10,421,46,2937,233,222,120,4679,Spruce_Fir
74804,3108,294,22,192,65,210,154,229,213,1956,Spruce_Fir
67496,2677,41,9,67,2,1752,221,219,132,5412,Lodgepole_Pine
49721,3240,231,3,234,25,752,214,242,166,994,Spruce_Fir
11422,3140,287,10,309,35,1315,193,240,187,1999,Lodgepole_Pine
33468,2884,49,5,503,89,2737,222,228,141,3359,Lodgepole_Pine
91159,3181,221,11,408,-25,641,207,250,179,2078,Lodgepole_Pine
88921,3470,123,21,30,-3,1824,250,219,87,1860,Krummholz
34024,3234,166,14,240,46,1082,231,244,142,2654,Lodgepole_Pine
52088,3044,144,6,272,10,6626,230,239,143,3432,Lodgepole_Pine
47982,3056,293,22,459,145,5390,153,229,214,864,Lodgepole_Pine
24793,2058,330,32,85,54,134,128,183,184,492,Ponderosa_Pine
106296,3060,318,20,228,55,2610,163,218,192,2334,Spruce_Fir
11273,2201,332,24,30,13,1673,155,201,181,175,Douglas_fir
15844,2647,158,24,90,-13,942,237,236,114,2125,Lodgepole_Pine
32208,2978,121,10,60,0,1041,237,232,125,731,Lodgepole_Pine
36398,3221,342,1,67,3,3208,217,237,157,1631,Spruce_Fir
108336,3043,7,15,247,32,5030,200,208,143,2820,Lodgepole_Pine
30438,3175,146,18,525,26,5884,242,235,116,1299,Lodgepole_Pine
93326,3200,79,11,382,12,175,234,220,117,2072,Spruce_Fir
26425,3050,63,7,660,164,5845,226,226,134,5242,Lodgepole_Pine
27885,3363,238,14,564,181,4476,193,251,194,2589,Krummholz
40743,3012,4,4,67,0,2941,215,232,155,2284,Spruce_Fir
105396,3212,200,6,108,8,5664,218,246,163,1034,Spruce_Fir
106124,3327,141,13,418,127,2941,239,236,124,624,Spruce_Fir
71050,2770,206,7,108,-15,2110,216,247,166,1154,Lodgepole_Pine
38255,2692,43,8,424,9,1724,222,222,136,6031,Lodgepole_Pine
96968,3004,223,11,30,8,1215,206,251,180,1889,Krummholz
50758,3112,60,14,120,-5,2638,230,211,110,1203,Spruce_Fir
95852,3242,355,11,210,27,5622,201,220,156,703,Spruce_Fir
40131,3158,191,8,285,18,1026,220,247,161,2232,Spruce_Fir
99498,2789,357,8,120,5,2350,207,226,156,1308,Lodgepole_Pine
43942,2476,323,10,30,1,1173,194,230,175,886,Lodgepole_Pine
11327,3486,330,14,120,39,1652,185,222,176,2021,Krummholz
94847,2967,302,16,0,0,234,173,231,197,384,Spruce_Fir
52261,2969,43,30,285,68,2021,210,161,67,1868,Lodgepole_Pine
56263,3057,111,11,124,31,702,238,229,119,391,Lodgepole_Pine
39964,3246,188,14,108,12,1020,221,250,159,1101,Spruce_Fir
28533,3149,110,17,488,99,4660,246,220,97,1841,Spruce_Fir
15429,3140,315,9,277,22,1082,195,233,177,1583,Lodgepole_Pine
51092,3441,82,18,592,207,2041,242,206,87,1849,Spruce_Fir
48234,3009,269,9,655,-59,1777,196,244,187,2234,Lodgepole_Pine
13321,3041,56,10,371,14,6616,227,218,124,2816,Lodgepole_Pine
34957,2968,143,10,190,-3,4656,235,238,133,4943,Lodgepole_Pine
77647,2991,25,5,0,0,2850,218,229,148,1670,Lodgepole_Pine
69520,2671,247,35,67,41,1205,126,240,235,811,Lodgepole_Pine
86864,3260,330,17,335,31,4607,178,218,178,811,Spruce_Fir
18296,2757,97,30,30,10,2191,251,183,37,764,Lodgepole_Pine
107189,2915,71,9,301,105,301,231,222,124,633,Lodgepole_Pine
95764,3206,16,3,0,0,5626,217,232,153,836,Spruce_Fir
104736,3336,42,15,85,1,3006,221,206,116,1756,Krummholz
22963,2251,100,30,283,53,731,252,183,36,742,Ponderosa_Pine
102389,3121,78,11,242,2,1994,234,220,116,1953,Lodgepole_Pine
11338,3143,262,18,350,52,1129,173,246,210,2724,Spruce_Fir
53244,2866,247,29,170,61,1071,147,246,227,1236,Lodgepole_Pine
10660,3162,342,2,379,55,5479,216,236,158,543,Spruce_Fir
60733,2764,315,15,408,107,1803,180,227,187,1986,Douglas_fir
35884,3189,46,14,330,-1,2748,224,209,116,1082,Spruce_Fir
23792,2733,340,6,42,-5,1173,207,231,163,2281,Lodgepole_Pine
102699,2548,112,11,150,9,2650,239,228,119,2554,Lodgepole_Pine
95848,2935,54,10,120,7,4570,226,218,124,4478,Lodgepole_Pine
65192,3021,146,9,247,-6,912,233,239,138,1071,Spruce_Fir
31353,2946,353,11,362,-26,1403,201,221,158,1744,Spruce_Fir
28017,2881,149,7,513,128,3437,229,240,143,3005,Lodgepole_Pine
87420,2949,35,24,175,40,4577,210,181,96,4631,Spruce_Fir
61216,2637,40,7,60,3,120,221,224,139,577,Lodgepole_Pine
91617,3352,358,5,685,131,2063,211,230,156,2601,Lodgepole_Pine
103097,3162,346,8,95,8,1434,205,228,161,1026,Spruce_Fir
95025,3061,220,16,182,38,780,199,254,187,1047,Lodgepole_Pine
40587,3083,278,7,481,29,2616,202,241,179,1974,Lodgepole_Pine
26318,3158,351,11,120,10,2133,201,222,159,2873,Spruce_Fir
90713,2989,42,6,153,0,1622,221,227,142,1593,Lodgepole_Pine
45983,2584,28,4,190,59,895,218,232,150,1138,Lodgepole_Pine
12801,2480,352,10,0,0,306,203,223,158,1574,Douglas_fir
38932,3063,330,27,424,268,938,147,196,183,1409,Spruce_Fir
61336,3040,89,11,30,-5,2620,236,223,117,2024,Spruce_Fir
103532,2951,17,20,180,92,1150,199,194,126,3336,Spruce_Fir
27396,2955,39,12,319,72,5835,220,212,125,4458,Lodgepole_Pine
34599,2846,49,28,361,124,1738,219,168,67,858,Lodgepole_Pine
72847,2968,96,9,228,49,5545,234,228,125,3872,Lodgepole_Pine
61416,2873,115,24,240,43,716,253,209,69,1242,Lodgepole_Pine
19549,2922,53,5,242,39,4302,223,229,142,6178,Lodgepole_Pine
110176,2394,207,11,234,27,1110,213,250,171,1549,Ponderosa_Pine
36990,3281,352,2,541,11,3700,216,236,157,1092,Krummholz
36395,3028,262,2,190,-11,3234,215,239,162,932,Spruce_Fir
17654,3194,289,15,120,30,1674,177,237,200,2391,Spruce_Fir
73578,3177,2,17,60,17,4155,194,206,147,335,Spruce_Fir
77894,2867,278,2,150,18,3226,214,239,162,3072,Lodgepole_Pine
42162,3020,298,14,218,50,2621,180,234,194,1766,Spruce_Fir
38110,3195,152,8,283,20,3598,230,240,142,4447,Spruce_Fir
58832,2510,330,16,242,40,947,180,219,177,872,Lodgepole_Pine
19896,3217,142,15,408,126,5197,241,235,119,1641,Spruce_Fir
41676,2840,129,10,30,4,2897,236,234,128,2227,Lodgepole_Pine
53438,3194,154,11,95,1,787,234,241,137,1262,Spruce_Fir
73873,3356,47,17,313,34,3276,224,201,107,1786,Krummholz
46546,2338,31,7,242,75,1008,218,225,143,830,Douglas_fir
44452,3100,307,23,108,30,4355,150,219,206,1045,Spruce_Fir
42368,2814,103,16,127,43,2227,245,217,96,2952,Spruce_Fir
305,3027,120,8,295,0,6474,234,234,132,3546,Lodgepole_Pine
93078,2867,135,13,108,20,3907,240,234,120,6149,Lodgepole_Pine
89016,2165,358,13,30,5,1300,199,215,153,636,Ponderosa_Pine
24568,2923,333,12,210,49,969,193,225,171,1973,Lodgepole_Pine
69928,2893,14,7,633,147,1084,213,225,149,2603,Lodgepole_Pine
21828,3210,9,21,124,31,1610,192,194,134,360,Spruce_Fir
23421,2997,22,19,973,199,2949,205,197,123,1044,Lodgepole_Pine
17034,2354,10,15,0,0,488,202,209,141,1172,Lodgepole_Pine
103146,2991,62,9,216,3,1006,228,221,125,1587,Spruce_Fir
100368,2786,32,7,30,1,459,219,224,142,878,Lodgepole_Pine
49070,2345,352,22,391,152,918,176,196,154,1173,Douglas_fir
49285,2275,174,26,417,135,1337,225,242,133,808,Ponderosa_Pine
4663,3132,51,10,430,64,3594,225,219,127,785,Spruce_Fir
53594,3000,325,13,382,31,492,186,225,178,1489,Lodgepole_Pine
12167,3074,315,11,309,-46,2028,190,231,181,2249,Lodgepole_Pine
49574,2642,140,8,42,-1,3372,233,238,136,2166,Lodgepole_Pine
13672,3142,51,12,361,34,5665,226,214,120,932,Spruce_Fir
94469,3262,101,15,361,66,180,243,219,101,518,Lodgepole_Pine
64144,2736,76,15,60,10,2442,237,211,101,4161,Lodgepole_Pine
88217,2555,264,27,120,37,999,141,240,231,1682,Douglas_fir
11138,2886,33,7,255,29,3978,219,226,143,6341,Lodgepole_Pine
17948,2730,321,23,242,157,1677,155,210,192,1348,Douglas_fir
102841,3133,113,21,247,104,3391,251,213,79,2223,Spruce_Fir
24619,3018,332,21,268,-22,1856,165,208,180,1606,Lodgepole_Pine
52713,2666,63,18,67,11,1477,233,202,94,1879,Lodgepole_Pine
78717,2959,161,12,607,63,6046,232,243,140,5620,Lodgepole_Pine
63192,3043,145,23,966,156,3105,245,229,100,1631,Lodgepole_Pine
47700,2916,107,18,192,43,5367,247,216,90,4113,Lodgepole_Pine
59795,3166,165,15,120,-1,2307,232,244,139,1513,Spruce_Fir
78213,3210,96,9,511,70,666,235,227,123,2611,Spruce_Fir
47209,2450,43,15,283,67,738,221,205,114,732,Ponderosa_Pine
10772,2867,42,12,450,25,2670,222,213,124,904,Spruce_Fir
69024,3328,291,10,582,6,3618,192,239,186,1477,Spruce_Fir
108164,2941,70,16,95,21,3715,236,206,97,2138,Lodgepole_Pine
97439,2861,12,26,513,48,3373,185,179,122,2509,Spruce_Fir
100860,3241,82,14,30,-1,3443,238,215,105,3710,Krummholz
32855,2113,141,20,30,2,457,245,231,106,424,Ponderosa_Pine
62595,2828,317,18,30,12,2531,171,222,190,1358,Lodgepole_Pine
5515,2962,52,8,626,-2,3471,225,222,131,5779,Spruce_Fir
43948,3179,0,7,120,6,3214,210,227,155,3432,Spruce_Fir
78754,3032,21,12,108,6,1710,212,214,138,1516,Lodgepole_Pine
59411,2601,347,17,240,51,1518,185,210,162,1624,Lodgepole_Pine
88720,3083,254,8,466,13,2623,203,245,181,2012,Spruce_Fir
5607,2493,50,8,60,2,870,224,222,132,5378,Aspen
20383,2965,45,14,437,6,3329,223,208,116,5960,Spruce_Fir
30505,3095,234,13,201,35,408,197,251,190,819,Lodgepole_Pine
38935,2142,133,12,0,0,1256,239,234,124,1236,Cottonwood_Willow
47075,2879,42,20,342,29,1733,219,193,101,830,Lodgepole_Pine
65478,3253,283,13,541,118,402,183,240,197,2308,Lodgepole_Pine
31129,2979,314,20,510,125,5015,161,219,196,408,Lodgepole_Pine
36080,3187,253,13,361,72,5818,191,248,195,3182,Lodgepole_Pine
84005,3175,44,18,607,94,1530,221,197,104,3489,Spruce_Fir
86276,2955,81,5,451,128,4908,226,231,140,5098,Spruce_Fir
75906,2991,33,11,420,72,4872,218,215,132,6052,Lodgepole_Pine
29582,3086,357,9,335,3,1890,205,223,155,1074,Spruce_Fir
94379,2931,83,11,170,14,1006,235,221,116,2168,Lodgepole_Pine
21243,2984,63,4,85,1,2884,224,231,143,1822,Lodgepole_Pine
44080,2340,356,29,228,96,1323,160,174,142,700,Ponderosa_Pine
74620,2876,5,13,365,81,3177,202,213,147,1124,Lodgepole_Pine
53885,2963,57,23,351,120,1775,229,186,79,2796,Lodgepole_Pine
50886,2885,337,26,362,151,3314,154,194,174,1477,Lodgepole_Pine
10369,3279,255,7,90,13,3488,203,245,180,1708,Spruce_Fir
64470,2388,315,28,90,53,400,133,203,204,607,Douglas_fir
87666,3117,232,31,120,26,3316,155,249,217,750,Lodgepole_Pine
101914,2950,181,19,351,34,4616,223,248,150,451,Lodgepole_Pine
97157,2668,286,12,134,39,779,186,240,194,1442,Lodgepole_Pine
58429,3040,49,4,541,95,4355,222,230,144,1634,Spruce_Fir
90870,2825,91,10,480,23,892,235,225,120,2413,Lodgepole_Pine
75201,3087,167,17,309,79,760,232,244,137,1348,Lodgepole_Pine
45372,2924,250,15,454,60,1802,187,249,199,1061,Lodgepole_Pine
78397,3008,342,12,153,7,3398,196,222,165,5419,Lodgepole_Pine
21678,3169,221,9,366,40,335,210,249,175,2826,Spruce_Fir
14879,3010,23,14,376,123,2060,211,209,131,2863,Lodgepole_Pine
74411,3392,310,11,192,19,2281,190,233,183,2522,Spruce_Fir
77813,2962,8,20,295,53,361,193,196,135,566,Lodgepole_Pine
14490,2798,354,9,255,85,3101,206,225,158,6296,Spruce_Fir
26001,2966,41,10,781,168,2802,221,218,131,607,Ponderosa_Pine
47328,3418,57,16,371,69,3187,229,206,105,1422,Krummholz
102059,3065,139,18,90,-8,722,244,231,109,1879,Spruce_Fir
33077,3028,38,17,30,0,834,218,202,114,2016,Spruce_Fir
75203,2964,58,12,404,29,2007,228,215,118,895,Ponderosa_Pine
60595,2918,155,19,85,18,4863,239,238,120,277,Lodgepole_Pine
43160,3015,83,8,268,16,5079,231,227,128,3084,Lodgepole_Pine
77906,3217,180,10,424,126,283,224,247,155,3160,Lodgepole_Pine
83450,2940,80,23,180,43,2212,243,193,68,379,Lodgepole_Pine
50008,2691,35,16,552,-22,636,216,202,117,1442,Spruce_Fir
12626,2834,207,19,120,62,1758,204,254,179,1333,Lodgepole_Pine
90229,2383,116,35,228,117,1318,254,184,26,638,Aspen
39767,3073,213,18,256,-2,741,201,254,184,1510,Lodgepole_Pine
65628,3120,14,14,1130,251,2796,206,210,140,1559,Lodgepole_Pine
80510,3150,44,16,228,13,1500,222,204,112,67,Spruce_Fir
61776,2714,48,6,153,45,2640,223,226,139,779,Lodgepole_Pine
8499,2324,66,9,180,37,1130,229,223,127,1024,Ponderosa_Pine
85383,2871,355,25,365,161,3037,170,187,148,1682,Lodgepole_Pine
76143,3391,308,11,408,46,1652,190,233,184,691,Krummholz
8966,2780,333,14,30,7,3118,187,221,173,5688,Lodgepole_Pine
47561,2955,294,5,60,4,1121,207,239,171,218,Lodgepole_Pine
109526,2703,127,22,175,48,1718,250,220,86,1358,Lodgepole_Pine
62529,2745,5,20,127,54,1316,190,196,139,2621,Lodgepole_Pine
42261,3025,16,16,418,166,1261,204,204,133,3500,Spruce_Fir
50489,2337,235,4,0,0,1477,213,243,167,390,Cottonwood_Willow
82148,3018,223,12,457,221,2791,204,251,183,1693,Spruce_Fir
30437,3007,24,15,451,164,1924,211,208,130,2922,Lodgepole_Pine
15871,3039,41,13,660,94,1574,221,211,123,3001,Lodgepole_Pine
36910,2831,19,12,300,39,4231,211,214,138,5421,Spruce_Fir
2828,3161,326,5,108,-16,949,206,234,166,994,Spruce_Fir
56421,2314,330,25,319,121,1154,154,202,183,892,Douglas_fir
38645,3226,252,17,361,91,390,181,249,205,2590,Lodgepole_Pine
70176,2952,111,27,457,147,474,254,199,54,1471,Spruce_Fir
8140,2905,142,14,285,55,3387,240,236,121,3556,Lodgepole_Pine
58248,3047,181,21,360,72,1544,222,248,148,3483,Spruce_Fir
12142,2492,43,27,175,15,834,214,170,75,904,Ponderosa_Pine
101976,2975,117,9,503,10,4243,236,232,128,4651,Lodgepole_Pine
75136,3067,123,5,297,9,1179,228,236,142,1600,Lodgepole_Pine
26904,3110,329,11,240,52,4793,193,227,173,2971,Spruce_Fir
14502,3009,46,13,90,-2,2307,224,210,118,4193,Spruce_Fir
75349,2963,98,13,242,35,4770,241,222,109,4431,Lodgepole_Pine
54001,3103,31,13,716,187,4364,216,210,128,3881,Spruce_Fir
39422,3201,110,5,30,-3,3027,228,234,140,4978,Spruce_Fir
104825,3337,312,6,67,-4,4980,204,236,170,3485,Krummholz
98708,2809,324,7,30,5,2842,203,233,169,4440,Lodgepole_Pine
83388,3650,59,19,1082,395,2560,231,197,92,1231,Spruce_Fir
25851,3472,42,27,771,257,2438,212,171,78,1816,Spruce_Fir
102565,3421,300,22,1073,293,4143,154,226,209,2579,Krummholz
82533,2988,45,20,382,79,4549,221,193,98,4295,Spruce_Fir
250,2172,284,38,212,51,618,91,209,243,485,Ponderosa_Pine
19401,2978,19,10,277,39,6072,213,219,142,3918,Spruce_Fir
54928,2932,22,11,234,17,3883,213,217,139,5482,Lodgepole_Pine
54031,2864,20,12,67,10,2717,212,215,139,2380,Spruce_Fir
89865,3374,343,19,433,32,5191,178,207,166,3242,Krummholz
15523,3802,3,17,1074,393,4756,195,206,146,2856,Krummholz
43248,3090,214,7,0,0,6186,214,247,169,2385,Spruce_Fir
39605,3260,289,18,510,-70,604,168,235,207,3252,Lodgepole_Pine
73742,2837,106,9,85,13,2382,235,229,125,2326,Lodgepole_Pine
103610,2909,353,8,60,0,4319,206,226,158,4353,Lodgepole_Pine
106613,3206,75,12,297,89,450,234,217,113,1717,Spruce_Fir
32239,2859,49,18,443,61,2711,225,197,100,182,Spruce_Fir
39803,2349,345,29,216,108,1276,152,182,161,1073,Ponderosa_Pine
104428,2814,312,6,127,2,2399,204,236,170,2448,Lodgepole_Pine
6644,3187,67,19,469,111,3202,235,199,87,631,Spruce_Fir
108128,3020,45,0,30,0,4281,218,237,156,987,Lodgepole_Pine
91367,3277,83,17,42,6,2967,241,209,93,2438,Spruce_Fir
42871,3001,176,9,450,-19,1266,225,245,153,1433,Lodgepole_Pine
53141,3215,32,11,212,19,2249,218,217,134,1638,Spruce_Fir
50034,2558,111,38,120,71,732,253,171,0,1080,Lodgepole_Pine
81167,3237,205,17,402,102,743,207,253,176,4801,Lodgepole_Pine
33204,3033,342,9,85,5,4689,201,226,164,845,Cottonwood_Willow
64812,3365,75,20,242,80,1842,240,198,80,1776,Douglas_fir
18707,2949,50,24,170,43,4560,222,180,79,4713,Spruce_Fir
9069,3255,12,13,450,32,3396,206,212,142,2816,Spruce_Fir
18891,3100,113,12,175,33,3148,240,228,116,3109,Spruce_Fir
19727,2978,195,7,552,65,5635,219,246,162,3615,Lodgepole_Pine
98728,2754,335,4,376,64,1458,211,234,162,1937,Krummholz
3291,3075,222,13,390,57,2995,204,252,183,819,Spruce_Fir
53449,3202,150,33,497,45,962,241,217,76,1235,Lodgepole_Pine
