,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
102903,3155,39,12,495,114,2282,220,212,125,2064,Lodgepole_Pine
15548,3044,69,13,495,106,2074,233,214,110,1650,Lodgepole_Pine
7249,3193,48,13,532,107,3020,224,212,120,1786,Spruce_Fir
95349,3193,48,13,532,107,3020,224,212,120,1786,Spruce_Fir
38923,3185,40,15,532,144,2154,220,206,117,2192,Lodgepole_Pine
18760,3177,45,15,540,117,1513,223,205,112,2307,Spruce_Fir
13337,3177,45,15,540,117,1513,223,205,112,2307,Spruce_Fir
107631,3032,67,14,459,94,2003,233,212,109,1666,Lodgepole_Pine
26816,3194,58,15,513,103,2977,229,207,106,1775,Spruce_Fir
26361,3207,63,15,510,103,2912,232,207,104,1781,Spruce_Fir
41576,3198,35,13,582,111,3082,218,210,125,1825,Spruce_Fir
105781,3336,51,15,600,121,2234,226,207,111,2073,Spruce_Fir
13492,3334,61,12,631,119,2249,230,215,117,2110,Spruce_Fir
50127,3216,55,12,570,88,1312,227,215,119,1950,Lodgepole_Pine
57654,3174,28,16,582,133,2202,212,204,124,2197,Lodgepole_Pine
62278,3228,54,16,604,124,2951,228,204,105,1873,Spruce_Fir
8122,3198,31,14,480,138,1559,216,209,127,2263,Lodgepole_Pine
40244,3211,62,14,646,95,2078,231,211,110,2735,Spruce_Fir
22318,3187,36,16,660,127,1747,217,203,117,2077,Spruce_Fir
100279,3187,36,16,660,127,1747,217,203,117,2077,Spruce_Fir
5124,3180,39,16,660,120,1718,219,202,113,2106,Spruce_Fir
54720,3141,26,13,543,124,1655,213,211,131,2642,Spruce_Fir
13680,3141,26,13,543,124,1655,213,211,131,2642,Spruce_Fir
8597,3157,29,13,607,140,1722,215,210,129,2577,Spruce_Fir
19353,3039,96,12,474,101,2052,239,223,113,1664,Lodgepole_Pine
93529,3043,93,14,516,104,1396,241,218,104,2254,Lodgepole_Pine
67609,2958,34,14,518,89,2296,217,210,125,2062,Lodgepole_Pine
97156,3029,47,12,404,125,2687,224,213,121,1584,Spruce_Fir
7637,3029,47,12,404,125,2687,224,213,121,1584,Spruce_Fir
72500,3029,47,12,404,125,2687,224,213,121,1584,Spruce_Fir
97191,2961,52,13,437,109,2599,226,211,115,2433,Lodgepole_Pine
67966,3206,77,12,540,101,994,235,218,113,2010,Lodgepole_Pine
97183,3331,65,12,524,97,1621,232,215,113,2180,Spruce_Fir
15479,3331,65,12,524,97,1621,232,215,113,2180,Spruce_Fir
3446,3207,69,14,631,102,1036,234,211,106,1996,Lodgepole_Pine
91970,3219,31,13,571,143,1243,216,210,128,1892,Lodgepole_Pine
41167,3219,31,13,571,143,1243,216,210,128,1892,Lodgepole_Pine
22247,3353,69,11,541,119,1712,231,219,119,2089,Spruce_Fir
79294,3035,62,15,382,136,2039,231,209,106,1758,Lodgepole_Pine
58066,3354,84,13,571,120,1714,238,217,107,2072,Spruce_Fir
74286,3232,82,11,492,116,1159,235,220,115,1894,Spruce_Fir
103660,3384,56,14,524,105,1836,228,209,111,1860,Spruce_Fir
105778,3317,82,13,450,102,2081,237,217,108,2180,Spruce_Fir
