Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
75711,2466,313,25,285,174,376,146,213,203,711,Aspen
31317,2639,38,11,342,19,3166,220,216,130,2903,Spruce_Fir
90140,2978,40,24,190,15,865,215,181,90,2148,Spruce_Fir
26730,3174,243,20,618,72,3461,177,252,208,1216,Spruce_Fir
91176,2617,49,5,247,5,755,222,229,143,942,Lodgepole_Pine
99115,3188,56,12,30,5,3257,228,214,117,3207,Lodgepole_Pine
58453,3036,45,18,162,37,636,222,197,103,1822,Spruce_Fir
70999,3494,96,19,874,209,2477,247,209,83,1142,Spruce_Fir
9227,3106,338,9,60,11,2044,200,227,166,1082,Lodgepole_Pine
93935,2483,78,24,42,14,916,242,189,63,854,Ponderosa_Pine
72382,2911,284,9,283,113,1830,195,241,185,1036,Lodgepole_Pine
40838,2547,318,17,300,77,849,173,222,188,789,Lodgepole_Pine
88319,2778,198,8,210,18,2340,218,247,164,1653,Lodgepole_Pine
14835,3171,298,5,553,63,5608,207,238,170,1282,Lodgepole_Pine
50253,2743,61,12,108,4,1749,230,214,115,926,Lodgepole_Pine
14283,2984,317,21,351,130,5249,160,217,194,642,Lodgepole_Pine
79705,3358,341,35,212,80,1077,126,165,163,1529,Spruce_Fir
75545,2772,16,25,150,27,1087,190,181,118,1022,Spruce_Fir
76866,2794,115,5,277,24,2282,229,235,140,1863,Lodgepole_Pine
14991,3222,193,14,655,8,534,218,250,163,2474,Lodgepole_Pine
72377,2959,282,23,175,73,5197,150,234,221,1260,Lodgepole_Pine
17169,3320,294,9,618,30,3714,194,238,184,1433,Spruce_Fir
10617,2842,8,14,182,38,2590,202,211,144,1019,Spruce_Fir
35501,3074,34,3,67,1,3355,219,232,149,1253,Lodgepole_Pine
40553,3266,85,8,306,11,940,232,226,126,1822,Spruce_Fir
