"X","elevation","aspect","slope","horizontal_distance_to_hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","class","index"
15,3228,118,11,162,2,2589,240,230,118,1082,"Spruce_Fir",15
32,3156,315,24,484,151,649,149,212,200,1986,"Spruce_Fir",32
85,3250,62,9,60,-2,1848,228,221,125,2733,"Spruce_Fir",85
132,3246,89,13,127,12,1722,239,219,108,1994,"Spruce_Fir",132
168,3066,264,16,366,69,3307,179,246,205,1593,"Spruce_Fir",168
200,3004,82,7,127,42,940,230,228,130,309,"Ponderosa_Pine",200
215,3039,8,19,636,118,1374,194,198,138,351,"Lodgepole_Pine",215
222,2988,120,8,532,16,5442,234,234,132,6466,"Spruce_Fir",222
293,2805,89,20,170,25,2843,246,204,79,153,"Lodgepole_Pine",293
307,3121,327,11,30,2,2208,192,227,174,908,"Spruce_Fir",307
336,3285,8,19,576,148,1195,194,198,137,5280,"Spruce_Fir",336
355,2765,67,5,90,14,1321,226,229,138,2172,"Lodgepole_Pine",355
365,2948,62,16,42,15,1381,232,206,102,1449,"Lodgepole_Pine",365
367,2774,110,16,268,70,408,245,221,100,408,"Aspen",367
402,3354,13,13,424,57,1195,207,213,142,2724,"Spruce_Fir",402
406,2376,218,30,150,106,1277,173,251,199,525,"Douglas_fir",406
414,3017,342,13,300,7,2953,193,221,166,1320,"Spruce_Fir",414
417,3063,316,26,365,-40,1249,143,208,200,2938,"Spruce_Fir",417
462,2758,97,6,124,34,2381,229,232,137,6641,"Lodgepole_Pine",462
478,2826,127,10,330,91,1652,237,234,127,2581,"Lodgepole_Pine",478
487,3510,322,16,256,16,1648,179,223,183,2072,"Krummholz",487
514,3248,189,24,247,89,2456,213,249,157,1123,"Spruce_Fir",514
517,2812,97,14,30,7,2124,242,218,102,2563,"Lodgepole_Pine",517
541,2276,354,19,212,54,726,185,204,154,981,"Douglas_fir",541
559,3174,131,24,234,72,3913,250,219,83,2929,"Spruce_Fir",559
568,1942,72,24,180,75,210,239,186,64,1026,"Ponderosa_Pine",568
571,2887,238,18,0,0,2654,183,252,203,1410,"Lodgepole_Pine",571
576,3187,45,3,510,92,5126,220,233,150,2160,"Spruce_Fir",576
661,2613,95,13,95,3,95,241,220,106,1577,"Lodgepole_Pine",661
691,3154,170,17,210,12,3240,230,245,140,769,"Lodgepole_Pine",691
699,3044,43,10,0,0,1300,222,218,130,1620,"Spruce_Fir",699
708,2972,52,15,85,4,5247,227,206,108,2240,"Spruce_Fir",708
710,2660,72,14,120,1,1283,235,213,106,904,"Lodgepole_Pine",710
715,2299,19,24,95,36,1110,195,183,116,845,"Douglas_fir",715
737,3089,340,11,30,8,792,197,224,166,1800,"Lodgepole_Pine",737
775,3308,71,14,400,98,421,235,213,107,510,"Lodgepole_Pine",775
864,2838,169,16,277,15,720,230,245,141,474,"Aspen",864
880,3093,238,9,492,87,2654,204,248,182,1954,"Lodgepole_Pine",880
887,3222,357,18,576,67,1290,189,205,151,1668,"Spruce_Fir",887
905,3240,356,7,735,49,1958,209,228,157,511,"Spruce_Fir",905
927,2531,216,6,192,66,618,214,246,169,1065,"Ponderosa_Pine",927
936,2978,124,5,162,10,4074,229,236,140,5574,"Lodgepole_Pine",936
941,3030,83,4,268,10,1470,225,233,143,1231,"Lodgepole_Pine",941
978,3223,117,20,497,198,3543,250,218,87,2010,"Spruce_Fir",978
1006,2980,198,25,210,-18,2112,202,251,170,1952,"Lodgepole_Pine",1006
1013,2919,255,26,255,106,1556,150,245,227,551,"Lodgepole_Pine",1013
1028,3034,357,21,418,175,1082,183,198,149,3438,"Spruce_Fir",1028
1030,2058,6,34,376,-5,400,156,152,116,972,"Douglas_fir",1030
1047,3057,96,9,234,26,3848,234,228,125,2520,"Lodgepole_Pine",1047
1048,3036,78,8,240,5,607,231,226,128,1218,"Lodgepole_Pine",1048
1073,3071,319,14,335,-49,2014,182,226,183,2256,"Lodgepole_Pine",1073
1078,3053,313,12,67,0,3650,189,231,182,967,"Spruce_Fir",1078
1091,2629,75,16,124,18,2147,238,207,95,2616,"Douglas_fir",1091
1092,3128,336,8,391,33,1392,203,230,166,1142,"Spruce_Fir",1092
1096,3037,39,12,297,19,4374,220,213,126,2914,"Lodgepole_Pine",1096
1118,3054,55,10,85,0,3511,226,220,127,534,"Spruce_Fir",1118
