"X","elevation","aspect","slope","horizontal_distance_to_hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","class","index"
19,3220,14,15,153,41,4232,205,209,138,3097,"Spruce_Fir",19
57,2774,162,4,150,-5,2067,223,240,152,1087,"Lodgepole_Pine",57
58,2454,358,12,108,22,760,202,218,154,1406,"Ponderosa_Pine",58
63,3198,128,10,247,36,1243,238,234,125,2448,"Spruce_Fir",63
89,3295,27,4,0,0,4242,218,230,149,3833,"Krummholz",89
146,2928,356,28,234,59,2506,163,177,143,1245,"Lodgepole_Pine",146
158,2851,107,21,67,-13,134,251,209,76,1057,"Spruce_Fir",158
164,3040,279,26,395,129,5562,139,232,228,1053,"Lodgepole_Pine",164
170,3348,190,15,485,142,2040,219,250,161,1259,"Spruce_Fir",170
177,2614,119,22,361,79,1548,251,215,81,2134,"Ponderosa_Pine",177
186,3035,338,15,150,30,90,187,218,170,1307,"Lodgepole_Pine",186
216,2942,0,4,153,6,4334,213,232,156,5131,"Lodgepole_Pine",216
229,2702,18,18,234,34,3409,204,201,129,3054,"Spruce_Fir",229
234,2982,98,8,459,14,4310,234,228,126,4705,"Lodgepole_Pine",234
256,3169,191,17,457,73,2203,217,251,162,1008,"Lodgepole_Pine",256
261,3134,72,1,67,0,3986,219,237,154,1529,"Lodgepole_Pine",261
263,3188,286,7,649,177,1680,201,240,179,702,"Spruce_Fir",263
283,3197,347,17,499,130,4128,185,210,161,726,"Spruce_Fir",283
292,2819,102,12,124,21,2993,240,224,111,175,"Lodgepole_Pine",292
308,2952,8,5,335,69,752,214,230,153,1874,"Spruce_Fir",308
320,2980,276,6,618,-54,1509,203,241,178,1722,"Ponderosa_Pine",320
332,2551,59,7,277,27,816,226,226,134,503,"Lodgepole_Pine",332
347,2820,56,7,335,58,1852,225,225,134,2799,"Lodgepole_Pine",347
365,2948,62,16,42,15,1381,232,206,102,1449,"Lodgepole_Pine",365
369,2965,286,21,180,36,5812,157,234,215,1517,"Spruce_Fir",369
371,3051,155,4,534,31,4581,224,240,150,1337,"Lodgepole_Pine",371
378,3117,236,12,450,60,3130,198,251,189,1767,"Lodgepole_Pine",378
395,3304,326,20,30,7,2407,167,214,184,457,"Krummholz",395
401,3333,284,7,90,4,1289,200,240,179,1907,"Douglas_fir",401
406,2376,218,30,150,106,1277,173,251,199,525,"Douglas_fir",406
407,2862,66,26,268,100,4107,235,178,59,930,"Lodgepole_Pine",407
414,3017,342,13,300,7,2953,193,221,166,1320,"Spruce_Fir",414
415,3059,294,6,469,104,725,202,239,176,819,"Lodgepole_Pine",415
418,3194,274,28,67,19,1189,133,233,233,2539,"Spruce_Fir",418
445,3380,27,23,408,165,2054,204,183,106,2018,"Spruce_Fir",445
