Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
107140,2967,321,15,541,11,1518,182,224,182,1342,Lodgepole_Pine
109295,2932,22,9,60,3,3987,214,220,141,5034,Lodgepole_Pine
34805,3153,27,9,247,21,1650,217,221,140,993,Spruce_Fir
24497,3149,332,4,124,-5,3636,211,235,162,1302,Spruce_Fir
81272,2205,27,30,300,168,516,191,159,87,379,Ponderosa_Pine
84783,3341,196,19,342,40,3048,212,252,167,1442,Spruce_Fir
49326,2968,238,24,446,259,2479,169,252,213,1025,Lodgepole_Pine
6041,3214,320,11,306,-32,2992,191,229,178,182,Lodgepole_Pine
30494,3359,179,12,703,147,1165,225,247,153,2203,Spruce_Fir
66253,3184,6,15,484,57,2160,200,209,144,3412,Spruce_Fir
38505,2720,26,22,60,31,1183,203,186,110,1978,Spruce_Fir
86240,3052,90,8,268,39,1203,232,228,129,2809,Lodgepole_Pine
8750,3180,326,5,153,31,2828,206,234,166,1020,Lodgepole_Pine
101104,2960,225,6,42,5,1320,212,245,170,306,Lodgepole_Pine
20548,2658,268,32,258,134,1091,122,232,239,1440,Lodgepole_Pine
78324,2942,63,3,30,0,5253,222,233,146,2799,Spruce_Fir
45461,2929,33,12,516,134,4565,218,214,131,5221,Spruce_Fir
82268,2362,57,14,60,3,480,229,210,111,553,Ponderosa_Pine
3093,3570,109,25,888,351,2656,253,202,61,969,Spruce_Fir
96572,2976,157,15,306,95,5370,235,241,132,886,Lodgepole_Pine
18988,3070,9,17,408,20,3812,199,204,139,2496,Lodgepole_Pine
3690,2734,128,25,42,18,3211,251,216,77,1725,Lodgepole_Pine
11748,3132,341,9,644,59,1806,202,228,164,2684,Spruce_Fir
82650,3255,258,7,313,9,4429,204,244,179,696,Spruce_Fir
55793,3236,315,17,323,97,2474,173,224,190,212,Spruce_Fir
48290,3078,232,13,485,73,6005,198,251,189,1667,Lodgepole_Pine
3638,3207,69,43,134,49,4785,223,121,0,1471,Spruce_Fir
29916,2818,236,17,417,124,899,189,252,199,1856,Aspen
24005,3011,346,20,589,90,1771,177,204,162,752,Lodgepole_Pine
25631,3249,153,24,552,150,446,241,233,107,4338,Lodgepole_Pine
