"X","elevation","aspect","slope","horizontal_distance_to_hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","class","index"
2,2965,337,16,42,7,4288,184,217,171,324,"Spruce_Fir",2
7,3001,28,15,446,3,4365,213,207,127,3017,"Lodgepole_Pine",7
27,3345,333,14,0,0,1492,188,222,172,1712,"Krummholz",27
34,2799,307,27,323,151,1182,138,213,211,1436,"Lodgepole_Pine",34
46,2890,14,4,127,5,4839,216,231,153,1441,"Lodgepole_Pine",46
66,3259,217,18,323,110,2997,198,254,187,886,"Spruce_Fir",66
73,2540,141,9,402,86,424,234,238,134,616,"Ponderosa_Pine",73
81,2650,27,11,60,2,335,215,217,137,1355,"Lodgepole_Pine",81
87,2975,349,13,351,113,738,195,218,161,1731,"Lodgepole_Pine",87
103,3202,302,9,552,-18,5315,195,236,181,2024,"Spruce_Fir",103
123,2264,17,25,212,61,685,191,178,114,942,"Douglas_fir",123
137,2982,8,14,212,40,4414,203,212,145,1878,"Lodgepole_Pine",137
138,3190,108,2,256,2,5647,223,236,149,3007,"Lodgepole_Pine",138
146,2928,356,28,234,59,2506,163,177,143,1245,"Lodgepole_Pine",146
159,2329,292,8,457,256,1374,197,239,182,966,"Ponderosa_Pine",159
166,2860,152,11,108,10,4830,234,240,136,4522,"Lodgepole_Pine",166
229,2702,18,18,234,34,3409,204,201,129,3054,"Spruce_Fir",229
246,2288,31,7,0,0,488,218,225,143,830,"Cottonwood_Willow",246
256,3169,191,17,457,73,2203,217,251,162,1008,"Lodgepole_Pine",256
258,2595,18,7,60,-10,2242,215,226,148,661,"Douglas_fir",258
260,3531,345,15,400,37,1627,190,216,164,2103,"Krummholz",260
278,2952,43,22,170,49,4568,217,185,92,4672,"Spruce_Fir",278
312,3061,344,10,127,-7,1878,201,225,163,1316,"Spruce_Fir",312
359,2804,45,5,342,97,1357,221,229,143,726,"Lodgepole_Pine",359
369,2965,286,21,180,36,5812,157,234,215,1517,"Spruce_Fir",369
370,3032,346,16,108,31,162,187,213,163,787,"Spruce_Fir",370
371,3051,155,4,534,31,4581,224,240,150,1337,"Lodgepole_Pine",371
402,3354,13,13,424,57,1195,207,213,142,2724,"Spruce_Fir",402
409,3279,189,13,902,65,618,220,250,161,2836,"Lodgepole_Pine",409
415,3059,294,6,469,104,725,202,239,176,819,"Lodgepole_Pine",415
429,3176,40,18,150,27,5153,219,198,109,1224,"Spruce_Fir",429
437,3066,335,9,190,43,2828,200,228,167,691,"Spruce_Fir",437
443,2516,52,18,30,6,1262,226,197,98,1509,"Douglas_fir",443
484,2845,343,5,335,47,2123,210,232,161,1921,"Lodgepole_Pine",484
517,2812,97,14,30,7,2124,242,218,102,2563,"Lodgepole_Pine",517
531,3387,256,10,983,130,1095,197,246,187,2084,"Spruce_Fir",531
544,3011,243,27,285,98,5249,157,249,221,1422,"Lodgepole_Pine",544
562,3241,337,10,120,13,4089,197,225,167,1218,"Spruce_Fir",562
566,2943,140,14,42,10,1554,240,235,122,384,"Lodgepole_Pine",566
577,3034,23,14,402,62,2919,211,209,132,618,"Krummholz",577
593,3131,63,4,218,14,1315,224,231,143,2117,"Spruce_Fir",593
603,2596,41,15,255,17,1507,221,207,118,4322,"Lodgepole_Pine",603
613,2417,37,10,90,30,914,220,218,132,1332,"Ponderosa_Pine",613
621,3069,53,23,382,59,658,226,185,82,1677,"Spruce_Fir",621
623,2866,359,16,150,43,2455,194,209,150,2205,"Lodgepole_Pine",623
629,3455,73,19,618,170,2221,238,201,86,1397,"Spruce_Fir",629
634,2835,326,19,124,38,2221,168,215,184,1425,"Spruce_Fir",634
649,3212,120,34,150,73,3005,254,190,34,3312,"Spruce_Fir",649
693,3209,184,33,351,86,2649,207,241,141,3170,"Lodgepole_Pine",693
699,3044,43,10,0,0,1300,222,218,130,1620,"Spruce_Fir",699
722,3292,327,5,240,27,5641,208,234,165,484,"Lodgepole_Pine",722
744,2924,191,5,484,11,3555,220,244,160,4002,"Lodgepole_Pine",744
751,3163,69,8,543,26,1848,229,224,128,541,"Douglas_fir",751
758,2808,251,25,457,234,1383,158,248,222,1080,"Lodgepole_Pine",758
761,2919,87,5,60,0,3803,227,232,140,6333,"Lodgepole_Pine",761
762,2999,251,20,457,103,5353,172,249,213,1022,"Lodgepole_Pine",762
765,2684,359,17,85,16,1827,192,205,149,2336,"Lodgepole_Pine",765
775,3308,71,14,400,98,421,235,213,107,510,"Lodgepole_Pine",775
814,3204,11,20,324,57,4137,195,196,134,960,"Spruce_Fir",814
893,2373,11,4,503,220,1390,216,232,153,659,"Ponderosa_Pine",893
919,2980,300,15,108,20,2337,177,233,196,511,"Spruce_Fir",919
930,2946,41,16,218,42,4592,221,204,115,3814,"Lodgepole_Pine",930
947,3057,106,15,30,7,3679,244,221,101,2800,"Spruce_Fir",947
961,3158,166,14,721,-49,703,231,244,140,1961,"Lodgepole_Pine",961
962,2081,327,33,60,37,85,124,183,189,942,"Ponderosa_Pine",962
966,3166,200,11,350,67,2130,216,250,167,793,"Spruce_Fir",966
983,2694,113,32,175,110,1581,254,188,35,1082,"Lodgepole_Pine",983
1003,3305,325,23,190,31,2305,157,208,188,2197,"Lodgepole_Pine",1003
1022,2934,79,10,153,-13,1690,233,223,121,1557,"Lodgepole_Pine",1022
1025,2781,69,21,85,10,3185,237,192,77,1517,"Lodgepole_Pine",1025
1042,2646,103,17,150,-67,175,246,216,93,636,"Lodgepole_Pine",1042
1046,3196,63,18,633,114,1719,233,202,94,3141,"Spruce_Fir",1046
1051,2877,110,12,446,66,1693,240,227,115,2881,"Lodgepole_Pine",1051
1056,3354,179,12,150,9,4357,225,247,153,3311,"Krummholz",1056
1072,2635,252,11,95,18,607,195,248,191,1319,"Lodgepole_Pine",1072
1079,2997,137,10,85,6,182,235,237,132,1650,"Spruce_Fir",1079
1093,3041,45,20,210,45,1863,221,193,98,3546,"Spruce_Fir",1093
1096,3037,39,12,297,19,4374,220,213,126,2914,"Lodgepole_Pine",1096
1116,2942,237,10,300,36,5783,203,249,183,2659,"Krummholz",1116
1117,3277,82,7,350,-13,1504,230,228,132,3204,"Lodgepole_Pine",1117
1121,3093,29,9,255,2,2780,217,221,139,2947,"Lodgepole_Pine",1121
1124,2816,143,14,108,19,2281,239,236,123,1209,"Aspen",1124
1129,3321,2,23,210,49,5370,181,188,139,603,"Spruce_Fir",1129
1167,2907,50,11,510,147,1528,225,216,124,1741,"Lodgepole_Pine",1167
1185,3079,39,6,192,15,1361,221,226,141,1674,"Lodgepole_Pine",1185
1194,3033,353,8,60,9,934,207,227,158,1383,"Lodgepole_Pine",1194
1218,2844,319,5,67,7,2800,208,235,167,2483,"Spruce_Fir",1218
1227,3025,83,8,0,0,2466,232,226,127,4055,"Spruce_Fir",1227
1229,3313,180,13,175,34,3571,224,248,153,1532,"Spruce_Fir",1229
1235,2968,109,11,376,-52,685,240,227,116,1885,"Lodgepole_Pine",1235
1239,3225,24,8,30,3,3086,216,224,144,1939,"Spruce_Fir",1239
1269,2919,90,7,295,4,3918,231,229,132,5743,"Lodgepole_Pine",1269
1289,3097,45,6,390,96,1995,222,227,141,2785,"Spruce_Fir",1289
1290,2843,88,12,95,19,2424,238,220,112,2285,"Lodgepole_Pine",1290
1293,3391,199,17,532,112,3663,211,253,170,1657,"Spruce_Fir",1293
1295,3188,35,13,426,110,2971,218,211,126,1006,"Spruce_Fir",1295
1323,2732,305,12,60,12,1543,187,233,186,2416,"Lodgepole_Pine",1323
1362,2626,40,14,258,44,1559,220,208,120,4310,"Spruce_Fir",1362
1376,2720,124,14,150,-11,2109,243,229,113,845,"Lodgepole_Pine",1376
1379,2920,352,20,636,226,2750,180,201,156,1867,"Lodgepole_Pine",1379
1406,2278,117,15,30,4,1584,244,225,106,664,"Ponderosa_Pine",1406
1415,2922,25,13,180,18,4510,213,212,133,3900,"Lodgepole_Pine",1415
1422,2729,1,11,95,12,1200,205,220,152,2340,"Lodgepole_Pine",1422
1453,3156,169,5,350,44,1579,224,242,153,2410,"Aspen",1453
1482,3003,18,6,0,0,2912,216,227,149,1577,"Lodgepole_Pine",1482
1483,3028,98,19,42,8,4642,247,209,82,2040,"Lodgepole_Pine",1483
1489,2081,118,18,30,6,1301,248,221,95,633,"Cottonwood_Willow",1489
1490,3286,112,17,153,-44,642,247,220,96,3598,"Aspen",1490
1502,3057,335,13,391,-63,1905,191,223,171,2060,"Lodgepole_Pine",1502
1537,2127,251,31,218,81,255,138,243,233,872,"Ponderosa_Pine",1537
1563,2988,12,9,85,3,2760,211,221,147,1645,"Lodgepole_Pine",1563
1578,3303,9,16,495,28,2431,201,207,141,960,"Spruce_Fir",1578
1600,2669,5,28,210,71,1689,173,174,128,2692,"Douglas_fir",1600
1601,2845,152,31,60,6,966,240,223,87,404,"Lodgepole_Pine",1601
1620,3133,202,24,212,49,2672,201,253,175,1082,"Lodgepole_Pine",1620
1623,3296,8,13,376,84,2823,204,213,145,2356,"Spruce_Fir",1623
1656,2931,82,10,153,34,3864,234,222,119,5131,"Lodgepole_Pine",1656
1660,2060,46,42,127,107,192,195,116,18,319,"Ponderosa_Pine",1660
1668,2560,81,14,454,57,1110,238,214,104,1482,"Lodgepole_Pine",1668
1680,3096,30,21,319,13,3254,208,189,109,3104,"Spruce_Fir",1680
1686,2975,337,7,301,0,2877,204,230,165,2045,"Lodgepole_Pine",1686
1691,3348,183,17,120,31,2206,222,249,154,3600,"Lodgepole_Pine",1691
1711,2648,345,13,90,36,2391,193,218,164,1295,"Lodgepole_Pine",1711
1717,2991,90,9,60,6,2165,235,225,121,1259,"Lodgepole_Pine",1717
1732,3093,338,5,379,8,510,209,233,162,774,"Spruce_Fir",1732
1741,3185,12,13,342,0,1622,207,214,143,819,"Spruce_Fir",1741
1754,3079,332,5,216,45,4510,209,234,163,2377,"Spruce_Fir",1754
1759,2491,51,18,216,48,769,226,198,100,875,"Spruce_Fir",1759
1762,2950,209,7,120,19,1436,215,247,168,469,"Lodgepole_Pine",1762
1771,3335,30,26,242,114,1831,202,173,94,2521,"Spruce_Fir",1771
1788,3146,205,25,150,33,5414,195,253,180,1176,"Spruce_Fir",1788
1790,3192,80,7,277,18,5087,230,228,131,2343,"Spruce_Fir",1790
1793,3224,326,2,120,7,3247,215,237,160,1775,"Spruce_Fir",1793
1797,3081,6,15,420,222,774,201,211,146,3053,"Lodgepole_Pine",1797
1804,2914,190,15,150,48,3311,219,250,161,2038,"Lodgepole_Pine",1804
1809,2872,23,19,180,33,1595,205,195,121,2676,"Spruce_Fir",1809
1813,3049,84,7,210,-15,764,231,227,129,1400,"Spruce_Fir",1813
1823,3114,276,22,201,11,4652,156,238,220,3164,"Spruce_Fir",1823
1826,3233,173,8,283,3,4536,225,244,152,830,"Lodgepole_Pine",1826
1836,3044,253,12,484,53,5921,193,248,193,4555,"Lodgepole_Pine",1836
1840,3222,144,2,108,1,5753,222,238,152,1682,"Spruce_Fir",1840
1842,2998,161,12,721,79,5734,232,243,140,3883,"Lodgepole_Pine",1842
1847,3359,202,11,859,157,2825,215,250,168,1338,"Spruce_Fir",1847
1852,3058,347,10,541,18,5049,201,224,162,470,"Lodgepole_Pine",1852
1856,2797,165,3,30,0,2012,222,240,154,2282,"Aspen",1856
1859,2932,58,39,234,124,1231,216,130,0,931,"Lodgepole_Pine",1859
1877,2314,78,17,182,40,180,240,207,93,912,"Ponderosa_Pine",1877
1878,3193,13,4,242,14,5563,215,231,152,2918,"Cottonwood_Willow",1878
1882,3006,28,15,153,17,3679,213,207,127,5028,"Lodgepole_Pine",1882
1892,3047,70,18,42,11,631,236,202,90,484,"Lodgepole_Pine",1892
1905,3203,297,21,283,6,4098,158,228,209,430,"Spruce_Fir",1905
1909,3236,270,4,124,16,3263,208,241,171,1507,"Spruce_Fir",1909
1915,2696,147,18,210,57,1931,241,235,116,1396,"Lodgepole_Pine",1915
1929,3102,339,6,677,17,1022,207,232,163,1115,"Lodgepole_Pine",1929
1930,2713,270,2,170,12,779,213,240,165,1782,"Spruce_Fir",1930
1934,2620,27,24,85,20,2223,202,181,105,1168,"Lodgepole_Pine",1934
1944,2918,114,18,60,17,4410,248,219,93,2694,"Spruce_Fir",1944
1949,3170,169,12,319,39,404,229,245,146,4924,"Lodgepole_Pine",1949
1964,3445,92,34,745,160,2062,249,168,19,1698,"Spruce_Fir",1964
1979,2814,105,11,285,23,2793,240,226,115,2512,"Lodgepole_Pine",1979
1989,3353,293,27,228,87,2012,135,222,222,2484,"Spruce_Fir",1989
1993,3345,52,18,283,66,1812,227,199,100,1846,"Spruce_Fir",1993
2011,3030,86,13,228,5,3158,238,218,108,5608,"Spruce_Fir",2011
2015,2960,270,7,201,26,3912,202,243,180,700,"Spruce_Fir",2015
2020,2608,89,11,450,69,1410,237,222,115,1758,"Lodgepole_Pine",2020
2032,2713,159,8,150,13,977,229,242,145,390,"Ponderosa_Pine",2032
2061,3165,75,12,228,32,3012,234,217,113,2929,"Lodgepole_Pine",2061
2072,2838,64,7,150,9,2947,227,226,133,4389,"Lodgepole_Pine",2072
