"X","elevation","aspect","slope","horizontal_distance_to_hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","class","index"
4,2366,165,3,390,156,1165,222,240,154,582,"Douglas_fir",4
11,2812,90,11,192,14,774,237,223,116,514,"Lodgepole_Pine",11
12,2958,272,6,60,7,3136,204,242,176,1324,"Spruce_Fir",12
19,3220,14,15,153,41,4232,205,209,138,3097,"Spruce_Fir",19
27,3345,333,14,0,0,1492,188,222,172,1712,"Krummholz",27
30,3132,133,18,108,27,1001,245,229,105,2118,"Spruce_Fir",30
49,2913,46,14,30,4,1980,224,210,117,2106,"Spruce_Fir",49
51,3227,193,15,677,13,531,217,251,163,2513,"Lodgepole_Pine",51
61,2627,122,15,90,16,1790,244,227,108,4722,"Lodgepole_Pine",61
70,2869,82,34,182,-30,330,243,161,19,2197,"Aspen",70
71,2771,20,16,108,12,1191,208,205,131,2340,"Ponderosa_Pine",71
73,2540,141,9,402,86,424,234,238,134,616,"Ponderosa_Pine",73
74,2758,38,23,285,87,295,213,184,96,1999,"Aspen",74
79,3010,69,10,570,89,1559,231,221,122,514,"Spruce_Fir",79
82,2934,51,15,240,-10,485,226,207,111,1697,"Douglas_fir",82
92,2846,112,10,212,25,2558,238,229,121,2831,"Lodgepole_Pine",92
97,3122,7,18,467,25,2866,195,202,141,2820,"Lodgepole_Pine",97
98,2999,31,13,306,47,1221,216,212,129,2356,"Spruce_Fir",98
112,3209,231,3,361,35,646,215,242,165,785,"Spruce_Fir",112
114,2928,22,3,67,0,797,218,233,153,2151,"Lodgepole_Pine",114
116,3010,293,10,451,-24,1708,193,238,185,1947,"Lodgepole_Pine",116
118,3249,8,11,721,66,4052,207,218,147,3573,"Spruce_Fir",118
121,2705,58,27,210,100,1148,228,174,63,1222,"Lodgepole_Pine",121
125,3015,110,31,30,-22,977,254,190,39,1588,"Spruce_Fir",125
131,3278,352,11,268,33,4654,200,221,159,842,"Spruce_Fir",131
137,2982,8,14,212,40,4414,203,212,145,1878,"Lodgepole_Pine",137
147,2599,160,13,395,94,789,233,242,138,1458,"Aspen",147
151,2671,155,15,134,36,3207,237,240,129,1945,"Lodgepole_Pine",151
152,2748,236,29,272,-28,1421,158,250,218,990,"Cottonwood_Willow",152
161,2874,7,17,547,184,2605,198,205,142,2016,"Lodgepole_Pine",161
163,3236,288,12,633,126,1110,187,239,192,2821,"Spruce_Fir",163
176,3020,75,24,582,209,720,240,188,65,882,"Lodgepole_Pine",176
178,2882,68,10,331,160,1785,231,220,121,765,"Aspen",178
181,3023,255,11,277,69,524,194,247,192,664,"Lodgepole_Pine",181
191,2909,28,23,175,65,972,204,183,105,1740,"Spruce_Fir",191
197,3237,108,3,330,16,4417,225,236,146,2207,"Spruce_Fir",197
207,2921,4,16,484,102,1500,197,207,145,2803,"Lodgepole_Pine",207
208,3227,193,15,677,13,531,217,251,163,2513,"Lodgepole_Pine",208
212,2279,356,20,124,42,192,184,201,151,700,"Lodgepole_Pine",212
219,2939,139,10,283,65,4039,235,237,132,1567,"Lodgepole_Pine",219
223,3025,190,10,67,7,1398,220,248,161,648,"Lodgepole_Pine",223
227,3209,43,20,0,0,2954,220,192,99,2452,"Spruce_Fir",227
237,3083,55,12,360,8,1890,227,215,119,1148,"Spruce_Fir",237
240,2938,343,6,108,3,1917,208,231,161,782,"Lodgepole_Pine",240
242,2481,328,16,323,189,366,179,219,179,725,"Ponderosa_Pine",242
246,2288,31,7,0,0,488,218,225,143,830,"Cottonwood_Willow",246
247,2971,127,19,339,125,2301,248,224,96,1528,"Lodgepole_Pine",247
251,2911,72,18,30,11,5707,237,202,89,1167,"Lodgepole_Pine",251
253,2785,59,6,0,0,2044,224,228,139,1958,"Spruce_Fir",253
265,2983,330,22,404,44,3274,162,207,182,1953,"Spruce_Fir",265
269,3133,38,17,277,27,1036,218,202,114,1906,"Spruce_Fir",269
270,2863,122,12,342,55,759,240,230,118,2765,"Lodgepole_Pine",270
271,3065,353,8,60,3,3740,207,227,158,376,"Spruce_Fir",271
275,3408,317,32,210,83,3784,121,194,204,3703,"Krummholz",275
276,2917,315,13,120,36,1892,186,229,183,1130,"Douglas_fir",276
284,3143,262,21,216,46,256,164,245,217,2376,"Spruce_Fir",284
288,2866,90,13,150,23,1920,240,219,107,2479,"Lodgepole_Pine",288
289,3094,121,18,108,17,895,247,223,97,454,"Spruce_Fir",289
293,2805,89,20,170,25,2843,246,204,79,153,"Lodgepole_Pine",293
299,3101,101,9,481,42,480,235,228,124,1222,"Lodgepole_Pine",299
301,2387,304,28,342,149,805,132,213,215,283,"Ponderosa_Pine",301
305,3027,120,8,295,0,6474,234,234,132,3546,"Lodgepole_Pine",305
309,3518,49,23,931,319,2594,222,183,83,1120,"Spruce_Fir",309
314,3098,72,1,30,1,693,219,237,154,1816,"Spruce_Fir",314
326,3020,309,6,382,53,2438,203,236,173,424,"Lodgepole_Pine",326
332,2551,59,7,277,27,816,226,226,134,503,"Lodgepole_Pine",332
341,2839,288,28,541,85,1922,130,223,228,1981,"Aspen",341
349,3190,139,16,258,49,2400,242,233,115,1471,"Spruce_Fir",349
365,2948,62,16,42,15,1381,232,206,102,1449,"Lodgepole_Pine",365
372,3049,105,14,228,33,4213,243,222,105,2571,"Lodgepole_Pine",372
384,3132,61,12,418,67,4975,230,214,115,268,"Lodgepole_Pine",384
393,3116,342,13,85,10,3639,193,221,166,3994,"Spruce_Fir",393
394,3065,11,18,90,4,1189,199,202,136,1418,"Lodgepole_Pine",394
403,2471,295,10,256,27,644,192,237,185,1289,"Douglas_fir",403
405,2959,213,19,150,23,5392,200,254,184,2871,"Spruce_Fir",405
407,2862,66,26,268,100,4107,235,178,59,930,"Lodgepole_Pine",407
408,2865,123,15,124,12,2335,244,228,110,618,"Lodgepole_Pine",408
429,3176,40,18,150,27,5153,219,198,109,1224,"Spruce_Fir",429
439,3275,336,10,134,34,1429,197,226,168,633,"Spruce_Fir",439
440,2790,34,19,162,44,1390,214,196,112,2609,"Lodgepole_Pine",440
446,3060,264,4,379,67,2609,209,242,171,1999,"Lodgepole_Pine",446
447,2969,318,17,297,49,4809,172,222,189,1928,"Lodgepole_Pine",447
453,3109,118,7,0,0,2876,232,234,134,3384,"Spruce_Fir",453
456,2991,74,8,150,12,3624,230,226,129,5292,"Lodgepole_Pine",456
463,2840,146,23,108,26,5299,244,230,103,4412,"Lodgepole_Pine",463
469,2975,196,9,531,62,5608,218,248,163,3638,"Lodgepole_Pine",469
478,2826,127,10,330,91,1652,237,234,127,2581,"Lodgepole_Pine",478
484,2845,343,5,335,47,2123,210,232,161,1921,"Lodgepole_Pine",484
485,2940,62,9,30,0,4743,228,221,125,4221,"Spruce_Fir",485
489,3177,187,8,90,1,706,221,246,159,1332,"Spruce_Fir",489
492,3105,309,9,361,71,1385,194,234,180,1276,"Spruce_Fir",492
497,3359,116,22,134,30,1387,251,213,78,1515,"Krummholz",497
501,2602,93,9,120,33,1362,234,227,125,1405,"Lodgepole_Pine",501
503,3141,23,2,234,6,2616,218,235,154,1399,"Spruce_Fir",503
504,2656,75,18,384,89,1120,239,204,90,3655,"Lodgepole_Pine",504
514,3248,189,24,247,89,2456,213,249,157,1123,"Spruce_Fir",514
520,2783,139,25,175,-39,661,248,223,88,335,"Aspen",520
531,3387,256,10,983,130,1095,197,246,187,2084,"Spruce_Fir",531
541,2276,354,19,212,54,726,185,204,154,981,"Douglas_fir",541
542,2846,128,13,60,8,2591,242,231,116,2571,"Spruce_Fir",542
543,2397,338,17,258,131,1395,180,213,171,765,"Ponderosa_Pine",543
573,3077,299,7,228,8,2133,200,237,177,2329,"Lodgepole_Pine",573
574,2874,90,4,30,-1,1707,226,233,143,2509,"Lodgepole_Pine",574
580,3069,236,5,150,15,2831,211,245,172,1698,"Lodgepole_Pine",580
596,2748,46,19,127,52,127,222,195,101,2671,"Lodgepole_Pine",596
598,2332,333,19,384,150,876,172,211,177,1146,"Douglas_fir",598
610,3170,250,11,684,259,5474,196,248,190,1114,"Lodgepole_Pine",610
615,3072,37,5,120,18,1074,220,229,146,1549,"Lodgepole_Pine",615
616,3100,42,14,511,25,1317,222,208,118,2831,"Lodgepole_Pine",616
619,2217,141,10,180,20,60,235,237,132,242,"Ponderosa_Pine",619
626,3119,204,10,649,78,534,214,250,169,1749,"Lodgepole_Pine",626
629,3455,73,19,618,170,2221,238,201,86,1397,"Spruce_Fir",629
640,2736,64,30,127,71,134,231,165,0,1337,"Aspen",640
644,3018,257,18,470,118,5377,176,248,209,1187,"Lodgepole_Pine",644
647,3323,123,12,67,12,4325,240,231,120,3810,"Spruce_Fir",647
655,2945,335,4,446,52,4272,211,234,162,5700,"Lodgepole_Pine",655
656,3035,297,2,234,27,2839,213,238,163,391,"Aspen",656
667,3142,333,8,417,-43,1073,201,229,168,914,"Spruce_Fir",667
668,2614,86,12,30,3,1348,238,219,110,5150,"Lodgepole_Pine",668
669,3221,215,25,391,86,420,187,254,192,2632,"Lodgepole_Pine",669
670,2501,84,5,270,20,934,227,231,139,4734,"Lodgepole_Pine",670
673,3081,101,11,60,-1,1549,239,225,115,658,"Lodgepole_Pine",673
678,2719,63,7,0,0,2187,226,226,134,376,"Lodgepole_Pine",678
688,3238,197,11,283,44,3190,217,249,165,1159,"Lodgepole_Pine",688
690,2711,170,12,67,4,1053,229,245,146,458,"Ponderosa_Pine",690
701,3019,57,7,150,5,2935,225,226,136,680,"Spruce_Fir",701
709,2905,232,34,190,116,2579,147,247,219,1805,"Spruce_Fir",709
713,2695,86,16,335,-32,1368,242,211,95,3948,"Lodgepole_Pine",713
717,3239,323,7,108,9,4568,201,233,171,750,"Spruce_Fir",717
720,2777,70,7,127,11,1167,228,226,132,2400,"Spruce_Fir",720
723,2359,275,14,150,69,778,182,243,200,592,"Ponderosa_Pine",723
729,3151,282,14,42,7,2482,180,240,199,1065,"Spruce_Fir",729
730,3048,0,3,124,2,3153,215,234,156,466,"Spruce_Fir",730
759,2746,56,7,30,-1,1284,225,225,134,2220,"Lodgepole_Pine",759
767,3140,0,13,60,11,4011,200,215,152,1947,"Spruce_Fir",767
774,2092,307,9,162,88,295,194,235,180,553,"Ponderosa_Pine",774
775,3308,71,14,400,98,421,235,213,107,510,"Lodgepole_Pine",775
776,2610,359,23,268,125,743,180,192,145,365,"Douglas_fir",776
779,2369,286,19,446,160,319,163,236,211,730,"Ponderosa_Pine",779
