Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
23689,2251,346,33,60,33,362,138,167,155,1140,Ponderosa_Pine
76910,3141,146,7,1216,207,3062,230,239,142,1577,Cottonwood_Willow
73108,2909,273,5,150,9,5219,208,241,172,4652,Lodgepole_Pine
59920,2969,332,17,127,15,4163,179,217,176,2309,Spruce_Fir
4110,2886,333,7,85,6,4264,203,230,166,6012,Krummholz
84798,2810,79,30,390,177,953,242,170,35,752,Lodgepole_Pine
59777,2975,258,14,566,44,2068,186,247,199,1100,Spruce_Fir
51100,3045,165,27,218,72,2828,232,236,117,1490,Lodgepole_Pine
29342,2180,55,23,240,69,474,227,184,78,216,Douglas_fir
92167,2803,27,10,480,81,2317,216,219,139,2455,Ponderosa_Pine
91893,3120,20,21,404,7,1230,201,191,120,2161,Spruce_Fir
95921,2578,189,5,60,1,765,220,243,159,1293,Ponderosa_Pine
100377,2995,316,15,60,14,2620,180,226,186,937,Lodgepole_Pine
60890,3216,346,16,120,28,1704,188,213,163,1969,Spruce_Fir
27553,3268,147,21,470,107,1008,243,232,107,1905,Spruce_Fir
38925,2876,249,10,30,4,799,199,247,187,649,Spruce_Fir
31691,2935,10,12,618,93,2702,206,215,145,1351,Cottonwood_Willow
51167,3065,228,14,342,41,5733,199,252,188,1888,Lodgepole_Pine
67333,2821,63,7,297,82,3326,226,226,134,6140,Spruce_Fir
29001,2913,49,21,417,131,1292,223,190,92,2160,Lodgepole_Pine
28369,3227,61,11,95,18,5299,229,217,120,485,Spruce_Fir
28060,2162,322,16,30,9,993,179,223,183,752,Ponderosa_Pine
104094,2758,74,10,60,9,1839,232,222,122,2192,Krummholz
91222,2870,81,6,30,0,5131,228,230,136,4348,Spruce_Fir
37798,2119,264,18,162,55,497,173,246,210,825,Ponderosa_Pine
52933,3060,107,15,120,5,872,245,220,100,1450,Lodgepole_Pine
67880,2740,48,12,426,53,362,224,214,122,1060,Lodgepole_Pine
53958,3354,149,20,192,42,4427,242,234,113,3151,Spruce_Fir
11571,3264,140,15,67,-5,3074,241,234,119,589,Spruce_Fir
19627,3142,85,12,277,62,3477,237,220,112,3095,Lodgepole_Pine
55356,3203,152,14,212,65,713,237,239,130,2343,Lodgepole_Pine
60508,2727,185,25,313,127,1777,215,247,150,1358,Lodgepole_Pine
15126,3050,50,25,277,35,4692,222,178,76,2964,Cottonwood_Willow
47118,3000,281,4,323,75,2270,209,240,169,2486,Lodgepole_Pine
33529,2247,38,34,175,86,684,198,145,58,474,Ponderosa_Pine
71279,2240,297,30,277,153,853,123,215,225,964,Douglas_fir
18447,2634,44,19,255,24,800,221,195,102,769,Lodgepole_Pine
109784,2682,124,5,60,-2,1571,229,236,140,1477,Lodgepole_Pine
78609,2683,115,5,446,29,836,229,235,140,1194,Ponderosa_Pine
20894,3143,16,15,769,287,780,205,206,135,1590,Lodgepole_Pine
106192,3276,5,10,342,41,1766,207,220,150,1149,Spruce_Fir
11766,2579,193,25,153,72,1801,209,250,162,1572,Ponderosa_Pine
98080,2915,150,8,418,56,2529,231,240,141,2058,Lodgepole_Pine
2215,3031,342,14,524,260,892,191,218,166,1423,Spruce_Fir
2284,3019,17,16,417,160,1624,206,206,134,3062,Spruce_Fir
83836,3168,331,14,537,157,830,185,221,175,1884,Spruce_Fir
13236,2415,112,31,234,81,1026,254,191,39,933,Ponderosa_Pine
56132,2799,108,22,218,38,1753,251,209,74,2207,Lodgepole_Pine
68748,3129,161,9,277,31,134,229,242,145,4867,Lodgepole_Pine
84896,2692,351,8,350,61,1387,206,227,159,1500,Lodgepole_Pine
1724,3023,101,35,553,-30,968,252,172,17,1383,Lodgepole_Pine
59969,2955,122,3,210,16,2147,225,237,147,1872,Spruce_Fir
93375,3024,327,5,90,5,5049,208,234,165,2586,Spruce_Fir
54181,3234,198,9,323,32,2506,217,248,165,1380,Spruce_Fir
74803,2988,244,9,646,90,5909,202,248,184,6003,Lodgepole_Pine
11120,2955,117,10,120,5,4585,237,231,125,2255,Lodgepole_Pine
60057,3142,39,6,216,33,5172,220,227,142,3092,Lodgepole_Pine
50837,3152,47,8,67,9,1974,223,223,135,516,Spruce_Fir
49569,2532,72,4,234,11,485,224,232,144,1115,Lodgepole_Pine
15753,3355,12,11,488,134,1917,209,217,145,2272,Lodgepole_Pine
57833,3228,108,4,577,39,4871,226,235,144,2458,Spruce_Fir
34552,3395,332,8,888,124,1316,201,230,168,1723,Krummholz
13019,2925,189,16,212,46,3662,219,250,160,5206,Lodgepole_Pine
1040,3213,249,16,642,147,6124,184,250,202,1863,Lodgepole_Pine
57466,2926,333,28,277,84,2658,146,192,179,525,Lodgepole_Pine
13254,3387,185,10,446,-5,3221,222,247,158,124,Spruce_Fir
52222,3016,43,16,618,135,1648,221,203,112,3013,Lodgepole_Pine
34514,2352,44,30,180,82,725,211,160,65,721,Douglas_fir
109140,2978,173,10,339,59,5443,226,245,150,3320,Lodgepole_Pine
13596,2402,316,28,67,39,1012,134,203,203,1233,Ponderosa_Pine
25381,2891,171,11,319,58,3776,228,245,149,3362,Lodgepole_Pine
77301,3063,348,25,577,210,582,164,190,158,1664,Spruce_Fir
62446,3018,99,10,459,53,5398,236,227,121,6007,Spruce_Fir
77551,2456,311,22,400,22,794,153,218,202,1182,Douglas_fir
95794,3374,62,4,488,35,1260,223,232,145,2407,Cottonwood_Willow
85712,3011,52,6,577,167,5519,223,227,140,5161,Spruce_Fir
55443,3326,200,16,607,188,997,212,252,170,4472,Lodgepole_Pine
24718,2864,34,5,437,47,2106,219,228,145,2215,Lodgepole_Pine
41422,3412,135,29,335,183,3725,250,213,68,3061,Krummholz
109191,2844,140,25,95,36,5262,247,223,88,4431,Lodgepole_Pine
5445,3134,45,14,153,16,2642,223,208,116,1184,Spruce_Fir
89100,2939,240,13,402,46,5845,196,250,191,6030,Lodgepole_Pine
105149,3121,272,15,655,192,6020,178,243,204,1411,Spruce_Fir
59936,2742,118,32,95,46,3323,254,192,38,6007,Aspen
87520,2770,82,32,175,105,175,244,167,27,1706,Aspen
20694,3190,308,30,277,94,1095,127,206,213,2041,Spruce_Fir
6699,3219,45,12,30,2,2846,223,213,122,2736,Spruce_Fir
58253,3148,27,12,162,13,1746,215,215,135,700,Spruce_Fir
17735,2988,129,12,67,13,4053,240,233,121,5261,Lodgepole_Pine
61117,2860,289,27,120,52,5161,133,225,226,4678,Lodgepole_Pine
86275,3276,212,7,426,61,3598,214,247,169,2736,Spruce_Fir
75895,3376,192,13,661,170,1834,219,250,162,1381,Spruce_Fir
64714,2455,288,21,90,28,1368,156,233,215,752,Lodgepole_Pine
64162,3064,168,8,591,-58,6096,227,243,150,2949,Lodgepole_Pine
40399,2823,286,3,30,0,2347,210,239,168,2108,Spruce_Fir
83998,2459,118,26,300,122,404,254,206,62,900,Ponderosa_Pine
24394,2802,131,16,124,38,1786,244,230,110,1200,Lodgepole_Pine
77674,2771,218,23,240,76,1477,189,254,193,1310,Lodgepole_Pine
14509,2997,40,11,67,3,1130,221,215,127,1465,Spruce_Fir
3579,3189,7,6,446,45,6042,213,229,153,1114,Spruce_Fir
83232,3243,207,19,366,98,1124,203,254,179,4514,Lodgepole_Pine
85112,2798,339,13,30,7,3384,191,221,168,5983,Lodgepole_Pine
5051,2851,311,20,95,15,2579,164,222,197,1423,Lodgepole_Pine
43060,2149,17,35,150,27,582,170,146,93,547,Ponderosa_Pine
58295,3079,28,6,210,34,4648,218,228,146,845,Lodgepole_Pine
65781,2607,107,20,648,7,700,250,212,81,1239,Ponderosa_Pine
51852,2985,169,6,242,30,4736,225,243,152,5734,Lodgepole_Pine
4917,2963,259,27,390,166,2289,144,243,230,1310,Spruce_Fir
35881,2262,280,25,240,96,853,142,233,226,497,Ponderosa_Pine
54467,3154,292,11,124,9,3603,189,238,189,1926,Spruce_Fir
46731,3196,63,19,90,14,1528,233,199,91,2418,Spruce_Fir
84134,2430,280,16,234,75,1153,174,240,205,765,Douglas_fir
108541,2975,209,32,150,24,1560,178,249,186,1064,Lodgepole_Pine
40982,2840,221,21,90,20,2239,190,254,194,1959,Lodgepole_Pine
20020,3208,190,4,60,4,5759,220,243,159,966,Ponderosa_Pine
22866,3316,99,9,420,-13,1505,235,228,125,2115,Spruce_Fir
22020,2987,79,9,300,39,4158,232,224,124,1969,Lodgepole_Pine
42933,3224,64,21,391,90,808,234,194,82,5352,Spruce_Fir
108890,2678,338,7,180,8,1528,205,230,164,5604,Lodgepole_Pine
35144,2763,45,12,60,8,1188,223,214,124,832,Lodgepole_Pine
24662,3002,314,13,547,99,5534,185,230,185,1302,Lodgepole_Pine
24999,2972,15,11,95,7,4109,210,216,142,2160,Lodgepole_Pine
13670,2965,327,10,497,50,2856,197,229,172,1478,Lodgepole_Pine
7279,3193,45,16,319,51,1365,223,203,110,4890,Spruce_Fir
26342,3142,251,25,228,60,2502,158,248,222,1503,Lodgepole_Pine
44086,3135,24,17,216,60,1150,208,200,124,738,Spruce_Fir
97942,3067,117,10,474,68,5414,237,231,124,3290,Lodgepole_Pine
56760,2673,51,6,360,20,1456,223,227,139,5976,Lodgepole_Pine
8705,2861,250,31,175,93,2257,138,243,232,1530,Spruce_Fir
1101,2618,338,14,339,62,524,188,219,169,937,Ponderosa_Pine
5170,2628,17,27,85,45,1593,188,174,112,6745,Lodgepole_Pine
88170,3223,347,20,376,57,693,178,203,161,1890,Spruce_Fir
60368,3018,346,14,295,21,2754,192,217,162,767,Spruce_Fir
50996,2456,105,5,391,150,1034,228,234,140,1253,Ponderosa_Pine
51226,2736,75,8,212,38,2259,230,225,127,6666,Lodgepole_Pine
27486,2656,49,5,60,1,85,222,229,143,865,Lodgepole_Pine
18,3130,296,28,90,45,864,131,219,222,2429,Spruce_Fir
29576,2839,45,17,170,34,2988,222,201,108,2247,Spruce_Fir
24300,2955,339,22,426,141,446,167,202,171,1320,Lodgepole_Pine
452,3149,45,4,240,39,1784,221,231,146,2568,Spruce_Fir
24995,3043,309,12,458,-77,1839,187,232,185,2008,Lodgepole_Pine
92921,2647,323,5,190,13,726,207,235,166,1663,Lodgepole_Pine
76764,2428,100,23,120,34,860,251,202,67,1031,Ponderosa_Pine
63295,3014,254,24,134,20,1315,158,247,222,2682,Spruce_Fir
6538,3114,192,19,918,286,4360,215,251,163,1445,Lodgepole_Pine
12184,2945,203,13,175,26,5294,213,251,171,3561,Lodgepole_Pine
60972,3298,99,13,67,7,4334,241,221,108,3701,Spruce_Fir
96915,2600,229,16,234,100,1142,194,253,193,1179,Cottonwood_Willow
94762,3185,280,10,566,78,808,193,241,188,1015,Lodgepole_Pine
83921,2959,323,24,309,109,5957,152,208,191,4768,Lodgepole_Pine
58785,3252,80,15,485,25,1470,239,212,100,2613,Spruce_Fir
