,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
77679,2019,285,34,153,134,182,107,216,238,120,Ponderosa_Pine
75320,2651,125,13,247,39,828,241,230,116,1124,Lodgepole_Pine
66410,2819,114,18,90,23,658,248,219,93,691,Lodgepole_Pine
80272,3116,87,9,0,0,1930,233,226,125,451,Spruce_Fir
78599,3185,315,1,180,0,1332,217,237,158,541,Spruce_Fir
93866,1945,134,21,182,78,212,248,226,96,983,Ponderosa_Pine
107916,2663,65,15,30,9,2647,233,207,102,1027,Lodgepole_Pine
88189,2965,110,7,301,68,4009,233,232,132,5271,Lodgepole_Pine
44229,2465,16,16,30,5,342,204,204,133,1233,Douglas_fir
11876,3245,128,6,551,38,1215,230,236,140,2466,Lodgepole_Pine
80947,3160,16,6,313,16,5974,215,227,149,1001,Spruce_Fir
74079,3085,89,9,42,2,3960,234,225,122,2061,Spruce_Fir
83711,2638,270,11,0,0,1116,192,244,192,1235,Lodgepole_Pine
42917,2698,45,10,192,45,1048,223,218,129,3023,Lodgepole_Pine
102184,2954,8,13,0,0,1744,205,214,145,1321,Spruce_Fir
96756,3194,17,22,95,17,4339,196,190,123,3424,Aspen
28852,3237,20,8,402,16,3596,215,224,145,3912,Spruce_Fir
59725,2976,326,20,319,37,3269,168,214,184,2038,Spruce_Fir
107041,2948,68,14,85,19,458,234,210,105,1572,Lodgepole_Pine
65972,2804,173,23,30,-18,2928,227,244,135,1448,Lodgepole_Pine
65856,2908,62,4,60,-2,2287,223,232,145,339,Spruce_Fir
70361,2819,261,14,42,6,2382,184,247,201,2258,Lodgepole_Pine
71,2771,20,16,108,12,1191,208,205,131,2340,Ponderosa_Pine
12403,3053,10,24,42,7,997,187,184,127,2106,Spruce_Fir
8971,2854,311,28,85,46,4871,134,208,209,4789,Lodgepole_Pine
103202,3295,185,17,537,93,2856,221,250,156,999,Lodgepole_Pine
39808,2786,205,10,404,45,4004,215,249,169,1776,Lodgepole_Pine
14027,2639,93,17,95,10,2184,244,212,92,2634,Douglas_fir
23179,3003,69,25,492,180,430,237,183,64,849,Lodgepole_Pine
57753,3305,321,25,503,87,3840,150,208,194,1506,Spruce_Fir
38018,3234,73,17,591,10,1084,237,205,93,2040,Cottonwood_Willow
36159,3158,10,7,350,-27,1608,213,227,151,960,Lodgepole_Pine
2167,2694,176,4,300,-2,960,221,241,156,1774,Lodgepole_Pine
74530,3193,339,11,108,13,2192,197,225,166,2991,Spruce_Fir
106920,3140,333,19,150,31,3977,172,211,177,285,Spruce_Fir
71440,3284,342,3,371,41,5760,213,235,159,607,Spruce_Fir
103720,3076,356,15,750,239,768,195,212,154,1374,Lodgepole_Pine
9423,2889,16,16,42,3,1233,204,204,133,607,Lodgepole_Pine
20404,3170,264,7,234,35,5771,202,244,181,2521,Lodgepole_Pine
83403,2940,234,10,845,294,1261,202,250,184,1800,Lodgepole_Pine
108234,2995,116,7,60,-2,1561,233,233,133,1380,Lodgepole_Pine
42201,3100,114,9,175,0,3365,235,232,128,5189,Spruce_Fir
33253,2544,53,16,390,101,1008,227,203,105,1075,Lodgepole_Pine
76366,3146,76,15,484,105,750,237,211,101,1433,Douglas_fir
95003,2807,55,17,510,-11,899,228,202,101,2502,Krummholz
4874,3238,245,15,30,6,1130,189,251,198,1846,Spruce_Fir
97114,3190,69,4,424,10,5259,224,231,143,2348,Spruce_Fir
43822,2359,48,7,0,0,541,223,225,137,841,Ponderosa_Pine
15080,3056,39,9,648,76,1516,221,220,134,2581,Lodgepole_Pine
51676,3147,209,11,366,63,162,212,250,172,1972,Cottonwood_Willow
99821,3345,120,9,60,6,1550,236,232,127,3368,Lodgepole_Pine
76515,3457,275,13,684,111,2646,186,243,196,1426,Spruce_Fir
35913,2747,37,12,42,-1,1194,219,212,126,2349,Lodgepole_Pine
91364,2959,90,12,306,40,4924,239,220,110,5622,Lodgepole_Pine
48048,3248,175,23,616,131,6085,225,245,140,3062,Lodgepole_Pine
75273,2194,4,31,255,147,591,165,166,126,837,Douglas_fir
46945,3312,21,13,108,12,2056,211,212,135,1687,Spruce_Fir
109005,3123,240,4,0,0,3180,212,243,168,1422,Lodgepole_Pine
28517,3089,73,10,60,18,5184,232,221,121,830,Spruce_Fir
15053,3172,213,17,492,102,1965,202,254,183,916,Spruce_Fir
60864,2813,84,10,309,40,2287,234,224,121,2673,Lodgepole_Pine
75185,2932,233,10,90,16,5204,204,249,182,3562,Lodgepole_Pine
63990,2723,123,11,134,26,2047,239,232,122,366,Lodgepole_Pine
18046,2687,7,10,30,6,2330,208,220,149,4667,Lodgepole_Pine
16696,3075,51,3,324,51,3496,221,232,148,5021,Lodgepole_Pine
7351,3034,187,14,335,148,6084,221,249,158,4921,Lodgepole_Pine
37436,3261,259,5,365,15,4367,208,243,173,760,Spruce_Fir
74691,2701,106,11,108,14,1273,239,227,117,685,Lodgepole_Pine
56953,3129,321,10,210,43,3360,193,230,176,4981,Spruce_Fir
53348,3030,222,6,454,8,1191,213,246,170,537,Lodgepole_Pine
42309,3225,96,10,95,5,1771,236,226,121,1900,Spruce_Fir
54291,2865,186,14,484,19,1492,222,249,157,721,Lodgepole_Pine
106051,3204,189,10,360,60,882,221,248,160,446,Spruce_Fir
78985,2376,305,28,90,35,371,132,212,214,598,Douglas_fir
80005,2859,253,21,190,51,1600,169,249,215,849,Lodgepole_Pine
106077,2749,35,8,234,26,2561,219,223,139,6829,Spruce_Fir
18381,2906,0,10,382,0,2423,206,222,154,2492,Aspen
24341,3251,104,19,170,37,2580,248,213,86,2754,Spruce_Fir
13439,2968,182,6,90,13,5473,222,244,157,2345,Spruce_Fir
68670,2545,93,12,201,14,2634,239,222,111,2590,Spruce_Fir
109975,2716,104,15,190,-5,2355,245,219,99,2420,Ponderosa_Pine
35041,3185,32,19,342,48,1383,212,195,112,108,Spruce_Fir
65459,3399,343,13,926,149,1182,194,220,165,1919,Krummholz
93805,3125,128,25,421,105,2869,251,216,77,1317,Lodgepole_Pine
17470,2837,32,12,153,18,1782,217,213,129,2638,Lodgepole_Pine
33570,2854,323,22,0,0,2601,159,212,190,2484,Spruce_Fir
26875,2662,126,18,162,21,1950,247,225,98,713,Lodgepole_Pine
33912,3178,158,8,90,1,2138,229,242,146,1722,Spruce_Fir
105389,3225,68,13,342,24,5389,233,213,109,1290,Spruce_Fir
7346,2920,65,4,484,-1,3891,223,231,143,4227,Lodgepole_Pine
53781,2947,115,19,234,58,2236,249,218,90,1983,Lodgepole_Pine
67972,3207,33,24,150,29,722,207,179,96,1572,Spruce_Fir
71251,3087,176,15,190,51,4759,227,247,148,3034,Lodgepole_Pine
53498,3253,70,17,127,33,1471,236,205,94,2774,Spruce_Fir
96357,2628,117,15,150,10,677,245,225,105,1879,Lodgepole_Pine
9229,3103,3,5,0,0,3770,213,230,155,1022,Spruce_Fir
83709,3233,34,24,95,26,1875,209,180,96,2230,Spruce_Fir
27198,2821,2,16,120,17,3443,196,208,147,5933,Cottonwood_Willow
19803,3203,288,8,301,30,1521,199,240,180,127,Spruce_Fir
15788,2607,121,18,42,10,1657,248,223,96,1218,Lodgepole_Pine
59852,2889,128,14,212,46,2187,242,231,115,789,Aspen
10259,3041,288,4,218,19,2176,209,239,169,1289,Lodgepole_Pine
56703,2546,232,14,0,0,2318,197,252,191,2171,Lodgepole_Pine
44634,3243,196,7,671,126,4818,219,246,162,2669,Spruce_Fir
102944,2932,357,15,182,3,5382,195,211,153,3939,Lodgepole_Pine
80283,2655,47,8,192,3,1347,223,222,133,937,Lodgepole_Pine
65092,2949,127,16,0,0,4284,245,228,106,1974,Lodgepole_Pine
66394,2914,133,15,0,0,4854,243,231,113,1789,Aspen
222,2988,120,8,532,16,5442,234,234,132,6466,Spruce_Fir
77404,3382,41,24,300,135,1945,215,181,89,2428,Spruce_Fir
42996,3116,209,14,124,13,2206,208,253,177,741,Lodgepole_Pine
15185,2556,76,8,532,2,1022,230,226,128,3918,Lodgepole_Pine
36143,3255,330,9,488,78,4318,198,229,170,953,Lodgepole_Pine
97778,3006,69,18,270,24,2281,236,201,89,1920,Lodgepole_Pine
109356,2952,68,14,324,37,4685,233,212,108,2890,Lodgepole_Pine
102197,3320,32,15,216,60,5973,216,207,124,466,Spruce_Fir
107682,2877,130,23,42,19,5550,250,220,86,743,Lodgepole_Pine
11666,2660,298,32,180,92,1284,115,210,226,866,Douglas_fir
94251,3031,20,13,882,112,5518,210,211,135,5470,Lodgepole_Pine
70278,3278,261,12,721,117,1260,191,246,194,1682,Lodgepole_Pine
67809,3374,80,11,216,4,2474,235,220,116,2521,Krummholz
108136,2968,189,11,900,109,2936,220,249,161,1549,Lodgepole_Pine
65344,3235,30,24,509,167,1208,205,181,101,277,Spruce_Fir
88006,2131,38,27,0,0,603,208,170,82,875,Cottonwood_Willow
95110,2709,308,23,60,26,2005,149,218,206,30,Lodgepole_Pine
63322,2818,45,24,60,-7,1053,218,181,85,1530,Lodgepole_Pine
36248,2755,103,8,30,0,1124,234,230,127,875,Spruce_Fir
36229,3215,47,10,42,6,5246,224,217,127,466,Spruce_Fir
89109,2936,274,22,212,109,5239,155,239,221,4928,Lodgepole_Pine
63048,2532,351,8,408,159,957,206,227,159,1366,Ponderosa_Pine
42023,3171,182,8,108,3,2064,223,245,156,1804,Spruce_Fir
20890,3058,264,9,474,-10,2033,197,245,186,2429,Lodgepole_Pine
63477,3299,352,8,127,17,1379,206,226,158,792,Ponderosa_Pine
52811,3016,297,7,361,-6,1836,201,238,176,1572,Lodgepole_Pine
8159,3400,146,9,811,235,1421,233,239,138,1100,Spruce_Fir
13112,3135,35,16,228,53,5070,216,202,117,1361,Spruce_Fir
90140,2978,40,24,190,15,865,215,181,90,2148,Spruce_Fir
