,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
72926,3276,93,5,277,16,6091,228,232,138,366,Spruce_Fir
43052,3251,315,8,175,16,1589,199,234,174,1040,Spruce_Fir
69545,2994,281,14,216,30,2388,180,240,200,433,Spruce_Fir
25434,3186,65,12,150,-12,1663,231,216,116,1539,Lodgepole_Pine
48858,2532,126,16,240,96,240,245,227,106,300,Ponderosa_Pine
66336,3000,41,23,446,176,4502,215,182,90,845,Lodgepole_Pine
31994,2958,304,15,30,13,2300,176,231,195,993,Spruce_Fir
57245,3169,342,2,0,0,600,214,235,159,1237,Spruce_Fir
80667,2840,266,31,60,19,5277,129,236,237,4685,Lodgepole_Pine
19105,2962,83,13,175,21,1800,238,216,106,1053,Aspen
34108,2893,300,25,108,59,5361,143,221,214,4832,Lodgepole_Pine
88355,3104,210,15,618,97,6088,207,253,178,1556,Lodgepole_Pine
38797,2580,323,15,0,0,808,182,224,181,2151,Lodgepole_Pine
79525,2817,54,9,234,8,3360,225,221,130,5267,Lodgepole_Pine
108986,3152,173,15,60,14,3339,228,246,146,1480,Lodgepole_Pine
38687,3131,242,23,170,45,2856,168,251,215,350,Lodgepole_Pine
7290,3012,15,8,467,5,2937,213,223,147,210,Spruce_Fir
92889,2945,162,9,484,31,2741,229,243,145,2331,Lodgepole_Pine
81134,3213,33,37,566,18,930,186,133,55,1590,Spruce_Fir
1399,3142,86,3,95,7,518,224,234,145,2419,Lodgepole_Pine
51304,3226,335,23,85,30,1639,161,202,176,2559,Spruce_Fir
59554,2662,333,14,30,6,1605,186,221,174,1165,Lodgepole_Pine
4081,2964,5,9,0,0,3194,209,223,152,1116,Spruce_Fir
12401,2893,144,18,30,6,4204,243,233,112,2794,Spruce_Fir
50984,3427,347,13,807,231,927,196,219,162,888,Spruce_Fir
55996,2803,34,7,408,-2,1814,219,225,142,2591,Lodgepole_Pine
59001,3181,27,5,67,3,3482,218,228,147,3254,Spruce_Fir
11376,2625,118,16,30,-3,1598,245,225,104,85,Lodgepole_Pine
46825,2972,237,8,571,76,5953,206,247,179,6338,Lodgepole_Pine
45643,3280,253,22,1034,359,3543,164,248,218,2462,Lodgepole_Pine
38827,2907,352,17,90,19,1645,188,208,156,2780,Lodgepole_Pine
69144,2855,42,6,85,-1,1341,221,226,140,2663,Cottonwood_Willow
14258,2556,177,17,95,22,1158,226,247,148,1855,Ponderosa_Pine
102845,2991,25,4,481,26,5073,218,231,150,5457,Lodgepole_Pine
107697,3000,288,10,376,23,4803,193,239,186,201,Lodgepole_Pine
83307,3297,49,9,752,221,598,224,220,129,1024,Spruce_Fir
88662,3125,13,4,285,18,5558,215,231,152,751,Spruce_Fir
34053,3137,168,8,674,96,684,227,243,150,1854,Lodgepole_Pine
37656,3204,98,7,382,70,295,232,230,130,2087,Spruce_Fir
104746,3452,75,12,792,219,2278,234,217,113,1521,Krummholz
79855,2978,233,9,30,2,5646,205,249,181,2123,Spruce_Fir
83651,3264,12,13,95,25,3571,206,212,142,2336,Spruce_Fir
72805,3028,291,6,488,-40,1798,203,239,175,2167,Lodgepole_Pine
102511,2971,8,8,283,11,1436,211,223,150,1839,Lodgepole_Pine
104386,2524,64,12,212,5,216,231,215,114,2336,Lodgepole_Pine
17756,2808,352,12,67,11,1110,199,220,158,2858,Lodgepole_Pine
30096,2245,42,12,0,0,1572,222,213,125,990,Cottonwood_Willow
97200,2754,90,9,404,-12,892,235,225,121,2586,Lodgepole_Pine
95782,2538,58,9,90,12,446,227,221,127,1025,Ponderosa_Pine
30730,3133,174,9,30,3,750,226,245,152,2374,Spruce_Fir
13999,2961,97,20,150,47,3636,248,206,77,1218,Lodgepole_Pine
1111,3173,97,38,362,68,1055,249,159,0,1764,Spruce_Fir
75755,2741,310,11,124,33,1495,189,232,183,2352,Lodgepole_Pine
96041,2881,328,14,30,9,1740,185,222,177,2254,Spruce_Fir
59257,3145,297,6,474,108,2165,202,238,175,987,Lodgepole_Pine
37649,3129,129,10,30,-2,2981,237,234,127,5363,Spruce_Fir
96214,3207,211,28,283,69,933,186,252,187,4705,Lodgepole_Pine
49494,3212,54,4,30,10,1689,222,230,143,666,Spruce_Fir
58910,3141,27,15,270,87,3556,212,206,127,1590,Spruce_Fir
23984,2927,192,18,300,41,1813,216,251,163,1758,Lodgepole_Pine
53015,3446,288,16,816,245,4862,173,237,203,2989,Krummholz
43970,2814,90,5,67,8,2323,227,232,139,2818,Lodgepole_Pine
66745,2699,291,42,175,143,1782,76,196,241,1398,Douglas_fir
6,2568,90,4,212,23,470,226,233,141,1290,Lodgepole_Pine
52476,2185,50,30,175,43,1396,218,162,58,283,Ponderosa_Pine
42170,2988,144,8,60,0,1116,232,239,138,1312,Spruce_Fir
26919,3295,61,13,469,108,730,230,211,111,1110,Krummholz
101849,2630,27,8,124,7,3371,217,222,141,2845,Spruce_Fir
27724,2936,66,10,768,138,3284,230,220,122,767,Lodgepole_Pine
