Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
20603,3021,4,10,180,17,5254,207,221,151,4502,Lodgepole_Pine
42207,2693,39,13,400,68,446,220,210,122,182,Lodgepole_Pine
58321,2972,333,7,417,93,1463,205,232,166,2469,Lodgepole_Pine
107519,3021,270,4,1015,102,5580,208,241,171,5774,Lodgepole_Pine
102086,3129,29,2,30,0,2577,218,233,152,1198,Spruce_Fir
54640,2799,94,26,30,-14,2039,250,191,53,1648,Lodgepole_Pine
57479,2697,185,20,90,31,1972,219,249,154,2388,Ponderosa_Pine
18495,3439,87,33,691,154,2077,247,167,23,1648,Spruce_Fir
85153,3370,126,7,713,41,955,232,236,137,4373,Spruce_Fir
61371,3250,24,9,684,210,2886,215,220,141,3271,Spruce_Fir
8838,2732,68,31,371,205,1031,235,164,39,939,Lodgepole_Pine
34990,3078,137,16,150,-21,824,243,232,113,1514,Spruce_Fir
22023,3162,264,7,30,4,892,203,243,179,2304,Krummholz
100079,2416,7,18,258,100,810,195,202,141,1048,Douglas_fir
38508,3153,106,3,390,53,5424,226,235,145,408,Spruce_Fir
5961,3013,99,13,272,2,1040,241,221,108,876,Lodgepole_Pine
107068,2988,281,22,108,26,660,154,236,219,997,Lodgepole_Pine
108257,2825,29,11,120,6,1825,216,216,134,2563,Lodgepole_Pine
43464,3222,318,7,212,43,4402,202,234,171,3007,Spruce_Fir
73626,2989,90,5,420,16,2613,227,232,139,2170,Lodgepole_Pine
66485,3414,275,17,847,229,4710,172,242,209,2867,Krummholz
103259,2942,351,16,319,14,1867,190,212,158,2876,Lodgepole_Pine
2833,3047,35,19,242,-12,3945,215,196,111,3694,Spruce_Fir
74713,3177,139,18,218,50,2105,244,231,108,3254,Spruce_Fir
24335,3064,237,12,351,46,3037,199,250,187,832,Spruce_Fir
87832,2977,318,22,192,62,2737,159,215,194,335,Lodgepole_Pine
58900,3014,52,20,1040,216,3068,226,192,91,1050,Lodgepole_Pine
31199,2903,351,10,474,36,4325,203,224,159,5589,Spruce_Fir
27470,3224,14,19,175,44,1920,199,198,132,2040,Lodgepole_Pine
107366,2964,30,9,570,233,3205,218,220,137,1473,Lodgepole_Pine
108819,2933,93,5,30,0,1158,227,233,140,2343,Lodgepole_Pine
92500,2288,327,22,212,67,1148,162,210,185,799,Douglas_fir
17078,3379,304,24,242,67,2410,147,219,210,2282,Spruce_Fir
96947,2836,300,16,524,104,175,173,232,198,1806,Lodgepole_Pine
6629,3105,276,18,541,111,1275,170,241,210,2215,Spruce_Fir
1724,3023,101,35,553,-30,968,252,172,17,1383,Lodgepole_Pine
94188,2942,74,17,42,9,2039,238,205,92,2773,Lodgepole_Pine
54052,2812,151,13,201,41,3467,237,239,130,3237,Lodgepole_Pine
19595,2960,49,9,573,25,990,224,220,129,700,Lodgepole_Pine
3435,2973,300,17,633,339,1523,169,231,201,1844,Lodgepole_Pine
97411,3332,283,28,454,126,618,133,228,229,931,Spruce_Fir
28065,2902,74,31,150,2,390,238,165,34,2233,Aspen
27273,3244,198,3,513,65,4707,218,242,160,2836,Spruce_Fir
2248,3031,322,17,134,1,2512,176,222,185,1422,Ponderosa_Pine
16794,3217,232,9,30,3,5035,206,248,179,418,Spruce_Fir
63236,3044,31,6,485,75,5382,219,228,145,1091,Lodgepole_Pine
28880,2532,133,23,212,80,671,249,222,89,892,Ponderosa_Pine
26551,3115,135,15,210,17,1945,242,232,115,2252,Spruce_Fir
14507,3031,45,5,745,181,5690,221,229,144,5235,Spruce_Fir
10036,2594,349,27,85,29,1809,159,183,155,1366,Lodgepole_Pine
65187,2925,219,26,150,-12,3056,182,254,197,1136,Lodgepole_Pine
109569,2929,66,9,636,137,4485,229,221,124,5362,Lodgepole_Pine
52548,2627,117,12,30,-3,1548,240,229,118,1129,Lodgepole_Pine
34889,3245,306,14,162,25,3267,180,231,191,1550,Spruce_Fir
61007,2622,311,5,42,-2,886,206,236,169,6020,Lodgepole_Pine
42614,2982,272,8,553,66,5476,199,243,182,4270,Lodgepole_Pine
54628,2541,300,12,256,34,805,187,235,188,1206,Lodgepole_Pine
70568,2998,341,24,492,171,511,164,198,169,1396,Lodgepole_Pine
39950,2782,45,2,295,26,2093,220,234,150,1718,Lodgepole_Pine
74476,2727,171,6,0,0,2644,225,243,153,2008,Lodgepole_Pine
6847,2562,40,12,127,11,2359,221,213,125,2410,Lodgepole_Pine
2062,3001,101,15,391,103,2457,243,219,101,1825,Lodgepole_Pine
39162,3119,256,8,42,4,5540,202,245,182,3022,Lodgepole_Pine
11092,2901,64,27,162,88,162,232,173,56,1084,Lodgepole_Pine
5003,2266,9,33,242,85,870,164,155,111,738,Douglas_fir
66578,3147,209,12,175,0,2753,211,251,173,794,Lodgepole_Pine
107924,3033,26,24,755,164,2526,202,181,106,2041,Lodgepole_Pine
21033,2955,240,11,510,59,5852,198,250,188,6289,Lodgepole_Pine
20193,2765,158,19,350,96,1966,237,239,123,2145,Lodgepole_Pine
64310,2942,264,5,295,16,1631,208,242,173,1195,Spruce_Fir
87802,2993,80,4,42,0,2689,225,232,142,722,Spruce_Fir
11361,2673,80,13,451,-15,742,237,217,109,1565,Lodgepole_Pine
83946,3057,27,7,309,3,1485,218,225,144,3032,Spruce_Fir
12406,2354,21,9,120,45,1289,214,221,142,283,Ponderosa_Pine
82077,2433,201,15,30,7,1800,212,252,171,216,Ponderosa_Pine
55984,2784,109,35,60,33,2160,254,178,21,765,Lodgepole_Pine
5804,2880,275,33,120,59,5211,117,227,239,4730,Spruce_Fir
77617,3011,356,28,390,105,2602,165,178,143,1442,Lodgepole_Pine
6398,3420,197,13,690,220,2271,216,251,167,932,Krummholz
65483,3005,72,24,67,23,5118,239,186,64,2730,Spruce_Fir
12375,3171,210,18,127,24,1368,203,254,181,4480,Spruce_Fir
46471,3270,132,7,258,27,5465,232,236,136,931,Lodgepole_Pine
24600,2588,29,34,182,92,973,188,147,74,1233,Lodgepole_Pine
7929,2017,338,37,108,90,127,118,163,169,666,Ponderosa_Pine
38888,2913,223,22,828,143,4165,186,254,197,1436,Ponderosa_Pine
12184,2945,203,13,175,26,5294,213,251,171,3561,Lodgepole_Pine
63119,3077,152,25,1087,186,3227,241,231,103,1544,Lodgepole_Pine
93509,3020,69,7,212,34,497,228,226,131,1425,Lodgepole_Pine
7107,2859,315,26,153,57,4680,144,210,201,309,Lodgepole_Pine
63735,3051,61,21,285,46,4625,232,193,84,470,Lodgepole_Pine
79352,3044,204,9,800,40,6009,215,249,168,3900,Lodgepole_Pine
79683,2711,18,5,297,15,1920,216,229,150,6144,Lodgepole_Pine
41188,2819,193,24,424,122,3612,209,251,163,1682,Lodgepole_Pine
76236,3143,185,23,390,92,3399,218,249,152,1001,Lodgepole_Pine
39099,3248,203,23,330,27,1936,202,253,176,3477,Spruce_Fir
4720,2848,92,8,242,49,1226,233,228,128,3137,Lodgepole_Pine
71836,3173,291,8,108,2,3613,197,239,181,1575,Spruce_Fir
77778,2953,75,20,335,150,350,240,198,80,1452,Spruce_Fir
78570,3199,187,26,466,-33,2040,213,248,153,1155,Lodgepole_Pine
87927,3172,77,9,420,131,1107,232,224,125,1279,Lodgepole_Pine
17505,3084,351,5,484,66,2890,212,232,158,816,Spruce_Fir
686,2938,48,16,201,48,1530,225,202,107,1200,Lodgepole_Pine
33659,3145,81,5,300,11,4271,226,231,140,1879,Lodgepole_Pine
27121,3423,310,15,384,77,5005,178,229,190,743,Spruce_Fir
57008,2832,14,11,592,19,3395,210,217,144,2620,Spruce_Fir
19887,3160,0,14,787,143,1756,199,214,151,2395,Spruce_Fir
6450,3074,342,20,376,72,3550,176,207,168,1964,Lodgepole_Pine
19007,2373,271,19,330,163,426,167,242,213,684,Ponderosa_Pine
70828,3108,69,22,600,-66,1194,237,190,72,960,Spruce_Fir
40632,2870,307,7,60,18,1682,200,236,176,1290,Lodgepole_Pine
27078,3073,221,14,553,105,5923,202,253,184,1947,Lodgepole_Pine
2181,3202,59,6,124,-16,2938,224,228,139,1874,Spruce_Fir
57808,2940,288,14,190,56,2925,180,238,198,2307,Lodgepole_Pine
38424,3241,80,14,408,66,3420,238,213,102,4441,Spruce_Fir
4015,3135,171,14,256,37,2160,229,246,145,242,Spruce_Fir
68804,2939,336,17,335,76,1747,180,215,173,2580,Lodgepole_Pine
3742,2688,167,11,210,5,902,229,244,146,1842,Lodgepole_Pine
19822,2604,15,18,247,31,1140,202,201,132,2551,Lodgepole_Pine
81763,3355,95,6,60,0,4312,229,231,136,3935,Spruce_Fir
72210,2765,89,22,270,129,270,247,198,68,703,Aspen
82268,2362,57,14,60,3,480,229,210,111,553,Ponderosa_Pine
100773,3185,19,14,351,79,1027,208,209,135,2123,Spruce_Fir
63794,2930,217,37,779,-6,3955,154,244,200,1381,Lodgepole_Pine
61128,2959,50,14,295,-15,4634,226,208,113,2219,Lodgepole_Pine
107908,2625,13,23,30,15,1800,191,186,125,6918,Lodgepole_Pine
46949,2833,42,7,42,8,437,221,225,138,361,Lodgepole_Pine
16467,2655,24,6,0,0,2123,217,226,146,2526,Douglas_fir
71570,2945,142,16,301,6,5735,242,234,116,3573,Lodgepole_Pine
31710,2460,339,20,67,29,1203,173,207,171,350,Douglas_fir
75769,3004,180,5,782,95,5943,222,243,156,5550,Lodgepole_Pine
5794,2776,240,18,42,12,2123,184,252,203,850,Lodgepole_Pine
42575,2952,28,9,30,4,3882,217,220,139,2131,Lodgepole_Pine
