Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
79854,3203,100,4,335,20,5434,227,234,142,2306,Spruce_Fir
44963,3088,124,10,0,0,4962,238,233,125,1539,Spruce_Fir
6142,2575,313,23,234,109,618,151,215,200,484,Douglas_fir
50479,3213,24,26,424,137,939,197,175,103,984,Spruce_Fir
5228,2973,342,6,30,3,277,208,231,162,124,Spruce_Fir
69487,2834,287,24,570,289,1182,146,230,221,1624,Lodgepole_Pine
85595,3135,29,17,95,29,2796,212,201,120,1374,Douglas_fir
17362,2593,202,23,277,54,1441,202,253,175,2017,Ponderosa_Pine
15373,2225,347,31,150,113,716,146,173,155,319,Ponderosa_Pine
685,2607,115,12,0,0,1292,241,227,114,5200,Lodgepole_Pine
66055,2952,5,17,124,-12,4660,196,205,144,2345,Lodgepole_Pine
22072,1919,65,26,0,0,42,234,178,0,331,Aspen
83081,2430,331,14,30,5,402,185,221,175,955,Ponderosa_Pine
110004,2308,304,28,90,16,1233,132,213,215,1006,Ponderosa_Pine
78856,2759,90,3,60,0,942,224,234,146,2291,Lodgepole_Pine
8882,2688,38,36,42,26,1384,194,137,51,1261,Lodgepole_Pine
41264,1995,276,39,124,105,153,90,215,247,150,Ponderosa_Pine
100735,2958,95,3,319,61,1556,224,235,147,807,Lodgepole_Pine
19805,2912,204,3,309,32,3890,218,242,161,4078,Lodgepole_Pine
108020,3030,168,9,295,50,2345,228,244,148,1209,Lodgepole_Pine
105218,3025,350,9,124,23,3331,203,224,160,1822,Spruce_Fir
58787,2859,47,17,175,46,3036,224,201,106,2005,Lodgepole_Pine
109668,2938,183,12,331,92,2214,223,248,156,1315,Lodgepole_Pine
42165,2903,319,32,228,75,2609,122,192,201,633,Lodgepole_Pine
89980,2944,210,30,277,103,934,183,251,187,331,Lodgepole_Pine
91059,2275,13,25,277,150,994,187,180,121,1236,Ponderosa_Pine
76405,3036,167,12,408,-63,571,230,244,144,1288,Spruce_Fir
6606,3407,335,5,680,211,782,209,233,163,841,Spruce_Fir
1381,2138,136,33,67,38,886,249,206,57,234,Cottonwood_Willow
37932,2978,347,21,190,68,1728,175,200,161,2639,Lodgepole_Pine
107089,3116,67,18,390,41,3542,235,202,93,4767,Lodgepole_Pine
60963,3275,181,16,420,61,811,224,248,152,2572,Lodgepole_Pine
81844,2883,27,8,350,59,930,217,223,142,2763,Spruce_Fir
419,2995,33,14,256,-35,3653,216,208,124,5624,Spruce_Fir
36660,2938,29,10,228,45,124,217,219,137,272,Spruce_Fir
72250,2588,6,19,162,36,1034,194,201,141,1126,Lodgepole_Pine
68297,2847,90,32,270,175,1316,249,173,28,882,Aspen
44196,3182,315,4,510,89,2936,209,236,166,3495,Spruce_Fir
27499,2665,72,1,0,0,2430,219,237,154,757,Lodgepole_Pine
45084,3220,38,10,806,185,2658,220,217,131,3231,Spruce_Fir
33656,3035,291,17,351,51,3107,171,235,204,726,Lodgepole_Pine
30653,3023,79,20,630,213,633,242,200,79,933,Lodgepole_Pine
79782,2265,38,33,95,49,553,200,150,63,920,Douglas_fir
30999,3045,309,20,60,16,3123,161,222,200,2644,Spruce_Fir
17348,3034,184,18,684,35,5491,221,249,154,3087,Lodgepole_Pine
6287,2950,320,4,30,2,2012,210,236,164,306,Lodgepole_Pine
17038,2972,249,12,120,-5,2753,195,249,191,450,Lodgepole_Pine
40767,3164,214,7,604,56,5491,213,247,170,1230,Lodgepole_Pine
20082,3421,118,22,939,58,825,251,214,79,201,Krummholz
108106,3109,126,14,684,78,2771,243,229,112,2799,Lodgepole_Pine
94695,2664,205,31,108,45,1890,185,250,180,1087,Lodgepole_Pine
44313,3136,6,2,120,1,3956,216,234,155,1448,Spruce_Fir
90144,2782,113,16,283,68,437,246,222,100,384,Aspen
38053,3270,242,17,30,0,6053,185,252,202,518,Spruce_Fir
23653,3146,94,10,42,4,3308,236,225,119,4282,Spruce_Fir
17478,3275,167,15,524,114,1064,231,244,140,1879,Spruce_Fir
49336,2798,159,28,85,36,3960,236,232,106,5482,Lodgepole_Pine
31672,3308,40,8,474,85,4506,221,223,137,1956,Spruce_Fir
74348,2704,258,13,150,33,402,189,247,196,331,Lodgepole_Pine
34923,3566,21,3,309,73,1761,217,232,152,1468,Krummholz
27579,2666,107,18,190,2,1318,247,216,90,511,Lodgepole_Pine
31386,3200,47,9,295,44,518,224,220,130,1995,Lodgepole_Pine
64308,3503,40,17,603,91,2748,219,199,110,1774,Spruce_Fir
28784,2760,56,25,228,88,247,227,178,70,1777,Aspen
20285,2894,208,13,42,7,4329,211,251,174,3846,Spruce_Fir
67934,2489,192,26,60,23,780,208,250,161,1182,Lodgepole_Pine
79615,2663,92,32,150,22,907,249,173,27,1855,Lodgepole_Pine
36511,2991,80,7,865,214,1077,230,228,131,2395,Lodgepole_Pine
20974,3191,29,30,618,-3,871,194,159,84,1622,Spruce_Fir
53928,2563,218,21,150,36,966,193,254,191,1500,Ponderosa_Pine
27107,2926,21,8,228,4,4915,215,223,145,3424,Spruce_Fir
18103,2799,100,25,67,14,228,251,198,59,1471,Lodgepole_Pine
110363,2448,15,11,458,178,912,210,217,143,990,Douglas_fir
63012,3019,58,6,42,-1,845,224,228,138,2182,Lodgepole_Pine
62873,3041,351,23,810,15,900,173,195,155,1385,Douglas_fir
42938,2920,300,8,182,78,979,199,237,178,1928,Lodgepole_Pine
9179,3136,270,5,127,24,1087,206,242,174,1458,Spruce_Fir
16573,3219,147,26,350,121,3921,244,227,95,2813,Spruce_Fir
95943,2142,293,27,150,53,360,134,222,223,513,Ponderosa_Pine
42774,2434,142,11,335,78,849,237,237,129,1158,Douglas_fir
13704,2929,291,15,67,21,4053,175,236,200,604,Lodgepole_Pine
107192,2918,298,15,511,-57,1027,177,234,196,319,Lodgepole_Pine
98724,2681,61,5,120,5,1818,224,229,141,5385,Lodgepole_Pine
57505,2910,128,33,242,106,2340,252,199,45,1806,Lodgepole_Pine
68320,3081,316,15,361,-39,2093,179,226,187,2387,Lodgepole_Pine
