"X","elevation","aspect","slope","horizontal_distance_to_hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","class","index"
24,2937,41,13,192,29,2168,221,210,122,488,"Spruce_Fir",24
45,3103,193,17,268,34,2029,216,251,164,134,"Spruce_Fir",45
56,2322,293,2,424,141,1224,214,238,162,1167,"Ponderosa_Pine",56
72,2942,37,10,258,13,4906,220,219,133,2107,"Lodgepole_Pine",72
98,2999,31,13,306,47,1221,216,212,129,2356,"Spruce_Fir",98
127,3481,59,22,741,266,2370,231,188,79,1710,"Spruce_Fir",127
169,3483,49,15,726,249,2193,225,207,112,1698,"Spruce_Fir",169
194,2866,249,32,658,342,1026,134,242,233,1761,"Lodgepole_Pine",194
225,2708,15,7,443,99,2399,214,225,148,1563,"Lodgepole_Pine",225
231,3052,113,9,451,80,2478,236,231,126,2274,"Spruce_Fir",231
332,2551,59,7,277,27,816,226,226,134,503,"Lodgepole_Pine",332
333,2778,352,8,228,45,1573,206,226,158,2521,"Lodgepole_Pine",333
357,2787,325,28,258,117,2222,140,197,191,2424,"Lodgepole_Pine",357
392,3036,156,19,180,-1,914,238,238,122,684,"Lodgepole_Pine",392
397,3028,138,6,319,58,2316,229,238,143,573,"Lodgepole_Pine",397
470,2622,51,10,361,-17,850,225,218,126,752,"Ponderosa_Pine",470
496,3200,42,7,30,-2,4338,222,224,137,3384,"Spruce_Fir",496
502,3373,168,29,371,214,1741,228,236,118,541,"Krummholz",502
504,2656,75,18,384,89,1120,239,204,90,3655,"Lodgepole_Pine",504
523,2997,284,12,212,24,2292,187,240,192,972,"Lodgepole_Pine",523
536,2998,247,6,592,89,5645,207,245,176,2854,"Lodgepole_Pine",536
545,2945,332,13,124,20,1368,190,224,173,3199,"Spruce_Fir",545
590,2308,337,17,0,0,547,180,215,172,732,"Ponderosa_Pine",590
605,2986,294,9,30,1,2073,196,238,182,589,"Lodgepole_Pine",605
624,3262,64,7,95,7,6354,227,226,133,108,"Spruce_Fir",624
627,3013,62,17,190,44,5233,232,202,97,738,"Lodgepole_Pine",627
650,3199,3,14,450,139,1554,200,213,149,2271,"Ponderosa_Pine",650
655,2945,335,4,446,52,4272,211,234,162,5700,"Lodgepole_Pine",655
657,2921,30,13,532,39,3131,216,211,129,1986,"Lodgepole_Pine",657
711,2887,304,12,30,7,5142,186,234,188,1191,"Lodgepole_Pine",711
717,3239,323,7,108,9,4568,201,233,171,750,"Spruce_Fir",717
724,2623,225,10,108,44,1758,206,250,180,912,"Lodgepole_Pine",724
735,2243,290,27,162,77,904,133,224,225,474,"Ponderosa_Pine",735
