,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
66750,3062,163,6,150,3,1589,226,242,150,671,Spruce_Fir
69030,3025,298,31,283,99,1976,118,211,225,1611,Lodgepole_Pine
7622,3158,286,4,272,27,3195,208,239,170,876,Lodgepole_Pine
2964,3241,75,18,604,17,990,239,203,88,2005,Spruce_Fir
40412,2892,83,6,450,76,3707,229,230,135,3111,Lodgepole_Pine
50649,2891,2,7,417,75,3661,211,227,154,3105,Lodgepole_Pine
54752,2376,131,9,30,-5,153,235,235,132,331,Douglas_fir
13334,2926,268,23,175,99,5255,155,242,222,4889,Lodgepole_Pine
17786,2916,31,4,390,3,4625,219,230,148,4226,Lodgepole_Pine
102642,2955,251,17,480,56,5653,181,250,205,5629,Lodgepole_Pine
25355,2844,284,10,216,-36,1500,193,240,187,1353,Lodgepole_Pine
71329,3089,338,4,379,46,485,210,233,162,726,Spruce_Fir
29037,3073,9,5,513,74,5478,215,230,153,3605,Lodgepole_Pine
90989,2941,256,14,67,11,2584,186,248,200,342,Lodgepole_Pine
82643,2733,68,23,150,7,162,236,187,70,1233,Aspen
3880,2116,101,34,67,38,721,252,174,20,60,Cottonwood_Willow
54823,3011,157,7,531,-8,1608,228,241,146,1511,Spruce_Fir
103834,2950,172,16,713,150,2612,229,246,143,1600,Lodgepole_Pine
99167,2992,180,13,162,18,1666,224,248,153,3601,Spruce_Fir
1748,3190,172,5,242,42,3449,223,242,154,1519,Lodgepole_Pine
49110,3007,87,15,277,21,2708,241,215,100,1554,Lodgepole_Pine
102537,2850,357,23,124,33,997,177,192,147,1950,Cottonwood_Willow
20574,3419,143,17,162,12,4264,242,234,115,4287,Krummholz
90761,2824,11,6,30,0,1129,214,228,151,1782,Lodgepole_Pine
18562,2784,303,25,300,117,2067,142,219,213,384,Lodgepole_Pine
31390,2481,357,10,450,77,513,204,221,155,1044,Douglas_fir
35720,2903,145,30,108,40,6354,245,219,79,4262,Lodgepole_Pine
16185,2968,90,6,150,27,4573,230,230,134,1142,Lodgepole_Pine
87936,2310,308,22,150,72,759,154,220,204,633,Ponderosa_Pine
45528,3465,56,13,618,31,2620,228,213,116,1935,Spruce_Fir
96510,2619,45,7,67,10,711,222,224,137,1650,Lodgepole_Pine
101556,3187,89,16,180,11,1371,242,213,97,2431,Lodgepole_Pine
42602,3365,287,11,918,166,983,190,240,189,808,Spruce_Fir
54866,3079,114,25,335,143,1740,253,205,64,2802,Spruce_Fir
96133,3018,181,16,690,151,5857,224,248,152,3883,Lodgepole_Pine
97778,3006,69,18,270,24,2281,236,201,89,1920,Lodgepole_Pine
40495,2920,52,15,631,141,1218,227,206,108,2571,Spruce_Fir
89262,3178,58,6,598,36,3235,225,227,137,3941,Spruce_Fir
17237,2509,24,23,120,20,2011,201,184,111,806,Douglas_fir
79228,2938,323,15,175,18,3673,181,224,182,2370,Lodgepole_Pine
41265,3230,14,13,531,55,1560,207,213,141,2263,Lodgepole_Pine
91439,3159,22,17,408,42,4774,207,201,126,2573,Spruce_Fir
83662,3027,21,19,404,149,2072,205,197,124,2449,Spruce_Fir
13534,2822,74,33,90,58,1842,238,159,26,1379,Lodgepole_Pine
10401,2640,90,4,85,14,1579,226,233,143,153,Lodgepole_Pine
62948,3226,305,11,30,12,3220,188,234,186,1401,Spruce_Fir
16642,2506,307,27,60,26,1338,137,213,211,1851,Douglas_fir
84202,2802,89,23,95,36,3958,247,196,65,983,Lodgepole_Pine
13842,3331,12,8,755,36,789,212,224,149,1385,Krummholz
66758,3029,263,17,417,195,1062,177,246,207,603,Lodgepole_Pine
73523,2987,359,15,735,189,3001,197,212,151,902,Lodgepole_Pine
17405,3037,0,0,30,0,2656,218,238,156,866,Spruce_Fir
103220,3275,254,12,616,152,3654,193,248,193,2039,Lodgepole_Pine
103091,2162,49,38,319,135,660,206,132,28,698,Ponderosa_Pine
76764,2428,100,23,120,34,860,251,202,67,1031,Ponderosa_Pine
13588,3358,317,18,666,172,853,169,221,191,484,Spruce_Fir
17011,2895,10,12,67,4,1926,206,215,145,2249,Lodgepole_Pine
17287,3078,296,7,67,5,2325,200,238,178,2123,Spruce_Fir
20920,3411,84,7,408,63,799,230,228,131,870,Ponderosa_Pine
77501,2684,282,15,85,-8,1673,177,240,202,671,Lodgepole_Pine
24703,3351,122,25,495,118,1784,253,211,70,1756,Krummholz
45167,2919,195,27,124,28,1907,203,250,165,2185,Lodgepole_Pine
25015,2959,311,18,255,119,5328,169,225,195,4965,Lodgepole_Pine
93337,2756,272,11,170,31,1441,190,243,193,1867,Lodgepole_Pine
79429,2978,345,3,360,26,4360,214,235,159,5475,Lodgepole_Pine
13620,3036,92,21,335,-51,644,247,203,74,1677,Douglas_fir
34699,2962,67,8,339,7,4523,228,224,129,3398,Spruce_Fir
59445,2761,54,30,42,-2,170,222,162,54,1507,Aspen
72310,2910,318,15,467,148,2654,181,226,185,1194,Lodgepole_Pine
100980,3241,62,11,85,22,2613,230,216,118,2694,Spruce_Fir
25201,2718,140,12,0,0,2340,238,236,126,543,Aspen
139,3256,18,10,60,12,1992,213,220,143,1883,Lodgepole_Pine
28069,3650,16,19,684,238,2911,201,198,130,1304,Spruce_Fir
48228,3022,206,17,330,0,1215,207,253,177,509,Lodgepole_Pine
95509,2537,175,9,240,16,190,225,245,153,1480,Lodgepole_Pine
51621,2203,59,21,0,0,900,231,190,83,934,Cottonwood_Willow
105420,3209,73,5,127,7,5666,226,230,139,816,Spruce_Fir
57423,2565,96,6,437,20,1237,231,231,133,1433,Ponderosa_Pine
12998,3176,18,4,324,33,4308,217,231,152,824,Spruce_Fir
37624,2563,200,38,90,-29,450,177,241,168,931,Lodgepole_Pine
30359,3293,53,16,180,11,1840,227,203,105,2670,Spruce_Fir
39747,2809,234,20,150,52,1648,182,253,204,1289,Lodgepole_Pine
83678,2417,72,4,240,66,474,224,232,144,779,Ponderosa_Pine
5846,3272,196,17,424,96,3267,214,252,166,2973,Ponderosa_Pine
2320,3070,168,10,331,36,6603,228,244,147,3287,Lodgepole_Pine
47406,2790,342,14,67,14,2006,189,217,166,2952,Lodgepole_Pine
71007,2582,54,7,481,77,1230,224,225,136,1585,Lodgepole_Pine
85283,3400,183,14,162,45,2333,223,249,155,3390,Spruce_Fir
83236,3027,346,18,525,32,4002,184,209,162,2394,Lodgepole_Pine
86805,3392,93,21,210,80,2408,248,203,73,2012,Krummholz
76564,2750,267,10,0,0,1187,193,244,190,1451,Lodgepole_Pine
43394,2168,352,7,0,0,661,208,228,158,1403,Cottonwood_Willow
8373,2459,41,11,30,7,474,222,216,129,797,Douglas_fir
106992,3240,104,12,499,108,789,241,224,111,5530,Spruce_Fir
95565,3056,155,11,120,15,722,233,241,139,1463,Lodgepole_Pine
50874,2226,336,36,277,139,480,117,166,173,433,Ponderosa_Pine
46262,3252,159,14,67,12,5171,234,242,134,390,Lodgepole_Pine
98341,3077,58,18,216,-12,3324,230,198,94,5467,Spruce_Fir
11261,3239,205,23,190,50,3163,199,253,179,771,Spruce_Fir
95075,3016,2,5,95,11,1048,212,229,155,2413,Lodgepole_Pine
9990,3336,14,4,696,41,849,216,231,153,1368,Krummholz
39103,2504,18,8,30,6,1503,214,223,145,1706,Douglas_fir
89311,3329,141,13,30,3,1380,238,236,125,1516,Spruce_Fir
9970,3362,29,6,642,71,2160,218,226,144,2742,Lodgepole_Pine
46554,3383,54,18,698,101,2393,228,198,97,2096,Spruce_Fir
58583,2360,69,22,277,31,960,237,192,76,782,Ponderosa_Pine
53884,3253,47,17,30,-1,1692,224,200,105,858,Krummholz
82345,3151,269,14,95,16,5638,183,244,200,2400,Lodgepole_Pine
45008,2919,51,13,60,10,4701,226,211,117,4602,Spruce_Fir
71103,2716,15,26,514,189,930,186,176,116,731,Lodgepole_Pine
51241,3090,129,10,150,10,6856,237,234,127,2686,Lodgepole_Pine
50661,2815,63,13,182,51,1707,231,214,113,1308,Lodgepole_Pine
40068,3311,144,16,256,87,3015,241,235,118,3141,Krummholz
73342,3080,258,12,90,14,5500,191,247,195,2543,Lodgepole_Pine
6943,2810,288,10,60,10,2807,193,239,186,4430,Lodgepole_Pine
80980,2906,72,7,170,43,5121,228,227,133,4277,Lodgepole_Pine
110373,2291,118,23,510,133,1425,252,213,76,940,Cottonwood_Willow
109477,2646,287,46,420,221,870,56,187,246,1282,Lodgepole_Pine
20927,2993,305,10,85,9,785,194,235,181,2671,Lodgepole_Pine
73184,2751,358,17,162,-48,153,193,207,150,759,Spruce_Fir
96898,3438,351,28,365,145,2486,158,179,151,2431,Spruce_Fir
36330,3100,37,7,323,63,2845,220,224,140,5825,Lodgepole_Pine
45081,2490,213,21,85,33,1170,196,254,187,592,Ponderosa_Pine
71761,3179,138,11,859,243,1022,237,236,128,2139,Lodgepole_Pine
89955,2749,68,11,218,1,1600,232,218,118,1812,Spruce_Fir
44515,3099,137,8,150,8,1523,233,237,135,3301,Spruce_Fir
60937,2817,64,18,90,26,2650,233,200,92,2764,Lodgepole_Pine
42718,3277,205,20,391,164,1073,204,254,177,1919,Spruce_Fir
37733,2955,292,9,175,33,1677,194,238,185,1366,Lodgepole_Pine
46984,3173,37,22,228,37,924,213,185,98,5113,Spruce_Fir
45304,2448,1,15,469,178,977,197,210,149,1041,Douglas_fir
17890,2692,64,15,153,18,180,233,208,104,2329,Lodgepole_Pine
93674,2439,141,22,270,-103,1230,246,228,100,1570,Ponderosa_Pine
32070,3289,183,17,671,89,2451,222,249,154,1638,Lodgepole_Pine
20635,2554,41,13,361,50,421,221,211,123,849,Lodgepole_Pine
97297,2983,75,13,437,96,1816,236,214,107,3186,Lodgepole_Pine
9123,2838,90,9,268,47,2226,233,227,125,1710,Lodgepole_Pine
60035,3159,354,2,175,-19,892,215,235,157,1073,Spruce_Fir
19615,2758,59,14,153,-6,301,230,210,110,968,Lodgepole_Pine
12299,2965,284,9,564,65,5884,195,241,185,6233,Lodgepole_Pine
48728,2517,96,6,300,-13,518,231,231,133,685,Lodgepole_Pine
52037,2942,135,8,67,10,3586,234,237,134,6392,Cottonwood_Willow
101520,3147,317,12,800,279,808,188,230,181,1698,Lodgepole_Pine
88105,3135,180,1,270,0,3824,219,239,157,1295,Spruce_Fir
4721,2812,2,14,0,0,1920,200,214,150,1087,Spruce_Fir
99245,2344,201,6,228,78,616,218,245,163,726,Ponderosa_Pine
30202,2932,286,9,371,36,5515,195,240,184,5509,Lodgepole_Pine
43894,2827,44,20,268,173,283,220,193,99,1465,Aspen
92068,3309,172,2,446,134,5232,220,239,156,1231,Lodgepole_Pine
15720,2812,353,14,30,2,2412,196,215,157,953,Lodgepole_Pine
56596,3086,211,23,702,289,2277,195,254,185,1172,Lodgepole_Pine
72767,3434,165,11,67,11,1248,230,244,143,1087,Krummholz
80046,3053,259,14,60,4,1618,185,247,200,1889,Spruce_Fir
21987,2999,245,18,30,5,1437,181,251,206,2556,Spruce_Fir
104077,2772,231,10,150,15,2970,204,250,182,2163,Lodgepole_Pine
103377,3205,130,12,417,33,4581,240,233,122,1677,Spruce_Fir
78209,2959,76,16,30,12,1632,238,208,96,3466,Spruce_Fir
9744,3426,86,11,150,17,1761,236,222,117,3417,Spruce_Fir
89019,3206,54,13,335,11,1060,227,211,114,1370,Spruce_Fir
95323,2579,174,16,295,32,2093,228,246,146,1854,Ponderosa_Pine
108926,3244,197,15,404,77,2885,215,251,167,853,Lodgepole_Pine
92510,3277,357,19,1082,260,1956,186,202,151,2184,Spruce_Fir
37803,3385,139,10,815,179,646,235,237,132,175,Krummholz
95202,3204,348,7,644,128,390,207,229,160,1894,Lodgepole_Pine
4552,2982,311,36,481,51,2028,102,188,214,1182,Lodgepole_Pine
74500,3049,101,19,60,7,875,248,212,85,2118,Spruce_Fir
75968,3124,149,22,124,19,3908,242,233,108,3045,Spruce_Fir
17213,2637,120,9,240,9,1173,236,233,128,5458,Lodgepole_Pine
92115,2965,350,14,216,37,1950,194,216,159,792,Lodgepole_Pine
107856,2848,110,13,60,15,2787,242,225,109,2791,Lodgepole_Pine
89812,2762,193,20,335,26,1165,213,252,164,698,Lodgepole_Pine
104814,3327,169,15,537,48,4137,230,245,142,2097,Krummholz
76997,2879,25,24,295,66,2765,200,182,108,1756,Lodgepole_Pine
53058,2780,5,14,218,43,3094,201,212,147,1082,Lodgepole_Pine
74275,3007,36,28,67,5,5047,206,168,82,2867,Spruce_Fir
17776,2915,69,28,210,115,819,236,173,50,664,Lodgepole_Pine
42941,3109,61,8,95,16,2905,227,223,129,3381,Spruce_Fir
22195,3010,291,8,376,-24,1768,197,239,181,1691,Lodgepole_Pine
47241,2518,166,17,228,58,2106,232,244,136,192,Ponderosa_Pine
50019,2978,320,11,95,26,1864,192,230,177,573,Lodgepole_Pine
14567,2100,37,30,153,76,540,204,161,74,571,Ponderosa_Pine
43737,2912,288,4,90,11,2148,209,239,169,1560,Lodgepole_Pine
103167,3011,246,14,806,95,5925,190,250,197,3794,Lodgepole_Pine
7874,3169,140,21,180,14,2296,246,228,100,1541,Spruce_Fir
86111,3077,80,4,466,78,5440,225,232,142,3538,Lodgepole_Pine
58420,2596,23,38,258,130,832,171,132,72,1316,Lodgepole_Pine
89597,3286,127,5,384,43,5391,228,237,143,1001,Lodgepole_Pine
32877,2841,25,28,256,110,1024,194,169,98,1124,Spruce_Fir
