,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
0,17.13,1.49,6.1,15.8,23.8,0.93,8.8,9.9,33.1,0.0,2.5
1,2.69,1.69,9.7,14.8,23.0,0.58,8.8,9.6,32.3,30.0,1.8
2,1.2,1.71,27.1,11.8,17.6,0.33,7.3,8.5,25.2,38.0,2.5
11,0.25,1.62,34.0,13.0,15.1,0.18,13.1,5.7,17.8,125.0,1.3
14,31.02,1.37,4.1,10.9,28.3,1.02,8.6,11.0,35.4,0.0,1.7
17,4.5,1.75,21.4,8.4,22.8,0.2,6.0,10.2,29.1,82.0,2.1
20,10.53,1.54,2.8,14.9,27.2,0.51,7.1,5.2,41.7,0.0,1.1
21,10.19,1.59,6.0,17.6,21.4,0.22,8.9,3.8,41.2,33.0,1.1
22,10.79,1.59,10.9,12.8,24.6,0.19,7.4,7.1,35.7,90.0,1.5
23,4.85,1.61,23.6,10.8,20.6,0.23,7.3,7.1,28.1,106.0,2.5
25,0.42,1.79,26.3,11.0,23.1,0.14,7.7,6.8,24.4,156.0,0.7
27,23.67,1.25,9.5,10.2,23.6,1.2,11.1,4.8,38.5,0.0,2.3
28,1.77,1.71,34.9,5.9,18.9,0.37,9.2,3.9,26.5,38.0,0.7
29,1.78,1.61,39.8,5.0,18.5,0.23,8.6,3.6,23.8,69.0,0.7
37,0.85,1.67,29.2,10.1,18.4,0.21,8.1,8.1,23.6,78.0,2.5
41,16.76,1.3,2.85,8.63,21.57,0.02,8.42,0.48,58.05,34.0,0.0
42,9.77,1.5,1.74,21.13,16.02,0.5,3.7,3.81,53.22,24.0,0.38
44,23.14,1.42,3.31,16.08,14.08,0.14,6.73,3.5,55.82,29.0,0.48
69,12.72,1.28,2.7,8.76,32.41,0.07,8.28,5.26,41.35,38.0,1.24
74,46.7,1.47,2.3,9.1,34.6,0.78,3.3,4.8,45.8,0.0,0.1
75,39.1,1.53,1.8,9.4,35.9,0.35,1.9,5.2,45.7,10.0,0.1
76,48.3,1.54,1.6,8.4,37.5,0.32,1.9,5.6,44.9,41.0,0.1
77,42.7,1.61,1.8,8.3,36.8,0.05,0.1,6.2,46.7,84.0,0.1
78,38.8,1.64,1.9,9.8,35.2,0.05,0.2,5.5,47.3,140.0,0.1
82,13.1,1.43,1.9,17.5,0.3,0.04,4.6,0.0,75.7,74.0,0.0
84,0.1,1.57,19.7,15.0,0.2,0.04,5.1,0.1,59.9,127.0,0.0
93,10.5,1.38,5.4,4.1,36.4,2.05,14.2,10.9,28.5,0.0,0.5
94,7.5,1.74,5.8,5.0,35.0,0.22,10.1,11.4,31.5,13.0,1.2
95,8.5,1.72,5.7,4.8,36.6,0.08,8.8,13.1,29.6,43.0,1.4
