,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
5497,28.25,1.57,0.3,7.5,34.4,0.22,3.3,6.1,48.1,20.0,0.3
4685,13.2,1.52,2.8,7.3,6.6,0.64,3.9,5.7,71.5,71.0,2.2
15591,0.03,1.81,22.1,13.7,4.6,0.04,1.7,0.1,57.8,183.0,0.0
595,3.7,1.69,4.8,3.7,41.2,0.6,3.5,7.4,39.1,0.0,0.3
4417,3.28,1.65,33.8,8.2,22.1,0.08,10.8,6.9,17.8,107.0,0.4
4934,25.0,1.44,1.8,0.9,10.5,0.39,3.8,1.4,81.6,140.0,0.0
10611,0.66,1.18,12.6,28.7,2.1,4.45,40.8,1.2,14.4,0.0,0.2
1459,27.95,1.52,1.9,5.4,42.0,1.07,2.2,3.5,45.0,119.0,0.0
5480,15.35,1.61,0.7,9.1,32.1,0.23,4.9,3.0,50.2,20.0,0.0
12343,0.31,1.67,9.0,8.2,14.6,0.18,2.3,1.6,64.2,168.0,0.1
10011,6.41,1.62,16.2,12.0,14.8,0.09,4.2,1.6,51.2,160.0,0.0
1261,2.82,1.36,6.9,7.1,11.2,0.75,2.0,1.2,71.5,84.0,0.1
368,4.9,1.76,12.4,0.8,45.8,0.34,3.3,8.5,28.8,61.0,0.4
9137,13.1,1.61,1.2,6.6,30.1,0.08,1.4,6.6,54.0,64.0,0.1
9983,53.9,1.33,1.1,2.5,60.3,1.45,0.5,5.3,30.3,0.0,0.0
4461,2.63,1.7,6.9,4.7,27.6,0.03,1.0,10.3,48.4,124.0,1.1
12309,14.3,1.53,0.3,27.2,5.1,0.3,1.5,0.2,65.7,13.0,0.0
3756,9.53,1.6,3.1,9.3,27.6,0.41,2.9,1.2,55.9,150.0,0.0
6593,0.02,1.62,30.4,9.8,9.8,0.19,4.8,0.4,44.8,91.0,0.0
17306,7.36,1.63,2.4,28.8,2.1,0.38,8.7,0.2,57.8,18.0,0.0
7466,65.7,1.46,0.2,2.8,62.2,0.22,1.2,4.1,29.5,18.0,0.0
11862,10.1,1.6,2.4,28.8,2.1,0.38,8.7,0.2,57.8,18.0,0.0
14427,23.0,1.32,8.4,14.0,18.7,1.44,9.3,5.5,43.8,0.0,0.3
7865,27.6,1.28,3.6,12.9,14.1,1.64,3.0,4.8,61.1,0.0,0.5
2274,0.04,1.78,20.2,30.6,6.0,0.28,2.8,1.0,38.4,137.0,0.0
8251,5.43,1.49,1.0,14.3,1.7,1.47,5.3,0.1,77.6,53.0,0.0
7782,17.1,1.3,0.6,33.1,8.7,0.15,1.4,1.2,54.9,10.0,0.1
15189,0.24,1.61,25.8,12.3,3.7,0.3,42.3,1.1,14.7,41.0,0.1
17713,1.11,1.82,8.7,23.8,13.3,0.19,12.1,5.0,36.5,84.0,0.6
6427,21.05,1.26,7.4,4.8,22.7,1.06,5.6,1.7,57.7,33.0,0.1
2138,7.19,1.46,0.9,4.1,5.6,1.39,3.6,0.3,85.5,76.0,0.0
14095,0.12,1.78,18.4,17.2,12.0,0.28,5.4,1.8,45.0,66.0,0.2
16672,17.1,1.69,1.1,16.2,30.2,0.15,3.1,17.0,29.8,107.0,2.6
7665,2.93,1.72,15.5,12.3,13.2,0.17,1.9,1.0,56.1,96.0,0.0
2273,0.87,1.63,3.2,23.3,7.0,0.85,3.4,1.5,61.5,132.0,0.1
4555,20.7,1.57,0.8,6.4,44.4,0.21,2.0,4.8,41.5,25.0,0.1
16092,1.69,1.8,12.9,1.4,44.3,0.14,8.5,13.9,17.6,64.0,1.4
5103,0.02,1.51,40.7,1.7,2.4,0.22,35.1,1.7,17.2,38.0,1.2
4324,113.15,1.28,0.5,1.2,55.9,0.7,2.7,17.2,22.2,8.0,0.3
12312,9.95,1.59,1.0,25.5,4.5,0.12,1.3,0.2,67.5,84.0,0.0
5768,0.28,1.76,22.2,10.8,13.1,0.02,3.0,0.8,50.1,185.0,0.0
16345,20.6,1.58,2.3,6.6,13.0,0.22,2.0,2.5,73.5,20.0,0.1
3336,22.75,1.68,1.6,2.9,29.4,0.06,0.8,5.4,59.6,137.0,0.3
12207,99.9,1.52,2.6,8.2,34.2,0.02,11.0,16.8,25.2,147.0,2.0
18406,0.31,1.59,13.8,35.4,0.9,4.95,23.0,0.2,26.5,0.0,0.2
6502,29.25,1.44,3.5,4.1,5.2,1.6,4.4,0.2,82.6,84.0,0.0
484,54.5,1.53,1.6,5.9,41.4,0.08,1.8,7.7,41.4,28.0,0.2
1242,1.5,1.5,39.3,7.4,6.8,0.24,3.0,0.7,42.8,86.0,0.0
4313,1.89,1.7,11.0,6.4,42.7,0.17,3.4,10.1,25.5,53.0,0.7
1794,21.4,1.37,2.4,15.3,19.2,1.25,3.5,2.7,56.9,0.0,0.0
9020,32.2,1.16,1.1,6.4,18.8,0.83,1.2,1.4,71.1,0.0,0.0
13053,2.38,1.49,11.6,17.8,0.3,0.03,1.5,0.0,68.8,165.0,0.0
18108,1.86,1.59,17.8,15.5,18.6,0.06,5.0,4.5,38.5,101.0,0.1
15867,23.0,1.51,4.0,2.7,14.3,1.28,3.9,1.4,73.7,41.0,0.0
4473,1.14,1.5,14.4,25.5,7.3,0.3,30.1,2.0,20.4,23.0,0.3
4489,7.45,1.54,3.2,15.6,15.4,0.53,5.1,1.4,59.2,33.0,0.1
4737,0.27,1.54,20.0,10.3,21.2,0.21,9.0,8.6,28.9,74.0,2.0
18142,39.4,1.21,18.2,6.9,10.7,3.03,33.0,10.7,14.2,0.0,6.3
16800,40.8,1.45,2.7,5.5,19.7,0.84,7.9,24.8,32.5,0.0,6.9
872,7.7,1.58,6.7,26.3,7.6,0.16,5.0,1.3,53.0,48.0,0.1
13902,0.1,1.8,20.0,15.3,17.9,0.07,7.9,13.6,20.3,142.0,5.0
17883,0.8,1.63,30.2,6.8,7.8,0.13,5.2,0.4,49.6,84.0,0.0
5375,26.95,1.39,1.3,15.1,25.1,0.68,4.5,2.0,52.0,0.0,0.0
9947,0.65,1.5,54.3,5.4,4.6,0.13,9.3,0.2,26.2,104.0,0.0
