,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
11321,0.1,1.45,27.1,6.21,3.8,0.11,7.3,3.0,51.0,127.0,1.6
9445,2.93,1.66,22.9,23.2,6.3,0.04,25.4,1.3,20.8,89.0,0.1
18291,4.38,1.11,9.3,10.1,1.9,2.58,5.9,0.1,72.7,38.0,0.0
14605,0.07,1.62,28.9,12.0,10.0,0.07,9.5,1.0,38.5,170.0,0.1
1491,9.22,1.55,1.5,4.6,41.3,0.59,2.9,3.2,46.5,160.0,0.0
11394,28.3,1.58,3.6,12.6,26.1,0.17,4.7,1.9,51.1,20.0,0.0
15294,23.0,1.51,1.1,23.5,2.6,0.02,3.4,0.1,69.2,53.0,0.1
9746,1.58,1.63,27.6,8.4,5.2,0.12,3.6,0.4,54.8,112.0,0.0
9077,22.3,1.33,0.6,25.6,2.4,0.63,2.3,0.3,68.8,18.0,0.0
1318,0.77,1.72,30.8,3.8,10.2,0.15,2.5,0.3,52.4,135.0,0.0
13123,15.5,1.5,3.5,9.7,18.2,0.69,3.3,1.2,64.0,0.0,0.1
7614,0.08,1.6,33.8,13.6,10.8,0.21,1.8,0.7,39.2,152.0,0.1
15714,72.3,1.51,0.5,1.7,45.8,0.03,0.1,7.6,44.1,162.0,0.2
16639,1.22,1.51,2.7,10.4,2.8,0.24,3.1,0.5,80.5,15.0,0.0
6754,24.35,1.44,2.5,7.6,20.8,0.68,0.7,5.1,63.2,132.0,0.1
8608,0.5,1.42,41.0,25.4,3.8,0.09,5.8,0.8,23.2,135.0,0.0
16166,1.14,1.38,16.8,28.8,0.4,0.83,32.9,0.1,20.9,10.0,0.1
15705,16.4,1.52,1.9,14.8,17.7,0.96,2.8,1.7,61.1,0.0,0.0
3794,51.9,1.38,1.3,2.9,4.0,0.41,2.6,0.1,89.1,84.0,0.0
9005,56.5,1.54,0.4,0.3,69.4,0.7,0.9,3.8,25.2,10.0,0.0
658,1.4,1.47,8.1,26.8,8.6,0.63,31.2,2.3,22.7,13.0,0.3
11231,23.0,1.39,6.2,8.2,30.7,1.42,6.4,8.7,37.1,0.0,2.7
7712,6.57,1.61,1.6,18.2,8.6,0.24,4.7,1.1,65.7,18.0,0.1
13906,5.26,1.83,2.5,11.8,27.3,0.1,7.9,21.4,21.7,91.0,7.4
1749,8.08,1.53,6.3,19.0,14.6,1.12,6.0,2.2,51.8,0.0,0.1
9588,8.94,1.59,4.1,8.3,22.6,0.77,7.2,2.5,55.2,175.0,0.1
8368,3.09,1.5,25.6,9.0,16.0,0.13,7.4,2.8,39.0,68.0,0.2
14051,0.19,1.79,4.5,12.0,20.8,0.08,6.7,9.6,44.8,165.0,1.6
4016,19.95,1.39,1.5,7.0,0.5,0.32,4.5,0.1,86.4,20.0,0.0
14755,9.64,1.53,12.2,36.9,0.5,0.06,7.0,0.1,43.3,124.0,0.0
6145,26.61,1.59,14.2,13.6,18.4,0.79,15.6,11.4,24.4,20.0,2.4
6571,0.15,1.7,37.4,14.8,1.1,0.43,19.3,0.2,27.2,28.0,0.0
14977,45.4,1.4,2.4,1.5,3.0,0.99,1.1,0.0,92.0,0.0,0.0
4113,10.07,1.43,5.6,5.8,2.2,0.75,2.8,0.1,83.5,58.0,0.0
5270,4.85,1.54,3.3,24.0,15.5,1.05,6.3,1.2,49.7,33.0,0.0
16547,18.7,1.44,2.3,5.2,11.8,0.43,3.6,1.7,75.3,8.0,0.2
15391,18.1,1.58,1.0,13.0,2.6,0.09,1.7,0.1,81.6,36.0,0.0
8586,0.24,1.74,24.4,15.6,11.0,0.13,6.2,1.4,41.4,109.0,0.0
13229,2.9,1.48,4.1,8.2,28.4,1.2,2.9,1.8,54.6,51.0,0.0
6428,24.3,1.39,7.8,4.4,23.7,0.64,3.6,1.9,58.5,86.0,0.1
9968,1.21,1.73,8.3,9.6,29.6,0.11,3.9,2.6,46.0,190.0,0.0
8223,2.89,1.65,1.9,22.8,13.0,0.41,7.1,2.0,53.0,28.0,0.2
2165,61.55,1.53,2.8,1.5,48.7,0.17,1.9,21.6,22.5,8.0,1.0
1163,0.75,1.7,13.9,4.0,35.2,0.13,2.1,7.5,37.1,84.0,0.2
11882,1.12,1.64,40.7,5.6,2.0,0.06,9.3,0.2,42.2,69.0,0.0
4643,47.3,1.46,1.9,7.2,29.0,1.03,1.6,10.2,49.5,0.0,0.6
1476,46.5,1.53,10.6,8.4,27.7,0.2,10.6,12.3,30.0,15.0,2.5
17832,53.9,1.19,1.0,6.9,22.8,1.25,4.0,1.4,63.6,10.0,0.0
9887,10.3,1.56,1.4,25.1,3.0,0.1,2.8,0.1,67.6,53.0,0.0
11506,76.3,1.48,0.5,0.4,62.4,0.57,1.0,3.3,32.3,0.0,0.0
17898,0.879,1.48,40.3,8.8,8.4,0.12,6.5,0.4,35.6,165.0,0.0
15469,0.13,1.83,33.7,22.1,2.5,0.07,4.2,0.1,37.4,145.0,0.0
17601,47.3,1.55,0.2,0.5,48.4,0.08,0.3,7.3,43.1,127.0,0.2
12737,12.7,1.54,0.9,8.6,14.0,0.36,3.2,2.1,71.2,15.0,0.0
15646,0.32,1.46,54.3,5.4,4.6,0.13,9.3,0.2,26.2,104.0,0.0
