,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
686,27.0,1.42,13.6,8.3,21.9,2.48,11.0,5.0,39.3,0.0,0.3
2608,18.85,1.51,1.9,18.8,10.3,0.08,2.9,4.0,61.9,58.0,0.2
13857,167.0,1.46,2.4,1.0,61.2,0.1,0.4,7.8,27.2,89.0,0.0
6957,12.65,1.57,1.4,12.1,0.4,0.14,4.2,0.1,81.8,46.0,0.0
13834,61.8,1.57,0.7,1.0,61.7,0.08,0.0,8.5,28.0,130.0,0.1
17248,1.93,1.64,5.2,34.2,7.1,0.05,5.2,1.8,46.5,76.0,0.0
12408,21.7,1.57,0.6,8.6,12.5,0.16,1.8,0.7,75.8,18.0,0.0
10307,142.0,0.83,2.7,1.2,4.5,15.61,9.2,0.2,82.2,0.0,0.0
14369,0.87,1.68,17.8,22.2,6.0,0.12,3.9,1.1,48.9,112.0,0.1
15564,20.4,1.49,0.8,20.7,0.8,0.1,2.0,0.1,75.6,53.0,0.0
6955,67.05,1.54,1.4,1.1,42.0,0.09,0.0,2.3,53.2,25.0,0.0
11207,2.06,1.59,18.9,11.8,14.8,0.09,25.3,5.2,23.2,74.0,0.8
12523,5.48,1.1,8.2,0.1,0.0,1.08,91.6,0.0,0.1,68.0,0.0
13028,3.51,1.58,9.3,1.6,9.3,0.16,1.8,1.1,76.9,170.0,0.0
8764,14.5,1.59,4.4,34.2,6.0,0.39,2.5,0.4,52.5,69.0,0.0
533,1.7,1.56,15.7,8.1,30.8,0.14,9.5,4.3,31.4,79.0,0.2
14804,19.3,1.67,0.5,3.4,47.5,0.08,0.5,5.1,42.8,20.0,0.2
184,14.6,1.55,2.2,12.2,0.2,0.05,0.7,0.0,84.7,147.0,0.0
8341,34.2,1.74,3.4,6.4,17.2,1.19,14.8,3.6,54.4,61.0,0.2
6456,0.31,1.13,63.2,10.8,1.6,0.28,12.4,0.2,11.8,107.0,0.0
2378,11.6,1.43,3.9,26.8,5.8,0.53,7.2,0.2,56.1,8.0,0.0
4441,14.8,1.55,8.2,12.3,24.5,0.36,12.5,9.0,33.1,18.0,0.4
