,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
11896,14.5,1.66,6.2,11.6,15.0,0.05,3.8,0.8,62.6,140.0,0.0
10831,40.8,1.76,0.9,7.2,22.5,0.26,2.7,7.2,58.7,142.0,0.8
9076,18.7,1.29,1.7,28.2,1.7,3.25,0.0,0.1,68.3,0.0,0.0
3096,1.19,1.66,24.9,10.4,7.8,0.06,8.9,1.6,46.2,114.0,0.2
15293,15.1,1.51,0.9,24.5,2.6,0.03,1.8,0.1,70.1,25.0,0.0
5507,46.0,1.68,1.6,2.6,54.7,0.11,3.3,6.6,31.2,30.0,0.0
3340,20.4,1.33,1.5,4.8,28.9,1.22,1.4,5.4,57.8,20.0,0.2
10396,104.0,1.5,0.6,1.7,66.6,0.31,1.8,13.3,15.7,18.0,0.3
3106,23.93,1.12,9.6,20.8,16.1,2.43,10.5,3.1,39.9,0.0,0.0
6794,3.51,1.5,0.7,11.5,10.3,0.74,3.8,3.2,70.5,145.0,0.0
10043,36.2,1.52,1.4,1.7,6.8,0.16,0.4,0.1,89.6,114.0,0.0
11189,8.15,1.46,4.3,8.0,37.0,0.94,9.4,10.0,30.8,0.0,0.5
16777,1.75,1.6,7.5,9.0,23.2,0.6,23.9,13.6,20.8,23.0,2.0
3546,22.35,1.41,0.5,3.1,4.0,0.19,2.2,0.1,90.1,10.0,0.0
14202,51.3,1.17,1.2,6.0,22.8,3.14,4.5,4.8,60.6,0.0,0.1
16752,55.2,1.39,0.9,0.9,63.1,1.13,5.5,8.5,21.0,0.0,0.1
13031,15.8,1.59,0.4,2.4,9.4,0.18,2.0,0.7,85.1,8.0,0.0
12658,4.82,1.2,13.6,15.5,7.4,4.76,22.5,1.3,39.6,0.0,0.1
14179,4.38,1.39,9.2,19.5,6.6,3.28,13.3,0.8,50.7,0.0,0.0
9670,42.1,1.61,0.1,1.7,43.3,0.89,1.1,4.4,49.4,30.0,0.0
6324,0.82,1.75,8.4,9.2,43.6,0.16,1.6,4.3,32.9,58.0,0.0
16742,8.76,1.52,13.0,21.4,3.5,1.68,30.6,2.3,27.8,0.0,1.4
2551,1.58,1.51,15.4,13.4,19.1,1.4,9.7,5.8,35.2,0.0,1.4
7911,94.7,1.42,1.0,0.6,69.8,0.5,0.6,8.2,19.8,5.0,0.0
9913,1.05,1.68,5.4,16.5,19.9,1.34,6.7,2.2,49.2,53.0,0.1
3466,13.6,1.59,0.7,21.9,3.4,0.12,3.1,0.1,70.8,33.0,0.0
11434,5.7,1.53,3.2,23.0,15.1,0.47,5.6,1.5,51.6,68.0,0.0
13875,2.31,1.62,24.2,3.4,35.8,0.23,5.5,8.2,22.7,51.0,0.2
16229,3.29,1.55,2.6,1.3,62.6,1.7,11.6,11.0,10.4,0.0,0.5
7202,22.35,1.54,2.1,8.8,7.5,0.68,0.2,0.1,81.2,0.0,0.0
2650,30.6,1.63,0.5,4.0,29.9,0.08,0.7,2.0,62.9,43.0,0.0
9850,199.0,1.24,2.6,6.2,20.0,2.14,0.9,1.0,69.3,0.0,0.0
9451,1.94,1.4,7.0,20.8,16.8,0.82,13.0,5.6,36.4,18.0,0.4
319,3.7,1.39,0.3,1.0,7.4,1.75,6.6,0.7,84.0,170.0,0.0
241,1.4,1.59,57.1,9.4,0.8,0.07,23.4,0.3,8.9,96.0,0.1
12630,11.4,1.52,3.0,28.0,11.0,1.86,6.0,1.5,50.4,28.0,0.1
9909,0.19,1.63,5.6,19.1,24.3,0.2,10.0,1.9,39.1,185.0,0.0
3438,55.2,1.57,3.5,1.2,38.3,0.03,3.5,4.8,52.1,33.0,0.1
4783,36.15,1.43,1.5,5.4,10.2,0.72,1.3,0.5,81.1,0.0,0.0
6308,0.5,1.75,14.3,20.0,5.7,0.23,1.8,0.2,57.9,130.0,0.1
17683,14.5,1.63,5.4,20.6,21.4,0.15,11.8,10.0,29.2,28.0,1.6
36,0.51,1.82,30.9,9.5,17.2,0.23,8.7,8.3,22.3,41.0,3.1
5303,5.91,1.82,13.4,5.3,31.5,0.2,4.5,4.1,41.1,109.0,0.1
6885,1.25,1.5,3.4,3.4,2.1,0.34,2.3,0.1,88.7,79.0,0.0
3056,2.89,1.59,22.2,16.0,16.0,0.16,14.4,5.6,25.4,23.0,0.4
18541,17.1,1.48,1.1,2.9,31.4,1.5,0.6,1.5,62.5,180.0,0.0
8379,28.3,1.42,0.8,21.0,13.1,1.12,4.3,2.5,58.1,15.0,0.2
11876,0.05,1.71,29.7,15.8,2.2,0.02,6.1,0.2,46.0,104.0,0.0
18143,19.1,1.22,17.6,6.5,10.8,2.95,32.4,12.3,11.8,0.0,8.6
7815,19.7,1.5,0.8,9.0,29.2,1.02,1.1,4.0,55.9,0.0,0.0
5960,2.87,1.71,13.1,15.8,16.6,0.15,13.3,6.6,33.4,56.0,1.2
17327,0.37,1.56,41.0,6.4,6.0,0.04,8.6,0.8,37.2,112.0,0.0
3121,2.49,1.77,14.8,3.6,29.8,0.11,6.2,21.1,21.1,112.0,3.4
10951,64.4,1.49,0.5,4.2,11.3,0.05,1.1,0.6,82.3,142.0,0.0
3113,0.11,1.5,19.6,39.1,2.2,0.05,6.7,0.6,31.8,152.0,0.0
11717,0.05,1.86,21.4,4.7,33.6,0.09,2.9,4.9,32.3,102.0,0.2
9017,0.186,1.16,11.1,8.0,34.5,2.06,8.3,4.0,34.0,53.0,0.1
9406,2.08,1.53,16.5,18.4,11.4,0.97,26.1,3.0,24.4,10.0,0.2
10058,0.23,1.62,13.4,25.9,0.4,0.16,9.4,0.0,50.9,107.0,0.0
18320,1.84,1.37,4.8,10.9,1.0,1.26,6.4,0.1,76.8,28.0,0.0
663,0.1,1.37,34.0,7.2,8.8,0.13,6.8,1.0,42.0,66.0,0.2
13859,65.7,1.61,0.2,1.0,67.8,0.89,0.0,8.3,22.7,0.0,0.0
14730,6.14,1.63,3.8,15.4,24.8,0.62,8.1,5.9,41.7,43.0,0.3
17861,20.4,1.24,7.4,4.8,22.7,1.06,5.6,1.7,57.7,33.0,0.1
13939,6.03,1.73,9.7,3.5,38.6,0.1,3.9,11.2,28.2,99.0,4.9
6313,13.5,1.38,2.6,7.4,6.5,0.97,2.5,1.7,79.1,33.0,0.2
14328,25.0,1.6,1.3,3.4,40.0,0.43,0.7,2.2,52.4,0.0,0.0
3293,20.7,1.54,0.8,18.1,6.3,0.05,0.8,0.1,73.9,68.0,0.0
1053,20.05,1.51,1.6,20.9,20.0,0.64,1.9,2.3,53.2,13.0,0.1
6266,4.8,1.29,11.6,45.3,2.7,2.13,27.7,1.0,11.6,0.0,0.1
11553,13.1,1.33,3.6,12.6,8.3,2.39,3.0,0.9,71.6,0.0,0.0
15390,3.94,1.35,2.2,11.7,2.4,0.76,4.1,0.1,79.5,20.0,0.0
2341,6.31,1.78,6.7,23.0,9.3,0.08,6.7,2.1,52.0,117.0,0.2
4600,2.74,1.67,18.8,11.4,25.5,0.07,4.8,9.6,29.1,162.0,0.8
17750,0.13,1.78,10.4,20.0,6.1,0.17,1.5,0.2,61.8,150.0,0.0
8140,0.07,1.62,45.0,8.2,10.4,0.11,6.8,1.8,27.6,130.0,0.2
12931,39.4,1.33,2.6,5.1,2.2,0.29,6.4,0.0,83.7,23.0,0.0
9227,0.8,0.99,13.7,11.1,0.7,6.72,18.3,0.1,56.1,36.0,0.0
1044,0.01,1.64,17.8,19.6,13.5,0.3,2.8,2.6,43.7,51.0,0.0
1008,61.15,1.43,2.0,5.9,40.7,0.49,3.6,6.9,40.8,33.0,0.1
8149,10.5,1.54,4.3,14.8,14.6,0.24,6.0,2.3,57.8,20.0,0.2
15856,59.2,1.47,2.5,6.5,6.8,1.3,7.0,0.8,76.4,0.0,0.0
4244,36.2,1.57,1.8,1.2,45.7,0.06,1.0,7.6,42.5,53.0,0.2
3836,30.55,1.63,1.3,7.0,44.1,0.06,3.1,3.3,41.1,102.0,0.1
14427,23.0,1.32,8.4,14.0,18.7,1.44,9.3,5.5,43.8,0.0,0.3
4153,32.9,1.54,1.4,5.8,50.7,0.25,0.7,1.8,39.6,23.0,0.0
1701,14.5,1.24,7.2,16.0,16.2,0.98,18.7,5.9,35.5,0.0,0.4
8371,15.8,1.31,3.1,10.8,16.1,1.08,3.5,1.8,64.6,0.0,0.1
18420,49.1,1.44,0.6,1.4,9.1,0.34,2.8,0.1,86.0,30.0,0.0
13291,25.4,1.67,4.0,7.9,30.9,0.09,5.6,9.0,41.7,76.0,0.9
3516,11.8,1.67,1.8,8.9,8.6,0.61,2.5,0.6,77.5,13.0,0.1
14002,7.23,1.48,5.2,22.5,14.2,0.81,6.3,1.6,50.1,0.0,0.1
17359,2.38,1.82,0.6,1.8,51.4,0.1,1.7,6.7,37.7,102.0,0.1
14989,34.2,1.47,1.0,4.4,3.5,0.15,0.9,0.1,90.1,91.0,0.0
11015,38.1,1.51,3.0,1.7,43.5,0.53,2.1,3.7,45.9,96.0,0.1
7198,55.35,1.6,1.2,1.4,43.1,0.17,1.9,0.8,51.6,74.0,0.0
