"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
0,17.13,1.49,6.1,15.8,23.8,0.93,8.8,9.9,33.1,0,2.5
1,2.69,1.69,9.7,14.8,23,0.58,8.8,9.6,32.3,30,1.8
2,1.2,1.71,27.1,11.8,17.6,0.33,7.3,8.5,25.2,38,2.5
4,0.18,1.9,27.4,14.5,17.2,0.13,5.7,7.7,25.7,129,1.8
6,0.04,2.02,20.1,7.2,29,0.09,3.6,10.7,28.6,184,0.8
7,6.25,1.53,9,10.8,25.4,1.12,12.1,13.9,24.5,0,4.3
22,10.79,1.59,10.9,12.8,24.6,0.19,7.4,7.1,35.7,90,1.5
24,0.96,1.73,28.7,9.3,20.9,0.18,6.3,8.3,23.9,128,2.6
28,1.77,1.71,34.9,5.9,18.9,0.37,9.2,3.9,26.5,38,0.7
41,16.76,1.3,2.85,8.63,21.57,0.02,8.42,0.48,58.05,34,0
43,8.68,1.38,2.71,30.59,5.83,0.07,14.27,0.65,45.88,37,0.07
47,7.74,0.82,12.38,7.54,10.98,6.08,42.38,7.98,10.56,6,8.18
59,6.11,1.07,2.93,33.38,0.33,0.74,51.42,0.03,11.91,9,0
63,0.008,1.38,9.06,9.36,0.78,2.14,76.33,0.43,3.86,0,0.18
65,0.68,1.61,1.54,30.26,2.06,0.07,59.47,0.17,6.37,24,0.13
70,8.18,1.3,6.31,35.27,1.03,1.51,42.35,0.76,13.24,0,1.04
78,38.8,1.64,1.9,9.8,35.2,0.05,0.2,5.5,47.3,140,0.1
79,32.9,1.1,2.8,21.4,0.3,1.29,7.3,0.1,68.1,0,0
81,21.7,1.34,2.6,22.1,0.2,0.14,5.4,0,69.7,38,0
87,26.3,1.51,2.8,10.4,28.9,0.69,6,20.4,25,36,6.5
97,14.3,1.54,0.4,5.8,35,1.07,2.4,2,54.4,5,0
98,29.3,1.58,0.2,6.9,30.9,0.29,0.8,2,59.2,15,0
99,41.7,1.68,0.4,6.5,30.1,0.12,1,2.1,59.9,36,0
102,65.7,1.33,0.5,4.5,39.7,1.26,3.1,1.8,50.4,0,0
103,59.4,1.41,0.2,4,45.1,0.45,1.4,2.6,46.7,10,0
104,39.1,1.54,0.3,4.5,42.4,0.18,1,3.1,48.7,20,0
111,3.3,1.63,7,3.9,33.3,0.14,1.6,2.4,51.8,168,0
113,25.6,1.63,0.7,3.2,14.6,0.09,2.3,0.6,78.4,18,0
115,15,1.53,3.4,2.9,13.9,0.18,2.3,0.6,76.7,102,0
116,0.3,1.7,16.1,2.6,11,0.1,4.5,0.5,65.1,152,0
117,0.1,1.66,25.4,1.9,9.1,0.1,3.4,0.3,59.8,170,0
118,0.3,1.65,21.7,1.7,11.6,0.04,3.3,0.4,61.1,201,0
121,6.35,1.6,2.2,14.9,12.2,0.32,3.4,3.4,63.6,13,0.3
122,3.94,1.63,3.9,15.1,11.5,0.38,4.2,3.2,61.8,25,0.3
127,25.9,1.55,2.5,11,14.4,0.11,1.7,0.6,69.8,36,0
139,88.1,1.51,3,2,51,0.1,0.6,5.1,38.1,102,0.2
141,36.2,1.43,1.5,5.4,10.2,0.72,1.3,0.5,81.1,0,0
