Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
4436,0.16,1.29,83.5,1.1,0.2,0.42,14.1,0.1,0.9,86,0.1
4894,17.02,1.18,1.6,10.7,11,3.82,7.2,0.4,69.1,0,0
1756,0.23,1.68,25.9,15.8,11,0.07,4.7,2,40.4,137,0.2
3132,51.3,1.53,2.4,0.8,60.3,0.07,3.7,6.1,26.6,79,0.1
4065,78.7,0.97,2.7,1.2,4.5,15.61,9.2,0.2,82.2,0,0
10993,18,1.46,2,3.6,1.6,1.46,3.7,0.2,88.9,10,0
12598,0.11,1.58,23.4,5.7,4,0.08,3.6,0.1,63.2,188,0
2544,2.24,1.68,6.7,21.4,18.8,0.59,9.5,5.6,37.6,5,0.4
2029,21.05,1.4,1.7,17.3,11.1,0.76,3,1.9,64.9,15,0.1
877,51.6,1.17,2.6,7.1,46.9,3.46,4.8,5,33.5,0,0.1
89,11.2,1.66,1.5,11.4,25.7,0.03,5.8,20.4,24.8,91,10.4
1479,17.4,0.89,15.1,8.9,19.6,5.68,13.2,6.5,35.6,0,1.1
15679,7.36,1.63,1.1,14.6,14.6,0.14,2.9,0.6,66.2,94,0
12119,40.8,1.74,1.3,2.9,49.4,0.57,2,3.9,40.5,147,0
13351,16.2,1.53,3,27,11.3,0.17,2.2,1.4,55.1,74,0
13515,38.1,1.44,0.7,8.3,9.8,0.22,1.1,0.7,79.4,10,0
3051,22.85,1.52,11.6,7,29.2,0.11,10.2,15.6,25.2,53,1.2
6717,244.7,0.2,57.4,3.2,1.7,4.86,26.6,0.1,11,38,0
6118,1.32,0.97,4.2,9.4,0.6,1.63,83.4,0,2.4,71,0
5566,0.01,1.53,34.1,15.8,6.1,0.41,9.9,0.7,33.4,170,0
846,127,0.02,0.3,0.5,72.2,0.09,0.2,4.6,22.2,13,0
11818,3.94,1.76,15,30.6,7,0.14,6,0.6,40.8,107,0
7973,0.01,1.68,29.4,5.5,21.8,0.04,3.9,18.5,14.8,142,6.1
16320,61.8,1.45,3.3,7.8,25.8,1.09,1.8,2.9,58.4,0,0
2915,0.01,1.17,58,10.4,0.4,0.84,20,0,11.2,13,0
2078,0.29,1.63,4.8,4.7,7.2,1.89,1.5,0.6,81.2,112,0
11044,92,0.58,6.7,7.1,2.2,7.27,10.9,0.2,72.9,0,0
16549,0.24,1.29,19.5,2.9,6.2,0.45,26.9,1,43.4,33,0.1
607,13.8,1.57,7.4,6.7,34.9,0.07,6.9,5.2,28.7,199,0.2
15802,13.1,1.58,1.5,28.4,23.7,0.02,5.5,5.1,35.7,43,0.1
3525,21.9,1.43,3.6,12,9.6,0.35,1.8,0.6,72.4,18,0
2553,0.26,1.57,60.6,6.8,9.4,0.03,5.6,2.2,15.2,104,0.2
6527,78.05,1.17,1.8,18.8,2.8,4.54,7.3,0.1,69.2,0,0
6352,9.86,1.59,6.9,3,22.2,0.07,2.1,0.6,65.2,107,0
17769,0.06,1.66,13.9,13.6,8.5,0.19,4.1,0.8,59.1,99,0
5304,2.09,1.67,22.2,4.4,29.3,0.19,2.9,3.9,37.2,119,0.1
12856,41.4,1.16,9.9,3.3,2.4,1.45,3.3,0.1,81,99,0
15792,21,1.54,1,3,5.8,0.16,1.1,0.1,89,117,0
1213,0.09,1.67,32.2,12.3,11,0.22,5,1.1,38.1,86,0.3
8569,1.79,1.55,25,9.1,20.5,0.19,6.8,2.6,35.9,36,0.1
11713,64.4,1.44,1.5,1.5,56.9,0.31,1.2,7.8,31,23,0.1
12260,0.74,1.64,22.6,7,29.4,0.01,8.2,12.2,19.4,147,1.2
18652,27,1.52,1.8,7.5,18.8,0.12,4.5,2.2,65,56,0.2
4901,1,1.65,12.4,9.5,14.3,0.16,2.2,1.3,60.3,134,0
11052,0.04,1.6,17.5,19.9,6.3,0.25,8.1,0.7,47.5,46,0
992,3.9,1.39,16.6,23.6,6.4,1.8,20.9,2.3,29.8,0,0.4
16834,50,1.55,1.5,2.5,38.4,0.45,1.7,14.2,39.4,185,2.3
12972,0.15,1.39,22.8,7.7,0.9,0.19,5.3,0.2,63.1,91,0
10608,1.17,1.6,18,31.9,0.8,0.2,24.7,0.1,24.5,43,0
8518,32.9,1.35,2.3,13.9,28.7,0.97,4.9,3.6,46.5,0,0.1
650,8.5,1.52,4.2,17.3,20.5,0.66,13.6,11.9,30.8,0,1.7
742,29.5,1.45,4.9,1.8,60.4,1.37,4.3,14.2,13.7,84,0.7
16109,1.48,1.71,11,6.4,42.7,0.17,3.4,10.1,25.5,53,0.7
13648,0.07,1.24,64.7,8.3,4.5,0.46,0.6,0.2,21.7,8,0
15672,0.01,1.83,14.2,15.4,20.2,0.1,7,1.4,41.8,130,0
7123,40.1,1.01,0.6,3.2,34.4,0.92,3.4,11.8,45.4,0,1.2
717,27.7,0.61,17.6,14.3,0.6,11.55,23.1,0,44.4,0,0
1040,17.1,1.17,8.7,28.2,10.2,3.11,5.3,0.6,47,0,0
3226,9.2,1.64,2.4,14.5,14.5,0.36,1.5,1.6,65.5,74,0
16783,0.3,1.76,20.9,10.6,12.2,0.02,37.5,6.2,11.8,170,0.8
5884,27.6,1.63,1,2.1,58.5,0.37,2.1,13,23.3,196,0
85,19.4,1.51,2.8,11.3,28.9,1.4,6.7,18.7,26,0,5.6
6841,0.52,1.33,40.2,8.4,3,1.86,30.7,0.3,17.5,0,0
15420,44.7,1.56,0.3,2,41.7,0.08,1.6,3.4,51,13,0
71,5.11,1.04,1.64,31.9,0.51,0.66,47.52,0.06,18.36,14,0.01
7177,48.3,1.5,2.2,3.2,38.8,0.28,1.6,1.3,52.9,51,0
12277,35.1,1.39,7.9,15.7,22.2,1.91,11,6.2,36.5,0,0.5
13097,0.07,1.39,50.2,5.4,2.2,0.5,29.8,0.2,12.2,53,0
10112,6.31,1.58,0.3,44.7,11.3,0.4,11,2.4,30.2,23,0.1
878,77.9,1.36,0.9,6.3,50.9,0.61,3,7.2,31.6,10,0.1
4873,16.01,1.43,25.5,7.8,7.4,0.34,6.9,10.4,35.6,51,6.4
15389,20.5,0.74,5.7,13.1,2,3.28,5.9,0.1,73.2,0,0
2250,24,1.33,7.9,13.7,19.3,0.51,8.7,5.2,44.7,25,0.5
17517,26.3,1.57,0.5,2.2,15,0.11,2.9,4.6,74.4,155,0.4
14934,10.5,1.29,11.2,10.5,3.4,0.97,65.4,1.2,8.2,0,0.1
12850,36.2,1.59,1.7,3.3,35.2,0.01,2.3,4.5,52.9,155,0.1
9956,1.42,1.58,4.3,3.18,43.9,2.36,6.3,7.6,34.8,190,0
2317,50,1.26,1,10.4,33,2.26,3.8,6.7,44.9,0,0.2
15269,8.22,1.6,1.5,10.9,23.2,0.73,3.3,4.2,56.8,81,0.1
7469,14.5,1.59,4.3,2.1,55.4,1.04,3.2,4.9,30.1,109,0
7332,10.94,1.46,4.1,11.3,17.4,0.37,17.5,3,46.6,162,0.1
9793,21.7,1.34,2.7,2.9,4.2,1.17,2.9,0.1,87.2,56,0
11414,0.49,1.76,18.6,16.9,14.5,0.22,5.3,1.2,43.5,112,0
1478,27.4,1.59,12.4,8.2,25.5,0.07,8.4,13.5,28.5,84,3.5
584,1,1.65,11.3,9.1,32,0.21,5.2,3.3,39,71,0.1
16206,5.26,1.76,5.7,4.8,36.6,0.08,8.8,13.1,29.6,43,1.4
6388,78.9,0.47,0.8,12.3,18.6,4.64,3.3,1,64,0,0
4451,1.37,1.74,17.5,13.3,18.6,0.16,10.9,8.3,30.5,94,0.9
