,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
4457,11.3,1.55,3.6,6.8,19.4,0.2,8.1,7.2,54.1,25.0,0.8
14471,81.5,1.59,2.1,0.5,77.7,0.15,5.0,5.8,8.9,162.0,0.0
668,10.8,1.52,12.1,17.7,12.8,0.28,7.1,1.8,48.4,20.0,0.1
1451,0.1,1.61,42.6,4.3,7.4,0.06,3.2,1.4,40.9,79.0,0.2
4688,1.7,1.69,22.6,5.8,6.2,0.31,2.2,4.4,57.4,135.0,1.4
18644,16.9,1.72,0.4,6.0,36.1,0.72,7.3,14.5,32.4,165.0,3.3
2889,37.5,1.51,1.6,2.3,3.8,0.14,1.9,0.1,90.3,137.0,0.0
11322,0.07,1.33,17.4,8.4,1.6,0.06,11.0,0.2,61.4,173.0,0.0
192,70.6,1.68,0.7,0.3,62.3,0.06,0.5,12.9,23.0,193.0,0.3
2134,57.8,1.31,0.7,4.5,5.5,1.39,1.2,0.2,87.9,0.0,0.0
16722,0.09,1.56,20.2,0.4,19.4,0.02,2.5,4.3,53.0,175.0,0.2
1252,30.9,1.14,1.5,11.8,18.3,0.72,1.7,1.4,65.2,10.0,0.1
12388,3.18,1.37,31.8,7.8,12.0,0.17,5.6,0.8,42.0,94.0,0.0
15207,0.48,1.64,8.0,25.7,5.9,0.21,25.8,1.8,32.6,58.0,0.2
14120,3.81,1.63,0.7,14.5,1.4,1.06,3.9,0.1,79.4,64.0,0.0
8063,0.01,1.55,46.3,5.6,11.9,0.28,7.8,2.3,25.9,23.0,0.2
5444,0.5,1.63,25.8,8.9,25.9,0.03,17.6,4.5,17.2,137.0,0.1
5599,22.55,1.57,4.5,11.2,29.7,0.05,6.7,5.3,42.1,170.0,0.5
13914,5.26,1.59,23.2,6.6,24.5,0.4,2.7,19.6,17.9,155.0,5.5
15630,25.6,1.39,1.8,15.9,14.7,1.53,3.2,0.8,63.6,0.0,0.0
3302,14.6,1.55,2.2,12.2,0.2,0.05,0.7,0.0,84.7,147.0,0.0
18373,28.9,1.55,2.0,3.1,10.3,0.11,7.6,1.1,76.3,10.0,0.0
11275,43.4,1.57,0.8,1.3,58.5,0.34,5.6,8.2,25.2,23.0,0.4
4404,0.62,1.63,8.0,35.3,7.0,0.5,17.4,4.4,27.5,25.0,0.4
10172,64.4,1.51,0.9,2.6,16.9,0.34,2.2,1.4,76.0,15.0,0.0
4396,3.72,1.69,30.8,6.0,22.6,0.06,5.0,9.8,24.1,94.0,1.7
11752,76.2,1.36,8.1,13.0,21.8,3.05,5.1,1.8,50.2,0.0,0.0
6709,6.14,1.56,3.0,11.2,8.2,0.43,5.5,0.6,71.5,41.0,0.0
5972,3.55,1.51,0.2,28.9,7.7,0.81,9.9,1.3,52.0,0.0,0.0
2929,65.75,1.4,1.5,2.6,5.8,0.15,1.6,0.3,88.2,140.0,0.0
17658,50.0,1.58,0.3,2.3,52.9,0.04,2.4,7.4,34.6,145.0,0.1
7370,0.04,1.65,16.5,16.9,21.7,0.31,5.2,4.5,35.0,168.0,0.2
7230,11.3,1.67,0.1,9.1,27.8,0.11,3.4,1.4,58.2,13.0,0.0
14422,0.02,1.7,32.8,13.9,9.9,0.08,5.0,1.2,37.2,132.0,0.0
3015,11.75,1.41,1.2,15.6,0.4,0.08,4.4,0.0,78.4,56.0,0.0
15316,1.4,1.57,2.7,12.0,19.2,1.56,6.0,0.5,59.5,0.0,0.1
8291,0.32,1.34,44.2,8.0,6.86,0.04,11.0,1.4,28.2,165.0,0.4
16332,18.8,1.62,2.9,14.4,25.7,0.82,4.8,7.4,44.4,0.0,0.4
13731,1.07,1.65,4.6,40.0,4.4,0.03,4.6,0.4,46.0,91.0,0.0
1673,2.63,1.75,5.4,16.3,20.6,0.29,14.7,13.4,27.7,25.0,1.9
15112,72.3,1.2,0.8,6.0,2.1,0.99,4.5,0.1,86.5,0.0,0.0
11704,0.01,1.57,34.1,15.8,6.1,0.41,9.9,0.7,33.4,170.0,0.0
18316,40.8,1.44,0.0,0.5,43.6,1.0,1.2,0.8,53.9,0.0,0.0
3941,55.9,1.52,1.6,3.5,50.8,0.05,1.2,4.7,38.2,132.0,0.0
17267,11.2,1.42,1.9,20.7,9.8,0.61,3.5,0.6,63.5,0.0,0.0
3131,74.95,1.5,2.3,0.8,59.6,0.13,4.0,6.2,27.1,48.0,0.0
8419,0.17,1.74,0.6,10.0,8.4,0.06,1.5,0.5,79.0,91.0,0.0
6666,54.7,1.52,59.8,5.2,4.0,0.77,19.0,1.2,10.4,175.0,0.4
7346,6.85,1.71,1.2,27.2,6.7,0.19,2.6,0.5,61.8,160.0,0.0
9425,36.8,1.14,2.5,1.5,60.9,1.59,5.6,11.2,18.3,0.0,0.0
10040,46.0,1.17,1.0,1.9,6.7,1.28,0.1,0.1,90.2,0.0,0.0
6344,7.01,1.73,4.2,3.5,41.2,0.27,12.8,10.7,27.3,104.0,0.3
10592,5.26,1.76,9.7,4.7,33.7,0.33,11.2,16.4,23.2,25.0,1.1
8245,2.85,1.64,17.2,15.8,12.4,0.22,5.6,2.0,46.8,76.0,0.2
10685,0.96,1.57,19.2,25.7,7.4,0.2,25.7,2.2,19.3,33.0,0.5
10372,108.0,1.46,1.0,0.5,68.6,0.26,1.0,7.9,20.9,53.0,0.1
403,6.3,1.4,3.3,13.3,11.4,0.81,10.5,3.2,58.1,10.0,0.2
17586,0.1,1.14,28.9,2.7,2.5,2.52,60.3,1.0,4.4,0.0,0.2
7077,2.25,1.4,5.0,3.8,10.0,2.41,5.5,1.2,74.3,71.0,0.2
16485,26.3,1.6,3.6,1.5,48.8,0.78,2.6,4.8,38.6,64.0,0.1
5107,55.85,1.47,1.3,0.5,63.3,0.58,7.2,6.3,21.4,0.0,0.0
166,21.9,1.66,5.0,3.1,24.1,0.5,2.8,3.9,60.8,112.0,0.3
15229,0.83,1.59,16.1,22.4,6.9,0.58,31.3,1.4,21.8,13.0,0.1
9092,4.26,1.31,24.7,4.9,35.6,1.16,2.7,4.3,27.8,38.0,0.0
4946,1.28,1.71,11.5,1.4,34.1,0.14,2.5,2.7,47.8,119.0,0.0
12999,38.8,1.36,2.2,2.86,10.5,0.51,1.2,0.25,83.1,13.0,0.0
11250,7.89,1.73,5.0,0.8,41.1,0.06,8.5,31.5,11.1,56.0,2.0
8393,59.2,1.28,1.4,7.7,9.9,0.4,1.5,3.7,75.4,18.0,0.4
18380,3.36,1.55,9.3,1.6,9.3,0.16,1.8,1.1,76.9,170.0,0.0
5169,0.25,1.59,21.8,6.6,9.0,0.12,8.0,10.6,39.8,41.0,4.2
2593,0.41,1.88,29.1,11.1,13.5,0.02,14.3,3.9,27.9,160.0,0.2
7951,12.3,1.68,6.6,8.1,28.0,0.09,5.4,20.0,24.3,56.0,7.6
14966,25.0,1.46,2.0,3.9,2.3,0.19,1.9,0.1,89.8,61.0,0.0
2026,74.5,1.53,2.2,2.7,43.1,0.1,2.2,16.7,30.3,91.0,2.8
11717,0.05,1.86,21.4,4.7,33.6,0.09,2.9,4.9,32.3,102.0,0.2
4415,4.86,1.61,16.3,8.8,25.5,0.82,14.9,7.1,27.1,0.0,0.3
12374,2.5,1.55,21.8,6.6,11.2,0.2,3.0,0.6,56.8,165.0,0.0
18250,89.4,1.52,1.3,1.3,37.6,0.15,0.5,2.0,57.3,66.0,0.0
3856,14.45,1.2,3.7,6.2,15.7,3.8,6.9,2.9,64.5,0.0,0.1
3939,82.15,1.5,1.7,3.4,52.4,0.2,1.8,4.6,36.1,25.0,0.0
10543,1.73,1.5,14.4,7.1,42.1,0.18,1.3,8.1,26.2,38.0,0.7
9108,21.5,1.55,0.8,15.3,37.3,0.61,2.9,3.3,40.4,18.0,0.0
1130,22.35,1.38,0.7,6.8,32.8,1.43,8.6,2.3,48.6,0.0,0.2
14064,0.08,1.36,28.0,3.2,1.2,0.07,65.6,0.4,1.6,178.0,0.0
14902,2.22,1.62,16.6,11.7,29.7,2.59,5.4,3.8,32.8,91.0,0.0
15147,0.3,1.69,18.8,14.6,0.2,0.09,7.5,0.0,58.9,124.0,0.0
10530,8.76,1.65,5.5,0.7,62.1,0.22,0.9,5.5,25.3,157.0,0.0
2782,6.69,1.67,2.5,5.9,30.3,0.14,1.5,4.7,55.0,53.0,0.1
4842,0.33,1.65,21.7,1.7,11.6,0.04,3.3,0.4,61.1,201.0,0.0
4503,9.85,1.25,5.9,14.5,10.7,2.32,8.2,0.9,59.7,58.0,0.1
7315,0.41,1.04,5.7,24.4,11.1,7.77,11.4,0.5,46.9,0.0,0.0
2533,26.65,1.63,2.6,9.3,28.4,0.01,2.6,11.1,44.5,135.0,1.5
261,0.1,1.59,23.7,20.6,1.8,1.71,16.6,0.1,37.2,5.0,0.0
4949,25.65,1.39,4.8,9.5,18.2,0.31,7.6,2.2,57.6,15.0,0.1
6479,40.8,1.44,1.6,2.3,4.7,0.24,4.3,0.1,87.0,13.0,0.0
8455,18.2,1.54,2.6,4.8,44.9,0.33,0.3,5.3,42.0,53.0,0.1
8067,0.75,1.64,15.4,4.0,30.4,0.02,1.5,11.7,36.5,147.0,0.5
7428,3.29,1.56,4.0,22.4,12.2,2.68,2.8,1.6,57.0,168.0,0.0
7232,5.51,1.62,2.3,8.6,27.1,0.73,5.0,1.5,55.4,64.0,0.0
7258,7.23,1.69,5.0,9.5,16.2,0.27,3.9,1.1,64.3,23.0,0.0
15005,26.3,1.47,2.2,3.2,3.8,0.72,2.9,0.2,87.7,64.0,0.0
15561,19.7,1.47,1.3,25.3,1.0,0.63,1.4,0.1,70.9,0.0,0.0
17948,0.88,1.05,8.2,0.1,0.0,1.08,91.6,0.0,0.1,68.0,0.0
2375,0.41,1.71,17.9,19.8,15.4,0.05,3.9,2.0,41.0,127.0,0.0
5195,4.14,1.49,13.9,17.2,0.2,0.06,3.7,0.0,66.0,175.0,0.0
4978,9.84,1.5,1.1,5.0,24.7,0.41,9.9,2.0,56.9,0.0,0.4
1839,0.51,1.51,3.1,43.1,10.2,0.96,12.7,2.4,28.5,41.0,0.0
15700,13.1,1.66,1.5,7.5,16.3,0.48,1.2,0.9,72.6,0.0,0.0
18220,37.5,1.53,0.9,17.7,10.9,1.3,0.1,1.4,69.0,170.0,0.0
9499,40.1,1.13,1.5,11.3,10.7,1.96,5.2,0.7,70.6,0.0,0.0
16587,23.4,1.4,0.6,11.9,12.3,0.29,2.9,0.8,71.5,18.0,0.0
9813,37.5,1.49,1.1,18.0,27.1,0.16,3.3,2.2,48.3,20.0,0.0
11150,15.8,1.65,1.0,29.4,17.2,0.1,2.5,5.6,43.2,76.0,1.1
15188,1.62,1.72,23.3,17.0,16.2,0.08,10.9,5.0,27.4,104.0,0.2
1362,131.4,1.4,0.4,0.4,73.1,0.37,0.1,16.1,9.9,0.0,0.0
9791,0.26,1.52,16.2,15.0,7.8,0.65,5.2,4.0,51.0,43.0,0.8
7965,16.2,1.55,7.8,11.1,25.6,0.35,12.6,17.5,21.3,58.0,4.1
13540,0.19,1.68,14.6,3.4,17.8,0.37,1.1,2.0,61.0,76.0,0.1
3130,65.1,1.46,2.4,0.6,61.0,0.27,4.4,6.6,24.9,30.0,0.1
6922,34.8,1.44,4.1,1.3,0.9,2.1,4.8,0.0,88.9,66.0,0.0
18528,52.9,1.44,1.1,4.0,35.5,0.97,2.1,1.1,56.2,0.0,0.0
707,230.5,1.33,2.8,0.3,68.5,0.44,3.1,6.8,18.5,20.0,0.0
14511,14.9,1.66,2.0,29.2,12.3,0.11,5.0,1.7,49.7,18.0,0.1
7024,0.81,1.67,12.6,1.3,8.7,0.23,2.4,0.9,74.1,119.0,0.0
17085,0.03,1.7,16.6,10.3,23.1,0.29,3.7,2.7,43.5,112.0,0.1
415,54.5,1.29,2.8,2.6,53.2,2.34,1.7,5.1,34.5,0.0,0.1
7768,0.511,1.63,5.2,31.7,5.6,0.18,3.7,0.7,53.1,53.0,0.0
3821,1.44,1.5,3.7,16.8,0.8,0.7,7.5,0.2,71.0,89.0,0.0
4,0.18,1.9,27.4,14.5,17.2,0.13,5.7,7.7,25.7,129.0,1.8
5078,0.09,1.6,26.3,0.7,16.3,0.06,1.3,1.4,54.0,102.0,0.0
7526,8.41,1.59,14.9,5.4,17.8,0.41,22.9,11.8,21.0,102.0,6.2
10401,31.9,1.63,0.7,3.3,58.9,0.84,2.5,12.1,22.4,2.0,0.1
9555,8.11,1.56,1.6,3.1,27.3,0.2,2.4,9.4,55.7,28.0,0.5
9550,0.31,1.27,2.2,13.5,2.2,0.15,13.2,0.1,68.8,30.0,0.0
8822,28.6,1.34,7.3,5.3,32.7,0.71,8.2,8.6,36.2,23.0,1.7
15585,12.1,1.61,0.4,34.3,0.3,0.12,2.4,0.1,59.8,18.0,0.0
1534,238.0,1.4,33.4,1.9,35.5,0.59,6.5,8.1,14.4,86.0,0.2
2945,3.57,1.62,10.6,5.0,3.5,0.13,2.1,0.2,78.6,175.0,0.0
4417,3.28,1.65,33.8,8.2,22.1,0.08,10.8,6.9,17.8,107.0,0.4
9474,43.4,1.56,2.4,0.8,60.3,0.07,3.7,6.1,26.6,79.0,0.1
4554,23.35,1.56,1.0,5.4,46.9,0.45,2.1,4.1,40.5,15.0,0.0
7040,2.89,1.5,8.0,2.7,9.6,0.92,2.1,0.7,76.9,160.0,0.0
5200,20.0,1.55,3.5,2.2,40.0,0.11,7.3,15.4,30.0,89.0,1.6
10619,6.57,1.54,4.4,21.8,19.0,0.2,7.3,15.3,30.8,96.0,1.4
14642,1.64,1.6,31.0,6.0,22.0,0.08,3.4,7.6,28.8,162.0,1.2
18200,0.122,1.86,21.8,11.8,10.0,0.14,2.1,0.8,53.5,190.0,0.0
3997,15.3,1.6,4.5,5.3,1.5,0.01,1.5,0.1,87.1,135.0,0.0
34,0.56,1.72,9.1,12.4,22.0,1.28,16.2,8.9,28.6,0.0,2.8
5579,16.65,1.13,4.5,28.5,6.0,2.65,5.2,0.2,55.6,0.0,0.0
5538,14.05,1.51,1.1,29.6,18.2,0.02,5.6,2.0,43.4,76.0,0.1
8675,0.93,1.75,26.7,19.4,5.8,0.2,6.7,0.6,40.8,66.0,0.0
17769,0.06,1.66,13.9,13.6,8.5,0.19,4.1,0.8,59.1,99.0,0.0
16576,25.4,1.18,1.6,10.7,11.0,3.82,7.2,0.4,69.1,0.0,0.0
1750,11.2,1.59,6.7,16.6,13.7,0.48,7.9,2.2,52.8,20.0,0.1
5157,1.0,1.74,15.7,5.8,24.0,0.03,5.3,3.6,45.6,190.0,0.0
10115,5.04,1.08,10.9,3.4,7.4,1.81,9.6,0.6,68.1,20.0,0.0
527,43.4,1.47,4.8,0.2,66.3,1.7,5.9,5.5,17.3,53.0,0.0
8331,2.78,1.51,37.2,13.2,6.4,0.15,16.0,2.2,25.0,165.0,0.0
4135,10.9,1.61,11.5,5.6,38.3,0.6,0.4,5.6,38.5,112.0,0.1
5009,45.35,1.46,0.3,3.9,36.4,3.12,0.3,11.9,46.6,0.0,0.6
11430,0.5,1.52,7.1,19.2,16.0,2.01,6.9,1.4,49.4,46.0,0.0
6228,0.59,1.68,22.6,7.0,29.4,0.01,8.2,12.2,19.4,147.0,1.2
4298,12.7,1.4,6.3,1.1,56.0,3.73,10.8,7.8,18.0,122.0,0.0
16794,23.7,1.53,2.4,5.0,23.4,0.15,6.7,23.9,31.5,43.0,7.1
10764,34.2,1.12,1.2,4.3,50.5,4.11,2.5,5.2,36.3,0.0,0.0
11548,15.8,1.6,1.5,15.6,23.5,0.22,4.0,3.5,51.8,64.0,0.1
10263,42.1,1.42,1.6,2.2,12.8,0.27,2.8,0.9,79.7,13.0,0.0
18655,0.58,1.69,23.4,5.2,16.8,0.09,4.2,1.8,48.4,160.0,0.2
1278,21.3,1.42,0.9,10.2,16.5,0.11,2.3,0.8,69.3,23.0,0.0
13864,171.0,1.57,1.3,0.6,64.0,0.09,0.2,8.7,25.1,109.0,0.1
1914,27.9,1.47,4.3,10.8,29.5,1.38,3.3,12.7,39.0,20.0,0.4
17885,0.7,1.59,35.3,4.0,8.8,0.13,4.1,0.4,47.4,155.0,0.0
5227,4.67,1.63,4.8,5.9,37.4,0.22,11.2,12.5,26.9,13.0,1.3
16547,18.7,1.44,2.3,5.2,11.8,0.43,3.6,1.7,75.3,8.0,0.2
1318,0.77,1.72,30.8,3.8,10.2,0.15,2.5,0.3,52.4,135.0,0.0
13060,0.01,1.55,38.2,32.3,0.2,0.01,21.4,0.0,7.9,137.0,0.0
6192,58.55,1.34,2.8,13.6,35.2,1.0,7.2,16.3,22.5,0.0,2.4
3,0.39,1.7,36.8,10.7,15.7,0.2,5.4,7.6,21.1,76.0,2.7
9640,16.4,1.63,5.3,1.1,35.3,2.48,1.6,5.1,51.4,114.0,0.2
6815,2.13,1.63,18.2,9.2,20.8,0.15,5.2,3.4,42.0,119.0,1.2
1296,78.75,1.29,0.9,6.3,25.7,0.72,1.8,0.5,64.8,2.0,0.0
15813,101.0,1.06,1.9,3.7,14.1,0.22,6.0,2.1,72.0,0.0,0.2
9303,13.1,1.5,2.3,7.6,11.1,0.21,5.4,2.7,70.2,18.0,0.7
4961,1.47,1.65,5.7,7.3,3.0,0.06,1.8,0.5,81.7,94.0,0.0
1611,3.81,1.54,8.8,15.6,16.8,0.45,11.4,15.2,23.8,20.0,8.4
8256,2.1,1.64,3.8,12.0,2.7,3.21,6.3,0.1,75.1,99.0,0.0
15787,32.9,1.47,0.5,3.5,5.5,0.06,1.6,0.1,88.8,23.0,0.0
4585,65.1,1.51,2.8,4.7,44.2,0.18,3.5,4.0,40.7,84.0,0.1
3551,4.03,1.67,24.2,1.2,34.8,0.11,3.8,4.6,31.4,109.0,0.0
2287,21.35,1.5,1.0,22.7,24.6,0.06,3.5,6.0,41.9,102.0,0.3
15372,26.3,1.47,5.5,10.7,30.5,1.57,3.7,2.7,50.6,0.0,0.0
12226,34.2,1.62,3.6,13.5,33.6,0.2,9.5,15.4,22.6,28.0,1.8
10160,48.6,1.47,2.1,4.0,3.2,0.26,4.0,0.0,86.7,140.0,0.0
13101,5.79,0.72,13.2,37.1,0.7,8.28,20.0,0.1,28.9,0.0,0.0
1967,12.06,1.44,1.4,12.6,4.9,0.86,3.5,0.4,77.2,12.0,0.0
9004,60.5,1.41,0.4,0.6,71.1,2.26,1.7,4.9,21.3,0.0,0.0
8769,8.94,1.54,4.0,11.4,17.1,0.49,2.6,1.5,63.3,0.0,0.0
2571,3.55,1.57,3.0,16.0,23.9,0.97,7.9,6.0,42.8,18.0,0.4
3625,1.82,1.59,25.0,17.8,8.4,0.28,9.0,0.6,39.2,28.0,0.0
12900,120.0,1.11,3.2,3.5,1.5,2.16,5.1,0.0,86.7,0.0,0.0
8235,0.24,1.75,8.1,26.6,14.6,0.07,5.9,5.4,35.8,114.0,0.6
7384,7.1,1.64,2.7,25.6,12.4,0.01,3.8,1.0,54.5,91.0,0.0
13200,27.1,1.64,0.6,1.6,43.9,0.06,2.1,0.6,51.2,132.0,0.0
5914,1.58,1.51,2.0,1.1,26.6,0.65,2.3,1.1,66.9,102.0,0.0
11235,1.53,1.61,24.3,0.6,12.9,0.08,3.6,2.5,55.9,86.0,0.2
12191,1.66,1.64,21.6,1.8,38.0,0.05,5.4,14.0,17.8,170.0,1.4
4613,38.35,1.33,1.9,7.8,13.2,1.26,1.5,1.6,74.0,0.0,0.0
8415,28.9,1.46,0.4,10.0,8.2,0.38,1.2,0.4,79.8,13.0,0.0
10202,30.8,0.51,26.6,3.2,3.7,5.9,8.0,0.4,58.1,8.0,0.0
5654,12.48,1.69,5.0,5.6,46.1,0.3,5.5,8.1,29.3,15.0,0.4
10353,27.6,1.32,5.7,6.1,1.8,1.72,3.7,0.0,82.7,33.0,0.0
7328,22.55,1.42,0.4,9.9,36.0,0.95,2.7,3.0,47.9,0.0,0.1
