"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
24,0.96,1.73,28.7,9.3,20.9,0.18,6.3,8.3,23.9,128,2.6
25,0.42,1.79,26.3,11,23.1,0.14,7.7,6.8,24.4,156,0.7
34,0.56,1.72,9.1,12.4,22,1.28,16.2,8.9,28.6,0,2.8
53,11.29,1,8.76,5.42,15.82,3.19,28.72,22.17,9.08,0,10.03
79,32.9,1.1,2.8,21.4,0.3,1.29,7.3,0.1,68.1,0,0
96,17.9,1.42,0.5,6.2,31.3,1.09,3.5,1.7,56.8,0,0
97,14.3,1.54,0.4,5.8,35,1.07,2.4,2,54.4,5,0
99,41.7,1.68,0.4,6.5,30.1,0.12,1,2.1,59.9,36,0
103,59.4,1.41,0.2,4,45.1,0.45,1.4,2.6,46.7,10,0
111,3.3,1.63,7,3.9,33.3,0.14,1.6,2.4,51.8,168,0
138,92,1.5,2.7,2.4,49.2,0.1,1,4.3,40.1,51,0.3
145,60.5,1.48,0.8,4.4,10.7,0.09,0.6,0.6,82.9,102,0
161,12.5,1.66,6,1.7,12.5,2.15,4.1,0.9,74.5,107,0.1
164,27.6,1.62,1.8,2.9,31.4,0.04,0.6,5.4,57.7,64,0.2
176,0.81,1.54,19.3,5.4,22,0.22,2.4,2,48.8,41,0.1
210,15.4,1.49,0.5,32.1,17,0.46,3.2,2.7,44.3,20,0.2
219,21.3,1.42,0.9,10.2,16.5,0.11,2.3,0.8,69.3,23,0
265,27.9,1.33,1.3,9.9,8.4,1.13,1.4,2,77,0,0
293,25.1,1.18,1.2,24.9,7.2,1.22,2.2,1.2,63.3,0,0
358,22.3,1.55,0.7,25.7,3.7,0.27,2.7,0.1,67,10,0.1
384,41.1,1.61,1,0.9,70.6,0.07,4.6,7.3,15.5,137,0.1
403,6.3,1.4,3.3,13.3,11.4,0.81,10.5,3.2,58.1,10,0.2
453,20.3,1.5,0.7,10.1,26.8,0.08,4.6,2.5,55.3,43,0
489,143,1.45,3,0.2,70.2,0.3,3.3,3.5,19.8,41,0
508,6.6,1.28,4.4,1.3,48.9,2.48,7.8,15.3,21.8,64,0.5
560,14.5,1.64,0.5,17.9,25.1,0.08,3.5,2,51,28,0
566,12.2,1.75,1.4,10.2,40.7,0.03,2.9,7,37.7,38,0.1
591,5.3,1.63,2.6,6.5,36.4,0.39,5.3,4.5,44.6,86,0.1
601,6,1.62,3.6,8,36.6,0.94,5,4.4,41.3,13,0.2
614,8.8,1.58,18.3,4,22,0.07,3.8,9.8,41.1,86,1
647,1.8,1.6,11.7,6.2,3.3,0.21,3.8,0.2,74.8,91,0
649,0.7,1.71,12.4,4.3,3.5,0.1,2.2,0.2,77.4,142,0
673,0.8,1.66,41.7,12.5,8.8,0.06,2.5,1.1,33.3,173,0.1
711,9.2,1.52,10.6,16.8,18.2,0.38,14.2,4.8,34.9,15,0.5
750,0.1,1.77,17.8,3.7,38.9,0.18,1.7,4.5,34.3,91,0.1
767,39.4,1.16,4.3,12,24,1.86,6.7,2.7,50.2,46,0.1
772,41.1,1.56,0.4,6.5,35.3,0.21,3,3.4,51.4,15,0
778,21.7,1.51,0.4,12.7,29.3,0.11,3,3.6,50.9,18,0.1
782,19.3,1.67,0.8,12.6,27.4,0.08,3.3,3.5,52.4,81,0
786,32.2,1.26,2.5,24,3.3,1.74,2.2,0.1,67.9,0,0
810,36.8,1.49,0.5,2.6,0.5,0.04,0.2,0.1,96.1,10,0
911,8.5,1.55,2.9,8.8,30.3,0.79,5.6,3.1,49.2,46,0.1
914,0.6,1.69,10.3,7,29.1,0.18,4,3,46.5,94,0.1
965,4.2,1.71,10.9,0.6,51.7,0.14,5.2,17,13.9,147,0.7
984,3.4,1.6,5.9,7.9,41.1,0.05,2.3,4.9,37.7,155,0.2
990,0.4,1.73,15.7,2.5,40.1,0.13,4.4,4.7,32.5,102,0.1
997,1.4,1.65,1.1,19.8,13.2,0.32,11.2,2.8,51.6,13,0.3
999,0.2,1.49,23.5,20.8,0.2,0.21,11.4,0,44.1,36,0
1018,11.82,1.77,3,11.8,22.5,0.21,4.9,7.3,50.1,71,0.4
1051,0.01,1.5,20,15.8,11.9,1.15,11.6,2.2,38.5,152,0
1053,20.05,1.51,1.6,20.9,20,0.64,1.9,2.3,53.2,13,0.1
1075,2.56,1.61,15.3,4.4,42,0.18,4.9,3.4,30,46,0
1085,15.9,1.11,30.6,4.8,19.6,3.26,11.4,4.2,29.2,41,0.2
1093,0.05,1.69,14.4,6,13.4,0.21,17.8,1.8,46.4,130,0.2
1111,30.5,1.56,2.8,2.8,40.8,0.05,1.2,3.7,48.7,104,0
1132,7.48,1.64,19.8,6,26,0.36,3.4,7,37.4,61,0.4
1138,0.27,1.6,21.8,7,23,0.04,7.6,4.6,35.4,99,0.6
1182,33.85,1.55,1.2,7.7,19,0.03,0.6,0.9,70.6,122,0
1189,77.55,1.59,1.4,1.2,69.5,0.29,0.3,11.5,16.1,0,0
1194,85.5,1.58,1.2,1.5,59.5,0.12,0.9,10.2,26.7,15,0
1225,26.05,1.55,1.8,11.8,13.5,0.2,0.8,0.7,71.4,104,0
1233,10.5,1.59,0.5,52.9,4.1,0.02,4,0.1,38.4,99,0
1249,25.95,1.68,2.7,13,9.7,0.42,1.5,0.7,72.4,79,0
1310,1.27,1.52,19.5,12,10.6,0.51,4.8,3,49.8,38,0.3
1313,39.4,1.46,0.4,7.8,13.1,0.11,1.3,0.5,76.9,13,0
1316,17.3,1.54,4,6.7,11.8,0.43,1.8,0.5,75.2,76,0
1329,67.05,1.5,6.2,3.4,16.7,0.14,2.2,1.2,70.3,88,0
1334,32.85,1.43,1.7,11.9,13.3,0.1,2.4,0.9,69.8,76,0
1356,68.35,1.41,0.1,0.5,63,0.42,0,7,29.4,0,0
