"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
0,17.13,1.49,6.1,15.8,23.8,0.93,8.8,9.9,33.1,0,2.5
3,0.39,1.7,36.8,10.7,15.7,0.2,5.4,7.6,21.1,76,2.7
5,0.24,1.91,26.2,9.2,22.9,0.11,5.2,10.3,24.3,160,1.9
6,0.04,2.02,20.1,7.2,29,0.09,3.6,10.7,28.6,184,0.8
8,2.51,1.58,32.5,7.5,18.9,0.35,8.5,10.5,18.8,30,3.3
10,0.48,1.56,43.1,10.8,11.4,0.17,13,4.4,15.9,104,1.4
11,0.25,1.62,34,13,15.1,0.18,13.1,5.7,17.8,125,1.3
14,31.02,1.37,4.1,10.9,28.3,1.02,8.6,11,35.4,0,1.7
19,0.66,1.85,23,4.3,23.3,0.13,3.6,16.9,25,170,3.9
22,10.79,1.59,10.9,12.8,24.6,0.19,7.4,7.1,35.7,90,1.5
23,4.85,1.61,23.6,10.8,20.6,0.23,7.3,7.1,28.1,106,2.5
24,0.96,1.73,28.7,9.3,20.9,0.18,6.3,8.3,23.9,128,2.6
29,1.78,1.61,39.8,5,18.5,0.23,8.6,3.6,23.8,69,0.7
30,0.13,1.74,36.9,5.9,19,0.26,9.2,3.6,24.4,88,1
37,0.85,1.67,29.2,10.1,18.4,0.21,8.1,8.1,23.6,78,2.5
38,0.24,1.67,30.8,9.1,18,0.14,9.6,8.1,21.8,117,2.6
39,0.34,1.7,37.7,11.6,13.2,0.11,12,5.7,18.5,138,1.3
46,11.91,0.73,16.51,6.26,8.29,7.92,41.35,8.92,9.23,0,9.44
47,7.74,0.82,12.38,7.54,10.98,6.08,42.38,7.98,10.56,6,8.18
60,12,1.02,3.57,34.21,0.47,0.7,48.26,0.02,13.44,17,0.03
62,3.91,1.18,4.62,27.26,0.37,0.35,55.88,0.05,11.8,28,0.02
70,8.18,1.3,6.31,35.27,1.03,1.51,42.35,0.76,13.24,0,1.04
72,2.94,1.05,1.66,27.04,0.64,0.38,57.42,0.05,13.18,26,0.01
78,38.8,1.64,1.9,9.8,35.2,0.05,0.2,5.5,47.3,140,0.1
79,32.9,1.1,2.8,21.4,0.3,1.29,7.3,0.1,68.1,0,0
80,30.2,1.21,2.5,22.3,0.2,0.28,5.7,0,69.3,8,0
82,13.1,1.43,1.9,17.5,0.3,0.04,4.6,0,75.7,74,0
86,38.5,1.51,2.9,10.6,29.7,1.23,6.1,19.9,25.6,25,5.2
93,10.5,1.38,5.4,4.1,36.4,2.05,14.2,10.9,28.5,0,0.5
94,7.5,1.74,5.8,5,35,0.22,10.1,11.4,31.5,13,1.2
101,0.2,1.25,6.4,5.1,25.5,4.72,8.1,2.1,52.8,104,0
105,39.4,1.56,0.4,4.4,41,0.12,0.6,3,50.6,43,0
