"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
0,17.13,1.49,6.1,15.8,23.8,0.93,8.8,9.9,33.1,0,2.5
8,2.51,1.58,32.5,7.5,18.9,0.35,8.5,10.5,18.8,30,3.3
12,0.12,1.77,30.4,14.3,14.5,0.17,13.4,4,22.6,151,0.8
13,0.13,1.74,30.3,7.7,22,0.15,13.8,5.7,19.2,180,1.3
19,0.66,1.85,23,4.3,23.3,0.13,3.6,16.9,25,170,3.9
21,10.19,1.59,6,17.6,21.4,0.22,8.9,3.8,41.2,33,1.1
36,0.51,1.82,30.9,9.5,17.2,0.23,8.7,8.3,22.3,41,3.1
44,23.14,1.42,3.31,16.08,14.08,0.14,6.73,3.5,55.82,29,0.48
45,30.07,0.61,17.63,4.25,3.93,9.67,58.02,5.22,4.1,0,6.85
52,3.7,1.2,16.35,4.05,3.91,2.82,56.86,6.25,3.44,0,9.14
55,0.4,1,7.55,11.94,0.32,3.5,76.66,0.16,3.35,0,0.02
61,3.46,1.02,2.99,32.85,0.37,0.1,51.85,0.03,11.91,23,0
65,0.68,1.61,1.54,30.26,2.06,0.07,59.47,0.17,6.37,24,0.13
75,39.1,1.53,1.8,9.4,35.9,0.35,1.9,5.2,45.7,10,0.1
76,48.3,1.54,1.6,8.4,37.5,0.32,1.9,5.6,44.9,41,0.1
80,30.2,1.21,2.5,22.3,0.2,0.28,5.7,0,69.3,8,0
82,13.1,1.43,1.9,17.5,0.3,0.04,4.6,0,75.7,74,0
85,19.4,1.51,2.8,11.3,28.9,1.4,6.7,18.7,26,0,5.6
88,12.5,1.6,2.3,10.3,28.4,0.34,5.7,20.8,24.8,48,7.7
90,1,1.74,8.4,9.1,26,0.07,6.7,20.3,21.1,135,8.4
98,29.3,1.58,0.2,6.9,30.9,0.29,0.8,2,59.2,15,0
103,59.4,1.41,0.2,4,45.1,0.45,1.4,2.6,46.7,10,0
105,39.4,1.56,0.4,4.4,41,0.12,0.6,3,50.6,43,0
106,0.2,0.99,4.4,3.4,35.3,5.68,11.3,2.6,43,81,0
111,3.3,1.63,7,3.9,33.3,0.14,1.6,2.4,51.8,168,0
113,25.6,1.63,0.7,3.2,14.6,0.09,2.3,0.6,78.4,18,0
120,6.13,1.46,1.8,15,14,0.74,5.3,2,61.8,8,0.1
122,3.94,1.63,3.9,15.1,11.5,0.38,4.2,3.2,61.8,25,0.3
131,0.1,1.58,36.7,6.9,9.7,0.14,0.9,0.6,45.2,175,0
139,88.1,1.51,3,2,51,0.1,0.6,5.1,38.1,102,0.2
140,74.9,1.56,2.6,2,51.7,0.1,0.8,4.8,37.9,152,0.2
