Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
2855,25,1.51,0.8,4.3,3.7,0.15,0.8,0.1,90.3,117,0
52,3.7,1.2,16.35,4.05,3.91,2.82,56.86,6.25,3.44,0,9.14
5928,4.59,1.52,33.3,4.6,19.8,0.02,6.1,8.2,26.8,152,1.2
15055,0.46,1.57,5.1,29.4,1.8,0.22,8.7,0.4,54.6,30,0
12239,108,1.53,0.5,3.8,50.3,0.05,4.3,11.2,29.6,56,0.3
6519,3.18,1.18,15.8,0.3,0.3,1.45,82.8,0.1,0.7,91,0
587,43,0.91,3.1,5,32.4,6.35,18.5,3.6,36.5,0,0.1
5679,23.7,1.47,1.3,16.2,10,0.13,2.6,1,68.9,58,0
4556,40.75,1.57,0.5,6.6,43.1,0.2,2.4,4.6,42.7,43,0.1
6458,3.44,1.17,60.6,12,1.4,0.11,13.8,0.2,12,183,0
5320,2.65,1.6,4.9,3.7,9.6,4.18,9.6,1.2,70.9,53,0.2
4886,1.44,1.45,32.1,6.6,1.6,1,4.6,0.2,54.8,43,0.1
1063,4.28,1.25,1.3,34.7,12.8,3.85,4.9,1.1,45.2,0,0
4831,18,1.5,2,3.6,1.6,1.46,3.7,0.2,88.9,10,0
16469,0.04,1.68,19.6,12.1,5.6,0.2,3,0.6,59.1,107,0
16094,6.35,1.78,15.1,0.8,45,0.18,6.7,17.8,13.1,107,1.5
3134,63.1,1.37,1.4,1.5,57.2,0.72,2.2,5.2,32.4,0,0.1
16549,0.24,1.29,19.5,2.9,6.2,0.45,26.9,1,43.4,33,0.1
7657,26.6,1.51,0.9,8.6,17.4,0.2,1.1,1.7,70.2,8,0.1
3099,4.63,1.31,12.2,23,8,2.63,30.8,1.6,24.3,0,0.1
8512,106,1.54,2.8,1.5,48.7,0.17,1.9,21.6,22.5,8,1
1085,15.9,1.11,30.6,4.8,19.6,3.26,11.4,4.2,29.2,41,0.2
1615,0.58,1.69,22.7,11.5,15.4,0.05,5.9,16.6,17.8,102,10.1
16763,11.3,1.49,6.9,5.3,36.5,1.02,14.4,10.4,25.7,0,0.8
4448,6.79,1.67,2.6,13.4,20.9,0.21,3.9,2.6,56.4,25,0.2
9413,14.5,1.67,4,5.6,38.2,0.28,10.6,13,27.6,10,1
5205,43.4,1.38,0.6,2.9,44.6,0.13,2.1,8.6,41,8,0.2
14761,0.73,1.62,34.2,14.7,3.3,0.16,14.2,0.5,33.1,51,0
10291,1.57,1.44,3.3,1.3,2.2,5.1,9.6,0.1,83.5,135,0
5728,11.15,1.68,0.5,29,2.1,0.05,4.4,0.2,63.8,68,0
15387,9.64,1.65,4.3,9.1,7.7,0.33,1.5,0.9,76.5,109,0
1003,0.1,1.52,28.9,31.8,0.1,0.09,15.4,0,23.8,168,0
8509,65.1,1.59,0.6,0.2,73.4,0.04,0.3,2.3,23.2,155,0
409,2.8,1.67,17.1,19,14.2,1.13,16.1,4.3,28.8,0,0.5
14314,24.3,1.64,3,7.8,41.5,0.5,1.5,4.6,41.6,140,0
12270,0.02,1.43,47.4,7,3.8,0.21,33.2,1.8,6.4,147,0.4
16565,61.8,1.34,2,8.3,2.5,1.4,6.3,0.2,80.7,8,0
8013,37.5,1.59,7.8,9.3,25.2,0.12,7.6,19.9,24.9,30,5.3
4801,105.25,1.38,0.4,1.5,61.4,0.47,1.6,13.3,21.4,13,0.4
3979,108,1.19,2,3.6,3.9,1.15,0.6,0.1,89.8,0,0
12326,18.4,1.69,0.6,12,44.7,0.03,0.9,5.5,36.3,8,0
4887,0.86,1.54,14.3,7.8,6.7,0.31,9.9,7.7,47.4,53,6.2
5065,22.3,1.58,24.2,2.6,27.3,0.03,3.2,22,13.7,175,7
13159,0.61,1.8,23.8,14.8,19,0.08,5.1,10.1,25.8,127,1.4
8616,12.9,1.61,1.4,25.7,6.9,0.3,2.9,1.5,61.6,119,0
10575,16.4,1.12,6.3,12.5,31.5,5.62,8,2.3,39.2,0,0.2
15190,0.53,1.75,25.3,17.2,15.8,0.05,9.3,5,27.2,152,0.2
16679,21.7,1.41,1.2,27.4,9.7,0.87,3.6,1.7,56.4,0,0
166,21.9,1.66,5,3.1,24.1,0.5,2.8,3.9,60.8,112,0.3
11401,13.1,1.74,1.2,11,36,0.03,6.8,9.6,34.7,86,0.7
171,0.3,1.49,10.1,8.5,8.3,17.16,21.8,0.9,50.3,0,0.1
6630,0.14,1.82,11.8,34.2,8.2,0.22,6.8,0.8,38.2,94,0
13698,90.7,1.54,1.6,1,57.4,0.2,0.2,4.3,35.5,150,0
369,9.2,1.75,14.1,0.8,42.8,0.12,3,9.8,28.7,91,0.8
11149,6.14,1.56,1.4,27.5,17.5,0.29,2.6,5.1,45.3,18,0.6
17440,73.6,0.59,19.7,24.3,1.2,7.4,26.9,0,28,13,0
10014,67.1,1.56,0.7,1.9,41.2,0.16,0.7,5.1,50.3,18,0.1
18588,0.14,1.8,17.9,3.1,26,0.03,3.2,1.9,47.8,170,0.1
5884,27.6,1.63,1,2.1,58.5,0.37,2.1,13,23.3,196,0
1566,1.21,1.63,20,5.2,24.4,0.02,15.4,10,19.6,135,5.4
6940,0.34,1.49,10.1,8.5,8.3,8.65,21.8,0.9,50.3,0,0.1
11459,1.77,1.16,3.1,2.3,12.8,1.6,3.5,0.2,78.1,104,0
5102,0.02,1.17,58.9,11.2,1.3,0.52,17.6,1,9.6,15,0.4
