Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
4708,21.7,1.59,1.4,18.2,17.8,0.04,3.9,3.1,55.5,91,0.1
13976,1.12,1.71,34.2,11,17.5,0.06,5.9,8.9,21.1,81,1.4
665,0.1,1.16,61.2,4.9,5.3,0.13,14,1.4,13,140,0.2
3045,34.85,1.59,3,1.4,57.9,0.07,4.8,11.6,21.2,64,0.1
15925,63.1,1.14,4.1,2.8,5.4,2.07,3.8,0.5,83.4,0,0
5058,134,1.53,1.8,0.6,56.4,0.07,2.5,1.8,36.9,94,0
17907,38.1,1.43,1.4,9.7,2.9,0.02,3.2,0.2,82.6,117,0
6941,1.45,1.64,8.7,7.8,13.2,0.65,11.7,2.3,56,8,0.3
9752,12.3,1.61,1.5,15.2,13.2,0.23,3,1.1,65.9,46,0.1
12971,11.8,0.76,17.9,4.1,16.3,11.26,0.1,7.1,54.4,0,0.1
14842,36.8,1.46,5.2,7.2,38.5,2.25,3.5,3.5,42,0,0.1
3295,2.4,1.52,9,15,5.6,1.26,4.6,0.1,65.7,122,0
10705,1.25,1.62,24.6,8.4,9,0.08,18.2,7.8,22.6,152,9.4
15015,1.43,1.03,13.7,11.1,0.7,6.72,18.3,0.1,56.1,36,0
11348,1.31,1.61,19,38,0.4,0.2,21.6,0,21,74,0
14954,32.9,1.25,5.3,22.3,0.7,2.7,9.3,0,62.4,0,0
847,126,0.02,0.4,0.6,68.3,0.14,0.4,5.2,25,43,0.1
4904,16.85,1.44,3.1,10.3,13.9,1.98,4.3,0.9,67.5,0,0
4518,18.15,1.62,1.5,13.7,27.7,0.05,2.3,3.3,51.4,81,0.1
3663,0.03,1.75,25,14.6,17.6,0.14,4.7,1.6,36.5,152,0
18142,39.4,1.21,18.2,6.9,10.7,3.03,33,10.7,14.2,0,6.3
1524,1.97,0.94,3.8,1.6,59.1,7.28,2.9,13.7,18.4,56,0.5
1242,1.5,1.5,39.3,7.4,6.8,0.24,3,0.7,42.8,86,0
17233,14.5,1.7,2.4,7.7,37.6,0.19,4.3,6.5,40.3,20,1.2
3122,0.66,1.79,23.4,2.6,18.1,0.09,6.4,23.5,12.2,150,13.8
