"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
9,2.16,1.55,43.5,7.4,14.5,0.21,8.9,7.5,15.6,81,2.6
24,0.96,1.73,28.7,9.3,20.9,0.18,6.3,8.3,23.9,128,2.6
32,0.17,1.88,33.1,3.9,25.6,0.12,5.4,7.2,22.6,148,2.2
36,0.51,1.82,30.9,9.5,17.2,0.23,8.7,8.3,22.3,41,3.1
60,12,1.02,3.57,34.21,0.47,0.7,48.26,0.02,13.44,17,0.03
79,32.9,1.1,2.8,21.4,0.3,1.29,7.3,0.1,68.1,0,0
107,9.8,1.34,4,3.6,37.2,2.22,5.1,2.7,47.4,102,0
116,0.3,1.7,16.1,2.6,11,0.1,4.5,0.5,65.1,152,0
124,1.27,1.52,19.5,12,10.6,0.51,4.8,3,49.8,38,0.3
149,61.1,1.34,1,4.7,14.7,0.18,0.7,1.4,77.5,25,0
160,9.2,1.65,2.4,14.5,14.5,0.36,1.5,1.6,65.5,64,0
167,21.9,1.66,5,3.1,24.1,0.5,2.8,3.9,60.8,112,0.3
187,161,1.54,0.2,0.2,73.1,0.12,0.4,8.9,17,20,0.2
200,1,1.57,26.4,13.5,4.2,0.5,3.9,0.3,51.7,86,0
206,1.8,1.55,15.5,5.5,47.4,0.98,2.8,9.6,18.8,74,0.4
219,21.3,1.42,0.9,10.2,16.5,0.11,2.3,0.8,69.3,23,0
267,21.7,1.58,0.5,10.9,11.6,0.09,0.9,4.2,71.8,20,0.1
272,7,1.54,6.8,22.8,9.8,0.15,5.4,1.9,53.2,46,0.1
296,1.6,1.53,3,23.9,6.5,1.14,7.8,1.1,57.7,71,0
308,9.4,0.77,7,7.6,25.2,7.08,30.1,3.9,26.2,0,0
324,0.1,1.54,51.2,12.5,9,0.04,6.5,3.5,16.8,58,0.5
420,1.5,1.3,17.9,11.6,20.2,2.56,15,1.7,33.6,15,0
425,0.3,1.72,14.3,15.3,11.6,0.23,6.9,1.1,45.8,127,0
426,0.1,1.76,9.6,17,23.6,0.07,3.3,1.4,45.1,135,0
433,12.3,1.48,5.2,7.2,15.8,0.54,3.3,1.2,67.3,188,0
