Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
6811,27.6,1.59,0.3,16.3,14.4,0.02,1.1,2,65.9,102,0
13024,16.2,0.86,2.9,10.7,2.6,1.92,9,0.3,74.4,0,0.2
17855,19.7,1.6,2.3,9,16.5,0.09,0,0.3,71.9,119,0
5192,0.02,1.67,25.2,34.4,0.4,0.15,26,0,14,89,0
2489,0.12,1.65,43.8,1,9.4,0.15,2,0.2,43.6,137,0
6118,1.32,0.97,4.2,9.4,0.6,1.63,83.4,0,2.4,71,0
5064,15.3,1.61,25.8,0.1,18.7,0.09,8.2,24.6,15.3,145,7.3
3645,0.05,1.69,19.4,23.8,2.3,0.1,4.9,0.1,49.5,99,0
7501,231,1.15,1.8,4.2,41.1,1.25,2.7,2.7,47.5,0,0
1591,11.05,1.67,2.2,14.8,25.5,0.03,8.8,17.9,25.5,112,5.3
2448,0.66,1.52,37.1,9.5,9.8,0.41,7.5,1,35,36,0.1
5750,6.95,1.61,3.6,17.2,11,0.77,10.3,1.2,56.6,10,0.1
5785,43.4,1.71,0.9,2.9,53.3,0.05,2.5,7.7,32.7,79,0
3284,27,1.55,4.7,8.9,27,2.28,6.4,1.8,51.2,41,0
4548,0.24,1.44,37.1,5.4,6.8,0.17,23.1,8.8,7.6,109,11.2
3504,12.8,1.56,1.2,12.4,14.6,0.39,3.2,1.1,67.4,36,0.1
7340,1.36,1.86,0.9,10.9,30.6,0.18,5.2,3.9,48.4,165,0.1
6988,49.1,1.42,0.3,2.1,4.6,0.18,2.2,0.1,90.7,13,0
5324,51.95,1.43,1.3,1.4,22.5,0.34,2.2,2.7,69.8,0,0
1480,11.15,1.26,25.1,7.7,10.9,2.32,26.6,5.9,21.7,15,2.1
1912,0.05,1.67,28.3,13.2,14,0.05,6.7,1.8,35.8,152,0.2
6607,0.23,1.87,19.4,27.2,7,0.1,6,0.9,39.5,170,0
2889,37.5,1.51,1.6,2.3,3.8,0.14,1.9,0.1,90.3,137,0
6454,0.36,1,68.2,8,2,0.44,10.6,0.2,11,38,0
3052,23.59,1.58,23.3,7,24.2,0.13,8.1,12.8,22.8,76,1.8
6197,8.32,1.58,25.4,10.2,26,0.11,5.6,13.4,17.6,160,1.8
7191,19.2,1.57,0.1,4.8,30,0.45,3.3,2.4,59.4,38,0
2490,3.51,1.64,14,13.1,23.9,1.12,5,6.7,36.7,0,0.6
8586,0.24,1.74,24.4,15.6,11,0.13,6.2,1.4,41.4,109,0
5162,2.53,1.68,19.8,5.2,11,0.15,5.4,15,33.6,74,10
17931,23,1.28,4.8,4.2,4.9,2.43,5.7,0.1,80.3,71,0
5369,44.35,1.59,1.2,4.4,29.8,0.28,2.2,17.6,39.4,15,5.4
744,6.9,1.72,16.4,2.1,52.9,0.41,4,11.6,12.5,117,0.5
2006,1.3,1.66,20,8.8,14.6,0.02,17.2,5.4,31.4,130,2.6
355,31.9,1.46,0.4,4.8,10.5,0.13,2,0.7,81.6,15,0
1959,0.72,1.21,34.4,19.7,2,3.53,33.4,0.4,10.1,23,0
521,31.5,1.38,7.8,13.3,20.4,0.11,7.8,6.1,44,48,0.6
236,37.3,0.75,51.9,3,5.8,5.32,6.3,0.5,32.5,46,0
2905,0.44,1.48,3.2,3.1,2.1,2.01,3.1,0,88.5,137,0
4881,0.69,1.6,16.8,8.7,2.8,0.19,14.8,2.4,53.3,102,1.2
1061,0.11,1.68,11,13.7,28.3,0.11,4.6,3.2,39,79,0.2
11713,64.4,1.44,1.5,1.5,56.9,0.31,1.2,7.8,31,23,0.1
10897,26.3,2.21,4.8,17.2,16.4,0.66,7.9,5.1,47.8,15,0.8
4867,0.5,1.25,19.5,2.9,6.2,0.45,26.9,1,43.4,33,0.1
3811,0.7,1.34,4,27.8,0.5,3.49,11.6,0,56.1,51,0
3786,45.35,1.5,2.5,7.4,34.9,0.65,2.4,1.7,51.1,56,0
13910,12.5,1.59,2.3,10.3,28.4,0.34,5.7,20.8,24.8,48,7.7
5684,21.7,1.71,0.4,10.8,37.5,0.04,3.3,16.2,28.7,150,3.1
2895,0.99,1.56,4.6,3.8,2.1,2.61,1.9,0,87.6,66,0
1990,32.85,1.53,1.3,6.3,12.3,0.16,3.2,1.9,74.9,61,0.1
18408,2.6,1.65,8.2,36.8,0.8,0.08,10.7,0.1,43.4,23,0
7675,0.41,1.24,51.8,11.2,3.2,0.17,6.7,0.8,26.1,152,0.2
13869,0.26,1.49,33.4,5.6,23.2,0.27,15,5.2,17.4,124,0.2
3639,20.75,1.03,8.2,33.9,0.4,8.28,7.5,0,30,0,0
4542,26.7,1.46,1.1,6,38.6,0.52,1.9,3.1,49.2,15,0.1
3095,0.27,1.74,12.1,20.8,8.7,0.09,24.9,3.8,29.3,170,0.4
13844,15.8,1.39,1.5,5.1,17.1,0.1,2.1,0.8,73.3,124,0
48,15.15,1.24,12.23,4.52,9.91,3.14,29.12,19.26,7.53,0,17.43
10402,81.5,1.56,0.1,3.9,59,0.06,0.8,12.5,23.6,13,0.1
2636,1.83,1.72,18.6,9.8,20,0.26,3.5,7.5,39.6,175,1
4547,0.16,1.56,47.9,6.2,8,0.26,13.7,4,18,76,2.2
7397,0.3,1.62,6.9,27.8,10.9,0.3,4.3,0.8,49.3,132,0
636,0.2,1.83,15.8,3.4,34.4,0.23,0.9,5.2,39.9,130,0.4
748,14.4,1.7,2.3,3.7,46.2,0.06,0.8,5.1,41.8,38,0.1
3030,12.15,1.44,1.4,29.9,3.4,0.1,11.7,0.3,53.3,102,0
1578,105,1.59,0.9,0.3,65.8,0.08,0.2,3.6,29.1,122,0.1
5366,82.2,0.65,22.2,4.3,14.7,14.32,0.8,6.7,50.3,23,1
4662,30.25,1.64,1.8,6.3,6.8,0.08,0.7,1.1,83.3,175,0
2568,0.11,1.89,14.2,19.8,16.6,0.16,7,4.2,38,124,0.2
6983,6.36,1.46,2.6,2.7,3.5,1.35,5.8,0.3,85,25,0.1
16312,1.29,1.6,29.2,9.8,14.6,0.09,9.3,1.3,35.8,96,0
5778,34.2,1.53,2.7,11.8,15.1,0.07,4.8,1.2,64.4,66,0
3607,59.5,1.45,3.3,4.8,18.4,0.17,2.5,1,70,71,0
11308,76.2,1.32,1.5,0.3,66.8,0.63,4.4,11.8,14.8,0,0.4
6618,38.1,1.25,2.2,18,19.3,1.12,5.2,3,52.2,0,0.1
1232,15.15,1.51,1.1,52.1,4.6,0.09,4.1,0.1,38,61,0
6704,14.15,1.53,0.6,19,16.4,0.08,4.2,3.4,56,20,0.4
6267,0.2,1.45,42.3,19.8,0.8,0.69,29.9,0.4,6.8,15,0
1544,69,1.55,0.2,1,67.8,0.89,0,8.3,22.7,0,0
