"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
4,0.18,1.9,27.4,14.5,17.2,0.13,5.7,7.7,25.7,129,1.8
7,6.25,1.53,9,10.8,25.4,1.12,12.1,13.9,24.5,0,4.3
12,0.12,1.77,30.4,14.3,14.5,0.17,13.4,4,22.6,151,0.8
13,0.13,1.74,30.3,7.7,22,0.15,13.8,5.7,19.2,180,1.3
15,5.56,1.78,4.4,9.9,28.8,0.27,7.8,13.4,33.5,25,2.2
17,4.5,1.75,21.4,8.4,22.8,0.2,6,10.2,29.1,82,2.1
22,10.79,1.59,10.9,12.8,24.6,0.19,7.4,7.1,35.7,90,1.5
23,4.85,1.61,23.6,10.8,20.6,0.23,7.3,7.1,28.1,106,2.5
25,0.42,1.79,26.3,11,23.1,0.14,7.7,6.8,24.4,156,0.7
28,1.77,1.71,34.9,5.9,18.9,0.37,9.2,3.9,26.5,38,0.7
31,0.04,1.85,31.5,5.4,22.7,0.1,9.4,5.3,24.5,111,1.2
41,16.76,1.3,2.85,8.63,21.57,0.02,8.42,0.48,58.05,34,0
43,8.68,1.38,2.71,30.59,5.83,0.07,14.27,0.65,45.88,37,0.07
53,11.29,1,8.76,5.42,15.82,3.19,28.72,22.17,9.08,0,10.03
55,0.4,1,7.55,11.94,0.32,3.5,76.66,0.16,3.35,0,0.02
56,2.84,0.93,6.19,5.03,0.12,1.22,87.95,0.03,0.68,14,0
60,12,1.02,3.57,34.21,0.47,0.7,48.26,0.02,13.44,17,0.03
61,3.46,1.02,2.99,32.85,0.37,0.1,51.85,0.03,11.91,23,0
63,0.008,1.38,9.06,9.36,0.78,2.14,76.33,0.43,3.86,0,0.18
64,0.39,1.62,6.19,12.65,0.52,0.23,75.63,0.14,4.86,10,0.01
67,2.54,1.09,8.29,27.78,1.85,0.89,38.28,0.15,23.58,12,0.07
69,12.72,1.28,2.7,8.76,32.41,0.07,8.28,5.26,41.35,38,1.24
75,39.1,1.53,1.8,9.4,35.9,0.35,1.9,5.2,45.7,10,0.1
79,32.9,1.1,2.8,21.4,0.3,1.29,7.3,0.1,68.1,0,0
85,19.4,1.51,2.8,11.3,28.9,1.4,6.7,18.7,26,0,5.6
87,26.3,1.51,2.8,10.4,28.9,0.69,6,20.4,25,36,6.5
89,11.2,1.66,1.5,11.4,25.7,0.03,5.8,20.4,24.8,91,10.4
90,1,1.74,8.4,9.1,26,0.07,6.7,20.3,21.1,135,8.4
92,2.8,1.66,23.2,6.6,24.5,0.04,2.7,19.6,17.9,155,5.5
96,17.9,1.42,0.5,6.2,31.3,1.09,3.5,1.7,56.8,0,0
99,41.7,1.68,0.4,6.5,30.1,0.12,1,2.1,59.9,36,0
102,65.7,1.33,0.5,4.5,39.7,1.26,3.1,1.8,50.4,0,0
104,39.1,1.54,0.3,4.5,42.4,0.18,1,3.1,48.7,20,0
105,39.4,1.56,0.4,4.4,41,0.12,0.6,3,50.6,43,0
108,20,1.53,4.1,4.1,37.1,1.13,2.9,2.6,49.2,124,0
113,25.6,1.63,0.7,3.2,14.6,0.09,2.3,0.6,78.4,18,0
116,0.3,1.7,16.1,2.6,11,0.1,4.5,0.5,65.1,152,0
118,0.3,1.65,21.7,1.7,11.6,0.04,3.3,0.4,61.1,201,0
120,6.13,1.46,1.8,15,14,0.74,5.3,2,61.8,8,0.1
122,3.94,1.63,3.9,15.1,11.5,0.38,4.2,3.2,61.8,25,0.3
123,2.37,1.53,24.4,11.4,9.5,1.03,5.8,2.3,46.4,33,0.2
124,1.27,1.52,19.5,12,10.6,0.51,4.8,3,49.8,38,0.3
127,25.9,1.55,2.5,11,14.4,0.11,1.7,0.6,69.8,36,0
128,26.1,1.54,1.8,11.8,13.5,0.2,0.8,0.7,71.4,104,0
132,78.8,1.29,0.9,6.3,25.7,0.72,1.8,0.5,64.8,0,0
133,56.5,1.52,0.7,6.3,21.5,0.16,1.3,0.4,69.8,10,0
134,37.1,1.57,0.9,6.2,20.3,0.06,1.1,0.4,71.1,61,0
145,60.5,1.48,0.8,4.4,10.7,0.09,0.6,0.6,82.9,102,0
147,67,1.34,1.3,4.9,14.1,1.03,2,1.3,76.4,0,0
153,43.8,1.26,2.9,7.8,18.8,2.22,4.7,1.8,63.9,0,0.1
165,19.6,1.63,2.3,2.9,31.1,0.07,0.5,5.7,57.2,94,0.3
168,22.8,1.68,1.6,2.9,29.4,0.06,0.8,5.4,59.6,137,0.3
170,13.5,1.53,1.3,8.9,11.8,0.75,1.1,1.7,75.1,74,0.1
