Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
8144,1.45,1.72,31.2,9.2,18.8,0.34,6.9,2.3,31.4,28,0.2
13926,0.68,1.71,36,11.8,14.6,0.07,8.4,8.7,18.9,112,1.8
10400,6.95,1.26,2.4,2.2,55.4,4.28,9.6,11.7,18.6,0,0.1
14902,2.22,1.62,16.6,11.7,29.7,2.59,5.4,3.8,32.8,91,0
4494,0.63,1.64,24.6,8.4,9,0.08,18.2,7.8,22.6,152,9.4
2436,43.4,1.5,2.6,8.2,11.4,0.24,0.8,0.3,76.7,45,0
642,0.8,1.72,21.7,5.9,24.1,0.05,4.4,2,41.9,150,0
3028,71.65,1.49,0.8,0.3,62.8,0.13,0.8,5.3,29.9,15,0.1
3089,12.48,1.13,6.5,17.9,5.6,2.34,42.5,1.5,25.9,0,0.1
9990,0.17,1.52,43.4,7.6,11.4,0.29,3.4,1.2,33,74,0
2065,35.1,1.37,0.4,5.1,18.9,0.85,0.9,2.2,72.5,5,0
3984,187,0.88,0.5,1.5,20.8,1.13,1.2,0.7,75.3,0,0
5166,51.6,1.39,2.7,5.5,19.7,0.84,7.9,24.8,32.5,0,6.9
2301,0.3,1.61,34.2,11.8,10.4,0.16,3.8,1.2,38.6,124,0
4847,23,1.56,2.3,2.8,21.6,0.35,0.7,2.4,70.1,152,0.1
4065,78.7,0.97,2.7,1.2,4.5,15.61,9.2,0.2,82.2,0,0
6780,44.05,1.04,2.2,19.4,16.5,5.86,0.5,1.4,60,0,0
353,0.8,1.83,18.8,12.1,14.9,0.04,3,9.3,40.1,152,1.8
4943,25.95,1.61,2,8.2,31.7,0.24,3.9,11.4,41.4,23,1.4
6534,46.05,1.17,2.5,44.9,0.7,1.63,8.1,0.1,43.7,0,0
16639,1.22,1.51,2.7,10.4,2.8,0.24,3.1,0.5,80.5,15,0
18134,0.27,1.1,5,0.1,0,1.29,94.5,0,0.4,20,0
6563,4.6,1.38,7.2,20,3.1,1.77,16.3,0.2,53.2,0,0
16555,8.33,1.49,25.5,7.8,7.4,0.34,6.9,10.4,35.6,51,6.4
10970,69.7,1.56,1.4,1.4,62,0.2,0.1,12.2,22.6,61,0.3
3768,4.14,1.63,16.2,12,14.8,0.09,4.2,1.6,51.2,160,0
6045,79.1,1.46,1.3,3.9,40.7,0.68,3.5,4.2,46.4,5,0
5373,5.75,1.43,26.8,17,11.8,0.68,14.7,13.8,10.3,165,5.6
16705,0.52,1.58,25.9,4.6,25.4,0.13,9.3,16.6,16.4,99,1.8
7052,2.91,1.34,13.8,35.4,0.9,4.95,23,0.2,26.5,0,0.2
11547,16.4,1.49,2.9,11.6,26,0.83,4.8,3.6,51,56,0.1
17722,1.37,1.69,4.5,41.2,13.8,0.27,17.3,7.8,14.6,43,0.8
18626,35.5,1.64,2,11.4,28.1,0.04,3.1,14.8,38.6,142,2
5957,6.18,1.67,14.2,0.8,32.6,0.25,1.6,27.2,11.2,152,12.4
13724,14.5,1.6,1,29.7,3.7,0.04,2.1,0.2,63.3,84,0
2978,72.3,1.08,0.8,6,2.1,0.99,4.5,0.1,86.5,0,0
16209,0.18,1.39,64.1,6.5,1,0.56,21.7,0.4,6.1,30,0.2
3558,8,1.5,2.8,19.7,15.5,1.31,5.3,1.7,55,0,0
2991,1.19,1.38,2.2,3.3,3.4,3.1,4.4,0,86.7,170,0
13908,38.1,1.52,2.9,10.6,29.7,1.23,6.1,19.9,25.6,25,5.2
14678,2.63,1.67,6.7,21.4,18.8,0.59,9.5,5.6,37.6,5,0.4
4976,14.58,1.41,1.3,25.5,10.4,0.99,2.5,1.1,59.2,0,0
13339,12.7,1.51,1.3,27.8,6.5,0.1,2.5,0.6,61.3,71,0
13698,90.7,1.54,1.6,1,57.4,0.2,0.2,4.3,35.5,150,0
18255,61.8,0.94,2.9,3.4,2.4,3.3,6.4,0.1,84.8,0,0
4441,14.8,1.55,8.2,12.3,24.5,0.36,12.5,9,33.1,18,0.4
13134,0.85,1.21,20.2,4.1,20.3,0.04,1.7,6,47.4,142,0.3
15448,76.2,0.74,19.6,2.8,21,8.48,16.4,3,37,0,0.2
18633,34.2,1.53,6.9,9.6,27.2,0.31,7.7,13.4,33.2,20,2
10783,14,1.55,5.3,7.6,25.9,0.34,3.9,3.3,53.9,23,0.1
665,0.1,1.16,61.2,4.9,5.3,0.13,14,1.4,13,140,0.2
6332,31.55,0.71,2.71,9.4,10.2,7.26,19,1.2,57.3,135,0.2
7526,8.41,1.59,14.9,5.4,17.8,0.41,22.9,11.8,21,102,6.2
18454,0.39,1.54,13.2,37.1,0.7,8.28,20,0.1,28.9,0,0
7277,3.53,1.69,18.3,2.6,29.1,0.06,5.7,33.4,5.8,152,5.1
11349,0.01,1.64,25.2,34.4,0.4,0.15,26,0,14,89,0
149,61.1,1.34,1,4.7,14.7,0.18,0.7,1.4,77.5,25,0
9098,14.5,1.73,1.4,10.2,40.7,0.03,2.9,7,37.7,38,0.1
3243,12.81,0.57,3.3,13.1,2.5,7.94,21.7,0.1,59.3,5,0
8326,2.73,1.12,28,19.4,3.9,3.54,22.3,0.6,25.8,38,0
7398,27.6,1.15,0.1,22.6,21.1,4.39,0,1.7,54.5,0,0
14322,48.6,1.46,3.1,3.9,5.5,2.27,4.7,0.1,82.7,66,0
457,0.4,1.65,23.3,4,26.8,0.21,19.7,2.6,23.6,56,0
13632,17.1,1.49,1,15.3,14.9,0.48,3,0.7,65,8,0.1
4586,44.7,1.6,2.5,5.1,42.2,0.07,3.2,3.6,43.3,104,0.1
1167,37.45,1.61,1.2,5.1,32.9,0.26,0.9,8.7,50.9,96,0.3
4883,68.35,1.32,2,8.3,2.5,1.4,6.3,0.2,80.7,8,0
7354,9.98,1.56,3.2,26.7,13.1,0.36,3.1,1.5,52.4,15,0
1634,0.53,1.71,34.2,1,29.7,0.14,5.8,10.3,13.8,130,5.2
17639,146,1.51,1.9,1.7,52,0.08,5.1,23.1,14.2,76,2
1562,2.12,1.59,24.2,3.4,35.8,0.23,5.5,8.2,22.7,51,0.2
48,15.15,1.24,12.23,4.52,9.91,3.14,29.12,19.26,7.53,0,17.43
6679,1.86,1.66,3.2,12.2,11.6,0.98,5.1,1.1,66.8,89,0
6919,0.16,1.41,22.7,1.8,2.6,0.25,8.4,1.7,62,66,0.8
16785,98.6,1.29,1.5,0.3,66.8,0.63,4.4,11.8,14.8,0,0.4
5048,4.73,1.59,18.3,11.4,15.6,0.29,26.3,5.2,22.4,30,0.8
7100,3.09,1.13,13.2,37.1,0.7,8.28,20,0.1,28.9,0,0
14077,3.11,1.57,1.6,49.6,8.8,0.33,10,2.4,27.6,51,0
7212,1.68,1.67,3.9,6.1,21.8,0.05,1.4,4.8,61.6,122,0.4
17643,68.4,1.42,2,1.9,56.6,0.6,4.9,11.6,22.8,0,0.2
459,0.8,0.9,31.4,5.6,8.2,3.05,37.7,1.1,15.9,53,0.1
4362,14.7,1.69,9.1,5.9,32.7,0.2,10,16.3,24.4,46,1.5
7122,13.15,1.56,3.5,9.7,18.2,0.69,3.3,1.2,64,0,0.1
7124,35.85,1.58,1.2,3.8,30.3,0.16,2.8,11.1,49.7,15,1.1
1609,8.16,1.75,2.6,17,22.9,0.06,7.1,22.8,19,107,8.6
