Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
3860,0.4,1.64,15.3,5.8,14.6,0.05,7.1,3.7,53.1,99,0.4
7622,11.8,1.42,1.5,50.4,4.3,1.38,7.6,0.1,36.1,0,0
18626,35.5,1.64,2,11.4,28.1,0.04,3.1,14.8,38.6,142,2
1648,3.5,1.68,25.9,7,21.2,0.06,4.6,18.7,17.5,140,5.1
17393,14.5,1.44,4,14.8,7.2,1.47,4.6,0.1,69.3,46,0
13723,18.4,1.52,2.1,32.2,3.8,0.03,2,0.2,59.7,41,0
10775,0.36,0.99,29.9,8.6,9.6,0.89,32.1,2.8,16.8,36,0.2
1112,2.35,1.62,11.5,4.2,31.1,0.16,1.6,4.8,46.7,178,0.1
8032,0.11,1.16,93.4,0.4,0.4,0.23,4.8,0.2,0.8,43,0
14760,2.85,1.62,20.3,17.1,6.8,0.26,12.2,1.7,41.8,30,0.1
207,0.8,1.67,15.6,7.6,45.2,0.46,2.9,11.7,16.5,104,0.5
8637,59.2,1.56,0.8,1.4,69.6,0.07,4.6,5.8,18.1,117,0
4065,78.7,0.97,2.7,1.2,4.5,15.61,9.2,0.2,82.2,0,0
2687,127,1.5,0.3,0.5,72.2,0.09,0.2,4.6,22.2,13,0
1565,0.37,1.76,19,3.8,27.6,0.08,21,7.6,20,94,1
18202,19.7,1.56,0.4,12.8,12.4,0.18,1.7,3.1,69.6,15,0
13858,112,1.56,1.9,1.1,60.1,0.06,0.5,9.3,27,145,0.1
5177,2.57,1.65,17.5,12.6,19.2,0.09,10.1,3.8,36.4,71,0.4
16209,0.18,1.39,64.1,6.5,1,0.56,21.7,0.4,6.1,30,0.2
2954,0.39,1.67,18.6,8.1,3.6,0.08,4.8,0.5,64.4,165,0
13907,21,1.48,2.8,11.3,28.9,1.4,6.7,18.7,26,0,5.6
16081,3.94,1.29,7.8,11,31.2,3.06,11.5,1.9,36.6,5,0
6508,33.55,1.51,1.1,2.8,4.3,0.15,3,0.2,88.6,25,0
18632,32.9,1.57,4.8,10.2,28.4,0.69,5.5,12.5,36.8,0,1.8
17779,48.6,1.59,0.5,2.8,53.5,0.17,4,14.5,27.5,23,0.2
14808,0.483,1.25,11.1,8,34.5,2.06,8.3,4,34,53,0.1
11300,1.1,1.5,7.5,9,23.2,0.6,23.9,13.6,20.8,23,2
1679,0.03,1.56,37.4,17.1,8,0.34,6,4.3,25.7,13,1.5
14484,0.13,1.67,43.2,22.8,4.8,0.08,5.8,1,22.2,150,0.2
1606,20.4,1.57,2.9,14.4,25,0.26,7.2,25.9,16.4,13,8.2
13535,21.7,1.23,4.3,3.9,22,7.1,0,2.6,67.2,0,0
52,3.7,1.2,16.35,4.05,3.91,2.82,56.86,6.25,3.44,0,9.14
