,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
14753,0.69,1.67,23.0,31.3,1.7,0.2,11.7,0.6,31.7,66.0,0.0
9272,40.8,1.35,0.7,2.4,6.4,0.25,1.2,0.4,88.9,13.0,0.0
4499,0.09,1.8,35.7,11.2,10.0,0.05,9.1,1.0,32.8,43.0,0.2
5181,2.91,1.46,5.3,35.4,1.6,0.86,19.7,0.4,37.6,15.0,0.0
3067,0.13,1.66,27.5,14.8,14.2,0.04,14.5,4.2,24.6,152.0,0.2
7233,10.64,1.62,1.4,10.0,25.4,0.29,4.4,1.4,57.4,74.0,0.0
946,38.4,1.44,1.0,3.9,0.6,0.17,4.8,0.0,89.7,152.0,0.0
4919,10.15,1.61,1.4,9.3,3.6,0.35,2.5,0.4,82.8,56.0,0.0
3713,3.73,1.65,2.2,15.1,15.3,0.53,4.0,1.3,62.1,15.0,0.0
9042,39.4,1.32,0.8,5.3,2.1,0.15,1.5,0.1,90.2,28.0,0.0
14842,36.8,1.46,5.2,7.2,38.5,2.25,3.5,3.5,42.0,0.0,0.1
15014,19.7,1.5,1.0,4.4,3.3,0.26,0.7,0.2,90.4,196.0,0.0
1153,8.34,1.52,4.2,7.0,10.3,0.25,2.8,0.8,74.9,46.0,0.0
14367,4.27,1.59,6.7,26.3,7.6,0.16,5.0,1.3,53.0,48.0,0.1
13123,15.5,1.5,3.5,9.7,18.2,0.69,3.3,1.2,64.0,0.0,0.1
15672,0.01,1.83,14.2,15.4,20.2,0.1,7.0,1.4,41.8,130.0,0.0
17050,20.4,1.69,6.2,11.2,27.0,0.08,4.4,14.4,35.2,79.0,1.6
12265,0.02,1.46,51.3,13.8,2.4,0.27,25.3,2.6,4.2,150.0,0.4
13996,42.1,1.28,3.4,18.3,15.1,1.03,4.5,2.3,56.3,0.0,0.1
3101,1.99,1.67,22.9,23.2,6.3,0.04,25.4,1.3,20.8,89.0,0.1
14739,0.2,1.7,39.1,9.8,13.4,0.11,7.4,5.0,24.7,137.0,0.6
1461,105.0,1.5,0.8,0.9,69.0,0.52,0.5,13.5,15.1,5.0,0.2
14838,41.4,1.3,2.8,2.6,53.2,2.34,1.7,5.1,34.5,0.0,0.1
5764,28.9,1.55,2.4,11.4,16.8,0.1,4.3,0.8,64.3,23.0,0.0
3235,21.7,1.26,0.2,16.1,5.7,1.33,6.2,0.1,71.7,0.0,0.0
17520,81.5,1.51,1.5,0.7,57.6,0.05,1.9,9.4,28.7,96.0,0.2
6538,0.24,1.65,19.6,47.0,0.1,0.07,10.8,0.0,22.5,114.0,0.0
10412,41.4,1.54,0.3,4.5,42.4,0.18,1.0,3.1,48.7,20.0,0.0
3674,58.15,1.44,1.6,5.8,26.9,0.27,1.9,1.8,61.9,53.0,0.1
6770,23.65,1.54,0.7,14.2,13.1,0.21,0.7,1.4,69.9,13.0,0.0
11656,0.75,1.71,18.0,17.2,2.8,0.07,8.9,0.2,52.9,66.0,0.0
4023,34.85,1.52,0.7,2.3,12.0,0.06,1.7,1.0,82.2,79.0,0.1
8193,0.01,1.63,48.9,14.0,7.2,0.19,14.9,3.8,9.0,122.0,2.2
12794,9.2,1.35,3.0,13.2,11.6,1.62,1.6,2.9,67.7,38.0,0.0
8868,25.6,1.52,0.1,13.7,30.0,0.76,6.1,13.5,35.3,0.0,1.3
3297,0.02,1.7,21.8,12.5,6.0,0.26,2.2,0.1,57.4,170.0,0.0
3381,8.76,1.63,3.4,23.8,4.1,0.23,3.6,0.1,65.0,79.0,0.0
9948,4.15,1.55,57.1,4.2,4.2,0.05,3.3,0.2,31.0,162.0,0.0
10228,85.5,1.47,3.0,1.8,17.7,0.34,2.4,0.6,74.5,46.0,0.0
1813,0.19,1.84,4.5,12.0,20.8,0.08,6.7,9.6,44.8,165.0,1.6
88,12.5,1.6,2.3,10.3,28.4,0.34,5.7,20.8,24.8,48.0,7.7
7120,0.11,1.81,23.0,7.6,22.8,0.12,3.2,3.1,40.3,130.0,0.0
5830,59.15,1.46,1.9,1.1,55.4,0.33,3.4,8.7,29.4,13.0,0.1
6876,9.2,1.46,4.2,7.2,3.1,0.56,5.1,0.1,80.3,30.0,0.0
16289,0.13,1.97,30.0,9.7,13.7,0.59,6.2,1.1,39.3,41.0,0.0
9278,53.9,1.5,0.8,2.6,4.4,0.11,0.7,0.2,91.3,165.0,0.0
2236,0.07,1.59,30.8,14.3,7.2,0.19,12.8,1.7,32.9,23.0,0.3
