"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
1,2.69,1.69,9.7,14.8,23,0.58,8.8,9.6,32.3,30,1.8
4,0.18,1.9,27.4,14.5,17.2,0.13,5.7,7.7,25.7,129,1.8
8,2.51,1.58,32.5,7.5,18.9,0.35,8.5,10.5,18.8,30,3.3
11,0.25,1.62,34,13,15.1,0.18,13.1,5.7,17.8,125,1.3
17,4.5,1.75,21.4,8.4,22.8,0.2,6,10.2,29.1,82,2.1
18,0.46,1.81,26.2,5.8,21.7,0.14,2.9,13.3,26.6,136,3.5
20,10.53,1.54,2.8,14.9,27.2,0.51,7.1,5.2,41.7,0,1.1
31,0.04,1.85,31.5,5.4,22.7,0.1,9.4,5.3,24.5,111,1.2
32,0.17,1.88,33.1,3.9,25.6,0.12,5.4,7.2,22.6,148,2.2
36,0.51,1.82,30.9,9.5,17.2,0.23,8.7,8.3,22.3,41,3.1
44,23.14,1.42,3.31,16.08,14.08,0.14,6.73,3.5,55.82,29,0.48
45,30.07,0.61,17.63,4.25,3.93,9.67,58.02,5.22,4.1,0,6.85
49,36.43,1.1,15.26,4.64,7.4,3.71,30.22,15.34,6,8,21.14
52,3.7,1.2,16.35,4.05,3.91,2.82,56.86,6.25,3.44,0,9.14
54,6.21,1.24,8.88,5.06,14.85,0.16,29.17,21.48,8.76,2,11.8
55,0.4,1,7.55,11.94,0.32,3.5,76.66,0.16,3.35,0,0.02
59,6.11,1.07,2.93,33.38,0.33,0.74,51.42,0.03,11.91,9,0
65,0.68,1.61,1.54,30.26,2.06,0.07,59.47,0.17,6.37,24,0.13
66,1.44,1.03,11.87,25.34,1.42,2.68,42.42,0.51,18.07,0,0.37
71,5.11,1.04,1.64,31.9,0.51,0.66,47.52,0.06,18.36,14,0.01
76,48.3,1.54,1.6,8.4,37.5,0.32,1.9,5.6,44.9,41,0.1
82,13.1,1.43,1.9,17.5,0.3,0.04,4.6,0,75.7,74,0
87,26.3,1.51,2.8,10.4,28.9,0.69,6,20.4,25,36,6.5
90,1,1.74,8.4,9.1,26,0.07,6.7,20.3,21.1,135,8.4
91,0.05,1.77,29.4,5.5,21.8,0.09,3.9,18.5,14.8,142,6.1
92,2.8,1.66,23.2,6.6,24.5,0.04,2.7,19.6,17.9,155,5.5
93,10.5,1.38,5.4,4.1,36.4,2.05,14.2,10.9,28.5,0,0.5
95,8.5,1.72,5.7,4.8,36.6,0.08,8.8,13.1,29.6,43,1.4
98,29.3,1.58,0.2,6.9,30.9,0.29,0.8,2,59.2,15,0
106,0.2,0.99,4.4,3.4,35.3,5.68,11.3,2.6,43,81,0
110,0.3,1.63,16.2,3.3,36.4,0.17,1.8,2.9,39.4,145,0
114,20.7,1.61,4,2.9,14.8,0.07,2.9,0.6,74.7,61,0
116,0.3,1.7,16.1,2.6,11,0.1,4.5,0.5,65.1,152,0
126,23,1.57,3.4,11,14,0.43,2.3,0.6,68.7,20,0
127,25.9,1.55,2.5,11,14.4,0.11,1.7,0.6,69.8,36,0
131,0.1,1.58,36.7,6.9,9.7,0.14,0.9,0.6,45.2,175,0
136,93.3,1.49,1.9,1.8,53.93,0.6,1.8,5.4,35.1,0,0.1
137,62.4,1.59,2.9,2.3,49.7,0.2,1.1,4.8,39,15,0.2
142,56.5,1.42,1,5.6,9.7,0.32,1.1,0.5,82.1,10,0
144,55.2,1.47,0.9,5.3,10.3,0.1,0.3,0.6,82.6,56,0
145,60.5,1.48,0.8,4.4,10.7,0.09,0.6,0.6,82.9,102,0
151,53.9,1.47,0.7,4.3,15.1,0.04,0.9,1.4,77.6,132,0
153,43.8,1.26,2.9,7.8,18.8,2.22,4.7,1.8,63.9,0,0.1
154,25.6,1.5,0.9,8.6,17.4,0.2,1.1,1.7,70.2,8,0.1
162,71,1.46,0.7,1,41.7,0.67,2,5.1,49.3,0,0.2
163,41,1.55,0.5,2.3,35.5,0.03,0.6,5.1,55.7,8,0.3
164,27.6,1.62,1.8,2.9,31.4,0.04,0.6,5.4,57.7,64,0.2
171,0.3,1.49,10.1,8.5,8.3,17.16,21.8,0.9,50.3,0,0.1
174,9.47,1.67,0.7,5.1,29.6,0.26,1.1,2.5,61,5,0
180,2.95,1.16,9.1,13.7,2.2,1.88,12.9,0.1,62,0,0
181,24.4,1.55,0.4,15.3,2.6,0.04,1.4,0.1,80.2,20,0
185,58.8,1.33,3.3,2,63.5,2.32,4.9,8.8,17.3,0,0.2
188,125,1.48,0.7,0.2,71.9,0.16,0.6,8.4,18,46,0.2
193,17.5,1.25,1.9,16.7,4.7,4.4,11.3,0.4,65,0,0
198,7.3,1.4,5.6,18.2,5,1.25,7.5,0.5,63.2,64,0
208,0.8,1.53,11.7,9,48.2,0.23,3.7,10.7,16.2,122,0.5
218,23.2,1.4,1.1,9.6,17.9,0.36,2.1,0.7,68.6,15,0
220,9.5,1.34,6.7,9,15.6,1.14,3.6,0.8,64.3,41,0
222,6.2,1.54,10.4,9.3,13.8,0.36,3.1,0.9,62.5,89,0
224,0.2,1.31,51.8,11.2,3.2,0.17,6.7,0.8,26.1,152,0.2
225,12.7,1.37,1.8,13.6,15.4,1.3,4.8,0.7,63.7,0,0
231,8.4,1.57,5.1,14.9,12.9,0.42,3.8,1,62.3,86,0
232,1.8,1.72,15.5,12.3,13.2,0.17,1.9,1,56.1,96,0
