"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
2,1.2,1.71,27.1,11.8,17.6,0.33,7.3,8.5,25.2,38,2.5
3,0.39,1.7,36.8,10.7,15.7,0.2,5.4,7.6,21.1,76,2.7
4,0.18,1.9,27.4,14.5,17.2,0.13,5.7,7.7,25.7,129,1.8
5,0.24,1.91,26.2,9.2,22.9,0.11,5.2,10.3,24.3,160,1.9
6,0.04,2.02,20.1,7.2,29,0.09,3.6,10.7,28.6,184,0.8
8,2.51,1.58,32.5,7.5,18.9,0.35,8.5,10.5,18.8,30,3.3
9,2.16,1.55,43.5,7.4,14.5,0.21,8.9,7.5,15.6,81,2.6
10,0.48,1.56,43.1,10.8,11.4,0.17,13,4.4,15.9,104,1.4
12,0.12,1.77,30.4,14.3,14.5,0.17,13.4,4,22.6,151,0.8
15,5.56,1.78,4.4,9.9,28.8,0.27,7.8,13.4,33.5,25,2.2
16,7.03,1.8,7.6,10.2,25.8,0.14,7,12.6,34.2,65,2.6
18,0.46,1.81,26.2,5.8,21.7,0.14,2.9,13.3,26.6,136,3.5
21,10.19,1.59,6,17.6,21.4,0.22,8.9,3.8,41.2,33,1.1
24,0.96,1.73,28.7,9.3,20.9,0.18,6.3,8.3,23.9,128,2.6
25,0.42,1.79,26.3,11,23.1,0.14,7.7,6.8,24.4,156,0.7
28,1.77,1.71,34.9,5.9,18.9,0.37,9.2,3.9,26.5,38,0.7
29,1.78,1.61,39.8,5,18.5,0.23,8.6,3.6,23.8,69,0.7
31,0.04,1.85,31.5,5.4,22.7,0.1,9.4,5.3,24.5,111,1.2
32,0.17,1.88,33.1,3.9,25.6,0.12,5.4,7.2,22.6,148,2.2
33,0.3,1.87,19.3,4.6,32.4,0.09,2.8,11.1,26,178,3.8
34,0.56,1.72,9.1,12.4,22,1.28,16.2,8.9,28.6,0,2.8
35,0.97,2,18.3,12.8,18.7,0.36,11,8.4,29.2,29,1.6
37,0.85,1.67,29.2,10.1,18.4,0.21,8.1,8.1,23.6,78,2.5
38,0.24,1.67,30.8,9.1,18,0.14,9.6,8.1,21.8,117,2.6
42,9.77,1.5,1.74,21.13,16.02,0.5,3.7,3.81,53.22,24,0.38
43,8.68,1.38,2.71,30.59,5.83,0.07,14.27,0.65,45.88,37,0.07
44,23.14,1.42,3.31,16.08,14.08,0.14,6.73,3.5,55.82,29,0.48
47,7.74,0.82,12.38,7.54,10.98,6.08,42.38,7.98,10.56,6,8.18
50,0.99,1.29,13.26,5.08,3.62,3.26,61.65,5.73,2.96,0,7.7
53,11.29,1,8.76,5.42,15.82,3.19,28.72,22.17,9.08,0,10.03
54,6.21,1.24,8.88,5.06,14.85,0.16,29.17,21.48,8.76,2,11.8
55,0.4,1,7.55,11.94,0.32,3.5,76.66,0.16,3.35,0,0.02
56,2.84,0.93,6.19,5.03,0.12,1.22,87.95,0.03,0.68,14,0
57,0.59,1.18,4.58,4.09,0.2,0.61,90.1,0.12,0.86,26,0.05
58,1.77,1.33,4.54,28.55,7.78,1.67,32.82,0.37,25.9,0,0.04
60,12,1.02,3.57,34.21,0.47,0.7,48.26,0.02,13.44,17,0.03
61,3.46,1.02,2.99,32.85,0.37,0.1,51.85,0.03,11.91,23,0
62,3.91,1.18,4.62,27.26,0.37,0.35,55.88,0.05,11.8,28,0.02
65,0.68,1.61,1.54,30.26,2.06,0.07,59.47,0.17,6.37,24,0.13
68,6.64,1.11,6.45,26.98,1.65,0.51,45.28,0.09,19.45,24,0.1
72,2.94,1.05,1.66,27.04,0.64,0.38,57.42,0.05,13.18,26,0.01
73,1.56,1.13,3.45,23.77,0.46,0.35,65.42,0.04,6.86,36,0
74,46.7,1.47,2.3,9.1,34.6,0.78,3.3,4.8,45.8,0,0.1
81,21.7,1.34,2.6,22.1,0.2,0.14,5.4,0,69.7,38,0
83,14.5,1.25,2.3,17.7,0.2,0.01,4.8,0,75,99,0
84,0.1,1.57,19.7,15,0.2,0.04,5.1,0.1,59.9,127,0
87,26.3,1.51,2.8,10.4,28.9,0.69,6,20.4,25,36,6.5
91,0.05,1.77,29.4,5.5,21.8,0.09,3.9,18.5,14.8,142,6.1
92,2.8,1.66,23.2,6.6,24.5,0.04,2.7,19.6,17.9,155,5.5
94,7.5,1.74,5.8,5,35,0.22,10.1,11.4,31.5,13,1.2
95,8.5,1.72,5.7,4.8,36.6,0.08,8.8,13.1,29.6,43,1.4
97,14.3,1.54,0.4,5.8,35,1.07,2.4,2,54.4,5,0
99,41.7,1.68,0.4,6.5,30.1,0.12,1,2.1,59.9,36,0
101,0.2,1.25,6.4,5.1,25.5,4.72,8.1,2.1,52.8,104,0
102,65.7,1.33,0.5,4.5,39.7,1.26,3.1,1.8,50.4,0,0
103,59.4,1.41,0.2,4,45.1,0.45,1.4,2.6,46.7,10,0
104,39.1,1.54,0.3,4.5,42.4,0.18,1,3.1,48.7,20,0
107,9.8,1.34,4,3.6,37.2,2.22,5.1,2.7,47.4,102,0
108,20,1.53,4.1,4.1,37.1,1.13,2.9,2.6,49.2,124,0
110,0.3,1.63,16.2,3.3,36.4,0.17,1.8,2.9,39.4,145,0
111,3.3,1.63,7,3.9,33.3,0.14,1.6,2.4,51.8,168,0
114,20.7,1.61,4,2.9,14.8,0.07,2.9,0.6,74.7,61,0
117,0.1,1.66,25.4,1.9,9.1,0.1,3.4,0.3,59.8,170,0
119,14.2,1.32,1.8,14.8,10.9,1.58,7.2,1.3,62.6,0,0.1
120,6.13,1.46,1.8,15,14,0.74,5.3,2,61.8,8,0.1
121,6.35,1.6,2.2,14.9,12.2,0.32,3.4,3.4,63.6,13,0.3
123,2.37,1.53,24.4,11.4,9.5,1.03,5.8,2.3,46.4,33,0.2
124,1.27,1.52,19.5,12,10.6,0.51,4.8,3,49.8,38,0.3
126,23,1.57,3.4,11,14,0.43,2.3,0.6,68.7,20,0
128,26.1,1.54,1.8,11.8,13.5,0.2,0.8,0.7,71.4,104,0
131,0.1,1.58,36.7,6.9,9.7,0.14,0.9,0.6,45.2,175,0
132,78.8,1.29,0.9,6.3,25.7,0.72,1.8,0.5,64.8,0,0
133,56.5,1.52,0.7,6.3,21.5,0.16,1.3,0.4,69.8,10,0
135,43.4,1.56,0.8,5.9,22.8,0.04,0.7,0.5,69.3,165,0
136,93.3,1.49,1.9,1.8,53.93,0.6,1.8,5.4,35.1,0,0.1
137,62.4,1.59,2.9,2.3,49.7,0.2,1.1,4.8,39,15,0.2
138,92,1.5,2.7,2.4,49.2,0.1,1,4.3,40.1,51,0.3
139,88.1,1.51,3,2,51,0.1,0.6,5.1,38.1,102,0.2
141,36.2,1.43,1.5,5.4,10.2,0.72,1.3,0.5,81.1,0,0
142,56.5,1.42,1,5.6,9.7,0.32,1.1,0.5,82.1,10,0
143,56.5,1.41,1,5.9,9.4,0.25,1,0.5,82.2,25,0
146,64.4,1.49,0.5,4.2,11.3,0.05,0.6,0.6,82.3,142,0
147,67,1.34,1.3,4.9,14.1,1.03,2,1.3,76.4,0,0
