,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
3199,12.0,1.52,9.1,27.0,14.3,2.29,10.3,3.1,35.9,84.0,0.3
11359,28.3,1.54,3.3,2.4,36.0,0.34,5.1,13.5,37.7,152.0,2.0
15092,2.19,1.68,10.2,6.7,11.1,0.16,6.1,2.6,62.9,86.0,0.4
16876,16.4,1.44,2.7,22.1,17.7,0.61,5.1,1.3,51.1,30.0,0.0
5161,7.23,1.66,6.2,7.0,22.8,0.11,13.4,4.8,45.6,64.0,0.2
4922,0.04,1.92,16.2,13.2,18.0,0.14,9.7,4.3,38.3,68.0,0.3
4425,2.63,1.55,8.8,35.4,0.2,0.08,12.3,0.0,43.3,107.0,0.0
10044,19.1,1.49,2.8,1.8,7.1,0.09,2.3,0.3,85.7,155.0,0.0
10794,57.9,1.51,2.8,4.7,44.2,0.18,3.5,4.0,40.7,84.0,0.1
17916,27.6,1.56,1.8,2.8,13.2,0.13,2.3,1.0,78.9,13.0,0.0
3092,0.55,1.63,30.9,8.7,6.2,0.24,32.2,0.9,21.1,61.0,0.0
5758,26.3,1.56,2.8,15.4,10.6,0.11,5.0,0.7,65.5,43.0,0.0
10109,0.93,1.79,9.5,20.4,24.0,0.06,6.1,7.2,32.4,165.0,0.4
9081,0.03,1.67,7.5,28.4,1.2,0.1,2.7,0.2,60.0,84.0,0.0
13218,7.23,1.59,1.6,13.1,7.9,0.16,1.7,0.9,74.8,38.0,0.0
11698,8.22,1.5,0.8,19.4,11.6,0.54,1.9,0.5,65.8,13.0,0.0
6997,38.45,1.41,2.1,3.7,6.7,0.22,0.2,0.2,87.1,36.0,0.0
6817,41.2,1.11,1.3,11.3,31.2,2.53,3.3,3.0,49.8,0.0,0.1
13848,69.7,1.51,1.1,1.7,62.0,0.34,0.4,14.6,20.0,33.0,0.2
8211,0.01,1.54,22.6,40.0,7.2,0.15,10.2,1.6,18.0,94.0,0.4
16757,67.0,1.42,0.2,0.1,62.2,0.11,0.1,1.4,36.0,0.0,0.0
7979,0.04,1.69,50.5,16.4,4.9,0.03,14.1,3.2,10.3,178.0,0.6
6373,25.9,1.53,2.7,5.1,19.6,0.06,0.9,0.8,70.9,102.0,0.0
16644,5.26,1.27,1.5,15.5,4.2,2.68,3.5,0.4,74.9,0.0,0.0
12780,13.8,1.67,0.9,13.3,14.2,0.02,1.9,2.5,67.2,58.0,0.0
14793,4.6,1.59,4.7,0.3,61.4,1.66,4.0,5.6,23.8,157.0,0.2
1961,4.51,1.18,25.3,15.3,6.9,3.68,22.9,1.4,28.2,71.0,0.0
12728,35.1,1.22,0.2,12.7,10.7,1.76,1.8,1.0,73.6,0.0,0.0
509,5.7,1.46,7.1,1.4,47.2,2.52,6.5,14.8,22.4,79.0,0.6
8441,16.6,1.62,0.3,15.5,31.8,0.07,1.4,2.7,48.3,43.0,0.0
8476,39.4,1.33,2.7,4.8,35.2,1.45,3.9,2.1,51.3,109.0,0.0
13702,74.9,1.52,1.7,0.7,60.5,0.2,0.0,5.8,31.3,114.0,0.0
2784,1.59,1.83,13.8,5.8,23.8,0.3,6.1,4.3,46.2,112.0,0.0
16193,1.14,1.71,29.2,9.5,19.5,0.22,13.5,6.6,21.4,20.0,0.3
9762,0.26,1.6,33.3,6.6,8.6,0.14,4.3,0.6,46.6,122.0,0.0
9047,67.7,1.28,2.8,2.6,53.2,2.34,1.7,5.1,34.5,0.0,0.1
12072,19.7,1.58,1.6,2.8,16.7,0.17,6.5,5.0,67.1,10.0,0.3
4580,53.25,1.44,4.2,6.6,30.1,0.26,3.0,2.8,53.3,22.0,0.0
3035,11.15,1.34,5.0,24.8,7.2,0.41,24.8,1.8,36.3,20.0,0.1
