Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
17095,0.2,1.73,16.8,6.3,26.7,0.09,3.7,2.7,43.7,142,0.1
4065,78.7,0.97,2.7,1.2,4.5,15.61,9.2,0.2,82.2,0,0
6000,11.4,1.67,2.5,6.2,41.3,0.84,2.2,6.3,41.4,0,0.1
18667,0.48,1.08,5.7,24.4,11.1,7.77,11.4,0.5,46.9,0,0
6342,0.07,1.49,6.4,3.7,46.8,2.42,2.8,11.5,28.7,56,0.1
9177,28.3,1.4,2.1,4.5,2.1,0.36,2.3,0,89,18,0
2543,16.14,1.46,7.3,23.4,17.3,1.18,6.3,6,38.9,0,0.8
665,0.1,1.16,61.2,4.9,5.3,0.13,14,1.4,13,140,0.2
12850,36.2,1.59,1.7,3.3,35.2,0.01,2.3,4.5,52.9,155,0.1
2667,0.29,1.31,4.6,0.6,57,4.14,4.8,4.9,28,155,0.1
7132,0.59,1.69,7.6,2.6,26.3,0.08,15,9.4,37.7,102,1.4
12716,8.87,1.07,12.3,1,1.5,2.11,82,0.9,2,0,0.3
3639,20.75,1.03,8.2,33.9,0.4,8.28,7.5,0,30,0,0
396,0.1,1.64,38.5,11,9.2,0.15,4.3,1,36,162,0
6679,1.86,1.66,3.2,12.2,11.6,0.98,5.1,1.1,66.8,89,0
11388,4.73,1.65,17,1.4,36,0.07,3.8,30.6,7.6,188,3.6
15824,0.54,1.64,32.5,33,7.6,0.06,7.9,1.4,17.6,119,0
16976,10.5,1.65,3,11.8,26.7,0.18,4.2,2.1,52.2,23,0
3960,23.15,0.67,26.6,3.2,3.7,5.9,8,0.4,58.1,8,0
9968,1.21,1.73,8.3,9.6,29.6,0.11,3.9,2.6,46,190,0
13342,4.88,1.65,1.1,27.4,6.5,0.35,3.8,0.6,60.6,173,0
14532,23.7,1.57,1.2,29.3,9.2,0.04,1.7,0.7,57.9,155,0
13092,6.84,1.5,2.9,1.6,27.9,0.25,3.6,25.5,23.5,117,15
6232,0.1,1.49,47.4,15.6,2,0.26,28.8,1.8,4.2,96,0.2
10371,150,1.47,0.7,0.2,71.9,0.16,0.6,8.4,18,46,0.2
12244,7.1,1.7,5.4,20.6,21.4,0.15,11.8,10,29.2,28,1.6
7724,38.1,1.53,2.2,11.7,12.4,0.28,2.4,0.8,70.5,23,0
4596,18.6,1.58,2.9,14.4,25.7,0.82,4.8,7.4,44.4,0,0.4
2798,130.5,1.01,6.8,0.7,18.6,1.15,2.7,0.6,70.6,0,0
4274,16.4,1.5,2.2,2.5,46,0.96,3.5,7,38.6,1,0.2
7060,4.68,1.59,6,10.5,11.5,0.47,14.4,1,56.6,66,0
8032,0.11,1.16,93.4,0.4,0.4,0.23,4.8,0.2,0.8,43,0
2465,12.7,1.42,3.9,4.9,35.5,2,9.2,23.6,20.6,0,2.3
16555,8.33,1.49,25.5,7.8,7.4,0.34,6.9,10.4,35.6,51,6.4
7969,23.7,1.54,2.8,10.4,28.9,0.69,6,20.4,25,36,6.5
2959,0.19,1.61,23.7,3.3,11.3,0.13,6.1,1.8,53.6,94,0.2
5927,0.73,1.69,25.5,10,19,0.03,8.1,6.6,29.8,132,1
15291,70.1,1.65,32.2,17.8,1.6,0.21,13.4,0,35,135,0
3556,35.65,1.34,52.5,11.6,1.4,0.09,13.9,0.2,20.4,117,0
16198,3.68,1.62,6.6,33.1,1.6,0.41,16.7,0.3,41.7,25,0
11575,44,1.16,3,6.5,28.1,0.57,8.2,2.8,51.3,86,0.1
11348,1.31,1.61,19,38,0.4,0.2,21.6,0,21,74,0
2640,0.55,0.03,35,5,30.7,0.55,4.2,8,16.7,74,0.4
9888,6.05,1.56,2.4,26.2,3.2,0.1,3,0.1,65.1,79,0
16290,0.326,1.59,47.9,6.2,8,0.26,13.7,4,18,76,2.2
9364,103,1.41,1.2,0.8,62.2,0.49,1.1,5.7,28.9,0,0
10491,0.16,1.7,10.4,1.5,50,0.08,2.6,15,20,25,0.5
237,8.3,1.46,20.8,10.4,1.9,2.72,53.1,0.6,13.1,0,0.1
17017,4.93,1.65,11,5.1,32.3,0.11,5.5,5.2,40.7,53,0.2
6122,53.25,1.49,0.1,0.3,31.8,0.08,1.4,4.9,61.4,15,0.1
11110,30.2,1.28,3,0.2,54.4,0.8,9.3,1,32.1,0,0
6176,38.8,1.41,4.7,6.8,35.2,1.28,8.8,18.7,22.4,0,3.4
2501,20.05,1.59,6.5,8.2,29.3,0.94,4.8,8.3,41.7,0,1.2
15975,0.99,2.58,14,9.5,3.8,0.05,3.5,0.2,69,86,0
6723,11.19,1.22,17.6,6.5,10.8,2.95,32.4,12.3,11.8,0,8.6
16415,0.27,1.86,10.8,12.3,25.4,0.07,5.4,6.2,39.5,142,0.4
14037,42.1,1.26,2.1,9.6,28.5,1.39,3,3.3,53.3,0,0.2
8586,0.24,1.74,24.4,15.6,11,0.13,6.2,1.4,41.4,109,0
7058,0.01,1.6,38.2,32.3,0.2,0.01,21.4,0,7.9,137,0
4901,1,1.65,12.4,9.5,14.3,0.16,2.2,1.3,60.3,134,0
15190,0.53,1.75,25.3,17.2,15.8,0.05,9.3,5,27.2,152,0.2
7937,0.31,1.77,19,3.8,27.6,0.08,21,7.6,20,94,1
18326,9.2,1.57,7.8,5.4,0.8,0.06,1.7,0.1,84.2,162,0
5360,7.9,1.5,2.1,9.9,21.3,2.79,1.3,8.5,55.6,0,1.3
17707,0.17,1.42,48.2,7,4.4,0.51,30.6,2.2,7.2,36,0.4
8272,0.16,1.75,19.1,11.5,10.1,0.24,2.7,1.2,55.3,140,0.1
6906,12.49,1.66,2.6,0.9,22.3,0.06,2.4,3.1,68.7,43,0
16636,3.33,1.68,19.8,2,31.6,0.08,9.6,16.4,17.8,155,2.8
5622,42.17,1.5,8.1,13,21.8,3.05,5.1,1.8,50.2,0,0
1722,0.01,1.54,40.8,18.8,3,0.16,15.4,0.8,21,86,0.2
8973,6.57,1.56,9.6,12.8,2.9,0.2,2,0.1,72.6,142,0
5956,19.7,1.68,6,0.6,30.4,0.04,2,33.6,7.8,142,19.6
16677,0.66,1.71,13.5,23.1,6,0.17,3.1,0.9,53.4,147,0
6169,227.5,1.46,1.3,1.9,52.8,0.06,3.4,23.6,15.1,132,1.9
12053,0.37,1.69,4.8,20.4,18.3,0.03,10.6,5.7,39.6,36,0.6
5166,51.6,1.39,2.7,5.5,19.7,0.84,7.9,24.8,32.5,0,6.9
13101,5.79,0.72,13.2,37.1,0.7,8.28,20,0.1,28.9,0,0
13966,0.33,1.56,43.6,14.6,7.5,0.06,8.9,5,19.4,89,1
16995,7.89,1.51,3,12.3,24.6,1,4.8,2.8,52.4,53,0.1
9957,9.9,1.09,3.7,15.1,10.4,3.03,4.6,0.4,65.8,0,0
10262,72.3,1.22,1.4,2.1,13.5,0.67,3,0.9,79.1,0,0
5013,33.55,1.75,0.5,5.2,22.1,0.05,1.2,12.6,55.8,157,2.6
16243,0.15,1.62,28.2,11.9,11.7,0.78,6.9,1.6,39.5,36,0.2
11793,0.13,1.515,40.8,3.4,19.6,0.08,7.8,4.8,21.4,127,2.2
3339,70.7,1.14,3.9,4.5,28.9,3.66,3.6,6.2,52.7,0,0.2
831,2.3,0.66,6.2,1.4,42,7.96,19.2,5,26,64,0.2
11231,23,1.39,6.2,8.2,30.7,1.42,6.4,8.7,37.1,0,2.7
9869,0.54,1.52,16.5,21.1,7.5,0.89,10.5,0.4,44,15,0
