"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
23,4.85,1.61,23.6,10.8,20.6,0.23,7.3,7.1,28.1,106,2.5
38,0.24,1.67,30.8,9.1,18,0.14,9.6,8.1,21.8,117,2.6
60,12,1.02,3.57,34.21,0.47,0.7,48.26,0.02,13.44,17,0.03
65,0.68,1.61,1.54,30.26,2.06,0.07,59.47,0.17,6.37,24,0.13
73,1.56,1.13,3.45,23.77,0.46,0.35,65.42,0.04,6.86,36,0
92,2.8,1.66,23.2,6.6,24.5,0.04,2.7,19.6,17.9,155,5.5
127,25.9,1.55,2.5,11,14.4,0.11,1.7,0.6,69.8,36,0
129,11.7,1.63,6.2,11.3,12.9,0.03,1,0.6,68,137,0
155,21.5,1.39,2.7,7.3,16.9,0.69,1,1.7,70.3,20,0.1
157,25.4,1.62,1.6,7.7,15,0.13,0.6,1.6,73.4,61,0.1
158,28.3,1.54,0.8,16.1,13,0.08,0.2,1.4,68.5,10,0
173,1.9,1.59,30,6.3,8.5,14.41,12,1.5,41.6,15,0.1
218,23.2,1.4,1.1,9.6,17.9,0.36,2.1,0.7,68.6,15,0
227,24,1.52,1.3,15.6,14.8,0.06,2.1,0.8,65.4,20,0
249,12.1,1.51,3.5,20.4,15.3,1.26,6.7,2.8,51.2,0,0.1
259,0.7,1.28,26.1,3.6,3.6,0.47,29.9,0.4,36.4,56,0
295,20.2,1.5,0.5,24.8,7,0.07,2.2,1.1,64.3,43,0.1
307,5.3,1.73,5.8,19.8,10.4,0.06,4.7,2,57.1,119,0.2
352,1,1.64,42,17.5,5.9,0.06,5.6,0.1,27.8,76,0.2
362,6.6,1.7,12.6,23.3,1.8,0.04,3,0.1,59,89,0.2
375,47.3,1.09,2.3,6.4,27.5,0.96,9.7,2.4,51.6,36,0.1
379,192.5,1.24,1.3,1,73.3,0.47,3.9,7.6,12.9,0,0
399,32.2,1.43,5.8,8.2,31,0.24,5.4,3.7,45.8,33,0.1
418,0.2,1.76,12.7,4.1,37.3,0.08,8.9,3.6,33.4,147,0
429,28.6,1.45,0.3,7.4,17.8,0.16,1.2,1.3,72,10,0
434,0.1,1.66,19.4,6.8,14.6,0.11,1.6,1,56.6,198,0
440,0.5,1.61,13.3,4.3,2.2,0.11,5.6,0.1,74.5,135,0
445,0.8,1.64,15.4,4,30.4,0.02,1.5,11.7,36.5,147,0.5
455,24.9,1.42,5.2,7.2,38.5,2.25,3.5,3.5,42,0,0.1
461,0.5,1.13,57.4,4.4,8.4,0.27,15.8,1.2,12.8,102,0
622,29.6,1.62,0.4,1.5,53.7,0.22,0.7,5.5,37.9,15,0.3
702,3.6,1.48,22.2,7.3,19.8,0.13,18.7,2,30,89,0
739,91.8,1.53,0.6,1.7,66.6,0.31,1.8,13.3,15.7,18,0.3
744,6.9,1.72,16.4,2.1,52.9,0.41,4,11.6,12.5,117,0.5
755,4.6,1.56,4.2,10.3,5.7,0.14,3.3,1.8,74.7,41,0
765,20.4,1.49,0.5,14.9,26,0.14,3.8,2.2,52.5,10,0.1
812,62.4,1.12,1.8,2.3,2.2,1.52,0.8,0.1,92.8,0,0
831,2.3,0.66,6.2,1.4,42,7.96,19.2,5,26,64,0.2
837,27.8,1.58,4.8,23.1,11.3,0.75,7.8,2.7,50,41,0.3
863,0.1,1.79,14.5,10,0.5,0.24,6.1,0.1,68.8,96,0
874,1.1,1.66,17.8,22.2,6,0.12,3.9,1.1,48.9,112,0.1
876,0.6,1.67,33.3,27.5,3.3,0.06,1.6,0.4,33.9,185,0
886,13.1,1.57,0.5,27.3,4.2,0.05,3.7,0.2,64.1,28,0
944,51.3,1.32,0.5,4.2,0.7,0.13,0.5,0,94.1,68,0
969,6.1,1.54,1.9,10.8,39.7,0.22,6.5,9.7,30.8,15,0.7
984,3.4,1.6,5.9,7.9,41.1,0.05,2.3,4.9,37.7,155,0.2
989,0.8,1.7,16.4,2.2,40.8,0.18,4.2,5.3,31,48,0.1
1008,61.15,1.43,2,5.9,40.7,0.49,3.6,6.9,40.8,33,0.1
1042,12.8,1.52,0.9,26.1,17.9,0.49,2.9,3.6,49,20,0
1049,0.06,1.63,8.3,24.4,9.9,1.1,14.1,1.4,41.9,64,0
1087,24.95,1.61,0.4,5.4,28,0.07,1,3.6,61.6,13,0
1113,7.32,1.48,1.6,11.3,18.8,2.11,3.1,2.8,62.5,0,0
1121,2.01,1.65,5.8,7.6,22.2,0.3,6.2,2.8,55.2,28,0.2
1140,88.1,1.13,2.4,6.4,40.2,2.04,0.5,2.2,48.3,0,0
1147,59.15,1.58,0.5,4.1,55.1,0.06,0.7,2.3,37.3,25,0
1211,1.21,1.51,7.1,17.2,14.7,0.22,5.1,1.3,54.5,58,0.1
1242,1.5,1.5,39.3,7.4,6.8,0.24,3,0.7,42.8,86,0
1248,21.25,1.57,3.7,12,11,0.86,1.7,0.9,70.7,68,0
1275,0.4,1.61,32.9,8,9.2,0.03,0.1,0.5,49.3,188,0
1286,0.02,1.17,61.8,9.2,5.3,0.15,2.1,0.2,21.4,23,0
1298,37.15,1.58,0.9,6.2,20.3,0.06,1.1,0.4,71.1,63,0
1305,14.25,1.39,1.8,14.8,10.9,1.58,8.5,1.3,62.6,0,0.1
1322,3.07,1.7,21.4,14.3,6.8,0.49,4.3,0.6,52.6,33,0
1348,86.75,1.48,2.8,0.6,61,0.49,0.3,6.9,28.4,91,0
1351,68.4,1.36,0.5,0.6,65,1.79,0,5.8,28.1,0,0
1397,38.53,1.25,19.1,27.1,2,0.43,6,0.2,45.6,116,0
1409,10.64,1.71,2.5,29.4,17.4,0.2,2.6,4.7,43,89,0.4
1446,20.05,1.67,0.4,13,29.9,0.18,1.2,1.7,53.8,28,0
1488,25.65,1.47,0.9,5.9,47.8,0.22,1,3.1,41.3,33,0
1491,9.22,1.55,1.5,4.6,41.3,0.59,2.9,3.2,46.5,160,0
1507,17.1,1.56,0.6,17.1,30.2,0.07,1.5,3.5,47,13,0.1
1518,48,1.47,1.6,5.4,18,0.15,0,1.3,73,84,0
1543,128.5,1.52,1.9,1.1,60.1,0.06,0.5,9.3,27,145,0.1
1554,0.69,1.5,33.2,5.4,23,0.41,16.2,5,17.2,76,0
1579,21.2,1.53,1.6,20.1,7.8,0.17,2.6,1.4,66.2,0,0.3
1587,26,1.53,2.9,10.9,29.6,0.54,8.3,19.3,24.5,23,4.5
1602,11.2,1.66,1.5,11.4,25.7,0.03,5.8,20.4,24.8,91,10.4
1604,0.05,1.77,29.4,5.5,21.8,0.04,3.9,18.5,14.8,142,6.1
1610,0.04,1.74,50.5,16.4,4.9,0.03,14.1,3.2,10.3,178,0.6
1660,0.04,1.57,47,13.6,6.5,0.05,10.1,5.1,16.9,107,0.8
1696,0.01,1.55,46.3,5.6,11.9,0.28,7.8,2.3,25.9,23,0.2
1719,0.04,1.67,22.8,23.1,5.5,0.45,16.5,1.8,29.9,20,0.4
1773,0.09,1.63,45,8.2,10.4,0.11,6.8,1.8,27.6,130,0.2
1775,17.75,1.46,11.7,10.1,29.4,1.14,5.4,4.1,39,0,0.3
1785,3.51,1.62,14.1,14.3,12,0.09,5.7,2,51.7,122,0.2
1795,24,1.45,2.6,16,19.8,0.39,3.8,3.2,54.2,10,0.4
1821,4.8,1.3,1.5,29.8,18,2.74,14.1,4.2,32,0,0.4
1835,0.16,1.55,20.9,40,1.8,0.11,8.3,0.4,28.6,193,0
1855,3.51,1.48,3.2,22.9,11.5,1.18,5.9,1.9,54.4,0,0.2
1888,2.4,1.57,4.1,18.4,0.6,1.39,1.5,0.1,75.3,145,0
1892,0.05,1.7,9.8,16,5.6,0.25,2.2,1,65.4,180,0
1962,9.51,1.34,15.2,19.3,8.5,1.49,12.6,1.2,43.2,94,0
1966,9.2,1.21,3.4,12.8,4.7,3.58,5.9,0.2,73,2,0
1971,11.6,1.61,1.6,12.5,5,0.08,4,0.6,76.3,45,0
1980,18.4,1.38,2.6,8.2,16.8,1.06,2.6,2.8,66.8,0,0.1
2000,10.53,1.62,1.2,11.2,23.5,0.24,4.5,6,53.1,15,0.5
2017,47.3,1.26,0.8,22,12.2,1.13,2.8,2.1,60,0,0.1
2054,12.1,1.6,3.8,3.9,4.9,0.12,1,2.1,84,33,0.3
2068,28.7,1.46,0.4,10,8.2,0.38,1.2,0.4,79.8,13,0
2073,28.45,1.36,0.6,6.5,8,1.02,0.2,0.5,84.2,0,0
2077,7.81,1.58,1.7,4.7,7.8,0.6,1.1,0.6,84.1,99,0
2097,5.3,1.61,21,11.6,28.2,0.84,2.2,3.4,33.6,91,0
2116,52.6,1.19,1.5,7.5,8.2,0.68,1.2,0.7,80.9,0,0
2127,26.95,1.63,3,7.8,41.5,0.5,1.5,4.6,41.6,140,0
2145,5.05,1.64,7.2,15.8,24,0.12,1.8,1.5,49.7,160,0
2150,14.5,1.62,1.9,2.5,53.1,1.22,5.1,3.2,34.2,20,0
2162,67.05,1.6,0.6,0.2,73.4,0.04,0.3,2.3,23.2,155,0
2168,0.45,1.83,12.2,18.7,26.2,0.04,14.1,6.5,22,127,0.3
2178,30.9,1.51,0.6,17.1,23.7,0.02,1.1,2.9,54.5,183,0.1
2182,5.26,1.57,3.4,26.8,8.4,1.02,7.5,1.6,52.2,0,0.1
2190,10.99,1.58,6,29.1,6.7,0.18,4.2,1.1,52.8,33,0.1
2215,5.28,1.74,5.8,19.8,10.4,0.06,4.7,2,57.1,119,0.2
2228,9.74,1.61,3.1,13.2,19.9,0.23,6.1,2.5,55.2,18,0
2239,28.3,1.41,7.4,15.7,13.9,0.47,8.6,1.4,53,23,0
2266,10.7,1.53,0.7,25.2,7.2,0.44,2.7,1.1,63.1,18,0
2281,26.95,1.33,1.9,21.4,2.7,0.57,1.9,0.6,71.4,0,0.1
2295,74.5,1.58,2.1,0.5,77.7,0.15,5,5.8,8.9,162,0
2298,29.6,1.38,5.5,16.2,13.6,0.38,6,1.8,56.8,36,0.1
2302,0.05,1.64,38.5,11,9.2,0.15,4.3,1,36,162,0
2305,17.75,1.48,4.7,15.3,14,0.31,8.8,2.8,54.3,15,0.1
2357,39.45,1.58,0.8,5.2,9,0.05,0.7,0.1,84.2,122,0
2369,3.1,1.65,13,37,10,0.04,4.2,1,34.8,79,0
2377,0.18,1.73,24.1,9.4,20,0.04,2.9,1.8,41.8,173,0
2378,11.6,1.43,3.9,26.8,5.8,0.53,7.2,0.2,56.1,8,0
2381,1.93,1.29,8,34.2,4.2,0.52,43.2,2.8,7.4,38,0.2
2392,35.5,1.48,2.9,7.2,10.3,0.34,2.3,0.1,77.2,18,0
2405,22.35,1.45,2.6,15.2,12.9,1.52,1.8,0.7,64.4,0,0
2485,1.18,1.56,35.3,7.2,16,0.37,3.9,1.2,36.4,36,0
2508,1.78,1.64,5.5,10.9,18.9,1.37,7,6.1,50.8,0,0.8
2514,28.5,1.63,5.3,9.8,32,0.12,8.2,5.6,38.6,127,0.5
2518,21.05,1.63,3.8,8.6,32.4,0.31,6.4,12.4,35,20,1.4
