Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
7388,23.5,1.38,2,26.7,12.3,0.3,5,0.9,53.1,28,0
5714,55.2,1.53,1.4,5.5,43.6,0.04,1.1,3.1,45.2,203,0.1
6497,46,1.43,1.1,3.2,9.3,0.06,1.8,1.1,83.5,114,0
7105,0.09,1.7,36.6,29,0.2,0.1,20.2,0,14,130,0
745,85.4,1.38,0.7,2.3,50.8,0.56,0.4,3.6,42.2,0,0
1447,3.7,1.75,4.4,11.6,28.3,0.29,2.3,1.8,51.6,96,0
17334,0.41,1.71,24.6,11,8.2,0.15,3.6,0.6,52,140,0
7261,3.58,1.6,7.9,22,15.2,0.1,2.5,3.2,49.2,140,0
4831,18,1.5,2,3.6,1.6,1.46,3.7,0.2,88.9,10,0
4547,0.16,1.56,47.9,6.2,8,0.26,13.7,4,18,76,2.2
13490,32.9,1.6,0.6,7.4,24,0.04,1.5,2.4,64.1,43,0
7273,24,1.65,5,8.2,32.6,0.17,4.4,16,31,20,2.8
4986,7.67,1.61,1.3,27.3,18.7,0.71,2.7,5.8,43.6,0,0.6
17746,16,1.56,0.6,23.4,5.4,0.11,1.2,0.1,69.3,43,0
343,72.4,0.69,8,5.8,22.5,9.05,30.9,2.4,30.4,0,0
14192,1.13,1.25,25.3,15.3,6.9,3.68,22.9,1.4,28.2,71,0
6559,1.85,1.64,2,17.1,7.1,0.11,18.8,0.5,54.5,28,0
533,1.7,1.56,15.7,8.1,30.8,0.14,9.5,4.3,31.4,79,0.2
6144,35.2,1.41,10.3,14.1,20.2,2.08,11.9,11.7,28.8,0,3
5526,15.35,1.45,4.5,4.6,41.2,2.76,6.7,2.5,40.5,0,0
191,85.4,1.72,1.6,0.3,62.5,0.1,0.4,12.7,22,140,0.5
1654,1.22,1.66,35.3,11.3,15.4,0.06,9.1,9.2,18.1,150,1.6
5366,82.2,0.65,22.2,4.3,14.7,14.32,0.8,6.7,50.3,23,1
7807,6.57,1.67,5.4,12.2,13.3,0.12,2.5,1.8,64.8,132,0
4239,0.2,1.77,17.4,1.2,41.9,0.34,5.6,7.8,25.6,122,0.5
2720,28.05,1.37,0.6,14.6,2.7,0.46,0.2,0.2,81.7,0,0
854,8.4,1.65,0.6,16.1,21.9,0.03,8,5.2,47.7,23,0.5
821,0.5,1.62,6,9.9,1.5,0.12,0.9,0.1,81.6,107,0
1202,34.15,1.5,0.5,9.1,14.4,0.03,0.1,0.4,75.5,203,0
10825,92,0.99,0.9,6.3,27.5,1.98,1.2,8.2,55.5,0,0.4
3725,1.18,1.7,8.3,9.6,29.6,0.11,3.9,2.6,46,190,0
11048,2.11,1.39,32.1,6.6,1.6,1,4.6,0.2,54.8,43,0.1
5292,25,1.57,0.8,6.2,38,0.17,4.3,4.9,45.7,23,0.1
56,2.84,0.93,6.19,5.03,0.12,1.22,87.95,0.03,0.68,14,0
7395,8.9,1.63,3.2,27.3,12.9,0.1,4,1,52.6,91,0
4436,0.16,1.29,83.5,1.1,0.2,0.42,14.1,0.1,0.9,86,0.1
4598,31.55,1.54,3.8,15.5,26.4,0.12,3.7,7.4,42.8,64,0.4
