Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
7331,21.5,1.71,0.3,12.7,27.5,0.04,1.8,3.1,54.5,114,0.1
15823,1.05,1.64,23,36.2,8.8,0.13,8.4,1.8,21.8,91,0
1608,3.72,1.84,3.1,13.6,22.5,0.08,7.2,26.6,15.6,63,11.4
4591,16,1.56,2.4,26.2,9.7,0.16,5.8,2.1,53.5,71,0.3
3721,2.7,0.75,34.1,9.9,10.2,5.03,20.5,0.8,24.5,0,0
10952,59.2,1.4,1.4,1,35.7,0.64,1.5,2.8,57.5,0,0.1
15448,76.2,0.74,19.6,2.8,21,8.48,16.4,3,37,0,0.2
4245,48,1.57,2.1,0.7,48.7,0.05,1.2,9.2,37.8,86,0.3
17913,28.9,1.54,2,1.4,4.2,0.27,2.9,0.1,89.4,142,0
8677,0.13,1.71,28.4,20.8,4.8,0.09,4.2,0.4,41.4,137,0
1919,1.7,1.57,9.5,14.2,15.9,1.61,8.9,3.1,48.2,0,0.2
9660,84.1,1.39,0.8,0.4,61.4,1.67,3.2,4.3,29.6,0,0.3
5339,0.07,1.61,20,10.8,21.8,0.08,5.6,2.1,39.7,130,0
9800,0.13,1.23,49.4,12.6,2.6,0.17,12.8,0.4,22.2,28,0
4403,0.89,1.52,6.2,35.5,7.1,1.2,17.6,4.6,28.6,15,0.4
18408,2.6,1.65,8.2,36.8,0.8,0.08,10.7,0.1,43.4,23,0
47,7.74,0.82,12.38,7.54,10.98,6.08,42.38,7.98,10.56,6,8.18
8013,37.5,1.59,7.8,9.3,25.2,0.12,7.6,19.9,24.9,30,5.3
5724,2.71,1.76,3.1,2.6,55.6,0.19,3.9,6.8,28,96,0
12717,0.27,1.14,5,0.1,0,1.29,94.5,0,0.4,20,0
11056,8.64,1.19,1.6,10.7,11,3.82,7.2,0.4,69.1,0,0
4145,0.13,0.49,24.6,5.5,28.8,5.18,5.6,1.7,33.7,0,0.1
7851,21,0.88,15.1,8.9,19.6,5.68,13.2,6.5,35.6,0,1.1
9104,0.01,1.54,22.4,5.1,19,0.49,22.4,4.3,26.7,69,0.1
675,3.9,1.65,13.7,10,23.8,0.4,8.2,2.7,41.5,18,0.1
7147,8.91,1.46,3.8,17.9,24,1.18,12.3,10.8,28.8,0,2.4
15869,21,1.66,13.6,1.8,15.1,0.28,2.6,1.4,65.5,86,0
505,113.1,1.28,0.5,1.2,55.9,0.7,2.7,17.2,22.2,8,0.3
3304,36.15,1.46,1.2,10,31.4,0.6,2.1,2.7,52.6,13,0
6208,0.39,1.9,1.7,2.2,45.8,0.06,14.7,10.2,25.2,132,0.2
12598,0.11,1.58,23.4,5.7,4,0.08,3.6,0.1,63.2,188,0
5805,8.1,2.03,3.2,5.2,43.7,1.15,11.3,5.6,31,66,0
10603,0.07,1.63,21.8,25.7,0.4,0.29,31.7,0.1,20.3,43,0
2797,154.5,0.19,31,1.9,0.9,11.52,64.7,0.1,1.4,38,0
9352,9.53,1.52,2,15.2,0.7,0.19,2.9,0,79.2,79,0
3142,38.8,1.44,1.2,7.5,6.3,0.27,3,0.3,81.7,13,0
8529,7.23,1.56,3.4,26.8,8.4,1.02,7.5,1.6,52.2,0,0.1
4025,69.65,1.09,4.1,2.8,5.4,2.07,3.8,0.5,83.4,0,0
13297,5.04,1.74,11.4,5.4,16.2,0.07,12.6,1.8,52.4,145,0.2
5065,22.3,1.58,24.2,2.6,27.3,0.03,3.2,22,13.7,175,7
17608,0.33,1.7,22.9,6.2,22.4,0.08,10.9,13.2,22.4,79,2
5687,25,1.48,1.8,14.1,34.7,1.25,3.1,17,28,0,1.3
3229,21.35,1.55,0.8,13.9,15.4,0.23,2,2.1,65.8,99,0
1481,6.57,1.36,24.9,8.4,11.1,1,21,8.6,19.9,51,6.2
8593,15.1,1.35,8.4,14,18.7,1.44,9.3,5.5,43.8,0,0.3
701,2.6,1.54,18.3,11.2,26.1,0.13,6.3,2.4,35.6,66,0.1
18629,5.17,1.67,18.3,2.6,29.1,0.06,5.7,33.4,5.8,152,5.1
16165,0.63,1.33,11,29.2,0.7,3.28,36.5,0.2,22.3,0,0.1
18588,0.14,1.8,17.9,3.1,26,0.03,3.2,1.9,47.8,170,0.1
7102,22.15,1.64,0.5,1.4,45.5,2.31,1,13.3,37.9,102,0.4
5264,32.9,1.48,1.7,1.4,1.7,0.65,1.5,0,93.7,185,0
5180,1.56,1.21,6.4,35.2,1.4,2.23,19.1,0.3,37.6,0,0
6115,0.31,1.13,26.9,1.8,1.4,1.81,67.3,0.6,2,13,0
6717,244.7,0.2,57.4,3.2,1.7,4.86,26.6,0.1,11,38,0
16446,4.6,1.61,14.2,4.4,30.4,0.11,4.7,4.9,41.3,64,0.1
10036,184,0.57,2.4,2.9,4.4,2.45,2.6,0.1,87.6,0,0
13854,0.0465,1.81,18,1.7,42.8,0.12,5.8,9.3,21.8,142,0.6
3708,3.83,1.58,1.4,3.7,46.3,2.91,4.5,6.8,37.3,112,0
7099,0.33,1.35,43.1,14.2,1.2,0.18,33.1,0,8.4,168,0
11257,36.8,1.59,1,1.2,53.4,0.03,2.3,14.2,26.5,114,1.4
6817,41.2,1.11,1.3,11.3,31.2,2.53,3.3,3,49.8,0,0.1
5960,2.87,1.71,13.1,15.8,16.6,0.15,13.3,6.6,33.4,56,1.2
11832,51.3,1.58,0.5,2.7,33.9,0.19,0.9,13.8,45.9,180,2.3
12702,1.1,1.53,3.9,7.4,15.3,1.27,3.2,1,69.2,58,0
6662,1.57,1.69,6.1,13.4,17.6,0.1,8.2,2.7,51.8,53,0.2
17614,0.46,1.72,30.5,11.2,18.2,0.03,6.9,7.6,24.8,127,0.8
5366,82.2,0.65,22.2,4.3,14.7,14.32,0.8,6.7,50.3,23,1
7701,2.07,1.53,19.5,12,10.6,0.51,4.8,3,49.8,38,0.3
7723,40.8,1.4,2.3,11.8,12.7,0.66,3.8,0.8,68.6,13,0
13845,26.3,1.39,1.4,9.4,24.7,0.04,8,4.1,52.2,155,0.2
13712,60.5,1.52,1.1,0.5,58.4,0.06,0.7,5.8,33.5,107,0
6167,116.25,1.47,2.2,1.8,49.9,0.14,5.1,27.1,11.6,18,2.3
7761,13.1,1.58,1.1,31.3,3.9,0.02,1.1,0.2,62.4,28,0
4064,1.74,1.56,3,2.7,16.1,0.39,2.4,7.3,68.5,190,0
8117,11.4,1.58,6.7,16.6,13.7,0.48,7.9,2.2,52.8,20,0.1
6261,49.3,1.39,2.1,4.8,40.9,0.68,6.6,24.1,19.1,0,2.4
4927,20.4,1.2,2.6,25.8,7,3.06,5.6,1,58,0,0
17990,0.18,1.57,6,19.7,3.1,0.47,17.9,0.3,53,15,0
