,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
2443,7.89,1.58,5.4,12.2,19.9,0.33,7.5,1.7,53.2,43.0,0.1
2055,21.3,1.5,2.7,10.3,17.4,0.42,1.8,2.1,65.7,31.0,0.0
12298,0.03,1.56,11.7,8.6,17.0,1.09,4.6,1.8,56.3,61.0,0.0
16395,9.64,1.52,7.4,11.8,22.1,0.36,5.1,3.9,49.6,28.0,0.1
16396,32.9,1.51,9.3,11.2,22.2,0.15,4.2,4.1,48.9,68.0,0.1
16397,22.4,1.55,11.2,10.9,21.5,0.09,3.8,4.8,47.6,114.0,0.2
16403,6.35,1.6,10.3,16.1,15.6,0.11,4.3,3.4,50.2,124.0,0.1
8214,36.8,1.48,2.5,5.8,37.1,0.82,5.1,3.8,45.5,20.0,0.2
22,10.79,1.59,10.9,12.8,24.6,0.19,7.4,7.1,35.7,90.0,1.5
16413,23.7,1.64,1.5,13.4,30.6,0.1,4.2,7.1,42.9,68.0,0.3
16418,12.5,1.57,11.1,14.0,17.9,0.33,5.3,3.8,47.7,38.0,0.2
16421,14.5,1.54,1.5,13.2,29.5,1.01,5.4,6.1,43.9,38.0,0.4
16422,34.2,1.55,2.6,13.0,28.8,0.84,5.5,6.5,43.2,53.0,0.4
4135,10.9,1.61,11.5,5.6,38.3,0.6,0.4,5.6,38.5,112.0,0.1
16428,22.4,1.45,4.8,17.2,16.4,0.66,7.9,5.1,47.8,15.0,0.8
16430,13.5,1.54,8.3,14.6,19.0,0.18,6.6,6.2,44.1,61.0,1.2
12335,0.01,1.67,13.0,13.3,9.2,0.34,4.7,0.9,58.9,86.0,0.0
12336,0.01,1.64,13.9,13.6,8.5,0.19,4.1,0.8,59.1,99.0,0.0
8244,6.24,1.6,6.6,17.0,14.4,0.19,1.8,2.2,57.8,61.0,0.2
8245,2.85,1.64,17.2,15.8,12.4,0.22,5.6,2.0,46.8,76.0,0.2
14389,3.51,1.58,17.0,7.6,22.8,0.66,8.4,5.7,38.1,13.0,0.4
16437,3.78,1.64,8.6,17.5,19.3,0.1,5.9,4.6,43.9,79.0,0.2
12341,0.06,1.72,11.2,7.4,20.0,0.23,4.1,2.7,54.3,99.0,0.3
16440,6.57,1.53,6.5,14.0,19.3,1.03,5.4,3.9,50.7,0.0,0.2
4488,6.9,1.5,2.0,15.9,15.7,0.4,4.6,1.0,60.8,18.0,0.0
16444,4.82,1.56,6.3,13.2,22.0,1.0,6.0,3.9,48.4,0.0,0.2
16445,26.3,1.46,12.9,7.7,27.8,0.19,6.4,4.0,41.0,18.0,0.2
16446,4.6,1.61,14.2,4.4,30.4,0.11,4.7,4.9,41.3,64.0,0.1
16447,0.41,1.72,16.2,2.9,30.9,0.04,4.6,5.1,40.0,81.0,0.3
4162,2.63,1.59,5.8,8.6,20.6,0.23,6.2,1.7,56.8,112.0,0.3
8268,0.93,1.54,1.8,13.0,12.3,1.08,3.6,2.1,67.2,74.0,0.0
16460,3.94,1.52,4.3,18.5,5.0,0.77,7.1,0.5,64.5,74.0,0.1
76,48.3,1.54,1.6,8.4,37.5,0.32,1.9,5.6,44.9,41.0,0.1
12367,5.59,1.57,13.9,10.4,10.6,0.1,5.1,0.8,59.2,96.0,0.0
12366,3.42,1.62,5.3,10.8,12.4,0.1,4.1,0.5,66.9,79.0,0.0
14417,20.4,1.47,7.4,15.7,13.9,0.47,8.6,1.4,53.0,23.0,0.0
14418,21.6,1.56,7.5,17.9,13.9,0.23,8.2,1.5,51.0,48.0,0.0
14419,2.1,1.63,18.1,16.9,11.3,0.16,7.4,1.3,44.9,79.0,0.1
12372,14.0,1.54,5.6,8.8,14.0,0.14,3.0,0.6,68.0,66.0,0.0
12373,7.01,1.55,10.3,8.2,13.0,0.11,3.7,0.6,64.2,99.0,0.0
12365,17.7,1.49,4.7,10.2,13.0,0.24,5.2,0.6,66.3,15.0,0.0
18519,29.8,1.61,1.1,10.0,33.4,0.12,3.3,5.1,47.0,66.0,0.1
12385,8.55,1.54,4.7,11.1,15.1,0.51,4.2,1.1,63.7,20.0,0.1
12386,16.4,1.52,2.9,11.2,15.0,0.26,6.9,1.0,63.0,43.0,0.0
8292,10.5,1.43,5.1,8.6,25.9,0.9,5.2,3.4,51.6,0.0,0.2
8294,15.8,1.62,2.7,9.2,26.4,0.01,4.9,3.6,53.0,79.0,0.2
8298,0.94,1.48,16.6,9.0,3.2,0.6,5.2,0.4,65.6,64.0,0.0
2159,3.51,1.65,9.0,7.2,22.6,0.19,4.0,2.2,54.6,84.0,0.4
18544,21.0,1.55,0.1,4.8,30.0,0.45,3.3,2.4,59.4,38.0,0.0
120,6.13,1.46,1.8,15.0,14.0,0.74,5.3,2.0,61.8,8.0,0.1
14473,15.3,1.44,4.8,16.4,13.9,0.67,6.5,1.9,56.4,18.0,0.1
14474,30.7,1.38,5.5,16.2,13.6,0.38,6.0,1.8,56.8,36.0,0.1
14475,31.1,1.47,7.2,15.9,14.1,0.21,5.5,1.9,55.3,53.0,0.1
18574,5.48,1.61,13.8,12.8,6.6,0.28,3.0,0.8,63.0,68.0,0.0
8339,26.3,1.49,1.3,6.4,20.6,0.85,2.5,3.7,65.3,23.0,0.2
6292,0.02,1.55,11.7,8.6,17.0,1.09,4.6,1.8,56.3,61.0,0.0
8340,28.9,1.53,0.7,8.1,18.2,0.23,1.9,3.8,67.0,38.0,0.3
14485,8.76,1.57,0.0,10.3,32.1,0.18,5.5,6.6,45.3,33.0,0.2
10393,2.63,1.59,5.8,8.6,20.6,0.23,6.2,1.7,56.8,112.0,0.3
8348,35.5,1.58,1.6,8.9,14.8,0.22,4.2,2.9,67.5,79.0,0.1
4252,1.39,1.63,16.8,13.1,19.7,0.21,8.3,1.3,40.8,71.0,0.0
2206,7.01,1.59,17.0,7.6,22.8,0.66,8.4,5.7,38.1,13.0,0.4
159,6.1,1.48,4.1,13.7,14.9,0.69,3.2,1.8,62.3,48.0,0.0
18589,3.01,1.52,3.0,12.3,23.7,0.73,6.0,3.3,51.7,0.0,0.0
12449,1.14,1.51,4.6,14.3,19.8,0.61,8.5,7.0,45.1,28.0,0.7
12450,0.06,1.56,5.2,8.2,9.8,0.49,5.0,0.8,71.0,43.0,0.0
8355,39.4,1.45,5.1,6.6,10.9,0.63,6.2,1.5,69.6,43.0,0.1
2218,11.2,1.54,3.5,9.4,32.1,0.87,5.9,6.6,42.2,91.0,0.3
8362,17.1,1.54,4.1,10.3,10.8,0.72,4.3,1.4,69.0,69.0,0.1
8363,15.1,1.59,3.0,9.2,11.7,0.27,5.0,0.1,71.0,86.0,0.0
8583,36.2,1.36,7.4,15.7,13.9,0.47,8.6,1.4,53.0,23.0,0.0
12465,16.4,1.45,5.6,12.5,14.5,0.32,5.5,0.7,61.2,10.0,0.0
12466,20.4,1.52,9.4,12.1,13.2,0.24,5.3,0.7,59.3,30.0,0.0
8373,29.6,1.52,2.3,12.0,12.7,0.44,4.2,1.4,67.3,41.0,0.1
8374,28.9,1.62,2.6,9.4,15.9,0.16,3.0,1.8,67.2,64.0,0.1
6330,0.01,1.63,13.0,13.3,9.2,0.34,4.7,0.9,58.9,86.0,0.0
6331,0.04,1.65,13.9,13.6,8.5,0.19,4.1,0.8,59.1,99.0,0.0
