"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
11,0.25,1.62,34,13,15.1,0.18,13.1,5.7,17.8,125,1.3
39,0.34,1.7,37.7,11.6,13.2,0.11,12,5.7,18.5,138,1.3
72,2.94,1.05,1.66,27.04,0.64,0.38,57.42,0.05,13.18,26,0.01
82,13.1,1.43,1.9,17.5,0.3,0.04,4.6,0,75.7,74,0
94,7.5,1.74,5.8,5,35,0.22,10.1,11.4,31.5,13,1.2
117,0.1,1.66,25.4,1.9,9.1,0.1,3.4,0.3,59.8,170,0
144,55.2,1.47,0.9,5.3,10.3,0.1,0.3,0.6,82.6,56,0
171,0.3,1.49,10.1,8.5,8.3,17.16,21.8,0.9,50.3,0,0.1
195,12.5,1.42,1,18.2,5.7,0.21,6.5,0.4,68.2,18,0
205,0.9,1.47,10.3,6.1,45,2.78,7,10.2,20.8,66,0.6
212,0.5,1.37,9.9,26.8,13.8,4.2,6.4,2.7,40.2,71,0.2
238,0.1,1.57,24.3,12,1.2,0.72,51.5,0.5,10.4,10,0.1
257,23.1,0.67,26.6,3.2,3.7,5.9,8,0.4,58.1,0,0
293,25.1,1.18,1.2,24.9,7.2,1.22,2.2,1.2,63.3,0,0
366,9.2,1.57,10.9,1.2,45.3,0.32,2.2,6.6,33.5,25,0.3
373,17.1,1.33,6,7.3,28.3,2.97,0,3,55.3,0,0.1
397,17.9,1.47,0.9,8.5,30.6,1.17,11.8,3.9,44.2,0,0.1
406,2,1.62,13.4,8.8,14.1,0.04,3.6,3.9,55.8,99,0.4
429,28.6,1.45,0.3,7.4,17.8,0.16,1.2,1.3,72,10,0
457,0.4,1.65,23.3,4,26.8,0.21,19.7,2.6,23.6,56,0
477,61.5,1.53,2.8,1.5,48.7,0.17,1.9,21.6,22.5,8,1
480,67.7,1.59,3.6,2,44.1,0.05,1.1,21.1,26.7,155,1.4
517,0.3,1.58,22.9,11,20.3,0.05,10.5,7.4,26.8,109,1.1
549,1.3,1.67,14.4,35.4,2.4,0,4.4,0.4,43,150,0
554,0.9,1.37,5.6,3.7,7.2,2.22,5.8,0.6,77.1,53,0
561,1.4,1.66,5.4,16.5,19.9,1.34,6.7,2.2,49.2,53,0.1
579,1.1,1.64,3.4,9.1,0.2,0.05,1.1,0,86.2,132,0
580,11.3,1.56,11.9,10.5,28.4,2.04,4.2,3.2,41.7,0,0.1
596,12,1.67,4,3.8,38.7,0.18,4,5.9,43.4,20,0.2
619,15.1,1.72,0.9,11,21.6,0.14,2.5,2.3,61.7,20,0
623,39.4,1.63,0.4,1.3,55.3,0.1,0.5,6.7,35.2,28,0.6
633,28.6,1.69,0.9,5.4,37,0.08,0.3,5.4,50.8,30,0.2
640,26.9,1.59,0.4,8,30.7,0.04,2.3,3.2,55.3,74,0.1
672,0.1,1.67,37.7,13,10,0.05,2.6,1.5,35,147,0.2
707,230.5,1.33,2.8,0.3,68.5,0.44,3.1,6.8,18.5,20,0
735,8.8,1.65,5.5,0.7,62.1,0.22,0.9,5.5,25.3,157,0
762,8.1,1.74,1.8,14.3,20.3,0.04,4.9,2.7,55.9,91,0.1
764,26.9,1.39,1.3,15.1,25.1,0.68,4.5,2,52,0,0
767,39.4,1.16,4.3,12,24,1.86,6.7,2.7,50.2,46,0.1
770,3.3,1.72,22.2,9.5,20.3,0.13,4.6,1.8,41.6,104,0
771,20.7,1.48,1.2,4.4,41.2,1.02,2,4.2,47,0,0
816,28,1.36,0.6,14.6,2.7,0.46,0.2,0.2,81.7,0,0
851,53.9,1.5,0.4,3,0.2,0.01,0.3,0,96.1,84,0
895,2.4,1.65,18.1,16.9,11.3,0.16,7.4,1.3,44.9,79,0.1
907,14.7,1.49,1.3,7.7,34,1.78,5.8,3.3,47.9,0,0
940,26.9,1.28,1.3,4.4,10.3,1.21,3.3,0.9,79.8,0,0
944,51.3,1.32,0.5,4.2,0.7,0.13,0.5,0,94.1,68,0
968,38.8,1.52,0.8,9.3,43.1,0.29,1.5,10.9,33.7,8,0.8
974,2,1.51,21.1,10.5,31.3,0.07,11.2,8.4,16.5,122,1.1
1037,1.31,1.58,6.4,20.6,13.8,3.05,3.9,1.4,53.9,117,0
1054,31.56,1.49,1.4,18.8,20.9,0.24,1.7,2.4,54.8,61,0
1105,0.21,1.65,13.1,20,11.3,0.1,2.8,1.4,51.4,140,0
1115,0.05,1.72,25.2,8.2,13.8,0.21,9,3,40,38,0.8
1125,0.16,1.79,11.9,4,23.4,0.18,2.3,3,55.4,132,0
1143,30.9,1.58,1.1,7.4,38.8,0.23,1.5,2.4,48.8,56,0
1168,7.36,1.65,0.6,4.2,30.7,1.77,5.8,9.3,48.9,107,0.5
1190,88.75,1.61,1.6,2.4,65,0.08,0,9.8,21.2,20,0
1207,41.75,1.57,1,6.4,19.8,0.04,0.6,1.8,70.4,107,0
1238,27.3,1.38,5.4,13.1,11.1,0.55,3.5,0.9,66,10,0
1248,21.25,1.57,3.7,12,11,0.86,1.7,0.9,70.7,68,0
1259,30.9,1.49,4.4,13.4,10.3,0.11,0.2,1.6,70,30,0.1
1262,0.77,1.6,8.2,12.1,11,0.46,0.8,1.3,66.5,109,0.1
1287,0.02,1.22,73.3,7.6,2.8,0.16,4.4,0.1,11.8,71,0
1325,17.87,1.21,10.2,19.7,10.3,2.6,13.2,0.9,45.6,0,0.1
1339,97.85,1.6,1.2,1.8,58.4,0.05,0.8,10.9,26.8,117,0.1
1351,68.4,1.36,0.5,0.6,65,1.79,0,5.8,28.1,0,0
1375,13.45,1.55,0.3,34.4,5.8,0.1,1.6,0.6,57.3,18,0
1386,7.1,1.63,3.7,26.2,12.3,0.14,4.8,3.7,48.9,94,0.4
1398,2.69,1.59,4.9,38.3,0.3,0.09,1.3,0,55.2,152,0
1405,14.8,1.51,0.6,29,19.1,0.14,2.3,4,44.7,13,0.3
1406,11.19,1.44,4.1,26.1,18.7,2.68,4.3,4.4,42.1,38,0.3
1413,13.4,1.64,0.8,26.1,19.2,0.18,1,5.3,47,38,0.6
1451,0.1,1.61,42.6,4.3,7.4,0.06,3.2,1.4,40.9,79,0.2
1516,35.5,1.42,2.2,4.9,18.4,0.42,0.4,0.3,73.8,23,0
1561,27.3,1.61,0.6,3.9,51.4,0.15,1.4,14.4,28,36,0.3
1610,0.04,1.74,50.5,16.4,4.9,0.03,14.1,3.2,10.3,178,0.6
1631,10.09,1.7,7.4,4.4,42.9,0.1,5,11,28.7,74,0.5
1673,2.63,1.75,5.4,16.3,20.6,0.29,14.7,13.4,27.7,25,1.9
1701,14.5,1.24,7.2,16,16.2,0.98,18.7,5.9,35.5,0,0.4
1730,3.29,1.68,17.8,13.4,18.5,0.13,13.6,5.5,30.6,48,0.6
1747,29.6,1.58,6,8,27,0.05,8.7,21,23.2,160,6.2
1752,19.05,1.52,6.2,15.4,14.9,0.12,6.6,2.5,54.2,46,0.2
1765,13.35,1.57,5.6,21,12.5,0.15,5.9,1.7,53.2,53,0.1
1770,0.38,1.61,10.3,15.5,14.5,1.53,10.8,2.9,45.8,0,0.2
1787,1.73,1.55,43,8.2,7.6,0.09,12,1.8,26.8,150,0.6
1793,0.24,1.56,34.9,9.8,9.8,0.09,8.3,2.2,34.4,157,0.6
