,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
2461,0.46,1.49,33.8,10.3,10.8,0.16,7.0,1.0,37.0,74.0,0.1
11863,4.38,1.73,2.9,28.2,2.0,0.11,7.8,0.2,58.9,41.0,0.0
7896,1.97,0.94,3.8,1.6,59.1,7.28,2.9,13.7,18.4,56.0,0.5
7795,23.2,0.96,1.3,27.4,21.8,1.42,2.4,4.2,42.8,0.0,0.1
228,7.2,1.59,6.6,14.8,13.8,0.43,0.1,1.0,63.7,61.0,0.0
11994,52.6,1.54,1.0,3.6,19.0,0.12,0.4,3.3,72.7,150.0,0.0
8,2.51,1.58,32.5,7.5,18.9,0.35,8.5,10.5,18.8,30.0,3.3
3967,44.7,1.37,0.4,1.5,1.8,0.14,1.6,0.1,94.6,33.0,0.0
3707,3.31,1.35,1.8,3.7,44.3,2.75,9.9,7.3,33.0,99.0,0.0
10471,64.4,1.08,1.3,0.6,47.3,3.38,8.6,6.2,35.8,0.0,0.2
351,0.9,1.66,5.9,24.9,12.5,0.72,8.3,7.5,37.8,0.0,3.1
433,12.3,1.48,5.2,7.2,15.8,0.54,3.3,1.2,67.3,188.0,0.0
4398,0.01,1.68,28.2,31.9,0.8,0.14,18.4,0.0,20.7,84.0,0.0
4237,2.15,1.72,12.7,0.9,46.3,1.19,0.7,9.1,30.0,76.0,0.3
8094,9.2,1.52,10.6,16.8,18.2,0.38,14.2,4.8,34.9,15.0,0.5
15664,0.06,1.85,22.6,18.6,5.2,0.05,3.6,0.2,49.8,165.0,0.0
6227,1.39,1.74,18.1,11.8,22.4,0.06,9.91,8.6,28.4,107.0,0.8
724,25.1,1.16,2.5,19.4,0.6,2.56,15.5,0.1,61.9,0.0,0.0
9920,61.1,1.46,2.0,6.0,27.0,0.13,1.9,1.5,61.6,89.0,0.0
4122,4.7,1.55,8.4,2.6,2.4,0.13,2.0,0.1,84.5,130.0,0.0
12310,13.3,1.57,0.5,27.2,4.7,0.18,1.2,0.1,66.3,25.0,0.0
7102,22.15,1.64,0.5,1.4,45.5,2.31,1.0,13.3,37.9,102.0,0.4
9746,1.58,1.63,27.6,8.4,5.2,0.12,3.6,0.4,54.8,112.0,0.0
550,1.6,1.71,20.2,34.0,3.0,0.0,3.4,0.6,38.8,180.0,0.0
12148,0.07,1.13,26.9,1.8,1.4,1.81,67.3,0.6,2.0,13.0,0.0
12864,46.0,1.18,3.5,3.3,1.2,1.47,3.2,0.0,88.8,46.0,0.0
3029,11.85,1.39,4.1,0.3,59.6,2.16,3.7,5.0,27.2,41.0,0.1
16225,44.7,1.46,2.6,4.1,46.9,0.57,4.1,4.6,37.5,25.0,0.2
614,8.8,1.58,18.3,4.0,22.0,0.07,3.8,9.8,41.1,86.0,1.0
12540,16.4,1.53,1.6,45.4,0.7,0.4,9.3,0.1,42.9,10.0,0.0
16686,63.1,1.64,2.2,3.0,45.0,0.14,4.6,20.8,20.7,53.0,3.7
10274,26.3,1.4,0.2,1.6,1.7,0.2,1.0,0.1,95.4,99.0,0.0
7341,4.11,1.53,3.4,24.9,6.1,1.14,2.5,0.6,62.5,0.0,0.0
6314,11.35,1.37,3.2,7.2,6.8,1.32,3.2,1.3,78.2,38.0,0.1
17542,2.63,1.53,0.2,28.9,7.7,0.81,9.9,1.3,52.0,0.0,0.0
12504,47.3,1.26,0.4,4.9,4.9,1.26,2.7,0.1,87.0,0.0,0.0
665,0.1,1.16,61.2,4.9,5.3,0.13,14.0,1.4,13.0,140.0,0.2
15503,0.05,1.42,50.6,1.63,20.8,0.02,15.3,0.1,11.6,160.0,0.0
16371,16.4,1.64,2.8,8.4,20.4,0.89,3.0,11.4,51.7,74.0,2.3
9634,46.0,1.61,0.5,0.5,59.0,0.17,0.7,10.6,28.6,45.0,0.1
1566,1.21,1.63,20.0,5.2,24.4,0.02,15.4,10.0,19.6,135.0,5.4
6153,2.47,1.75,13.2,10.4,24.4,0.04,9.4,12.4,28.4,86.0,1.8
11301,2.45,1.61,8.2,9.6,22.2,0.17,23.6,12.8,20.8,30.0,2.8
5877,8.33,1.6,7.2,1.0,47.8,0.63,5.5,17.7,20.4,130.0,0.4
1469,0.1,1.58,40.8,23.4,1.0,0.04,19.0,0.3,15.5,66.0,0.0
5983,3.02,1.53,25.8,20.5,6.5,0.06,15.7,0.9,30.6,81.0,0.0
17745,2.02,1.72,8.0,18.6,4.8,0.49,2.9,0.1,65.6,96.0,0.0
2631,20.95,1.48,2.9,24.2,1.4,0.17,1.3,0.2,70.0,165.0,0.0
8512,106.0,1.54,2.8,1.5,48.7,0.17,1.9,21.6,22.5,8.0,1.0
10291,1.57,1.44,3.3,1.3,2.2,5.1,9.6,0.1,83.5,135.0,0.0
587,43.0,0.91,3.1,5.0,32.4,6.35,18.5,3.6,36.5,0.0,0.1
9912,13.9,1.68,0.5,17.9,25.1,0.08,3.5,2.0,51.0,28.0,0.0
2756,0.06,1.5,22.4,5.1,19.0,0.49,22.4,4.3,26.7,69.0,0.1
12262,39.4,1.54,21.0,19.6,4.4,0.57,42.6,3.4,8.6,18.0,0.4
71,5.11,1.04,1.64,31.9,0.51,0.66,47.52,0.06,18.36,14.0,0.01
18136,4.93,1.06,10.2,1.8,1.3,2.12,83.7,0.8,1.8,20.0,0.4
18048,3.19,1.12,6.9,20.7,9.1,5.98,21.6,1.0,40.7,0.0,0.0
7718,56.5,1.35,3.7,5.0,15.6,0.66,3.5,1.0,71.2,12.0,0.0
14322,48.6,1.46,3.1,3.9,5.5,2.27,4.7,0.1,82.7,66.0,0.0
14556,0.27,1.71,24.0,6.5,17.5,0.13,5.4,1.4,45.2,155.0,0.0
2198,13.27,1.61,4.9,21.8,14.5,0.39,5.9,2.5,50.2,18.0,0.2
8937,2.15,1.46,14.4,18.6,16.1,4.39,13.7,4.2,32.8,5.0,0.2
8993,0.01,1.64,6.2,4.3,25.3,4.0,6.3,1.7,56.2,71.0,0.0
3973,0.88,1.65,7.0,5.5,2.5,0.11,3.7,0.2,81.1,109.0,0.0
5522,0.09,1.77,14.4,4.8,34.5,0.43,5.5,1.5,39.3,99.0,0.0
7806,6.57,1.72,15.1,26.4,15.4,0.26,4.5,3.6,34.6,99.0,0.4
10322,1.7,1.24,10.1,5.3,0.3,4.02,5.6,0.0,78.7,36.0,0.0
1397,38.53,1.25,19.1,27.1,2.0,0.43,6.0,0.2,45.6,116.0,0.0
17167,0.01,1.41,43.8,5.2,15.2,0.16,14.6,1.6,19.6,160.0,0.0
14561,7.56,1.64,0.3,40.6,6.4,0.11,3.0,0.3,49.4,10.0,0.0
11258,1.45,1.24,13.0,21.4,3.5,1.68,30.6,2.3,27.8,0.0,1.4
18545,1.22,1.43,1.9,5.1,31.4,2.4,0.8,2.3,58.5,53.0,0.0
13532,11.0,1.62,0.6,4.2,30.7,1.77,5.8,9.3,48.9,107.0,0.5
4315,1.97,1.51,21.1,10.5,31.3,0.07,11.2,8.4,16.5,122.0,1.1
7099,0.33,1.35,43.1,14.2,1.2,0.18,33.1,0.0,8.4,168.0,0.0
190,137.0,1.64,1.7,0.3,64.1,0.17,1.2,10.1,22.4,89.0,0.2
15121,2.49,1.67,13.3,19.4,14.9,0.07,7.0,2.7,42.7,58.0,0.0
11844,1.86,1.55,5.0,3.0,53.0,5.01,6.6,7.2,25.2,43.0,0.0
2343,0.25,1.75,20.1,19.0,9.0,0.08,5.9,2.0,43.8,173.0,0.2
14375,6.9,1.55,16.3,26.9,5.3,0.15,3.9,1.0,46.5,76.0,0.1
2328,6.0,1.27,62.2,6.0,9.2,0.21,6.6,2.4,13.4,46.0,0.2
6972,19.3,1.5,1.5,1.8,13.9,1.25,3.1,0.4,79.3,140.0,0.0
7583,121.0,1.54,1.6,2.4,65.0,0.08,0.0,9.8,21.2,20.0,0.0
16002,8.68,1.43,4.2,5.0,12.6,1.23,7.4,1.1,69.7,0.0,0.0
