"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
13,0.13,1.74,30.3,7.7,22,0.15,13.8,5.7,19.2,180,1.3
19,0.66,1.85,23,4.3,23.3,0.13,3.6,16.9,25,170,3.9
34,0.56,1.72,9.1,12.4,22,1.28,16.2,8.9,28.6,0,2.8
53,11.29,1,8.76,5.42,15.82,3.19,28.72,22.17,9.08,0,10.03
77,42.7,1.61,1.8,8.3,36.8,0.05,0.1,6.2,46.7,84,0.1
93,10.5,1.38,5.4,4.1,36.4,2.05,14.2,10.9,28.5,0,0.5
96,17.9,1.42,0.5,6.2,31.3,1.09,3.5,1.7,56.8,0,0
109,1.8,1.66,8.7,4.2,33.9,0.45,2.3,2.5,48.4,135,0
112,42.4,1.27,1.7,2.9,14.4,1.62,4.8,0.6,75.5,0,0
117,0.1,1.66,25.4,1.9,9.1,0.1,3.4,0.3,59.8,170,0
132,78.8,1.29,0.9,6.3,25.7,0.72,1.8,0.5,64.8,0,0
163,41,1.55,0.5,2.3,35.5,0.03,0.6,5.1,55.7,8,0.3
172,1.4,1.64,8.7,7.8,13.2,5.7,11.7,2.3,56,8,0.3
178,0.95,1.72,9,4.7,26.4,0.18,3.8,2.8,53.2,61,0.1
190,137,1.64,1.7,0.3,64.1,0.17,1.2,10.1,22.4,89,0.2
192,70.6,1.68,0.7,0.3,62.3,0.06,0.5,12.9,23,193,0.3
201,0.3,1.74,26.5,12.6,2.7,0.18,3.4,0.2,54.6,124,0
215,3,1.55,20.8,26.9,15.6,2.29,1.1,3,32.3,94,0.3
220,9.5,1.34,6.7,9,15.6,1.14,3.6,0.8,64.3,41,0
228,7.2,1.59,6.6,14.8,13.8,0.43,0.1,1,63.7,61,0
261,0.1,1.59,23.7,20.6,1.8,1.71,16.6,0.1,37.2,5,0
272,7,1.54,6.8,22.8,9.8,0.15,5.4,1.9,53.2,46,0.1
273,9.3,1.54,7,22.6,10.3,0.09,5.1,2.5,52.3,79,0.2
315,27.6,1.48,1.1,1.6,11.5,0.36,1.8,0.8,83.2,25,0
327,1.3,1.72,29.1,12.3,8.7,0.23,23.9,2.9,22.8,38,0.3
339,1.5,1.22,43.8,4.8,17.2,0.47,10.6,2.4,21.2,20,0
380,140.5,1.43,1.6,1.4,70.5,0.4,4.8,6.5,15.1,10,0.1
385,74.5,1.57,2.1,0.5,77.7,0.15,5,5.8,8.9,162,0
386,91.3,1.1,0.2,5.4,3.3,0.86,2.1,0.1,88.9,0,0
413,18.7,1.61,2.4,9.2,17.9,0.16,3,1.9,65.6,5,0
435,12.5,1.53,3.5,5.6,3.4,0.82,3.9,0.2,83.4,0,0
438,5.4,1.67,6.5,5.6,2.5,0.11,3.2,0.1,82.1,68,0
444,0.8,1.64,19.4,9.5,3.8,0.04,4.5,0.4,62.4,109,0
452,24.9,1.46,0.5,10,27,0.21,5,2.2,55.3,18,0
470,78.4,1.23,1.4,50.1,0.9,0.99,6,0,41.6,0,0
474,25.3,1.39,0.8,12.4,1.2,0.02,3.3,0,82.3,122,0
477,61.5,1.53,2.8,1.5,48.7,0.17,1.9,21.6,22.5,8,1
522,28.3,1.45,8.7,14.1,19.7,0,7.4,5.6,43.9,58,0.6
541,6.4,1.57,16.3,26.9,5.3,0.15,3.9,1,46.5,76,0.1
543,2.1,1.68,29.4,21,3.3,0.05,2.5,0.6,43.1,142,0.1
549,1.3,1.67,14.4,35.4,2.4,0,4.4,0.4,43,150,0
564,58.5,1.36,0.7,7.3,49.7,0.8,3.7,6.5,32.1,0,0
607,13.8,1.57,7.4,6.7,34.9,0.07,6.9,5.2,28.7,199,0.2
646,3.9,1.46,4.5,7.3,3.1,0.63,5.1,0.2,79.8,56,0
652,0.4,1.76,9.5,17.3,18.6,0.19,13.9,9,30.6,36,1.1
662,3.6,1.67,15.3,8.9,12.8,0.34,5.9,1.4,55.7,23,0
664,14.2,1.09,43,9.2,9.2,0.1,6.7,2,29.5,104,0.4
685,11.5,1.55,7.8,5.4,0.8,0.06,1.7,0.1,84.2,162,0
693,33.5,1.53,2.2,14.3,29,0.39,2.4,3.9,48,25,0.2
710,0.9,1.31,11.2,16,19.2,2.65,17.7,6,31.7,0,0.4
739,91.8,1.53,0.6,1.7,66.6,0.31,1.8,13.3,15.7,18,0.3
747,21.7,1.66,0.5,3.4,47.5,0.08,0.5,5.1,42.8,20,0.2
752,18.9,1.47,0.7,12.1,7,0.27,1.4,2,76.8,13,0
757,4.9,1.62,5.6,9.8,5.4,0.17,1.6,1.7,75.9,89,0
778,21.7,1.51,0.4,12.7,29.3,0.11,3,3.6,50.9,18,0.1
820,0.1,1.6,17.1,11.2,1.8,0.25,3.1,0.1,66.7,91,0
837,27.8,1.58,4.8,23.1,11.3,0.75,7.8,2.7,50,41,0.3
860,2.8,1.17,2.4,11,0.4,2.75,17.3,0.1,68.8,0,0
865,19.5,1.38,0.4,26.2,1.5,0.48,2.5,0.2,69.2,0,0
937,21.7,1.68,0.9,3.2,43.6,0.14,2,3.3,46.9,56,0.1
939,27.6,1.66,1.9,2.1,45.9,0.23,0.8,3.6,45.6,109,0.1
968,38.8,1.52,0.8,9.3,43.1,0.29,1.5,10.9,33.7,8,0.8
973,4,1.59,22.1,8.6,31.5,0.14,8.4,9.1,19.6,102,0.8
1019,9.2,1.59,3,22.8,15.1,0.29,5.5,1.5,52.1,76,0
1022,13.65,1.59,5.7,13.2,19,0.87,8.2,7.4,46.1,183,0.4
1044,0.01,1.64,17.8,19.6,13.5,0.3,2.8,2.6,43.7,51,0
1059,18.4,1.57,0.4,17.2,30.2,0.06,1.9,3.1,47,28,0.2
1077,18.4,1.53,1.1,12,30.6,0.18,3.8,2.6,49.9,13,0
1103,35.5,1.57,0.4,5.2,26.2,0.03,0.9,2.9,64.4,61,0
1110,8.1,1.55,9,3.7,36.6,0.15,3.2,2.6,44.9,64,0
1142,40.8,1.5,0.7,6.7,41.4,0.12,0.6,2.4,48.2,28,0
1187,24,1.52,1.3,15.6,14.8,0.06,2.1,0.8,65.4,20,0
1201,36.2,1.49,0.4,11.3,10.2,0.07,0.4,0.3,77.4,163,0
1212,23.45,1.65,24.2,15,11.5,0.28,4.1,1,44.1,71,0.1
1213,0.09,1.67,32.2,12.3,11,0.22,5,1.1,38.1,86,0.3
1223,23,1.57,3.4,11,14,0.43,2.3,0.6,68.7,20,0
1226,11.7,1.63,6.2,11.3,12.9,0.03,1,0.6,68,137,0
1232,15.15,1.51,1.1,52.1,4.6,0.09,4.1,0.1,38,61,0
1237,36.35,1.26,4.9,13.6,9.5,1.1,4.5,0.7,66.7,0,0.1
1243,0.41,1.68,38.1,5.8,8.1,0.09,1,0.7,46.3,114,0
1247,20.15,1.57,2.2,12.9,9.8,0.33,1.7,0.8,72.6,58,0
